step	post	like	prior	mu1	mu2	gamma	pi	Tinf_1	Tinf_2	Tinf_3	Tinf_4	Tinf_5	Tinf_6	Tinf_7	Tinf_8	Tinf_9	Tinf_10	Tinf_11	Tinf_12	Tinf_13	Tinf_14	Tinf_15	Tinf_16	Tinf_17	Tinf_18	Tinf_19	Tinf_20	Tinf_21	Tinf_22	Tinf_23	Tinf_24	Tinf_25	Tinf_26	Tinf_27	Tinf_28	Tinf_29	Tinf_30	Tinf_31	Tinf_32	Tinf_33	Tinf_34	Tinf_35	Tinf_36	Tinf_37	Tinf_38	Tinf_39	Tinf_40	Tinf_41	Tinf_42	Tinf_43	Tinf_44	Tinf_45	Tinf_46	Tinf_47	Tinf_48	Tinf_49	Tinf_50	Tinf_51	Tinf_52	Tinf_53	Tinf_54	Tinf_55	Tinf_56	Tinf_57	Tinf_58	Tinf_59	Tinf_60	Tinf_61	Tinf_62	Tinf_63	Tinf_64	Tinf_65	Tinf_66	Tinf_67	Tinf_68	Tinf_69	Tinf_70	Tinf_71	Tinf_72	Tinf_73	Tinf_74	Tinf_75	Tinf_76	Tinf_77	Tinf_78	Tinf_79	Tinf_80	Tinf_81	Tinf_82	Tinf_83	Tinf_84	Tinf_85	Tinf_86	Tinf_87	Tinf_88	Tinf_89	Tinf_90	Tinf_91	Tinf_92	Tinf_93	Tinf_94	Tinf_95	alpha_1	alpha_2	alpha_3	alpha_4	alpha_5	alpha_6	alpha_7	alpha_8	alpha_9	alpha_10	alpha_11	alpha_12	alpha_13	alpha_14	alpha_15	alpha_16	alpha_17	alpha_18	alpha_19	alpha_20	alpha_21	alpha_22	alpha_23	alpha_24	alpha_25	alpha_26	alpha_27	alpha_28	alpha_29	alpha_30	alpha_31	alpha_32	alpha_33	alpha_34	alpha_35	alpha_36	alpha_37	alpha_38	alpha_39	alpha_40	alpha_41	alpha_42	alpha_43	alpha_44	alpha_45	alpha_46	alpha_47	alpha_48	alpha_49	alpha_50	alpha_51	alpha_52	alpha_53	alpha_54	alpha_55	alpha_56	alpha_57	alpha_58	alpha_59	alpha_60	alpha_61	alpha_62	alpha_63	alpha_64	alpha_65	alpha_66	alpha_67	alpha_68	alpha_69	alpha_70	alpha_71	alpha_72	alpha_73	alpha_74	alpha_75	alpha_76	alpha_77	alpha_78	alpha_79	alpha_80	alpha_81	alpha_82	alpha_83	alpha_84	alpha_85	alpha_86	alpha_87	alpha_88	alpha_89	alpha_90	alpha_91	alpha_92	alpha_93	alpha_94	alpha_95	kappa_1	kappa_2	kappa_3	kappa_4	kappa_5	kappa_6	kappa_7	kappa_8	kappa_9	kappa_10	kappa_11	kappa_12	kappa_13	kappa_14	kappa_15	kappa_16	kappa_17	kappa_18	kappa_19	kappa_20	kappa_21	kappa_22	kappa_23	kappa_24	kappa_25	kappa_26	kappa_27	kappa_28	kappa_29	kappa_30	kappa_31	kappa_32	kappa_33	kappa_34	kappa_35	kappa_36	kappa_37	kappa_38	kappa_39	kappa_40	kappa_41	kappa_42	kappa_43	kappa_44	kappa_45	kappa_46	kappa_47	kappa_48	kappa_49	kappa_50	kappa_51	kappa_52	kappa_53	kappa_54	kappa_55	kappa_56	kappa_57	kappa_58	kappa_59	kappa_60	kappa_61	kappa_62	kappa_63	kappa_64	kappa_65	kappa_66	kappa_67	kappa_68	kappa_69	kappa_70	kappa_71	kappa_72	kappa_73	kappa_74	kappa_75	kappa_76	kappa_77	kappa_78	kappa_79	kappa_80	kappa_81	kappa_82	kappa_83	kappa_84	kappa_85	kappa_86	kappa_87	kappa_88	kappa_89	kappa_90	kappa_91	kappa_92	kappa_93	kappa_94	kappa_95
1	-3485.010720381943884	-3491.866208332903170	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.711334363612923	0	2	5	5	5	6	6	5	8	7	7	8	8	8	9	9	10	9	10	10	9	10	11	12	11	12	11	12	12	14	12	13	14	14	13	13	15	15	14	15	14	15	15	15	16	16	16	15	16	16	16	15	16	17	18	18	18	20	20	17	17	19	19	19	19	18	19	20	20	21	21	21	21	21	20	20	23	22	23	23	23	25	26	28	31	33	34	34	34	37	36	37	37	40	41	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	3	3	3	3	3	3	4	4	4	4	4	4	5	5	5	5	5	5	5	5	6	6	6	6	6	6	6	7	6	7	7	7	7	7	8	8	7	8	7	8	8	8	8	8	8	8	8	8	8	8	8	9	9	9	9	10	10	9	9	10	10	10	10	9	10	10	10	11	11	11	11	11	10	10	12	11	12	12	12	13	13	14	16	17	17	17	17	19	18	19	19	20	21
500	-1024.572913435595865	-1031.428401386555151	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.243861939885843	0	2	4	5	5	7	6	6	7	7	8	9	8	8	9	10	9	9	8	11	9	10	10	12	11	10	11	13	13	14	12	11	14	14	13	13	14	14	15	14	14	16	16	15	16	16	17	16	17	15	14	15	15	17	17	18	18	20	20	18	17	17	19	18	20	19	20	20	17	21	21	20	20	21	19	20	22	23	23	20	23	24	25	28	28	33	34	35	35	38	37	38	37	41	41	0	1	2	3	3	3	3	5	4	8	3	9	8	3	7	14	7	10	3	15	7	11	7	10	18	13	18	21	11	11	22	26	26	35	19	23	28	25	25	7	23	35	26	13	28	22	48	34	37	27	7	29	35	39	52	46	37	49	25	41	33	51	26	25	18	40	30	39	17	54	76	63	41	56	46	31	64	51	75	10	69	65	51	0	80	69	69	51	0	85	80	51	51	80	69	1	1	2	1	1	2	2	1	1	1	3	1	1	2	1	1	2	1	3	1	1	1	3	3	1	1	1	2	2	3	1	1	2	1	2	2	1	2	2	4	2	2	3	3	2	2	1	2	2	2	4	1	1	1	1	2	2	2	4	2	1	2	5	3	4	3	5	2	5	2	1	1	3	1	2	2	2	6	4	8	3	2	7	1	5	12	12	13	1	7	10	14	9	17	14
1000	-975.932428340708498	-982.787916291667898	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.299231404449381	0	2	4	5	6	7	6	4	7	7	7	8	8	7	8	9	9	8	11	11	9	10	11	12	11	10	11	13	13	12	13	13	13	14	14	13	14	16	15	14	13	16	15	15	17	14	16	16	16	15	16	14	16	18	18	19	18	20	20	16	17	19	20	19	20	17	19	20	20	20	20	18	22	21	20	21	24	22	24	22	23	25	27	29	28	33	35	31	34	38	36	37	37	41	41	0	1	2	3	8	4	3	2	4	8	5	3	8	4	3	9	15	5	8	15	18	17	10	18	18	10	13	27	23	13	17	26	26	19	26	18	19	39	41	12	18	35	26	40	52	22	34	34	36	23	40	19	43	50	41	66	49	49	60	52	43	51	33	19	55	46	49	38	46	50	51	43	41	66	40	22	52	71	46	52	74	80	69	0	63	30	19	46	0	85	40	30	88	69	85	1	1	1	1	1	1	1	1	1	2	1	2	2	1	2	1	1	1	4	2	1	1	2	2	2	1	2	1	1	2	2	2	2	2	2	2	1	1	1	3	2	1	3	1	2	4	1	2	1	2	1	2	1	2	2	1	1	2	2	2	1	1	6	4	1	1	2	2	4	3	2	2	4	1	3	5	5	1	4	3	2	2	4	1	4	17	15	10	1	6	9	12	5	10	6
1500	-943.179400900967607	-950.034888851927008	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.328167008666011	0	2	4	5	6	7	6	5	7	7	8	8	9	8	9	9	9	9	10	10	9	11	11	12	12	11	12	11	13	15	12	13	14	13	13	13	16	15	13	15	15	15	15	16	16	16	16	15	16	17	17	15	17	17	18	17	17	20	21	17	17	20	19	19	19	19	18	20	20	21	20	22	21	21	21	18	22	22	23	22	24	25	26	27	31	33	34	33	34	38	36	34	37	40	41	0	1	2	3	8	4	3	3	3	8	5	10	8	4	9	9	9	5	11	15	10	17	10	13	18	13	10	21	18	13	17	26	10	26	26	28	28	39	18	12	24	26	26	31	21	31	48	34	21	38	31	39	42	27	30	46	49	37	54	39	33	22	43	54	41	56	57	50	51	64	40	43	30	56	51	22	23	51	51	59	56	80	76	0	62	72	1	45	0	85	77	22	88	1	87	1	1	1	1	1	1	1	1	1	2	1	1	2	1	2	2	1	2	1	1	1	2	2	2	2	1	2	2	1	3	2	2	4	2	1	1	2	1	2	3	1	2	2	2	3	2	1	1	4	1	2	1	1	2	2	1	1	2	2	1	2	5	2	1	2	1	1	1	2	2	2	4	3	2	2	5	5	3	4	1	3	2	4	1	6	9	17	9	1	4	8	10	4	20	3
2000	-875.549612651231541	-882.405100602190942	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.365713629082291	0	2	4	5	6	7	5	5	8	7	7	8	9	7	9	9	11	9	10	10	10	10	11	12	10	12	12	12	13	15	12	14	15	13	13	14	16	15	14	16	15	15	15	14	16	16	17	15	17	16	16	15	16	16	19	18	18	21	19	17	17	19	19	19	20	19	19	19	20	21	22	21	21	22	20	21	22	22	24	22	23	26	26	29	32	34	34	33	33	38	37	36	37	41	40	0	1	2	3	8	4	3	3	3	8	8	7	7	4	9	9	22	8	5	15	18	12	18	18	18	13	21	18	18	25	12	35	32	19	19	28	28	21	25	22	25	26	26	22	28	13	34	34	28	39	17	29	42	41	52	46	37	37	25	30	19	40	53	29	38	56	57	50	51	59	69	63	59	66	40	62	59	51	51	38	56	80	78	0	59	1	38	59	0	85	59	59	88	59	87	1	1	1	1	1	2	1	1	2	1	1	2	2	1	1	1	1	2	2	1	1	1	1	2	1	2	2	2	2	2	2	1	1	1	2	1	2	2	2	3	3	2	3	2	2	2	1	2	2	1	2	1	1	1	2	1	1	3	5	1	4	2	2	3	3	1	1	1	2	1	1	1	1	2	3	2	1	2	5	4	4	2	2	1	8	15	12	6	1	4	9	6	2	17	4
2500	-924.568960458711558	-931.424448409670958	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.383563180464004	1	2	4	6	5	7	6	6	8	7	7	9	8	7	9	9	11	10	10	11	9	10	11	12	12	13	10	11	12	15	13	14	15	14	12	13	14	14	13	15	14	15	16	15	17	16	16	15	16	17	17	15	15	16	15	18	18	20	20	17	17	17	19	20	19	19	19	19	21	22	20	20	19	21	20	18	23	23	24	23	24	25	26	29	32	34	34	34	35	37	37	37	38	41	40	0	1	2	3	3	4	3	5	3	5	5	3	8	4	7	7	12	21	11	15	10	7	18	18	18	10	11	21	18	18	17	35	13	19	19	28	28	24	8	17	25	26	53	12	28	17	34	34	37	38	31	18	26	38	18	46	49	67	24	55	42	17	61	50	19	56	49	41	76	54	76	63	30	66	62	40	54	40	78	73	66	59	75	0	1	62	62	59	0	85	45	26	88	1	86	1	1	2	1	1	1	2	1	2	1	1	3	1	1	1	1	1	1	2	1	1	2	1	2	1	4	2	1	1	3	1	1	3	2	1	1	2	1	5	3	1	2	1	2	3	2	1	1	1	2	2	2	1	1	3	1	1	1	4	1	1	4	1	1	4	1	1	1	2	2	1	1	2	1	2	2	2	4	1	2	3	3	3	1	11	14	11	6	1	3	11	13	2	21	3
3000	-881.292606890126422	-888.148094841085822	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.412524690503711	-1	1	6	4	5	6	6	5	8	8	7	8	8	8	10	8	9	9	10	11	10	11	10	13	11	12	12	12	13	15	11	14	13	14	12	14	16	14	15	16	13	14	15	15	17	16	16	16	17	15	16	15	17	18	19	18	18	21	19	17	17	19	19	19	20	19	19	20	20	21	21	21	21	21	21	20	23	21	24	23	23	23	27	28	31	34	34	33	33	37	36	38	36	41	42	0	1	4	2	4	4	4	4	7	5	8	4	5	3	9	4	12	3	10	15	18	17	18	25	18	8	23	4	5	25	17	26	19	26	19	29	21	18	21	31	25	33	33	12	28	31	34	34	37	21	31	41	43	38	39	46	37	37	18	52	33	51	43	50	55	56	49	54	51	54	51	63	50	66	51	46	70	22	78	39	56	68	75	0	59	1	30	78	0	85	29	73	88	26	92	1	1	1	2	1	1	1	1	1	1	1	2	1	1	1	2	1	1	1	1	1	1	1	1	1	4	2	3	6	2	1	2	2	1	1	1	2	2	2	2	1	1	1	3	2	3	1	1	1	2	2	1	1	2	2	1	1	3	4	1	2	2	2	2	1	1	2	1	2	2	2	1	4	1	3	2	1	5	2	5	3	2	2	1	7	16	9	6	1	3	6	11	2	16	2
3500	-791.753822366289455	-798.609310317248855	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.479920452040211	0	2	3	4	6	5	6	4	8	7	7	7	9	8	8	9	9	9	10	10	9	11	12	13	11	12	11	13	11	13	12	13	14	14	10	14	15	14	12	16	15	14	16	16	15	17	17	16	16	16	16	15	17	14	17	19	18	20	20	16	17	18	20	19	20	19	19	20	18	21	22	19	22	21	19	20	22	23	23	23	23	25	26	28	30	34	35	34	34	37	36	38	37	41	41	0	1	2	3	8	3	4	3	3	8	5	7	10	7	7	7	12	5	8	15	7	17	18	25	13	19	18	19	18	39	12	35	26	35	5	28	28	39	25	17	25	35	26	19	28	31	34	34	28	23	17	30	33	39	41	46	49	49	39	18	33	51	43	41	50	46	49	25	46	64	62	33	55	66	51	62	64	51	71	59	66	80	79	0	40	1	68	68	0	91	84	85	89	88	85	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	2	4	1	2	1	1	1	1	1	2	2	1	1	2	1	1	2	2	1	1	1	1	4	2	3	2	3	1	3	1	2	2	3	3	1	2	1	1	1	1	2	4	3	2	1	2	2	2	1	1	5	1	2	3	2	3	1	2	1	2	4	1	1	2	1	2	1	10	17	6	7	1	1	3	8	1	5	5
4000	-709.583340119380523	-716.438828070339923	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.479137587930894	0	2	4	6	6	6	6	5	7	8	7	7	8	8	9	10	10	9	10	10	8	9	12	13	10	11	11	12	11	12	12	13	14	13	11	13	15	14	15	15	14	15	15	15	16	17	17	16	16	16	15	16	14	17	18	19	18	21	19	18	17	19	19	18	17	18	19	20	21	22	22	21	21	22	20	17	23	22	24	24	23	25	27	28	28	34	33	32	34	37	36	38	37	40	41	0	1	2	3	8	3	3	3	7	5	8	7	5	4	9	3	22	21	5	15	8	12	25	23	18	10	16	21	25	18	22	26	35	35	13	28	28	19	25	22	18	26	53	31	28	51	34	34	37	30	17	23	35	41	65	40	49	37	50	30	43	76	53	38	39	40	49	50	62	60	62	63	65	66	62	40	54	76	75	38	56	77	79	0	51	26	85	85	0	87	87	85	88	88	86	1	1	1	1	1	1	1	1	1	2	1	1	1	1	2	3	1	1	2	1	1	1	1	1	1	2	1	2	1	2	2	1	2	1	1	1	3	2	2	2	2	2	1	1	2	1	2	2	1	2	3	1	2	2	1	2	2	3	1	3	1	1	4	2	1	2	2	2	1	3	2	1	3	3	1	1	3	2	2	5	2	2	1	1	7	14	3	3	1	2	2	8	2	5	4
4500	-719.434105846087050	-726.289593797046450	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.523478262610447	-1	2	4	6	6	6	6	5	8	6	7	8	7	8	9	9	10	9	9	10	10	11	11	11	10	12	11	12	11	12	10	13	14	13	13	13	15	15	14	15	15	14	16	16	17	16	17	16	16	17	15	15	16	16	18	19	19	20	20	17	16	18	19	18	18	18	19	20	20	22	21	22	19	19	19	20	23	23	23	23	23	25	25	26	28	32	34	33	35	37	37	38	37	41	42	0	1	2	3	8	3	3	3	3	8	10	7	8	7	9	9	12	10	13	15	18	31	19	18	18	18	18	21	18	25	12	26	13	26	5	28	28	21	24	22	18	26	26	22	37	22	34	34	37	41	12	23	35	38	39	66	49	37	41	39	33	46	43	38	38	46	37	41	40	64	75	53	41	66	51	62	30	51	75	58	74	77	75	0	39	12	85	86	0	87	87	85	88	88	86	1	2	1	1	1	1	1	1	2	1	1	2	1	1	1	1	2	1	1	1	1	1	1	2	1	2	1	1	1	1	1	1	3	1	3	1	2	3	2	2	3	1	2	2	1	3	2	2	1	2	4	2	1	1	2	1	2	3	2	2	1	2	1	2	1	1	3	2	2	2	1	3	3	1	3	1	6	3	2	2	2	1	3	1	7	13	3	1	1	2	2	8	2	4	5
