step	post	like	prior	mu1	mu2	gamma	pi	Tinf_1	Tinf_2	Tinf_3	Tinf_4	Tinf_5	Tinf_6	Tinf_7	Tinf_8	Tinf_9	Tinf_10	Tinf_11	Tinf_12	Tinf_13	Tinf_14	Tinf_15	Tinf_16	Tinf_17	Tinf_18	Tinf_19	Tinf_20	Tinf_21	Tinf_22	Tinf_23	Tinf_24	Tinf_25	Tinf_26	Tinf_27	Tinf_28	Tinf_29	Tinf_30	Tinf_31	Tinf_32	Tinf_33	Tinf_34	Tinf_35	Tinf_36	Tinf_37	Tinf_38	Tinf_39	Tinf_40	Tinf_41	Tinf_42	Tinf_43	Tinf_44	Tinf_45	Tinf_46	Tinf_47	Tinf_48	Tinf_49	Tinf_50	Tinf_51	Tinf_52	Tinf_53	Tinf_54	Tinf_55	Tinf_56	Tinf_57	Tinf_58	Tinf_59	Tinf_60	Tinf_61	Tinf_62	Tinf_63	Tinf_64	Tinf_65	Tinf_66	Tinf_67	Tinf_68	Tinf_69	Tinf_70	Tinf_71	Tinf_72	Tinf_73	Tinf_74	Tinf_75	Tinf_76	Tinf_77	Tinf_78	Tinf_79	Tinf_80	Tinf_81	Tinf_82	Tinf_83	Tinf_84	Tinf_85	Tinf_86	Tinf_87	Tinf_88	Tinf_89	Tinf_90	Tinf_91	Tinf_92	Tinf_93	Tinf_94	Tinf_95	Tinf_96	Tinf_97	Tinf_98	Tinf_99	Tinf_100	Tinf_101	Tinf_102	Tinf_103	Tinf_104	Tinf_105	Tinf_106	Tinf_107	Tinf_108	alpha_1	alpha_2	alpha_3	alpha_4	alpha_5	alpha_6	alpha_7	alpha_8	alpha_9	alpha_10	alpha_11	alpha_12	alpha_13	alpha_14	alpha_15	alpha_16	alpha_17	alpha_18	alpha_19	alpha_20	alpha_21	alpha_22	alpha_23	alpha_24	alpha_25	alpha_26	alpha_27	alpha_28	alpha_29	alpha_30	alpha_31	alpha_32	alpha_33	alpha_34	alpha_35	alpha_36	alpha_37	alpha_38	alpha_39	alpha_40	alpha_41	alpha_42	alpha_43	alpha_44	alpha_45	alpha_46	alpha_47	alpha_48	alpha_49	alpha_50	alpha_51	alpha_52	alpha_53	alpha_54	alpha_55	alpha_56	alpha_57	alpha_58	alpha_59	alpha_60	alpha_61	alpha_62	alpha_63	alpha_64	alpha_65	alpha_66	alpha_67	alpha_68	alpha_69	alpha_70	alpha_71	alpha_72	alpha_73	alpha_74	alpha_75	alpha_76	alpha_77	alpha_78	alpha_79	alpha_80	alpha_81	alpha_82	alpha_83	alpha_84	alpha_85	alpha_86	alpha_87	alpha_88	alpha_89	alpha_90	alpha_91	alpha_92	alpha_93	alpha_94	alpha_95	alpha_96	alpha_97	alpha_98	alpha_99	alpha_100	alpha_101	alpha_102	alpha_103	alpha_104	alpha_105	alpha_106	alpha_107	alpha_108	kappa_1	kappa_2	kappa_3	kappa_4	kappa_5	kappa_6	kappa_7	kappa_8	kappa_9	kappa_10	kappa_11	kappa_12	kappa_13	kappa_14	kappa_15	kappa_16	kappa_17	kappa_18	kappa_19	kappa_20	kappa_21	kappa_22	kappa_23	kappa_24	kappa_25	kappa_26	kappa_27	kappa_28	kappa_29	kappa_30	kappa_31	kappa_32	kappa_33	kappa_34	kappa_35	kappa_36	kappa_37	kappa_38	kappa_39	kappa_40	kappa_41	kappa_42	kappa_43	kappa_44	kappa_45	kappa_46	kappa_47	kappa_48	kappa_49	kappa_50	kappa_51	kappa_52	kappa_53	kappa_54	kappa_55	kappa_56	kappa_57	kappa_58	kappa_59	kappa_60	kappa_61	kappa_62	kappa_63	kappa_64	kappa_65	kappa_66	kappa_67	kappa_68	kappa_69	kappa_70	kappa_71	kappa_72	kappa_73	kappa_74	kappa_75	kappa_76	kappa_77	kappa_78	kappa_79	kappa_80	kappa_81	kappa_82	kappa_83	kappa_84	kappa_85	kappa_86	kappa_87	kappa_88	kappa_89	kappa_90	kappa_91	kappa_92	kappa_93	kappa_94	kappa_95	kappa_96	kappa_97	kappa_98	kappa_99	kappa_100	kappa_101	kappa_102	kappa_103	kappa_104	kappa_105	kappa_106	kappa_107	kappa_108
1	-3498.320634365231854	-3505.176122316191140	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.745524313308080	1	2	4	5	5	5	7	6	7	6	7	6	9	9	9	8	9	9	10	10	10	12	14	13	14	14	14	15	16	19	15	18	16	16	17	18	17	17	17	19	18	19	19	20	18	18	21	20	19	20	20	20	20	21	21	21	21	20	21	21	21	23	21	21	22	22	21	22	24	23	24	23	22	22	25	24	25	26	23	23	26	25	25	25	26	25	24	25	26	25	25	26	26	26	27	27	27	27	27	28	29	29	29	31	30	31	30	30	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	2	2	2	3	3	3	3	3	3	4	4	4	4	4	4	5	5	5	6	7	6	7	7	7	7	8	9	7	9	8	8	8	9	8	8	8	9	9	9	9	10	9	9	10	10	9	10	10	10	10	10	10	10	10	10	10	10	10	11	10	10	11	11	10	11	12	11	12	11	11	11	12	12	12	13	11	11	13	12	12	12	13	12	12	12	13	12	12	13	13	13	13	13	13	13	13	14	14	14	14	15	15	15	15	15
500	-832.964391786933561	-839.819879737892961	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.306638001255225	1	2	4	5	5	6	5	6	8	7	7	6	9	10	8	9	10	8	9	10	9	11	12	11	15	12	14	13	16	19	15	17	16	16	17	18	16	17	16	17	18	19	19	19	19	17	21	20	19	20	20	21	20	20	22	21	21	20	22	21	21	24	21	22	21	22	21	22	23	23	24	22	23	22	26	23	25	27	23	23	26	25	25	25	26	26	23	25	26	26	25	26	26	26	27	26	27	27	26	28	30	30	29	31	30	32	30	31	0	1	2	0	2	3	2	4	8	7	5	2	3	19	10	11	21	2	10	15	11	10	3	12	28	15	20	22	26	31	27	26	24	26	23	31	24	24	15	22	37	29	29	26	38	24	24	30	34	44	26	43	46	32	61	43	26	46	23	38	27	26	29	24	36	29	26	53	67	44	54	54	39	46	26	29	79	3	29	48	57	53	79	23	68	46	57	57	26	26	47	26	61	23	62	51	77	27	84	89	97	67	24	67	67	26	23	43	1	1	1	1	2	1	2	1	1	1	2	2	3	1	1	2	1	3	1	1	1	2	5	3	1	2	2	1	2	2	1	2	2	2	2	2	2	3	5	3	1	2	1	4	1	2	6	1	2	1	5	1	2	1	1	1	4	2	6	1	3	6	2	9	1	3	5	1	1	2	2	1	4	2	7	5	1	12	6	1	2	2	1	7	3	7	1	2	6	8	2	9	2	7	2	3	1	9	1	1	2	5	9	5	4	15	12	6
1000	-696.338346204338336	-703.193834155297736	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.458502498926629	0	2	4	4	5	6	7	6	7	6	7	4	9	9	9	8	9	9	10	11	9	12	14	13	14	15	14	15	16	18	15	19	16	17	17	17	16	17	18	19	19	20	18	20	18	18	21	21	20	20	19	21	20	18	20	21	21	21	21	20	20	24	22	21	22	21	21	21	25	23	24	23	22	23	25	25	26	26	24	23	25	25	25	25	26	25	24	25	25	25	24	27	27	27	27	28	27	27	28	28	29	30	30	31	30	31	29	31	0	1	2	0	2	3	2	4	4	2	5	2	7	10	10	11	11	12	15	14	11	19	19	15	19	15	24	25	24	31	27	35	24	26	29	27	27	31	34	25	46	51	36	32	33	31	35	36	39	41	26	29	31	33	31	32	43	30	35	31	36	42	32	46	42	43	43	53	32	50	47	27	26	37	57	57	65	15	73	38	52	80	42	54	71	38	48	71	73	43	73	81	68	73	86	86	59	81	55	73	97	91	68	91	101	72	73	105	1	1	1	1	1	1	2	1	2	3	1	1	2	2	2	1	1	2	1	1	1	1	2	2	2	3	1	1	2	2	1	1	1	2	1	2	2	1	1	3	1	1	1	1	1	2	2	3	2	1	3	3	2	1	3	1	2	2	2	3	1	2	1	1	1	2	2	1	2	2	2	6	4	3	2	2	2	12	2	3	1	1	3	4	1	3	2	1	1	4	2	1	4	4	1	2	4	1	4	3	1	3	5	4	1	5	3	1
1500	-626.935135074947993	-633.790623025907394	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.534515352720584	1	2	5	5	5	5	7	7	7	6	7	6	10	9	10	9	9	9	9	11	11	12	12	13	14	13	14	15	17	19	15	17	17	16	18	18	17	17	15	20	18	18	19	20	18	19	22	20	19	19	19	21	21	21	21	21	20	20	21	21	22	24	22	21	22	23	21	21	25	21	24	24	23	23	26	24	25	26	23	23	25	25	25	26	26	24	24	25	26	26	24	27	26	27	28	28	28	26	28	28	29	29	30	31	31	31	30	30	0	1	2	0	2	2	3	4	4	1	5	2	14	10	19	11	11	12	7	15	17	12	19	15	23	15	26	25	24	31	27	26	27	39	38	31	27	27	26	28	27	26	32	43	33	31	29	37	34	41	32	32	58	37	38	38	24	38	26	31	68	57	35	46	52	59	26	46	79	41	38	80	67	58	52	65	67	31	43	54	63	74	59	74	36	52	44	72	87	76	67	81	82	83	86	86	71	81	78	52	97	91	36	100	108	102	100	101	1	1	2	1	1	2	1	2	1	4	1	2	1	2	1	1	2	2	1	1	2	3	1	2	1	1	1	1	2	2	1	2	2	1	1	2	2	2	1	2	2	2	1	1	1	2	2	1	1	1	1	2	1	3	2	2	3	1	4	3	1	2	2	1	1	1	5	1	1	2	3	1	1	2	1	1	2	6	2	1	2	1	2	1	5	1	3	1	1	1	2	1	1	1	3	2	2	1	1	4	1	2	6	2	1	1	1	1
2000	-606.509625151577325	-613.365113102536725	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.691159328306652	0	1	3	4	5	5	7	6	6	6	7	5	9	9	10	9	9	10	11	10	11	12	14	12	14	15	14	15	16	19	16	18	17	16	18	18	17	17	18	19	17	19	19	20	19	18	22	20	19	19	20	21	20	22	20	21	22	19	22	21	21	23	21	22	22	22	21	23	24	22	24	23	23	23	25	23	23	26	24	23	23	25	24	26	26	24	24	25	26	25	26	26	27	25	27	27	27	27	27	28	30	29	30	31	30	31	30	29	0	1	2	0	2	3	12	4	4	2	5	2	7	10	14	11	11	7	7	10	17	14	19	10	22	20	14	22	26	38	24	29	26	27	26	26	31	31	34	28	31	29	35	29	33	31	29	36	39	41	29	43	58	32	30	29	51	36	52	46	58	59	43	58	44	44	43	61	43	50	80	30	67	53	87	65	47	87	47	54	51	46	47	68	68	54	67	80	59	65	87	81	84	73	86	53	59	81	87	87	97	78	74	99	108	102	102	90	1	1	1	1	2	1	1	1	1	3	1	2	1	2	1	1	2	2	3	2	1	1	2	2	1	3	3	1	1	1	2	2	1	1	2	1	1	1	1	2	1	2	1	2	1	2	4	1	1	1	2	1	1	2	1	2	2	1	1	1	1	1	1	2	2	1	1	2	2	2	1	1	1	1	1	1	1	1	1	1	2	3	1	2	2	1	2	1	2	2	1	1	1	1	2	3	2	2	1	1	2	2	3	2	1	1	1	2
2500	-599.289961652017951	-606.145449602977351	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.633486592323568	1	2	4	4	5	5	5	6	7	6	7	7	8	10	8	9	8	9	11	11	10	12	14	12	14	14	13	16	17	19	15	18	16	16	17	18	16	16	17	19	19	18	20	19	18	18	20	20	19	21	21	21	20	21	22	21	20	20	21	22	21	23	22	21	22	23	22	23	24	24	24	23	22	21	24	24	25	26	24	23	27	25	25	25	26	25	24	24	27	26	26	25	27	27	27	27	26	28	27	27	28	28	28	31	30	32	31	30	0	1	2	0	2	3	2	4	4	1	5	7	7	10	10	11	11	12	10	15	5	10	19	20	19	20	24	19	26	23	27	26	27	24	26	31	27	31	34	22	36	29	26	29	27	38	36	36	39	41	30	53	46	32	36	35	32	46	47	30	58	29	47	53	32	29	57	61	59	50	80	54	43	46	67	65	43	87	35	56	92	74	73	61	52	36	67	43	75	76	87	63	82	83	86	85	76	92	78	91	97	78	61	78	97	102	102	101	1	1	1	1	1	1	1	1	1	3	1	1	2	2	1	1	1	1	2	2	2	2	2	1	1	2	1	2	2	3	1	2	2	1	2	2	2	1	1	3	1	1	2	1	2	1	1	2	1	1	1	1	2	2	2	3	1	2	1	1	1	2	1	1	2	2	1	1	1	2	1	2	1	2	1	1	2	2	3	1	2	2	2	2	1	3	1	2	1	1	1	2	1	1	1	1	1	2	1	1	1	1	3	2	2	2	2	1
3000	-595.033844677375555	-601.889332628334955	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.727327805834062	1	2	4	5	5	5	7	6	7	7	7	6	9	10	10	9	9	9	10	11	10	12	14	13	14	14	14	14	17	19	15	18	16	15	17	18	18	17	16	18	18	19	19	20	18	18	20	21	18	20	20	20	21	22	21	21	22	21	21	20	22	22	20	22	21	22	20	23	25	23	24	24	23	21	26	23	26	27	22	23	25	24	25	24	25	25	24	26	26	25	26	24	26	27	28	27	27	28	27	29	29	28	29	31	30	32	31	31	0	1	2	0	2	3	2	4	4	6	5	1	12	10	12	11	11	12	10	19	7	10	14	20	15	24	24	22	26	31	27	26	23	26	24	26	31	27	34	28	38	26	26	32	31	33	29	60	39	41	32	35	46	30	30	52	14	46	47	38	46	42	36	74	35	67	38	53	73	50	54	54	43	46	87	44	65	87	43	58	92	61	73	74	46	46	67	72	57	35	44	57	74	83	86	86	90	81	87	87	97	78	93	78	97	107	102	101	1	1	1	1	1	1	2	1	1	1	1	3	1	2	2	1	1	2	2	1	1	2	2	1	2	1	1	1	2	2	1	2	1	1	2	2	1	2	1	2	1	2	2	1	2	1	1	1	1	1	1	1	2	1	1	1	4	2	1	2	2	2	1	1	2	1	2	1	1	2	1	1	2	2	1	2	2	2	1	1	1	1	2	1	3	2	2	1	2	3	3	1	2	1	1	2	1	2	2	3	2	1	2	2	2	1	2	1
3500	-625.768482529892481	-632.623970480851881	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.603474319002158	1	3	4	4	5	5	8	6	6	7	6	6	9	10	10	8	9	10	9	11	10	12	15	12	15	13	14	14	17	19	16	18	17	15	16	18	18	15	18	20	18	19	19	20	18	17	21	19	19	20	20	20	20	20	19	21	21	20	21	22	22	22	21	21	22	22	21	23	23	23	25	23	22	21	25	25	26	25	23	24	25	25	26	24	25	24	23	25	26	24	25	27	25	27	28	27	27	28	27	28	30	29	30	31	30	31	31	31	0	1	2	0	2	2	2	4	4	3	5	2	2	10	12	11	11	12	3	15	17	14	14	19	22	15	24	14	38	38	27	29	27	26	26	26	31	27	34	28	26	24	29	48	31	31	43	38	39	41	43	29	46	27	36	32	36	46	35	31	58	35	35	48	32	56	32	61	59	50	72	30	40	58	57	56	65	87	47	62	63	53	26	74	74	48	67	37	67	65	87	63	68	83	53	82	76	81	87	44	97	99	93	99	97	102	102	105	1	1	1	1	1	1	2	2	1	2	1	2	2	1	2	1	2	2	3	1	1	1	2	2	2	2	1	2	1	2	2	1	1	1	2	2	1	1	2	3	1	3	1	1	1	1	1	3	1	1	1	2	2	3	1	2	1	1	4	3	1	2	2	1	2	1	2	1	1	2	1	2	1	1	2	2	2	1	1	1	2	3	4	2	1	3	1	3	3	2	2	3	1	1	4	1	1	2	2	3	2	1	2	2	1	1	2	1
4000	-663.597220665243526	-670.452708616202926	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.572163130872928	1	3	5	5	6	6	8	7	8	6	7	7	9	8	9	9	9	9	10	11	10	12	15	14	14	13	15	15	16	17	15	18	15	16	17	18	18	18	18	20	19	18	20	20	18	19	21	19	20	20	20	20	20	22	22	20	18	21	21	20	21	23	22	20	22	23	22	23	25	24	25	21	23	23	25	24	26	27	23	24	27	24	24	25	26	26	25	26	27	24	24	26	26	27	27	24	26	27	26	28	29	29	30	31	29	31	31	29	0	1	2	0	2	3	12	4	4	3	5	2	12	10	10	11	11	12	10	15	11	14	7	20	15	20	24	14	31	27	24	29	24	26	24	31	33	31	34	28	38	27	32	57	24	30	35	31	39	41	29	29	10	58	58	32	26	46	35	33	36	51	59	27	35	53	52	61	47	41	72	60	57	58	66	43	65	53	53	72	63	38	73	68	74	58	67	80	56	47	44	63	74	83	71	31	47	92	87	87	65	78	93	99	97	102	102	65	1	1	1	1	2	1	1	2	1	1	1	2	1	2	2	2	2	1	2	1	2	2	2	2	3	2	1	3	1	1	1	1	1	1	1	2	2	2	1	2	1	2	1	2	2	1	2	2	2	1	3	2	7	1	1	1	2	2	2	3	1	1	1	2	2	1	1	1	2	3	2	1	3	1	1	2	3	3	1	2	2	2	1	1	2	3	1	1	4	1	2	2	1	2	1	4	2	1	1	1	3	1	2	2	1	1	1	3
4500	-634.869376942027202	-641.724864892986602	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.621761150401166	2	3	4	3	5	5	6	7	7	7	7	6	10	9	9	8	9	9	11	11	11	12	13	13	15	14	14	14	16	18	16	19	17	15	18	18	17	17	16	19	18	20	19	20	19	18	21	18	18	20	20	19	21	19	21	22	21	20	21	21	20	23	21	21	22	23	21	22	25	23	24	21	22	22	26	22	25	27	24	23	25	24	25	25	25	24	25	23	26	25	23	26	26	26	27	27	26	28	27	29	29	28	27	31	28	31	31	30	0	1	2	0	2	3	3	4	4	3	5	2	14	10	10	11	11	12	10	15	17	14	19	20	23	15	24	19	34	31	27	29	31	15	24	27	27	27	26	25	31	29	29	34	38	26	29	31	39	38	24	29	46	46	32	29	29	46	35	48	46	51	32	34	31	57	26	61	56	41	72	54	32	46	66	51	76	87	56	54	51	74	73	74	74	88	91	54	88	76	57	56	74	83	86	86	56	92	87	78	97	87	68	100	97	102	102	105	1	1	1	1	1	1	1	3	2	2	1	1	1	1	1	1	1	2	2	1	2	2	1	1	1	3	1	2	1	1	1	2	1	3	3	2	1	2	1	2	1	2	2	2	1	2	2	1	1	1	3	2	2	1	1	2	2	2	2	1	1	1	1	2	3	2	4	1	2	2	2	2	1	2	2	1	1	2	2	2	3	1	1	1	1	1	1	2	2	2	1	2	3	1	2	2	2	1	1	1	2	2	3	2	1	2	2	1
