step	p_accept_mu1	p_accept_gamma	p_accept_pi	p_accept_Tinf	sigma_mu1	sigma_gamma	sigma_pi	n_like_zero
1		1.00000	1.00000	1.00000	1.00000	0.000100000000000	1.000000000000000	0.010000000000000	0
500		1.00000	1.00000	1.00000	0.36651	0.000100000000000	1.000000000000000	0.010000000000000	0
1000		-nan	-nan	0.92000	0.35449	0.000150000000000	1.000000000000000	0.015000000000000	0
1500		-nan	-nan	0.91200	0.34129	0.000150000000000	1.000000000000000	0.022500000000000	0
2000		-nan	-nan	0.81000	0.33341	0.000150000000000	1.000000000000000	0.033750000000000	0
2500		-nan	-nan	0.75800	0.32891	0.000150000000000	1.000000000000000	0.050625000000000	0
3000		-nan	-nan	0.65200	0.32492	0.000150000000000	1.000000000000000	0.075937500000000	0
3500		-nan	-nan	0.50800	0.32144	0.000150000000000	1.000000000000000	0.113906250000000	0
4000		-nan	-nan	0.40000	0.32003	0.000150000000000	1.000000000000000	0.170859375000000	0
4500		-nan	-nan	0.38300	0.31813	0.000150000000000	1.000000000000000	0.170859375000000	0
5000		-nan	-nan	0.38600	0.31747	0.000150000000000	1.000000000000000	0.170859375000000	0
5500		-nan	-nan	0.38000	0.31641	0.000150000000000	1.000000000000000	0.170859375000000	0
6000		-nan	-nan	0.38480	0.31494	0.000150000000000	1.000000000000000	0.170859375000000	0
6500		-nan	-nan	0.39200	0.31471	0.000150000000000	1.000000000000000	0.170859375000000	0
7000		-nan	-nan	0.39771	0.31437	0.000150000000000	1.000000000000000	0.170859375000000	0
7500		-nan	-nan	0.39550	0.31426	0.000150000000000	1.000000000000000	0.170859375000000	0
8000		-nan	-nan	0.39467	0.31403	0.000150000000000	1.000000000000000	0.170859375000000	0
8500		-nan	-nan	0.39680	0.31354	0.000150000000000	1.000000000000000	0.170859375000000	0
9000		-nan	-nan	0.39836	0.31328	0.000150000000000	1.000000000000000	0.170859375000000	0
9500		-nan	-nan	0.39800	0.31275	0.000150000000000	1.000000000000000	0.170859375000000	0
10000		-nan	-nan	0.39631	0.31252	0.000150000000000	1.000000000000000	0.170859375000000	0
10500		-nan	-nan	0.39643	0.31201	0.000150000000000	1.000000000000000	0.170859375000000	0
11000		-nan	-nan	0.39613	0.31216	0.000150000000000	1.000000000000000	0.170859375000000	0
11500		-nan	-nan	0.39550	0.31164	0.000150000000000	1.000000000000000	0.170859375000000	0
12000		-nan	-nan	0.39506	0.31142	0.000150000000000	1.000000000000000	0.170859375000000	0
12500		-nan	-nan	0.39711	0.31118	0.000150000000000	1.000000000000000	0.170859375000000	0
13000		-nan	-nan	0.39779	0.31089	0.000150000000000	1.000000000000000	0.170859375000000	0
13500		-nan	-nan	0.39710	0.31034	0.000150000000000	1.000000000000000	0.170859375000000	0
14000		-nan	-nan	0.39876	0.31009	0.000150000000000	1.000000000000000	0.170859375000000	0
14500		-nan	-nan	0.39736	0.30996	0.000150000000000	1.000000000000000	0.170859375000000	0
15000		-nan	-nan	0.39878	0.30984	0.000150000000000	1.000000000000000	0.170859375000000	0
15500		-nan	-nan	0.39892	0.30968	0.000150000000000	1.000000000000000	0.170859375000000	0
16000		-nan	-nan	0.39976	0.30947	0.000150000000000	1.000000000000000	0.170859375000000	0
16500		-nan	-nan	0.39823	0.30913	0.000150000000000	1.000000000000000	0.170859375000000	0
17000		-nan	-nan	0.39785	0.30898	0.000150000000000	1.000000000000000	0.170859375000000	0
17500		-nan	-nan	0.39821	0.30887	0.000150000000000	1.000000000000000	0.170859375000000	0
18000		-nan	-nan	0.39821	0.30875	0.000150000000000	1.000000000000000	0.170859375000000	0
18500		-nan	-nan	0.39693	0.30859	0.000150000000000	1.000000000000000	0.170859375000000	0
19000		-nan	-nan	0.39729	0.30832	0.000150000000000	1.000000000000000	0.170859375000000	0
19500		-nan	-nan	0.39819	0.30815	0.000150000000000	1.000000000000000	0.170859375000000	0
20000		-nan	-nan	0.39945	0.30794	0.000150000000000	1.000000000000000	0.170859375000000	0
20500		-nan	-nan	0.39906	0.30761	0.000150000000000	1.000000000000000	0.170859375000000	0
21000		-nan	-nan	0.39686	0.30758	0.000150000000000	1.000000000000000	0.170859375000000	0
21500		-nan	-nan	0.39711	0.30747	0.000150000000000	1.000000000000000	0.170859375000000	0
22000		-nan	-nan	0.39600	0.30733	0.000150000000000	1.000000000000000	0.170859375000000	0
22500		-nan	-nan	0.39689	0.30715	0.000150000000000	1.000000000000000	0.170859375000000	0
23000		-nan	-nan	0.39687	0.30721	0.000150000000000	1.000000000000000	0.170859375000000	0
23500		-nan	-nan	0.39695	0.30718	0.000150000000000	1.000000000000000	0.170859375000000	0
24000		-nan	-nan	0.39702	0.30729	0.000150000000000	1.000000000000000	0.170859375000000	0
