step	p_accept_mu1	p_accept_gamma	p_accept_pi	p_accept_Tinf	sigma_mu1	sigma_gamma	sigma_pi	n_like_zero
1		1.00000	1.00000	1.00000	1.00000	0.000100000000000	1.000000000000000	0.010000000000000	0
500		1.00000	1.00000	1.00000	0.37776	0.000100000000000	1.000000000000000	0.010000000000000	0
1000		-nan	-nan	0.94200	0.37419	0.000150000000000	1.000000000000000	0.015000000000000	0
1500		-nan	-nan	0.88600	0.36965	0.000150000000000	1.000000000000000	0.022500000000000	0
2000		-nan	-nan	0.86200	0.36445	0.000150000000000	1.000000000000000	0.033750000000000	0
2500		-nan	-nan	0.77200	0.35495	0.000150000000000	1.000000000000000	0.050625000000000	0
3000		-nan	-nan	0.60800	0.34762	0.000150000000000	1.000000000000000	0.075937500000000	0
3500		-nan	-nan	0.52400	0.34366	0.000150000000000	1.000000000000000	0.113906250000000	0
4000		-nan	-nan	0.39600	0.34096	0.000150000000000	1.000000000000000	0.170859375000000	0
4500		-nan	-nan	0.39200	0.33872	0.000150000000000	1.000000000000000	0.170859375000000	0
5000		-nan	-nan	0.38733	0.33768	0.000150000000000	1.000000000000000	0.170859375000000	0
5500		-nan	-nan	0.38800	0.33504	0.000150000000000	1.000000000000000	0.170859375000000	0
6000		-nan	-nan	0.39320	0.33310	0.000150000000000	1.000000000000000	0.170859375000000	0
6500		-nan	-nan	0.39100	0.33179	0.000150000000000	1.000000000000000	0.170859375000000	0
7000		-nan	-nan	0.38543	0.33171	0.000150000000000	1.000000000000000	0.170859375000000	0
7500		-nan	-nan	0.39500	0.33120	0.000150000000000	1.000000000000000	0.170859375000000	0
8000		-nan	-nan	0.39356	0.33030	0.000150000000000	1.000000000000000	0.170859375000000	0
8500		-nan	-nan	0.39600	0.32969	0.000150000000000	1.000000000000000	0.170859375000000	0
9000		-nan	-nan	0.39909	0.32855	0.000150000000000	1.000000000000000	0.170859375000000	0
9500		-nan	-nan	0.39467	0.32798	0.000150000000000	1.000000000000000	0.170859375000000	0
10000		-nan	-nan	0.39723	0.32763	0.000150000000000	1.000000000000000	0.170859375000000	0
10500		-nan	-nan	0.39314	0.32710	0.000150000000000	1.000000000000000	0.170859375000000	0
11000		-nan	-nan	0.39667	0.32658	0.000150000000000	1.000000000000000	0.170859375000000	0
11500		-nan	-nan	0.39575	0.32642	0.000150000000000	1.000000000000000	0.170859375000000	0
12000		-nan	-nan	0.39435	0.32634	0.000150000000000	1.000000000000000	0.170859375000000	0
12500		-nan	-nan	0.39400	0.32584	0.000150000000000	1.000000000000000	0.170859375000000	0
13000		-nan	-nan	0.39337	0.32562	0.000150000000000	1.000000000000000	0.170859375000000	0
13500		-nan	-nan	0.39510	0.32531	0.000150000000000	1.000000000000000	0.170859375000000	0
14000		-nan	-nan	0.39543	0.32493	0.000150000000000	1.000000000000000	0.170859375000000	0
14500		-nan	-nan	0.39436	0.32445	0.000150000000000	1.000000000000000	0.170859375000000	0
15000		-nan	-nan	0.39304	0.32427	0.000150000000000	1.000000000000000	0.170859375000000	0
15500		-nan	-nan	0.39317	0.32387	0.000150000000000	1.000000000000000	0.170859375000000	0
16000		-nan	-nan	0.39304	0.32380	0.000150000000000	1.000000000000000	0.170859375000000	0
16500		-nan	-nan	0.39254	0.32343	0.000150000000000	1.000000000000000	0.170859375000000	0
17000		-nan	-nan	0.39341	0.32326	0.000150000000000	1.000000000000000	0.170859375000000	0
17500		-nan	-nan	0.39307	0.32287	0.000150000000000	1.000000000000000	0.170859375000000	0
18000		-nan	-nan	0.39317	0.32228	0.000150000000000	1.000000000000000	0.170859375000000	0
18500		-nan	-nan	0.39220	0.32227	0.000150000000000	1.000000000000000	0.170859375000000	0
19000		-nan	-nan	0.39226	0.32243	0.000150000000000	1.000000000000000	0.170859375000000	0
19500		-nan	-nan	0.39244	0.32229	0.000150000000000	1.000000000000000	0.170859375000000	0
20000		-nan	-nan	0.39321	0.32239	0.000150000000000	1.000000000000000	0.170859375000000	0
20500		-nan	-nan	0.39324	0.32274	0.000150000000000	1.000000000000000	0.170859375000000	0
21000		-nan	-nan	0.39234	0.32267	0.000150000000000	1.000000000000000	0.170859375000000	0
21500		-nan	-nan	0.39256	0.32248	0.000150000000000	1.000000000000000	0.170859375000000	0
22000		-nan	-nan	0.39108	0.32239	0.000150000000000	1.000000000000000	0.170859375000000	0
22500		-nan	-nan	0.39211	0.32229	0.000150000000000	1.000000000000000	0.170859375000000	0
23000		-nan	-nan	0.39277	0.32214	0.000150000000000	1.000000000000000	0.170859375000000	0
23500		-nan	-nan	0.39250	0.32198	0.000150000000000	1.000000000000000	0.170859375000000	0
24000		-nan	-nan	0.39288	0.32189	0.000150000000000	1.000000000000000	0.170859375000000	0
