step	post	like	prior	mu1	mu2	gamma	pi	Tinf_1	Tinf_2	Tinf_3	Tinf_4	Tinf_5	Tinf_6	Tinf_7	Tinf_8	Tinf_9	Tinf_10	Tinf_11	Tinf_12	Tinf_13	Tinf_14	Tinf_15	Tinf_16	Tinf_17	Tinf_18	Tinf_19	Tinf_20	Tinf_21	Tinf_22	Tinf_23	Tinf_24	Tinf_25	Tinf_26	Tinf_27	Tinf_28	Tinf_29	Tinf_30	Tinf_31	Tinf_32	Tinf_33	Tinf_34	Tinf_35	Tinf_36	Tinf_37	Tinf_38	Tinf_39	Tinf_40	Tinf_41	Tinf_42	Tinf_43	Tinf_44	Tinf_45	Tinf_46	Tinf_47	Tinf_48	Tinf_49	Tinf_50	Tinf_51	Tinf_52	Tinf_53	Tinf_54	Tinf_55	Tinf_56	Tinf_57	Tinf_58	Tinf_59	Tinf_60	Tinf_61	Tinf_62	Tinf_63	Tinf_64	Tinf_65	Tinf_66	Tinf_67	Tinf_68	Tinf_69	Tinf_70	Tinf_71	Tinf_72	Tinf_73	Tinf_74	Tinf_75	Tinf_76	Tinf_77	Tinf_78	Tinf_79	Tinf_80	Tinf_81	Tinf_82	Tinf_83	Tinf_84	Tinf_85	Tinf_86	Tinf_87	Tinf_88	Tinf_89	Tinf_90	Tinf_91	Tinf_92	Tinf_93	Tinf_94	Tinf_95	Tinf_96	Tinf_97	Tinf_98	Tinf_99	Tinf_100	Tinf_101	Tinf_102	Tinf_103	Tinf_104	Tinf_105	Tinf_106	Tinf_107	Tinf_108	alpha_1	alpha_2	alpha_3	alpha_4	alpha_5	alpha_6	alpha_7	alpha_8	alpha_9	alpha_10	alpha_11	alpha_12	alpha_13	alpha_14	alpha_15	alpha_16	alpha_17	alpha_18	alpha_19	alpha_20	alpha_21	alpha_22	alpha_23	alpha_24	alpha_25	alpha_26	alpha_27	alpha_28	alpha_29	alpha_30	alpha_31	alpha_32	alpha_33	alpha_34	alpha_35	alpha_36	alpha_37	alpha_38	alpha_39	alpha_40	alpha_41	alpha_42	alpha_43	alpha_44	alpha_45	alpha_46	alpha_47	alpha_48	alpha_49	alpha_50	alpha_51	alpha_52	alpha_53	alpha_54	alpha_55	alpha_56	alpha_57	alpha_58	alpha_59	alpha_60	alpha_61	alpha_62	alpha_63	alpha_64	alpha_65	alpha_66	alpha_67	alpha_68	alpha_69	alpha_70	alpha_71	alpha_72	alpha_73	alpha_74	alpha_75	alpha_76	alpha_77	alpha_78	alpha_79	alpha_80	alpha_81	alpha_82	alpha_83	alpha_84	alpha_85	alpha_86	alpha_87	alpha_88	alpha_89	alpha_90	alpha_91	alpha_92	alpha_93	alpha_94	alpha_95	alpha_96	alpha_97	alpha_98	alpha_99	alpha_100	alpha_101	alpha_102	alpha_103	alpha_104	alpha_105	alpha_106	alpha_107	alpha_108	kappa_1	kappa_2	kappa_3	kappa_4	kappa_5	kappa_6	kappa_7	kappa_8	kappa_9	kappa_10	kappa_11	kappa_12	kappa_13	kappa_14	kappa_15	kappa_16	kappa_17	kappa_18	kappa_19	kappa_20	kappa_21	kappa_22	kappa_23	kappa_24	kappa_25	kappa_26	kappa_27	kappa_28	kappa_29	kappa_30	kappa_31	kappa_32	kappa_33	kappa_34	kappa_35	kappa_36	kappa_37	kappa_38	kappa_39	kappa_40	kappa_41	kappa_42	kappa_43	kappa_44	kappa_45	kappa_46	kappa_47	kappa_48	kappa_49	kappa_50	kappa_51	kappa_52	kappa_53	kappa_54	kappa_55	kappa_56	kappa_57	kappa_58	kappa_59	kappa_60	kappa_61	kappa_62	kappa_63	kappa_64	kappa_65	kappa_66	kappa_67	kappa_68	kappa_69	kappa_70	kappa_71	kappa_72	kappa_73	kappa_74	kappa_75	kappa_76	kappa_77	kappa_78	kappa_79	kappa_80	kappa_81	kappa_82	kappa_83	kappa_84	kappa_85	kappa_86	kappa_87	kappa_88	kappa_89	kappa_90	kappa_91	kappa_92	kappa_93	kappa_94	kappa_95	kappa_96	kappa_97	kappa_98	kappa_99	kappa_100	kappa_101	kappa_102	kappa_103	kappa_104	kappa_105	kappa_106	kappa_107	kappa_108
1	-2330.893367145120465	-2337.748855096079751	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.280038352827096	-1	1	1	2	2	1	4	4	5	3	4	4	4	5	5	5	5	6	7	6	6	5	5	6	7	7	7	7	8	8	8	8	8	9	7	8	8	9	9	8	10	9	9	9	8	11	10	11	10	10	13	13	11	10	10	11	12	12	11	13	13	12	12	13	13	13	14	14	13	13	15	14	18	15	14	15	17	15	15	14	15	14	16	17	17	16	17	18	18	17	19	18	18	19	18	20	19	20	20	21	20	22	22	21	23	21	21	24	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	2	1	3	3	3	2	3	3	3	3	3	3	3	4	4	4	4	3	3	4	4	4	4	4	5	5	5	5	5	5	4	5	5	5	5	5	6	5	5	5	5	6	6	6	6	6	7	7	6	6	6	6	7	7	6	7	7	7	7	7	7	7	8	8	7	7	8	8	10	8	8	8	9	8	8	8	8	8	9	9	9	9	9	10	10	9	10	10	10	10	10	11	10	11	11	11	11	12	12	11	12	11	11	13
500	-877.215394516789843	-884.070882467749243	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.419064842732704	-1	1	1	1	1	0	3	4	6	3	4	4	4	4	6	4	5	5	8	4	6	4	5	6	6	8	7	8	9	8	8	8	8	8	6	9	8	10	7	8	10	10	9	8	8	12	10	11	10	7	12	13	10	9	11	12	12	12	10	13	13	12	11	13	13	13	14	15	13	13	16	13	18	14	14	15	17	15	15	15	12	15	17	17	18	17	17	19	19	16	18	19	19	20	19	19	18	21	19	21	20	23	22	21	23	21	20	25	0	6	1	1	1	1	6	5	17	0	5	5	2	6	14	0	16	5	15	10	4	5	2	7	22	24	23	24	17	2	2	4	14	21	11	25	25	39	23	35	31	15	22	25	50	28	14	53	33	22	36	29	25	44	47	0	30	42	34	59	50	53	15	7	53	54	31	19	19	63	32	55	34	50	50	42	63	28	44	67	34	0	78	30	46	64	55	0	50	64	70	70	28	46	0	28	30	74	83	73	42	99	100	91	96	0	0	97	1	1	1	1	1	1	2	1	1	1	1	1	2	2	1	1	1	2	2	1	3	2	2	2	1	1	1	1	2	4	3	3	2	2	1	2	1	1	2	1	1	2	2	1	1	4	2	1	1	2	1	2	2	1	1	1	2	1	2	2	2	1	3	5	2	2	3	3	2	1	4	1	5	5	4	2	3	5	4	1	3	1	1	3	3	3	3	1	6	2	3	3	6	5	1	5	8	6	1	1	6	2	1	1	2	1	1	7
1000	-728.838182497252205	-735.693670448211606	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.509025981517145	-1	2	1	1	1	1	3	4	6	4	5	3	4	5	5	3	4	6	6	7	7	5	6	6	6	6	7	8	9	8	7	9	8	10	7	7	8	10	9	8	10	9	9	8	8	12	11	12	9	9	12	12	10	10	11	12	11	12	11	12	13	11	11	13	14	13	14	14	13	14	15	15	18	16	14	15	18	16	13	14	15	15	17	14	17	15	17	17	18	17	19	18	19	20	17	20	16	21	20	21	20	22	21	21	23	21	21	25	0	6	1	1	1	1	2	2	17	0	7	4	2	7	2	0	16	3	7	10	11	4	13	2	4	7	23	24	17	14	15	21	19	30	22	11	11	42	23	22	31	12	35	11	19	34	7	47	30	37	43	29	44	37	42	0	39	19	49	34	50	43	24	34	43	54	15	47	60	64	66	80	30	50	50	63	78	30	54	55	69	0	64	28	67	26	72	0	61	46	67	76	64	88	0	78	58	74	90	97	97	93	95	99	99	0	0	97	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	2	2	2	1	2	1	3	3	2	1	1	3	1	1	1	1	1	2	1	2	1	2	1	2	5	1	2	2	2	4	1	1	1	3	2	1	2	1	1	1	3	1	2	3	1	2	2	3	2	5	2	1	1	1	1	4	4	3	2	1	3	1	2	1	1	3	2	2	3	1	1	4	2	2	2	4	2	1	2	2	3	1	2	2	2	1	1	1	1	1	6
1500	-618.676095804140004	-625.531583755099405	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.666192873041933	-1	1	1	3	2	0	3	4	6	3	4	4	4	5	5	3	5	6	7	7	7	5	5	6	5	8	7	8	8	8	8	9	8	9	7	8	8	10	9	9	10	9	9	10	8	11	9	11	10	11	14	13	12	11	10	11	13	13	11	11	13	12	12	11	13	14	14	14	13	14	15	14	18	15	14	15	16	14	15	15	14	15	16	17	17	17	17	17	19	18	19	18	18	20	18	19	18	20	20	20	20	21	22	20	24	21	22	24	0	6	1	5	6	1	2	5	17	0	4	4	2	7	7	0	16	3	15	10	22	11	13	14	11	14	23	15	9	15	14	11	15	6	25	25	25	23	23	21	31	24	36	25	25	28	19	32	33	37	53	17	45	37	34	0	39	33	38	49	50	44	28	34	48	32	55	19	60	63	54	55	58	50	50	46	63	64	66	55	69	0	78	70	80	46	49	0	61	83	83	70	70	88	0	70	52	89	91	95	95	78	101	90	99	0	0	97	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	2	1	2	1	1	1	1	1	2	1	1	1	2	2	2	2	3	1	1	3	3	2	1	1	2	1	3	2	2	1	1	1	2	1	4	2	2	1	1	2	1	1	1	1	1	2	1	1	2	2	5	1	1	2	1	2	1	2	2	2	2	1	2	1	1	1	2	1	3	3	1	4	2	2	2	2	2	1	2	2	1	1	1	1	4	1	2	2	1	1	5
2000	-611.008764560675786	-617.864252511635186	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.666702183909279	0	2	2	2	1	1	3	3	6	2	4	5	4	5	5	4	5	6	7	7	6	5	5	7	6	4	7	7	7	9	7	9	8	10	7	9	7	10	10	8	11	7	8	8	8	11	9	12	11	11	14	13	11	10	11	12	11	12	11	13	14	12	12	12	12	12	13	14	14	13	15	13	17	16	14	15	17	16	16	14	15	14	17	16	18	15	17	18	18	18	20	19	18	20	18	19	17	20	20	20	19	21	22	21	23	22	22	24	0	6	5	1	1	1	2	1	17	0	4	4	6	7	7	0	16	3	15	10	11	11	13	14	11	2	23	15	9	15	14	21	24	42	25	35	25	23	23	25	31	14	25	25	37	28	15	36	30	36	43	17	43	44	47	0	39	39	32	49	50	36	46	46	32	54	55	49	60	64	54	55	58	61	50	24	76	64	66	72	69	0	84	70	87	46	80	0	75	83	90	84	84	88	0	84	20	89	83	97	95	84	95	90	99	0	0	103	1	1	1	1	1	1	1	1	1	1	1	2	1	2	1	1	1	2	1	3	1	1	1	2	2	1	2	1	1	2	1	2	1	2	1	1	1	2	2	1	2	1	1	1	1	2	2	2	1	1	4	3	2	1	1	1	1	1	1	1	1	2	1	1	1	1	1	2	1	1	2	1	3	1	2	3	1	2	2	1	1	1	1	2	1	1	2	1	3	1	1	2	2	1	1	2	3	1	2	1	1	3	3	2	2	1	1	2
2500	-644.378490147029993	-651.233978097989393	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.590645544548058	-1	2	1	2	2	1	4	4	5	2	3	4	4	4	4	4	6	6	7	6	6	5	5	6	6	6	7	7	8	8	8	8	7	10	7	8	9	8	9	8	10	9	10	7	8	11	11	12	10	11	12	12	10	11	10	11	11	13	11	13	14	12	12	13	14	12	14	14	12	12	15	15	18	13	13	15	17	16	15	13	15	14	16	16	16	17	17	18	18	17	19	17	19	19	18	19	18	20	21	20	21	22	22	20	23	21	21	25	0	6	1	1	1	1	2	5	16	0	4	4	2	2	5	0	9	3	15	10	11	8	2	15	11	15	23	15	9	14	15	11	24	24	25	25	45	13	23	21	31	33	25	21	25	24	19	32	19	32	53	17	36	44	7	0	39	47	49	34	50	53	28	63	25	54	49	49	24	55	54	55	58	50	50	64	76	64	54	49	69	0	70	70	67	64	80	0	75	70	83	70	76	88	0	92	8	89	91	95	97	93	101	91	99	0	0	101	1	1	1	2	2	1	2	2	1	1	1	1	1	2	1	1	1	2	1	2	2	1	2	1	1	1	1	2	3	2	2	2	1	2	1	1	1	2	2	2	1	1	2	1	1	2	2	2	1	1	1	2	2	2	4	1	1	1	1	2	2	1	2	1	4	1	2	2	2	1	2	2	2	1	1	1	1	2	2	1	2	1	2	2	1	2	2	1	3	3	2	2	2	1	1	1	7	1	1	1	2	1	1	1	1	1	1	1
3000	-679.531116697344373	-686.386604648303774	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.561764147056598	-1	1	1	3	2	2	4	3	5	3	4	4	4	5	4	4	6	6	7	6	6	5	6	6	7	8	8	7	8	9	9	7	8	10	6	7	8	8	9	8	10	10	9	9	9	11	10	11	10	10	13	13	12	10	10	12	10	12	11	13	12	9	13	12	13	12	14	13	13	11	14	13	19	16	15	15	17	14	15	15	16	15	17	18	17	17	17	18	19	17	20	18	19	20	19	20	19	20	21	21	21	21	23	21	23	22	21	24	0	1	1	5	1	3	6	5	16	0	5	5	6	2	6	0	9	5	14	10	1	5	13	7	21	4	23	15	17	19	2	11	19	24	11	7	35	13	23	35	31	33	35	32	25	28	14	36	15	21	21	17	35	44	31	0	13	39	31	64	50	40	70	28	48	54	55	49	34	28	66	55	58	61	50	46	46	64	71	67	69	0	70	64	67	63	80	0	74	70	92	64	64	88	0	78	20	89	91	97	95	84	97	91	93	0	0	97	1	1	1	1	2	1	1	1	1	1	1	1	1	2	2	1	1	2	1	2	3	2	1	1	1	1	2	1	1	1	4	1	1	2	2	1	1	2	2	2	1	1	2	1	1	3	2	2	2	2	2	2	3	1	1	1	2	1	1	1	1	1	2	2	1	2	2	2	2	3	1	2	2	3	2	2	3	1	1	1	1	1	4	3	2	3	1	1	2	4	1	4	4	2	1	3	7	1	1	1	1	1	2	1	2	1	1	2
3500	-647.305868192629873	-654.161356143589273	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.644868134165140	-1	0	1	3	2	1	5	4	6	3	4	5	5	4	4	3	5	7	7	5	6	5	6	6	6	8	7	7	9	5	8	8	8	10	8	8	8	9	8	8	11	9	9	9	9	11	11	10	10	10	12	14	11	10	10	11	12	11	12	13	13	13	12	14	14	12	14	14	12	14	15	13	17	15	14	16	17	16	15	15	15	15	15	18	17	16	18	15	17	17	18	17	18	18	17	20	18	20	21	20	21	20	22	21	22	21	22	24	0	1	1	5	1	2	15	5	17	0	4	4	6	6	2	0	16	15	7	10	11	11	14	14	11	28	13	15	9	4	15	1	30	24	25	25	21	13	23	21	32	33	36	32	37	24	30	35	24	37	32	29	25	44	32	0	39	24	32	49	50	32	46	34	48	54	59	47	34	58	44	34	80	61	61	46	63	70	66	55	69	0	59	70	80	64	80	0	75	83	83	64	70	88	0	84	47	89	83	97	97	93	95	91	93	0	0	103	1	1	1	1	1	1	1	1	1	1	1	1	2	2	2	1	1	1	1	1	2	1	1	1	1	1	2	2	1	1	2	5	3	2	1	1	1	2	1	1	2	1	1	1	1	2	3	1	2	1	2	1	3	1	2	1	2	3	2	1	2	4	1	2	2	1	1	2	1	1	3	1	1	1	1	2	2	2	2	2	2	1	1	2	1	1	2	1	1	1	2	2	3	2	1	1	3	1	2	1	2	2	2	2	2	1	1	1
4000	-634.020119153036035	-640.875607103995435	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.646362929399469	0	1	2	2	2	2	4	4	6	3	3	4	5	3	5	4	5	7	7	7	6	5	6	6	6	8	7	8	8	8	8	8	7	8	7	8	8	9	8	8	11	9	8	10	8	12	10	11	9	10	13	13	10	11	10	10	12	11	12	13	14	11	13	13	13	13	13	14	13	14	16	14	19	16	14	15	17	15	15	15	16	14	16	18	16	16	17	17	18	17	19	17	18	20	19	20	18	21	20	21	19	22	22	22	21	21	22	24	0	1	1	1	1	2	14	5	17	0	4	4	2	2	14	0	16	3	14	10	11	4	13	15	11	15	23	33	16	33	19	22	15	24	21	25	25	39	23	4	31	19	11	36	25	28	42	45	24	37	43	29	25	25	49	0	23	30	49	19	50	43	46	46	25	43	55	55	46	46	44	67	34	61	50	46	46	64	66	68	69	0	70	70	72	64	80	0	75	83	90	70	70	88	0	92	40	89	83	95	97	92	97	91	99	0	0	101	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	3	2	1	2	2	1	1	2	1	1	1	3	1	1	1	1	1	1	2	1	1	1	3	2	1	3	1	2	2	1	1	2	1	2	2	2	3	1	1	4	1	1	3	2	1	1	1	3	3	2	2	1	1	2	1	5	1	2	2	2	1	1	1	2	1	1	2	1	1	2	1	1	1	2	1	2	2	1	2	5	1	2	1	1	2	2	1	1	1	1	3
4500	-629.239504556171596	-636.094992507130996	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.614561471884158	0	2	2	2	2	1	4	2	4	2	4	5	4	5	5	3	5	5	6	6	7	6	5	5	6	8	8	8	8	8	8	7	8	10	5	8	9	9	9	9	10	9	9	9	9	11	11	10	10	11	13	13	11	11	9	11	12	12	11	13	14	12	12	13	12	14	13	15	12	14	15	15	18	16	15	15	17	14	15	14	14	13	16	17	17	17	17	17	17	18	19	18	18	20	18	20	19	21	20	21	21	22	22	21	23	21	20	24	0	6	1	1	1	1	6	1	16	0	4	4	2	6	7	0	9	5	15	10	25	11	13	7	11	15	23	13	17	19	19	11	24	24	11	5	32	23	23	21	31	33	25	25	36	28	30	12	28	36	43	9	44	44	24	0	39	34	49	46	50	43	34	28	48	44	7	67	49	64	44	67	34	61	50	28	67	64	54	55	69	0	70	70	67	78	80	0	75	83	83	46	70	88	0	93	36	89	90	97	95	84	95	91	91	0	0	101	1	1	1	1	2	1	2	1	1	1	2	2	1	2	1	1	1	2	1	2	1	1	1	1	1	1	2	2	2	1	1	3	1	2	1	5	1	2	2	1	1	1	1	1	1	2	1	2	1	1	2	4	1	1	1	1	1	1	1	1	2	1	1	2	1	2	4	1	1	1	3	1	4	1	2	2	1	1	1	2	1	1	1	1	2	2	2	1	1	1	2	3	2	2	1	2	7	2	2	1	2	2	2	1	2	1	1	2
