step	post	like	prior	mu1	mu2	gamma	pi	Tinf_1	Tinf_2	Tinf_3	Tinf_4	Tinf_5	Tinf_6	Tinf_7	Tinf_8	Tinf_9	Tinf_10	Tinf_11	Tinf_12	Tinf_13	Tinf_14	Tinf_15	Tinf_16	Tinf_17	Tinf_18	Tinf_19	Tinf_20	Tinf_21	Tinf_22	Tinf_23	Tinf_24	Tinf_25	Tinf_26	Tinf_27	Tinf_28	Tinf_29	Tinf_30	Tinf_31	Tinf_32	Tinf_33	Tinf_34	Tinf_35	Tinf_36	Tinf_37	Tinf_38	Tinf_39	Tinf_40	Tinf_41	Tinf_42	Tinf_43	Tinf_44	Tinf_45	Tinf_46	Tinf_47	Tinf_48	Tinf_49	Tinf_50	Tinf_51	Tinf_52	Tinf_53	Tinf_54	Tinf_55	Tinf_56	Tinf_57	Tinf_58	Tinf_59	Tinf_60	Tinf_61	Tinf_62	Tinf_63	Tinf_64	Tinf_65	Tinf_66	Tinf_67	Tinf_68	Tinf_69	Tinf_70	Tinf_71	Tinf_72	Tinf_73	Tinf_74	Tinf_75	Tinf_76	Tinf_77	Tinf_78	Tinf_79	Tinf_80	Tinf_81	Tinf_82	Tinf_83	Tinf_84	Tinf_85	Tinf_86	Tinf_87	Tinf_88	Tinf_89	Tinf_90	Tinf_91	Tinf_92	Tinf_93	Tinf_94	Tinf_95	Tinf_96	Tinf_97	Tinf_98	Tinf_99	Tinf_100	Tinf_101	Tinf_102	Tinf_103	Tinf_104	Tinf_105	Tinf_106	Tinf_107	Tinf_108	Tinf_109	Tinf_110	Tinf_111	Tinf_112	Tinf_113	Tinf_114	Tinf_115	Tinf_116	alpha_1	alpha_2	alpha_3	alpha_4	alpha_5	alpha_6	alpha_7	alpha_8	alpha_9	alpha_10	alpha_11	alpha_12	alpha_13	alpha_14	alpha_15	alpha_16	alpha_17	alpha_18	alpha_19	alpha_20	alpha_21	alpha_22	alpha_23	alpha_24	alpha_25	alpha_26	alpha_27	alpha_28	alpha_29	alpha_30	alpha_31	alpha_32	alpha_33	alpha_34	alpha_35	alpha_36	alpha_37	alpha_38	alpha_39	alpha_40	alpha_41	alpha_42	alpha_43	alpha_44	alpha_45	alpha_46	alpha_47	alpha_48	alpha_49	alpha_50	alpha_51	alpha_52	alpha_53	alpha_54	alpha_55	alpha_56	alpha_57	alpha_58	alpha_59	alpha_60	alpha_61	alpha_62	alpha_63	alpha_64	alpha_65	alpha_66	alpha_67	alpha_68	alpha_69	alpha_70	alpha_71	alpha_72	alpha_73	alpha_74	alpha_75	alpha_76	alpha_77	alpha_78	alpha_79	alpha_80	alpha_81	alpha_82	alpha_83	alpha_84	alpha_85	alpha_86	alpha_87	alpha_88	alpha_89	alpha_90	alpha_91	alpha_92	alpha_93	alpha_94	alpha_95	alpha_96	alpha_97	alpha_98	alpha_99	alpha_100	alpha_101	alpha_102	alpha_103	alpha_104	alpha_105	alpha_106	alpha_107	alpha_108	alpha_109	alpha_110	alpha_111	alpha_112	alpha_113	alpha_114	alpha_115	alpha_116	kappa_1	kappa_2	kappa_3	kappa_4	kappa_5	kappa_6	kappa_7	kappa_8	kappa_9	kappa_10	kappa_11	kappa_12	kappa_13	kappa_14	kappa_15	kappa_16	kappa_17	kappa_18	kappa_19	kappa_20	kappa_21	kappa_22	kappa_23	kappa_24	kappa_25	kappa_26	kappa_27	kappa_28	kappa_29	kappa_30	kappa_31	kappa_32	kappa_33	kappa_34	kappa_35	kappa_36	kappa_37	kappa_38	kappa_39	kappa_40	kappa_41	kappa_42	kappa_43	kappa_44	kappa_45	kappa_46	kappa_47	kappa_48	kappa_49	kappa_50	kappa_51	kappa_52	kappa_53	kappa_54	kappa_55	kappa_56	kappa_57	kappa_58	kappa_59	kappa_60	kappa_61	kappa_62	kappa_63	kappa_64	kappa_65	kappa_66	kappa_67	kappa_68	kappa_69	kappa_70	kappa_71	kappa_72	kappa_73	kappa_74	kappa_75	kappa_76	kappa_77	kappa_78	kappa_79	kappa_80	kappa_81	kappa_82	kappa_83	kappa_84	kappa_85	kappa_86	kappa_87	kappa_88	kappa_89	kappa_90	kappa_91	kappa_92	kappa_93	kappa_94	kappa_95	kappa_96	kappa_97	kappa_98	kappa_99	kappa_100	kappa_101	kappa_102	kappa_103	kappa_104	kappa_105	kappa_106	kappa_107	kappa_108	kappa_109	kappa_110	kappa_111	kappa_112	kappa_113	kappa_114	kappa_115	kappa_116
1	-3589.846219043049132	-3596.701706994008418	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.616953420662407	-1	1	3	2	3	3	5	5	4	5	4	4	6	6	7	6	7	8	7	9	10	10	9	9	10	9	10	9	9	11	10	11	12	10	10	10	11	12	11	12	11	13	13	11	12	12	15	12	13	13	13	15	14	14	15	15	15	16	15	14	15	17	14	16	15	18	16	16	18	18	18	17	17	19	18	20	18	19	18	19	19	19	18	19	20	20	20	19	20	21	20	21	21	21	20	20	21	22	21	21	24	23	24	24	24	26	25	26	26	29	28	29	30	31	33	36	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	2	2	2	3	3	3	3	3	3	4	4	4	4	4	5	4	5	6	6	5	5	6	5	6	5	5	6	6	6	7	6	6	6	6	7	6	7	6	7	7	6	7	7	8	7	7	7	7	8	8	8	8	8	8	9	8	8	8	9	8	9	8	10	9	9	10	10	10	9	9	10	10	11	10	10	10	10	10	10	10	10	11	11	11	10	11	11	11	11	11	11	11	11	11	12	11	11	13	12	13	13	13	14	13	14	14	15	15	15	16	16	17	19
500	-1294.037171873305169	-1300.892659824264456	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.262484314176436	0	1	3	2	3	3	6	6	3	6	4	4	5	6	7	6	7	8	6	9	9	8	9	10	8	7	11	9	7	11	10	12	12	10	8	10	10	12	9	13	11	10	14	12	13	10	15	12	14	10	13	15	12	14	16	15	15	14	13	13	15	16	13	17	15	18	17	15	18	18	19	17	17	19	18	20	19	19	17	19	19	19	17	16	20	19	21	19	20	20	21	22	22	21	20	20	22	20	21	21	25	22	25	23	24	25	26	27	26	30	29	28	31	31	34	36	0	1	1	1	0	2	5	3	1	1	4	0	6	1	5	9	4	12	13	29	14	1	1	19	19	0	15	8	11	6	25	21	21	17	16	11	17	34	26	37	23	1	44	25	21	0	30	50	36	29	30	28	39	11	63	0	20	25	2	50	39	30	42	52	20	59	39	50	60	23	51	6	53	42	60	70	83	52	49	39	17	72	59	0	60	51	25	57	75	54	42	30	39	50	60	42	13	45	42	68	23	59	23	42	30	23	50	59	2	84	59	42	42	13	30	96	1	1	2	1	1	1	2	2	1	3	1	1	1	3	2	2	3	2	1	1	2	4	4	2	1	1	2	2	3	5	2	2	2	1	1	3	2	1	1	1	1	5	1	2	2	1	2	2	2	2	1	3	1	6	1	1	3	3	6	1	4	3	2	2	3	3	5	3	3	5	3	6	3	3	2	1	1	2	1	5	6	1	2	1	4	3	5	2	1	4	6	5	8	10	5	4	9	2	5	4	9	7	9	7	7	8	8	10	13	13	13	11	14	17	12	12
1000	-914.452731951706710	-921.308219902666110	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.348581495708630	-1	1	3	2	4	4	6	5	4	5	4	5	7	6	8	7	7	8	7	9	10	10	9	9	11	9	9	9	9	11	9	11	13	11	10	9	10	11	11	10	11	12	13	12	12	12	16	12	14	13	13	16	12	15	16	15	15	16	15	13	16	17	13	16	14	16	16	15	16	18	18	17	17	20	18	18	17	19	17	16	19	19	18	16	21	19	20	19	20	21	19	21	21	21	18	17	21	22	21	21	25	24	25	24	24	26	22	27	26	30	29	29	31	32	34	37	0	1	2	2	0	3	5	3	1	11	4	0	6	9	5	8	11	12	6	1	29	17	9	19	31	0	15	16	1	4	19	14	14	22	23	6	4	2	26	20	29	3	9	31	32	0	38	34	36	29	8	28	39	29	63	0	20	25	38	38	53	54	31	33	29	50	53	60	60	77	45	31	53	9	68	69	66	52	65	53	68	72	77	0	50	21	58	36	76	30	42	54	80	38	69	84	66	71	37	95	60	84	84	69	91	84	81	96	42	84	94	96	96	84	96	102	1	1	1	1	1	1	1	1	3	1	1	1	2	2	2	1	3	2	2	3	1	2	2	1	1	1	1	1	4	5	1	4	4	1	1	3	3	5	1	1	1	4	4	2	1	1	1	1	2	3	4	4	1	3	2	1	3	2	2	1	3	1	1	2	3	2	2	2	2	1	3	4	3	7	2	1	1	2	1	2	2	1	1	1	4	4	2	5	1	4	3	3	2	6	1	1	4	2	6	1	8	6	7	5	3	6	1	6	10	11	6	8	11	16	11	9
1500	-831.355761883487389	-838.211249834446789	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.431887086237554	-1	1	3	2	1	3	5	4	4	3	4	4	7	6	7	6	7	8	7	10	11	10	9	10	10	9	10	9	8	11	8	11	12	10	10	11	11	13	10	13	11	11	14	12	12	11	16	13	12	13	14	14	13	15	15	16	16	16	15	14	15	16	15	16	15	17	16	17	18	19	17	17	18	19	19	18	18	20	19	20	19	18	18	16	20	19	20	19	20	22	21	20	20	19	20	17	21	22	21	22	22	23	25	24	24	25	26	26	27	30	28	29	29	31	34	37	0	1	2	1	0	2	5	1	3	1	4	0	6	8	7	8	3	12	6	2	28	17	11	19	31	0	7	16	9	29	19	28	11	17	16	8	2	37	26	30	9	29	25	13	32	0	37	22	20	37	45	33	39	30	44	0	40	31	50	50	53	40	43	42	37	60	61	60	60	66	51	31	67	41	66	66	66	64	30	67	17	44	66	0	60	45	43	40	75	92	74	79	53	20	69	84	66	71	33	95	60	96	96	50	88	96	81	96	96	84	81	96	84	84	96	102	1	1	1	1	1	1	2	2	1	3	1	1	2	1	1	1	2	2	2	4	1	1	2	1	2	1	2	2	1	2	1	1	4	2	2	3	5	1	1	1	5	2	2	2	1	1	2	1	1	2	1	1	1	2	2	1	2	4	1	1	1	2	1	2	2	2	1	2	2	2	2	4	1	4	2	1	1	3	3	2	6	4	1	1	3	3	3	3	1	1	1	1	3	3	1	1	2	3	5	1	6	4	5	6	2	5	3	4	10	9	5	7	8	11	9	7
2000	-741.043783298035351	-747.899271248994751	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.455610659398641	-1	1	1	2	3	3	6	5	4	5	4	5	6	7	7	7	8	7	7	9	10	10	9	9	10	9	10	9	9	12	11	12	12	10	8	10	11	11	12	13	12	14	12	10	12	13	15	13	13	13	14	15	14	14	14	16	15	16	16	14	15	18	14	17	15	16	17	16	18	17	18	16	17	18	18	20	19	19	18	20	19	19	19	16	19	20	21	19	20	21	20	22	22	21	21	19	21	23	21	21	25	24	24	24	25	27	25	25	27	30	29	30	30	31	33	37	0	1	1	2	0	3	5	11	1	4	6	0	3	8	5	8	11	12	6	2	8	17	11	19	19	0	15	16	17	37	19	21	21	17	16	29	29	34	26	13	11	30	31	19	28	0	40	22	37	38	32	28	39	37	43	0	30	44	50	50	39	40	25	35	40	60	53	60	60	66	51	44	61	65	60	66	70	52	57	67	68	44	70	0	68	71	72	74	66	91	54	79	80	60	81	84	70	71	57	69	68	96	96	94	91	84	85	102	84	102	107	96	96	84	84	108	1	1	1	1	1	1	2	1	3	1	1	1	3	1	2	1	2	1	2	2	2	1	2	1	2	1	2	2	1	1	2	2	1	1	1	1	1	1	1	3	3	1	1	1	2	1	1	2	1	1	1	3	1	2	1	1	2	5	1	1	1	3	2	4	1	2	1	1	3	1	2	2	1	2	2	1	1	2	1	2	1	4	1	1	2	1	3	1	1	1	3	1	1	5	1	2	2	2	3	1	4	4	2	2	2	5	3	1	8	5	2	5	6	10	7	4
2500	-726.398954342855859	-733.254442293815259	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.520454203662549	-1	2	3	3	1	3	6	5	3	5	4	4	6	7	4	6	8	8	8	9	9	10	9	9	9	9	9	10	9	11	11	11	13	8	10	7	12	13	12	10	11	14	11	11	10	12	15	13	13	13	14	15	13	15	16	15	15	17	14	14	16	17	13	17	15	16	15	16	18	18	18	17	17	19	19	20	19	20	17	19	19	18	19	16	20	19	19	19	18	20	20	22	22	21	20	20	20	22	21	22	24	23	24	23	25	25	25	26	26	27	29	29	30	32	33	35	0	1	1	2	0	2	15	3	1	11	4	0	6	8	5	3	11	12	3	36	36	20	9	6	19	0	15	16	13	40	25	21	32	13	16	4	40	20	26	20	23	40	25	25	21	0	36	22	40	34	45	35	39	49	63	0	30	44	50	50	39	36	43	35	37	60	53	60	60	66	51	43	53	62	66	66	70	64	65	67	60	43	70	0	68	71	72	65	68	62	62	90	67	81	69	84	70	86	90	95	85	96	84	85	92	84	85	102	84	106	107	106	106	84	112	112	1	2	2	1	1	1	1	1	2	1	1	1	2	1	1	2	2	2	3	2	1	1	3	3	1	1	2	2	2	1	1	1	2	2	2	1	1	2	1	1	1	2	1	1	1	1	5	2	2	3	2	3	1	1	2	1	2	4	1	1	2	6	1	2	1	1	1	1	2	1	2	3	2	1	1	2	1	1	1	2	2	4	1	1	2	1	1	2	1	2	1	1	4	1	1	2	2	2	1	1	2	1	3	2	1	5	2	2	6	2	2	3	4	9	2	5
3000	-686.638807885280016	-693.494295836239417	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.587025083402103	-2	1	0	3	4	3	6	5	3	5	5	3	6	7	7	6	7	7	7	7	11	11	9	9	9	8	9	8	9	12	11	9	13	10	10	10	10	12	10	12	10	14	13	11	13	11	15	13	12	12	14	14	14	13	16	16	15	16	14	14	16	16	14	17	16	16	16	17	18	19	19	15	18	18	18	20	17	19	19	20	20	19	18	18	21	19	19	19	21	21	21	21	22	21	19	21	20	22	22	22	24	24	24	24	24	26	25	27	27	28	28	29	30	31	33	37	0	1	1	2	0	2	5	9	2	1	9	0	6	8	5	8	4	12	6	9	32	23	17	19	13	0	7	16	20	37	25	14	21	23	28	10	29	36	26	37	20	20	31	25	32	0	42	34	29	23	33	35	39	37	43	0	37	31	50	50	53	40	31	28	30	60	53	60	60	77	45	31	61	42	66	68	66	64	57	67	50	58	68	0	68	51	25	74	66	79	79	79	67	69	68	84	77	71	90	81	85	84	96	68	92	96	68	102	96	106	107	109	112	84	112	108	1	2	1	1	1	1	1	1	1	4	1	1	1	1	2	1	2	2	2	2	1	2	1	1	1	1	2	1	1	2	2	1	2	1	1	3	1	1	1	1	1	4	2	1	2	1	1	2	1	2	1	2	2	2	2	1	3	2	2	1	1	2	1	3	2	2	1	2	2	1	3	2	1	2	1	2	1	1	2	2	3	2	1	1	2	2	4	1	3	1	1	1	4	1	1	2	2	1	1	1	2	2	2	3	2	3	4	2	5	1	2	1	1	9	2	5
3500	-695.097656900363859	-701.953144851323259	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.622972313713428	-1	2	3	3	3	4	5	5	3	6	4	3	4	6	6	6	7	8	7	6	10	11	10	9	11	9	9	8	9	11	7	11	12	8	10	9	12	12	11	11	12	13	13	10	12	13	15	12	12	14	13	15	15	15	16	14	14	16	16	14	16	17	15	16	15	17	17	17	18	18	18	16	17	19	19	19	19	20	17	19	19	19	19	18	20	20	20	20	21	21	20	22	21	22	21	20	22	22	22	21	23	22	24	24	25	27	25	24	27	30	26	29	30	31	34	35	0	1	2	1	0	1	5	9	1	6	4	0	9	8	5	2	4	12	6	6	28	34	17	13	6	0	7	16	28	3	6	21	21	17	14	20	40	11	26	29	40	40	25	31	32	0	41	34	30	38	45	14	39	57	63	0	40	19	38	30	53	30	25	28	40	60	53	60	60	66	51	43	61	79	69	66	70	64	65	53	68	58	66	0	60	71	72	74	75	91	79	91	67	81	68	84	69	71	90	69	69	84	102	85	92	84	60	84	108	106	107	109	109	108	113	113	1	1	1	1	1	3	1	1	2	1	1	1	1	1	2	2	1	2	1	1	1	2	2	2	5	1	2	2	1	4	1	1	1	1	3	1	1	4	1	1	1	2	2	1	1	1	2	2	1	1	1	4	2	1	1	1	1	3	2	1	1	3	1	3	2	2	1	2	2	1	2	1	1	1	1	1	1	3	1	2	1	1	1	1	3	2	2	1	1	1	2	1	2	1	2	2	2	2	1	2	2	3	1	3	3	3	4	3	2	2	1	1	1	5	2	3
4000	-634.076522710698555	-640.932010661657955	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.713158031748355	-2	1	3	2	1	4	5	4	5	6	4	4	6	5	6	7	7	8	7	8	10	10	7	9	11	10	8	9	9	12	10	11	12	10	10	10	11	12	11	12	12	14	13	11	12	13	16	12	12	13	14	16	14	14	16	13	15	17	15	15	15	18	13	16	15	16	16	17	19	17	18	16	18	19	19	21	18	19	18	19	20	20	18	20	21	20	20	17	20	21	20	22	21	21	21	21	21	22	22	22	21	23	25	25	24	26	25	24	27	29	29	29	31	31	34	35	0	1	2	2	0	3	5	2	3	11	4	0	6	8	7	14	11	12	6	17	8	17	4	19	31	0	7	16	20	29	19	21	21	23	16	20	20	23	26	29	22	37	44	31	32	0	30	34	29	38	45	35	39	41	63	0	37	25	38	38	53	42	31	35	40	60	53	60	60	66	51	25	53	57	66	69	70	64	65	67	60	72	70	0	69	51	72	42	66	65	79	79	80	81	81	84	77	86	90	81	81	96	84	101	92	96	85	96	108	106	107	109	112	109	113	112	1	1	1	1	1	1	2	1	1	2	1	1	2	1	1	1	2	2	1	1	2	2	3	1	1	1	2	1	1	2	2	1	2	1	2	1	1	3	1	2	1	2	1	1	1	1	1	1	2	1	1	3	2	1	2	1	2	2	2	1	1	2	1	3	2	1	1	1	2	1	2	3	2	2	1	1	1	2	2	2	2	2	1	1	1	2	2	2	2	2	1	2	1	1	1	1	1	1	1	1	1	1	3	2	1	2	2	1	2	2	1	1	2	2	2	3
4500	-644.527028877204771	-651.382516828164171	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.684631545942879	-1	2	4	1	3	3	6	4	4	5	4	4	6	7	7	6	5	8	8	9	10	9	9	9	10	9	10	10	10	12	11	11	11	7	8	8	11	12	11	13	12	13	13	12	12	12	15	11	13	13	14	14	15	15	16	14	15	14	15	13	16	18	14	16	16	16	17	16	19	17	18	16	17	19	19	18	19	19	19	19	18	20	18	20	21	19	20	19	21	20	20	20	21	21	20	21	20	22	20	21	24	23	24	24	24	26	25	26	27	30	27	29	31	31	31	36	0	4	1	1	0	2	5	2	4	11	4	0	6	16	5	8	6	12	13	9	14	34	34	19	19	0	15	16	20	37	25	21	21	17	16	9	20	23	26	37	36	30	31	31	21	0	40	22	37	38	32	28	39	42	63	0	37	19	50	23	53	57	44	52	57	60	53	60	68	66	51	63	53	65	76	66	70	64	42	67	68	58	70	0	60	51	58	65	75	65	79	79	73	50	68	84	70	71	65	95	69	84	84	85	92	103	104	102	108	106	107	109	109	109	109	112	1	1	2	1	1	1	2	2	1	1	1	1	2	1	2	1	1	2	1	1	1	1	1	1	1	1	2	2	1	1	1	1	1	2	1	2	1	1	1	2	2	1	2	1	1	1	1	1	1	1	1	2	2	1	1	1	2	2	1	2	1	2	1	1	1	1	1	2	2	1	1	1	1	2	1	1	1	2	3	1	1	3	1	1	3	2	3	2	1	2	1	1	1	3	2	1	2	2	2	1	2	2	2	2	2	2	1	2	1	2	1	1	3	2	2	4
