step	p_accept_mu1	p_accept_gamma	p_accept_pi	p_accept_Tinf	sigma_mu1	sigma_gamma	sigma_pi	n_like_zero
1		1.00000	1.00000	1.00000	1.00000	0.000100000000000	1.000000000000000	0.010000000000000	0
500		1.00000	1.00000	1.00000	0.37658	0.000100000000000	1.000000000000000	0.010000000000000	0
1000		-nan	-nan	0.94800	0.36462	0.000150000000000	1.000000000000000	0.015000000000000	0
1500		-nan	-nan	0.87600	0.35546	0.000150000000000	1.000000000000000	0.022500000000000	0
2000		-nan	-nan	0.87000	0.34833	0.000150000000000	1.000000000000000	0.033750000000000	0
2500		-nan	-nan	0.76800	0.34614	0.000150000000000	1.000000000000000	0.050625000000000	0
3000		-nan	-nan	0.66600	0.34533	0.000150000000000	1.000000000000000	0.075937500000000	0
3500		-nan	-nan	0.59400	0.34488	0.000150000000000	1.000000000000000	0.113906250000000	0
4000		-nan	-nan	0.40600	0.34320	0.000150000000000	1.000000000000000	0.170859375000000	0
4500		-nan	-nan	0.40700	0.34090	0.000150000000000	1.000000000000000	0.170859375000000	0
5000		-nan	-nan	0.40133	0.33957	0.000150000000000	1.000000000000000	0.170859375000000	0
5500		-nan	-nan	0.39800	0.33764	0.000150000000000	1.000000000000000	0.170859375000000	0
6000		-nan	-nan	0.39280	0.33685	0.000150000000000	1.000000000000000	0.170859375000000	0
6500		-nan	-nan	0.39800	0.33557	0.000150000000000	1.000000000000000	0.170859375000000	0
7000		-nan	-nan	0.39543	0.33482	0.000150000000000	1.000000000000000	0.170859375000000	0
7500		-nan	-nan	0.39375	0.33455	0.000150000000000	1.000000000000000	0.170859375000000	0
8000		-nan	-nan	0.39644	0.33414	0.000150000000000	1.000000000000000	0.170859375000000	0
8500		-nan	-nan	0.39700	0.33372	0.000150000000000	1.000000000000000	0.170859375000000	0
9000		-nan	-nan	0.39418	0.33397	0.000150000000000	1.000000000000000	0.170859375000000	0
9500		-nan	-nan	0.39517	0.33331	0.000150000000000	1.000000000000000	0.170859375000000	0
10000		-nan	-nan	0.39400	0.33339	0.000150000000000	1.000000000000000	0.170859375000000	0
