step	post	like	prior	mu1	mu2	gamma	pi	Tinf_1	Tinf_2	Tinf_3	Tinf_4	Tinf_5	Tinf_6	Tinf_7	Tinf_8	Tinf_9	Tinf_10	Tinf_11	Tinf_12	Tinf_13	Tinf_14	Tinf_15	Tinf_16	Tinf_17	Tinf_18	Tinf_19	Tinf_20	Tinf_21	Tinf_22	Tinf_23	Tinf_24	Tinf_25	Tinf_26	Tinf_27	Tinf_28	Tinf_29	Tinf_30	Tinf_31	Tinf_32	Tinf_33	Tinf_34	Tinf_35	Tinf_36	Tinf_37	Tinf_38	Tinf_39	Tinf_40	Tinf_41	Tinf_42	Tinf_43	Tinf_44	Tinf_45	Tinf_46	Tinf_47	Tinf_48	Tinf_49	Tinf_50	Tinf_51	Tinf_52	Tinf_53	Tinf_54	Tinf_55	Tinf_56	Tinf_57	Tinf_58	Tinf_59	Tinf_60	Tinf_61	Tinf_62	Tinf_63	Tinf_64	Tinf_65	Tinf_66	Tinf_67	Tinf_68	Tinf_69	Tinf_70	Tinf_71	Tinf_72	Tinf_73	Tinf_74	Tinf_75	Tinf_76	alpha_1	alpha_2	alpha_3	alpha_4	alpha_5	alpha_6	alpha_7	alpha_8	alpha_9	alpha_10	alpha_11	alpha_12	alpha_13	alpha_14	alpha_15	alpha_16	alpha_17	alpha_18	alpha_19	alpha_20	alpha_21	alpha_22	alpha_23	alpha_24	alpha_25	alpha_26	alpha_27	alpha_28	alpha_29	alpha_30	alpha_31	alpha_32	alpha_33	alpha_34	alpha_35	alpha_36	alpha_37	alpha_38	alpha_39	alpha_40	alpha_41	alpha_42	alpha_43	alpha_44	alpha_45	alpha_46	alpha_47	alpha_48	alpha_49	alpha_50	alpha_51	alpha_52	alpha_53	alpha_54	alpha_55	alpha_56	alpha_57	alpha_58	alpha_59	alpha_60	alpha_61	alpha_62	alpha_63	alpha_64	alpha_65	alpha_66	alpha_67	alpha_68	alpha_69	alpha_70	alpha_71	alpha_72	alpha_73	alpha_74	alpha_75	alpha_76	kappa_1	kappa_2	kappa_3	kappa_4	kappa_5	kappa_6	kappa_7	kappa_8	kappa_9	kappa_10	kappa_11	kappa_12	kappa_13	kappa_14	kappa_15	kappa_16	kappa_17	kappa_18	kappa_19	kappa_20	kappa_21	kappa_22	kappa_23	kappa_24	kappa_25	kappa_26	kappa_27	kappa_28	kappa_29	kappa_30	kappa_31	kappa_32	kappa_33	kappa_34	kappa_35	kappa_36	kappa_37	kappa_38	kappa_39	kappa_40	kappa_41	kappa_42	kappa_43	kappa_44	kappa_45	kappa_46	kappa_47	kappa_48	kappa_49	kappa_50	kappa_51	kappa_52	kappa_53	kappa_54	kappa_55	kappa_56	kappa_57	kappa_58	kappa_59	kappa_60	kappa_61	kappa_62	kappa_63	kappa_64	kappa_65	kappa_66	kappa_67	kappa_68	kappa_69	kappa_70	kappa_71	kappa_72	kappa_73	kappa_74	kappa_75	kappa_76
1	-1255.571765656348134	-1262.427253607307421	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.176370808108608	0	1	4	4	6	8	8	8	8	7	9	9	9	10	11	10	12	10	11	12	11	12	12	14	13	14	13	14	13	14	14	15	18	14	15	16	15	17	16	16	17	15	15	16	17	17	16	17	16	18	18	18	18	20	18	17	19	19	20	19	20	20	20	22	22	21	21	21	21	22	22	22	23	27	25	27	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	2	3	4	4	4	4	4	5	5	5	5	6	5	6	5	6	6	6	6	6	7	7	7	7	7	7	7	7	8	9	7	8	8	8	9	8	8	9	8	8	8	9	9	8	9	8	9	9	9	9	10	9	9	10	10	10	10	10	10	10	11	11	11	11	11	11	11	11	11	12	14	13	14
500	-579.041446190505440	-585.896934141464840	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.247164931431475	0	1	3	4	6	8	9	8	9	7	9	8	10	10	12	10	12	10	11	12	11	9	12	15	13	15	13	13	14	14	15	15	17	14	14	16	16	16	16	17	18	15	15	16	18	17	14	17	16	18	18	19	19	20	18	18	19	19	20	20	20	20	20	19	22	20	22	21	20	22	22	21	22	28	23	27	0	1	1	2	3	3	12	5	6	4	1	5	10	9	10	6	5	8	8	22	9	10	7	25	8	17	21	16	21	22	29	5	7	25	11	15	19	8	28	21	35	22	15	14	11	34	22	39	42	23	37	33	23	20	25	13	27	5	43	7	50	38	22	31	11	27	52	42	8	43	27	46	32	49	8	12	1	1	2	2	2	2	1	2	1	2	4	1	2	1	3	2	3	1	2	2	1	1	3	1	3	1	2	2	2	3	1	5	5	1	4	2	3	5	2	2	2	2	2	3	2	2	3	1	1	3	1	2	4	5	3	4	3	9	3	6	2	4	5	2	7	5	2	6	6	3	4	2	3	10	7	10
1000	-497.119095523384601	-503.974583474344001	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.459738421303303	1	2	4	4	7	7	8	9	8	8	6	10	10	9	10	10	11	11	11	11	9	12	13	14	14	13	13	13	14	14	14	15	17	14	16	17	15	17	16	16	17	14	16	16	17	17	16	16	16	17	19	18	18	20	18	18	20	19	21	18	20	20	20	22	20	20	22	21	22	23	23	23	24	27	25	28	0	1	1	2	4	4	4	7	11	11	3	8	10	6	10	11	12	12	8	15	6	15	16	7	19	8	21	11	21	15	21	12	37	26	27	47	25	19	28	14	29	22	30	6	21	34	42	6	10	32	17	32	39	36	46	42	27	8	43	26	37	60	56	31	39	21	52	49	61	56	64	50	7	63	60	33	1	1	1	1	3	1	2	1	1	1	1	1	1	1	1	2	1	1	2	1	1	1	2	3	2	2	2	4	2	2	3	3	1	1	2	1	1	2	1	4	1	2	1	3	5	2	1	4	6	1	5	2	1	2	1	2	3	4	1	2	3	1	2	4	2	6	2	2	1	2	1	4	7	3	3	6
1500	-469.326357688730241	-476.181845639689641	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.573431118736138	-1	2	4	5	5	9	8	8	9	7	9	9	10	10	12	11	13	10	12	12	11	13	11	13	14	15	13	14	14	14	14	16	19	14	15	17	16	17	16	17	16	15	15	16	18	17	15	17	15	18	16	16	19	19	17	18	16	20	20	18	20	20	20	22	22	19	20	22	21	22	20	23	22	27	23	24	0	1	1	2	3	3	5	5	3	3	7	5	10	11	10	14	8	12	12	23	14	23	3	5	17	7	6	24	11	15	21	25	51	19	27	47	24	26	28	29	6	30	15	6	31	34	30	39	30	46	17	26	28	49	26	30	31	26	49	37	33	19	56	66	39	31	52	54	51	56	45	51	33	56	73	50	1	1	2	1	1	3	2	2	2	2	1	2	1	1	3	1	2	1	2	1	1	1	3	5	1	3	2	1	3	1	1	2	2	1	1	1	2	1	2	1	4	1	1	4	2	2	1	1	1	1	2	1	2	2	1	2	2	2	2	1	1	3	2	2	3	2	2	1	2	3	1	3	1	4	1	3
2000	-424.784896877459914	-431.640384828419315	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.579441130718137	0	1	5	5	7	9	6	9	7	7	8	9	9	9	11	10	12	10	12	13	11	11	11	15	13	15	13	13	12	14	15	15	19	14	16	16	15	17	16	15	18	13	15	17	18	17	15	17	16	18	17	19	18	21	18	17	19	19	18	18	20	21	20	23	22	21	21	21	19	23	22	23	22	27	25	28	0	1	1	2	3	9	1	5	4	3	4	5	10	11	10	11	5	12	5	22	4	10	16	17	12	25	21	16	21	42	27	25	24	19	27	47	8	19	28	29	6	22	30	23	31	34	42	39	30	17	17	38	39	63	34	49	27	60	49	51	32	61	56	45	53	31	52	49	51	49	45	12	50	70	73	75	1	1	3	2	1	2	4	1	1	1	1	2	1	1	2	1	2	1	2	1	3	2	1	2	2	1	1	2	1	1	1	2	2	1	2	1	4	3	2	2	4	1	1	3	1	2	1	1	1	3	2	1	1	1	2	1	3	1	1	1	3	1	2	2	2	2	1	2	1	4	2	6	2	2	2	2
2500	-454.358830916270733	-461.214318867230133	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.585723025632753	0	1	4	4	6	8	9	8	9	7	9	9	9	8	10	10	12	11	12	13	11	12	12	13	13	14	13	14	13	14	15	16	18	14	15	17	16	17	16	16	16	15	16	17	17	17	16	17	16	17	18	18	18	19	18	17	18	17	20	19	19	20	20	20	22	22	22	22	21	22	23	22	23	26	25	28	0	1	1	2	4	3	5	5	6	3	4	5	10	4	10	6	5	8	8	15	11	15	6	19	8	17	21	11	21	15	27	25	25	19	27	30	17	17	28	29	29	15	15	14	31	34	20	28	42	7	26	26	39	42	34	42	40	26	36	17	19	34	56	45	53	27	26	42	50	56	45	33	58	70	62	75	1	1	2	2	1	1	2	1	1	1	3	2	1	3	1	2	3	2	2	2	1	1	2	1	1	1	1	3	1	2	1	2	2	1	1	2	2	2	1	2	2	2	2	4	2	1	1	1	1	3	3	3	1	3	3	1	1	2	1	4	4	3	2	2	2	4	4	4	2	3	3	2	3	2	3	2
3000	-448.447500621739209	-455.302988572698609	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.560268167545769	0	2	4	4	6	9	9	7	6	7	8	9	10	10	11	10	11	9	11	13	11	12	12	15	13	13	13	14	14	14	14	15	18	15	15	15	14	16	16	14	17	16	15	16	17	17	17	15	16	19	16	17	17	20	17	18	20	19	20	19	20	19	21	23	22	21	21	22	21	23	22	23	24	26	25	27	0	1	1	2	2	11	8	3	3	3	3	8	10	11	10	6	8	8	7	22	6	15	6	7	19	19	21	16	21	22	27	19	25	26	27	22	17	19	6	21	40	30	30	28	31	34	36	28	43	8	37	26	3	42	34	42	35	25	56	17	51	24	49	45	57	45	58	49	25	56	45	69	33	56	58	75	1	1	2	1	2	1	2	1	1	1	2	2	2	1	2	1	2	1	1	1	1	1	2	3	1	1	1	2	2	1	1	2	3	1	1	2	2	3	4	1	2	2	1	1	2	1	1	1	1	5	1	2	7	2	1	1	3	3	1	4	2	2	3	3	1	2	1	2	4	3	3	1	3	5	3	1
3500	-433.445415590474568	-440.300903541433968	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.610029866452988	0	2	3	4	6	8	9	7	8	8	6	10	10	9	11	10	12	11	11	12	11	10	12	14	13	15	13	12	12	14	15	16	19	14	16	16	15	16	16	15	16	16	15	15	17	18	16	17	17	17	18	18	19	21	18	18	18	19	19	17	21	20	20	21	22	21	20	21	22	22	23	22	22	27	25	27	0	1	1	2	2	11	8	2	11	11	3	7	10	6	22	6	12	8	7	15	14	10	6	17	19	25	14	6	21	15	27	25	32	25	31	15	25	17	28	29	29	22	30	23	31	34	30	28	43	26	25	38	11	43	34	36	27	32	49	26	33	51	56	27	39	53	52	59	58	56	64	37	26	63	46	75	1	1	1	1	2	1	1	3	1	2	1	1	1	1	1	1	2	2	1	1	1	1	2	1	1	1	1	2	1	1	1	2	1	1	1	2	1	2	2	2	2	3	1	2	1	2	1	2	1	1	3	1	5	2	2	1	3	2	1	1	1	2	2	4	2	1	1	2	1	2	1	3	5	3	2	1
4000	-437.433462393168497	-444.288950344127898	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.556685337543433	0	1	4	4	6	8	8	8	8	6	10	9	9	9	11	10	12	10	11	13	11	12	12	14	14	12	13	13	13	14	15	14	16	14	15	17	15	17	17	16	17	16	15	15	17	18	16	17	17	18	19	18	19	20	19	17	19	19	19	19	20	21	21	21	22	22	21	22	22	22	22	22	23	28	24	27	0	1	1	2	4	4	5	5	2	3	6	5	10	2	14	6	5	8	12	22	16	15	11	26	19	8	21	14	11	14	14	19	17	26	21	43	32	25	23	29	29	30	22	23	35	34	15	28	43	25	37	38	39	42	32	43	45	25	49	25	37	58	56	45	39	41	52	59	33	56	45	60	58	70	72	72	1	1	1	1	1	3	2	1	3	1	1	2	1	4	1	2	2	1	1	1	1	1	1	1	1	2	1	3	1	3	3	2	2	1	2	1	1	1	2	2	2	1	2	1	1	2	2	2	1	2	2	1	1	2	2	1	2	2	1	2	2	1	2	2	3	2	1	2	3	3	3	3	3	3	2	3
4500	-452.149601993443298	-459.005089944402698	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.581418020105353	0	2	5	4	7	7	9	8	9	6	8	10	8	10	10	10	12	10	10	13	12	13	13	14	13	14	14	15	13	14	15	14	18	12	16	15	16	18	14	16	17	16	15	17	18	16	17	17	16	18	17	18	18	19	19	17	18	20	20	19	20	19	20	22	19	21	21	21	21	22	22	22	22	27	23	27	0	1	1	2	2	3	8	5	6	1	6	8	10	11	10	11	7	8	5	15	16	15	6	17	19	19	21	39	21	22	27	12	12	12	27	20	24	46	23	29	29	30	30	23	31	32	36	39	43	25	32	17	6	42	46	49	31	23	56	19	37	19	56	45	39	45	52	54	60	56	57	58	37	68	73	58	1	1	2	1	3	1	1	1	1	2	1	1	1	1	2	2	2	1	1	2	1	1	3	1	2	2	1	1	1	1	1	3	4	1	1	1	1	2	1	1	2	2	1	2	1	1	1	2	1	3	2	2	6	2	2	1	2	4	2	4	2	4	2	2	2	2	1	1	1	2	3	1	3	2	1	3
