step	p_accept_mu1	p_accept_gamma	p_accept_pi	p_accept_Tinf	sigma_mu1	sigma_gamma	sigma_pi	n_like_zero
1		1.00000	1.00000	1.00000	1.00000	0.000100000000000	1.000000000000000	0.010000000000000	0
500		1.00000	1.00000	1.00000	0.37353	0.000100000000000	1.000000000000000	0.010000000000000	0
1000		-nan	-nan	0.91600	0.36346	0.000150000000000	1.000000000000000	0.015000000000000	0
1500		-nan	-nan	0.88200	0.35151	0.000150000000000	1.000000000000000	0.022500000000000	0
2000		-nan	-nan	0.81000	0.33970	0.000150000000000	1.000000000000000	0.033750000000000	0
2500		-nan	-nan	0.71400	0.33109	0.000150000000000	1.000000000000000	0.050625000000000	0
3000		-nan	-nan	0.57400	0.32304	0.000150000000000	1.000000000000000	0.075937500000000	0
3500		-nan	-nan	0.47200	0.31874	0.000150000000000	1.000000000000000	0.113906250000000	0
4000		-nan	-nan	0.44600	0.31709	0.000150000000000	1.000000000000000	0.113906250000000	0
4500		-nan	-nan	0.46333	0.31480	0.000150000000000	1.000000000000000	0.113906250000000	0
5000		-nan	-nan	0.46650	0.31209	0.000150000000000	1.000000000000000	0.113906250000000	0
5500		-nan	-nan	0.46640	0.31135	0.000150000000000	1.000000000000000	0.113906250000000	0
6000		-nan	-nan	0.46933	0.31026	0.000150000000000	1.000000000000000	0.113906250000000	0
6500		-nan	-nan	0.47029	0.30935	0.000150000000000	1.000000000000000	0.113906250000000	0
7000		-nan	-nan	0.46850	0.30819	0.000150000000000	1.000000000000000	0.113906250000000	0
7500		-nan	-nan	0.46822	0.30783	0.000150000000000	1.000000000000000	0.113906250000000	0
8000		-nan	-nan	0.46820	0.30708	0.000150000000000	1.000000000000000	0.113906250000000	0
8500		-nan	-nan	0.46545	0.30596	0.000150000000000	1.000000000000000	0.113906250000000	0
9000		-nan	-nan	0.46550	0.30521	0.000150000000000	1.000000000000000	0.113906250000000	0
9500		-nan	-nan	0.46738	0.30535	0.000150000000000	1.000000000000000	0.113906250000000	0
10000		-nan	-nan	0.46929	0.30576	0.000150000000000	1.000000000000000	0.113906250000000	0
10500		-nan	-nan	0.46907	0.30525	0.000150000000000	1.000000000000000	0.113906250000000	0
11000		-nan	-nan	0.46650	0.30431	0.000150000000000	1.000000000000000	0.113906250000000	0
11500		-nan	-nan	0.46353	0.30336	0.000150000000000	1.000000000000000	0.113906250000000	0
12000		-nan	-nan	0.46333	0.30319	0.000150000000000	1.000000000000000	0.113906250000000	0
12500		-nan	-nan	0.46211	0.30264	0.000150000000000	1.000000000000000	0.113906250000000	0
13000		-nan	-nan	0.46270	0.30233	0.000150000000000	1.000000000000000	0.113906250000000	0
13500		-nan	-nan	0.46286	0.30228	0.000150000000000	1.000000000000000	0.113906250000000	0
14000		-nan	-nan	0.46309	0.30235	0.000150000000000	1.000000000000000	0.113906250000000	0
14500		-nan	-nan	0.46339	0.30188	0.000150000000000	1.000000000000000	0.113906250000000	0
15000		-nan	-nan	0.46492	0.30138	0.000150000000000	1.000000000000000	0.113906250000000	0
15500		-nan	-nan	0.46696	0.30081	0.000150000000000	1.000000000000000	0.113906250000000	0
16000		-nan	-nan	0.46492	0.30029	0.000150000000000	1.000000000000000	0.113906250000000	0
16500		-nan	-nan	0.46496	0.30020	0.000150000000000	1.000000000000000	0.113906250000000	0
17000		-nan	-nan	0.46414	0.30015	0.000150000000000	1.000000000000000	0.113906250000000	0
17500		-nan	-nan	0.46400	0.30013	0.000150000000000	1.000000000000000	0.113906250000000	0
18000		-nan	-nan	0.46493	0.30021	0.000150000000000	1.000000000000000	0.113906250000000	0
18500		-nan	-nan	0.46484	0.29991	0.000150000000000	1.000000000000000	0.113906250000000	0
19000		-nan	-nan	0.46400	0.29994	0.000150000000000	1.000000000000000	0.113906250000000	0
19500		-nan	-nan	0.46261	0.29981	0.000150000000000	1.000000000000000	0.113906250000000	0
20000		-nan	-nan	0.46200	0.29972	0.000150000000000	1.000000000000000	0.113906250000000	0
20500		-nan	-nan	0.46234	0.29966	0.000150000000000	1.000000000000000	0.113906250000000	0
21000		-nan	-nan	0.46178	0.29965	0.000150000000000	1.000000000000000	0.113906250000000	0
21500		-nan	-nan	0.46168	0.29950	0.000150000000000	1.000000000000000	0.113906250000000	0
22000		-nan	-nan	0.46153	0.29923	0.000150000000000	1.000000000000000	0.113906250000000	0
22500		-nan	-nan	0.46169	0.29901	0.000150000000000	1.000000000000000	0.113906250000000	0
23000		-nan	-nan	0.46245	0.29895	0.000150000000000	1.000000000000000	0.113906250000000	0
23500		-nan	-nan	0.46195	0.29899	0.000150000000000	1.000000000000000	0.113906250000000	0
24000		-nan	-nan	0.46181	0.29892	0.000150000000000	1.000000000000000	0.113906250000000	0
24500		-nan	-nan	0.46140	0.29886	0.000150000000000	1.000000000000000	0.113906250000000	0
25000		-nan	-nan	0.46068	0.29894	0.000150000000000	1.000000000000000	0.113906250000000	0
25500		-nan	-nan	0.46098	0.29903	0.000150000000000	1.000000000000000	0.113906250000000	0
26000		-nan	-nan	0.46204	0.29904	0.000150000000000	1.000000000000000	0.113906250000000	0
26500		-nan	-nan	0.46230	0.29908	0.000150000000000	1.000000000000000	0.113906250000000	0
27000		-nan	-nan	0.46192	0.29901	0.000150000000000	1.000000000000000	0.113906250000000	0
27500		-nan	-nan	0.46200	0.29888	0.000150000000000	1.000000000000000	0.113906250000000	0
28000		-nan	-nan	0.46192	0.29880	0.000150000000000	1.000000000000000	0.113906250000000	0
28500		-nan	-nan	0.46208	0.29884	0.000150000000000	1.000000000000000	0.113906250000000	0
29000		-nan	-nan	0.46250	0.29882	0.000150000000000	1.000000000000000	0.113906250000000	0
29500		-nan	-nan	0.46268	0.29872	0.000150000000000	1.000000000000000	0.113906250000000	0
30000		-nan	-nan	0.46233	0.29854	0.000150000000000	1.000000000000000	0.113906250000000	0
30500		-nan	-nan	0.46233	0.29842	0.000150000000000	1.000000000000000	0.113906250000000	0
31000		-nan	-nan	0.46221	0.29831	0.000150000000000	1.000000000000000	0.113906250000000	0
31500		-nan	-nan	0.46228	0.29822	0.000150000000000	1.000000000000000	0.113906250000000	0
32000		-nan	-nan	0.46214	0.29816	0.000150000000000	1.000000000000000	0.113906250000000	0
32500		-nan	-nan	0.46224	0.29811	0.000150000000000	1.000000000000000	0.113906250000000	0
33000		-nan	-nan	0.46207	0.29807	0.000150000000000	1.000000000000000	0.113906250000000	0
33500		-nan	-nan	0.46190	0.29811	0.000150000000000	1.000000000000000	0.113906250000000	0
34000		-nan	-nan	0.46219	0.29825	0.000150000000000	1.000000000000000	0.113906250000000	0
34500		-nan	-nan	0.46248	0.29843	0.000150000000000	1.000000000000000	0.113906250000000	0
35000		-nan	-nan	0.46256	0.29840	0.000150000000000	1.000000000000000	0.113906250000000	0
35500		-nan	-nan	0.46249	0.29832	0.000150000000000	1.000000000000000	0.113906250000000	0
36000		-nan	-nan	0.46215	0.29824	0.000150000000000	1.000000000000000	0.113906250000000	0
36500		-nan	-nan	0.46134	0.29827	0.000150000000000	1.000000000000000	0.113906250000000	0
37000		-nan	-nan	0.46124	0.29815	0.000150000000000	1.000000000000000	0.113906250000000	0
37500		-nan	-nan	0.46186	0.29811	0.000150000000000	1.000000000000000	0.113906250000000	0
38000		-nan	-nan	0.46231	0.29806	0.000150000000000	1.000000000000000	0.113906250000000	0
