step	p_accept_mu1	p_accept_gamma	p_accept_pi	p_accept_Tinf	sigma_mu1	sigma_gamma	sigma_pi	n_like_zero
1		1.00000	1.00000	1.00000	1.00000	0.000100000000000	1.000000000000000	0.010000000000000	0
500		1.00000	1.00000	1.00000	0.39169	0.000100000000000	1.000000000000000	0.010000000000000	0
1000		-nan	-nan	0.93000	0.38570	0.000150000000000	1.000000000000000	0.015000000000000	0
1500		-nan	-nan	0.93000	0.37701	0.000150000000000	1.000000000000000	0.022500000000000	0
2000		-nan	-nan	0.88400	0.36941	0.000150000000000	1.000000000000000	0.033750000000000	0
2500		-nan	-nan	0.79400	0.36368	0.000150000000000	1.000000000000000	0.050625000000000	0
3000		-nan	-nan	0.70000	0.35817	0.000150000000000	1.000000000000000	0.075937500000000	0
3500		-nan	-nan	0.60600	0.35251	0.000150000000000	1.000000000000000	0.113906250000000	0
4000		-nan	-nan	0.46600	0.34788	0.000150000000000	1.000000000000000	0.170859375000000	0
4500		-nan	-nan	0.44800	0.34369	0.000150000000000	1.000000000000000	0.170859375000000	0
5000		-nan	-nan	0.43667	0.34095	0.000150000000000	1.000000000000000	0.170859375000000	0
5500		-nan	-nan	0.43550	0.33854	0.000150000000000	1.000000000000000	0.170859375000000	0
6000		-nan	-nan	0.42920	0.33634	0.000150000000000	1.000000000000000	0.170859375000000	0
6500		-nan	-nan	0.42433	0.33528	0.000150000000000	1.000000000000000	0.170859375000000	0
7000		-nan	-nan	0.42057	0.33373	0.000150000000000	1.000000000000000	0.170859375000000	0
7500		-nan	-nan	0.42275	0.33244	0.000150000000000	1.000000000000000	0.170859375000000	0
8000		-nan	-nan	0.42044	0.33144	0.000150000000000	1.000000000000000	0.170859375000000	0
8500		-nan	-nan	0.42160	0.33034	0.000150000000000	1.000000000000000	0.170859375000000	0
9000		-nan	-nan	0.42018	0.32947	0.000150000000000	1.000000000000000	0.170859375000000	0
9500		-nan	-nan	0.42150	0.32917	0.000150000000000	1.000000000000000	0.170859375000000	0
10000		-nan	-nan	0.41877	0.32804	0.000150000000000	1.000000000000000	0.170859375000000	0
10500		-nan	-nan	0.42029	0.32725	0.000150000000000	1.000000000000000	0.170859375000000	0
11000		-nan	-nan	0.42240	0.32667	0.000150000000000	1.000000000000000	0.170859375000000	0
11500		-nan	-nan	0.42125	0.32606	0.000150000000000	1.000000000000000	0.170859375000000	0
12000		-nan	-nan	0.42047	0.32554	0.000150000000000	1.000000000000000	0.170859375000000	0
12500		-nan	-nan	0.42033	0.32540	0.000150000000000	1.000000000000000	0.170859375000000	0
13000		-nan	-nan	0.42168	0.32509	0.000150000000000	1.000000000000000	0.170859375000000	0
13500		-nan	-nan	0.42210	0.32432	0.000150000000000	1.000000000000000	0.170859375000000	0
14000		-nan	-nan	0.42429	0.32426	0.000150000000000	1.000000000000000	0.170859375000000	0
14500		-nan	-nan	0.42527	0.32416	0.000150000000000	1.000000000000000	0.170859375000000	0
15000		-nan	-nan	0.42287	0.32368	0.000150000000000	1.000000000000000	0.170859375000000	0
15500		-nan	-nan	0.42392	0.32343	0.000150000000000	1.000000000000000	0.170859375000000	0
16000		-nan	-nan	0.42472	0.32327	0.000150000000000	1.000000000000000	0.170859375000000	0
16500		-nan	-nan	0.42546	0.32310	0.000150000000000	1.000000000000000	0.170859375000000	0
17000		-nan	-nan	0.42652	0.32265	0.000150000000000	1.000000000000000	0.170859375000000	0
17500		-nan	-nan	0.42593	0.32241	0.000150000000000	1.000000000000000	0.170859375000000	0
18000		-nan	-nan	0.42607	0.32231	0.000150000000000	1.000000000000000	0.170859375000000	0
18500		-nan	-nan	0.42653	0.32219	0.000150000000000	1.000000000000000	0.170859375000000	0
19000		-nan	-nan	0.42542	0.32198	0.000150000000000	1.000000000000000	0.170859375000000	0
19500		-nan	-nan	0.42444	0.32178	0.000150000000000	1.000000000000000	0.170859375000000	0
20000		-nan	-nan	0.42394	0.32149	0.000150000000000	1.000000000000000	0.170859375000000	0
20500		-nan	-nan	0.42312	0.32134	0.000150000000000	1.000000000000000	0.170859375000000	0
21000		-nan	-nan	0.42217	0.32135	0.000150000000000	1.000000000000000	0.170859375000000	0
21500		-nan	-nan	0.42172	0.32125	0.000150000000000	1.000000000000000	0.170859375000000	0
22000		-nan	-nan	0.42141	0.32102	0.000150000000000	1.000000000000000	0.170859375000000	0
22500		-nan	-nan	0.42084	0.32058	0.000150000000000	1.000000000000000	0.170859375000000	0
23000		-nan	-nan	0.42031	0.32030	0.000150000000000	1.000000000000000	0.170859375000000	0
23500		-nan	-nan	0.42135	0.32016	0.000150000000000	1.000000000000000	0.170859375000000	0
24000		-nan	-nan	0.42102	0.31996	0.000150000000000	1.000000000000000	0.170859375000000	0
24500		-nan	-nan	0.42005	0.31968	0.000150000000000	1.000000000000000	0.170859375000000	0
25000		-nan	-nan	0.42037	0.31961	0.000150000000000	1.000000000000000	0.170859375000000	0
25500		-nan	-nan	0.42073	0.31949	0.000150000000000	1.000000000000000	0.170859375000000	0
26000		-nan	-nan	0.42116	0.31938	0.000150000000000	1.000000000000000	0.170859375000000	0
26500		-nan	-nan	0.42157	0.31932	0.000150000000000	1.000000000000000	0.170859375000000	0
27000		-nan	-nan	0.42179	0.31921	0.000150000000000	1.000000000000000	0.170859375000000	0
27500		-nan	-nan	0.42167	0.31942	0.000150000000000	1.000000000000000	0.170859375000000	0
28000		-nan	-nan	0.42192	0.31936	0.000150000000000	1.000000000000000	0.170859375000000	0
28500		-nan	-nan	0.42180	0.31923	0.000150000000000	1.000000000000000	0.170859375000000	0
29000		-nan	-nan	0.42129	0.31908	0.000150000000000	1.000000000000000	0.170859375000000	0
29500		-nan	-nan	0.42131	0.31914	0.000150000000000	1.000000000000000	0.170859375000000	0
30000		-nan	-nan	0.42102	0.31870	0.000150000000000	1.000000000000000	0.170859375000000	0
30500		-nan	-nan	0.42037	0.31867	0.000150000000000	1.000000000000000	0.170859375000000	0
31000		-nan	-nan	0.42065	0.31843	0.000150000000000	1.000000000000000	0.170859375000000	0
31500		-nan	-nan	0.42039	0.31835	0.000150000000000	1.000000000000000	0.170859375000000	0
32000		-nan	-nan	0.41986	0.31833	0.000150000000000	1.000000000000000	0.170859375000000	0
32500		-nan	-nan	0.41983	0.31824	0.000150000000000	1.000000000000000	0.170859375000000	0
