step	post	like	prior	mu1	mu2	gamma	pi	Tinf_1	Tinf_2	Tinf_3	Tinf_4	Tinf_5	Tinf_6	Tinf_7	Tinf_8	Tinf_9	Tinf_10	Tinf_11	Tinf_12	Tinf_13	Tinf_14	Tinf_15	Tinf_16	Tinf_17	Tinf_18	Tinf_19	Tinf_20	Tinf_21	Tinf_22	Tinf_23	Tinf_24	Tinf_25	Tinf_26	Tinf_27	Tinf_28	Tinf_29	Tinf_30	Tinf_31	Tinf_32	Tinf_33	Tinf_34	Tinf_35	Tinf_36	Tinf_37	Tinf_38	Tinf_39	Tinf_40	Tinf_41	Tinf_42	Tinf_43	Tinf_44	Tinf_45	Tinf_46	Tinf_47	Tinf_48	Tinf_49	Tinf_50	Tinf_51	Tinf_52	Tinf_53	Tinf_54	Tinf_55	Tinf_56	Tinf_57	Tinf_58	Tinf_59	Tinf_60	Tinf_61	Tinf_62	Tinf_63	Tinf_64	Tinf_65	Tinf_66	Tinf_67	Tinf_68	Tinf_69	Tinf_70	Tinf_71	Tinf_72	Tinf_73	Tinf_74	Tinf_75	Tinf_76	Tinf_77	Tinf_78	Tinf_79	Tinf_80	Tinf_81	Tinf_82	Tinf_83	Tinf_84	Tinf_85	Tinf_86	Tinf_87	Tinf_88	Tinf_89	Tinf_90	Tinf_91	Tinf_92	Tinf_93	Tinf_94	Tinf_95	Tinf_96	Tinf_97	Tinf_98	Tinf_99	Tinf_100	Tinf_101	Tinf_102	Tinf_103	Tinf_104	Tinf_105	alpha_1	alpha_2	alpha_3	alpha_4	alpha_5	alpha_6	alpha_7	alpha_8	alpha_9	alpha_10	alpha_11	alpha_12	alpha_13	alpha_14	alpha_15	alpha_16	alpha_17	alpha_18	alpha_19	alpha_20	alpha_21	alpha_22	alpha_23	alpha_24	alpha_25	alpha_26	alpha_27	alpha_28	alpha_29	alpha_30	alpha_31	alpha_32	alpha_33	alpha_34	alpha_35	alpha_36	alpha_37	alpha_38	alpha_39	alpha_40	alpha_41	alpha_42	alpha_43	alpha_44	alpha_45	alpha_46	alpha_47	alpha_48	alpha_49	alpha_50	alpha_51	alpha_52	alpha_53	alpha_54	alpha_55	alpha_56	alpha_57	alpha_58	alpha_59	alpha_60	alpha_61	alpha_62	alpha_63	alpha_64	alpha_65	alpha_66	alpha_67	alpha_68	alpha_69	alpha_70	alpha_71	alpha_72	alpha_73	alpha_74	alpha_75	alpha_76	alpha_77	alpha_78	alpha_79	alpha_80	alpha_81	alpha_82	alpha_83	alpha_84	alpha_85	alpha_86	alpha_87	alpha_88	alpha_89	alpha_90	alpha_91	alpha_92	alpha_93	alpha_94	alpha_95	alpha_96	alpha_97	alpha_98	alpha_99	alpha_100	alpha_101	alpha_102	alpha_103	alpha_104	alpha_105	kappa_1	kappa_2	kappa_3	kappa_4	kappa_5	kappa_6	kappa_7	kappa_8	kappa_9	kappa_10	kappa_11	kappa_12	kappa_13	kappa_14	kappa_15	kappa_16	kappa_17	kappa_18	kappa_19	kappa_20	kappa_21	kappa_22	kappa_23	kappa_24	kappa_25	kappa_26	kappa_27	kappa_28	kappa_29	kappa_30	kappa_31	kappa_32	kappa_33	kappa_34	kappa_35	kappa_36	kappa_37	kappa_38	kappa_39	kappa_40	kappa_41	kappa_42	kappa_43	kappa_44	kappa_45	kappa_46	kappa_47	kappa_48	kappa_49	kappa_50	kappa_51	kappa_52	kappa_53	kappa_54	kappa_55	kappa_56	kappa_57	kappa_58	kappa_59	kappa_60	kappa_61	kappa_62	kappa_63	kappa_64	kappa_65	kappa_66	kappa_67	kappa_68	kappa_69	kappa_70	kappa_71	kappa_72	kappa_73	kappa_74	kappa_75	kappa_76	kappa_77	kappa_78	kappa_79	kappa_80	kappa_81	kappa_82	kappa_83	kappa_84	kappa_85	kappa_86	kappa_87	kappa_88	kappa_89	kappa_90	kappa_91	kappa_92	kappa_93	kappa_94	kappa_95	kappa_96	kappa_97	kappa_98	kappa_99	kappa_100	kappa_101	kappa_102	kappa_103	kappa_104	kappa_105
1	-2535.965885864138272	-2542.821373815097559	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.842236013649100	-1	2	1	1	3	2	3	6	3	5	6	6	6	6	5	6	6	8	7	7	8	8	8	10	8	7	8	8	8	9	9	8	10	9	10	10	10	11	10	9	10	10	10	10	9	12	10	11	11	12	12	11	11	10	11	11	12	11	12	12	13	12	13	14	12	13	13	14	13	14	14	14	13	14	17	15	15	15	15	15	14	15	17	16	17	17	16	17	17	16	17	17	17	17	17	17	19	17	20	20	18	19	20	22	23	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	2	2	2	4	2	3	4	4	4	4	3	4	4	5	4	4	5	5	5	6	5	4	5	5	5	5	5	5	6	5	6	6	6	6	6	5	6	6	6	6	5	7	6	6	6	7	7	6	6	6	6	6	7	6	7	7	7	7	7	8	7	7	7	8	7	8	8	8	7	8	9	8	8	8	8	8	8	8	9	9	9	9	9	9	9	9	9	9	9	9	9	9	10	9	11	11	10	10	11	12	12
500	-713.212588406741361	-720.068076357700761	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.408973252979703	-1	0	1	1	3	2	2	6	4	6	6	6	6	7	5	5	6	7	7	8	8	9	8	9	8	7	7	8	8	8	9	9	11	8	9	11	9	12	10	9	9	10	10	11	7	11	10	11	11	11	13	12	12	10	10	11	11	12	13	12	14	11	14	14	13	14	13	15	14	14	14	15	13	13	17	16	15	15	15	16	14	16	17	16	17	16	16	17	14	14	17	17	18	18	17	17	20	17	20	21	18	19	20	22	24	0	1	1	2	2	3	4	6	6	2	5	4	9	9	7	7	5	12	10	9	6	8	10	15	16	7	16	10	17	10	10	6	29	17	19	19	9	8	14	27	28	28	29	10	4	25	15	27	27	21	30	31	31	21	45	12	16	17	7	31	26	10	52	31	54	54	26	31	55	35	31	16	31	54	47	16	31	61	50	62	23	32	13	71	43	70	54	27	50	20	54	71	76	52	30	81	81	62	78	65	87	91	80	25	64	1	1	1	1	2	1	1	2	1	5	2	2	2	2	2	2	2	1	1	3	4	2	1	2	2	3	1	1	1	1	2	3	2	1	1	2	2	3	2	1	1	1	2	3	3	1	3	2	2	2	3	2	2	1	2	3	3	3	6	1	4	2	1	4	2	3	2	4	2	3	2	6	1	2	3	7	4	1	2	3	3	3	6	1	3	2	5	4	1	5	2	2	1	4	5	1	3	5	1	5	1	1	2	10	5
1000	-601.830042966425935	-608.685530917385336	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.570329928059396	0	3	2	1	3	1	3	5	4	5	5	5	7	7	6	5	6	7	7	7	8	8	8	10	8	5	8	7	9	10	9	7	10	9	10	10	11	10	9	9	10	9	11	11	8	12	10	12	11	12	12	11	11	10	11	12	10	11	11	11	14	13	13	14	12	13	13	14	13	14	14	14	14	13	18	15	14	16	15	16	14	14	17	16	17	17	17	17	18	16	17	16	17	17	16	17	19	18	21	20	19	20	19	22	24	0	4	1	1	4	1	4	6	6	2	5	5	6	2	7	7	2	10	12	9	6	20	1	25	16	7	16	17	17	21	18	9	17	17	19	19	32	21	9	26	28	17	33	33	17	27	27	25	27	12	30	31	31	21	42	35	40	29	25	31	26	50	31	53	39	54	27	31	55	56	60	46	63	54	88	26	60	61	62	50	54	66	66	71	44	70	81	67	79	54	74	77	78	52	50	74	87	79	61	90	66	66	80	94	71	1	1	1	1	1	1	1	2	2	2	1	1	3	2	2	1	1	1	1	2	4	1	3	1	2	1	2	1	2	1	1	2	1	2	2	2	2	1	2	2	1	1	1	1	1	4	1	2	2	4	2	1	1	2	1	1	1	1	1	1	5	1	2	2	2	1	2	3	1	1	2	2	1	2	1	5	2	1	1	3	2	1	2	1	3	1	1	2	2	3	2	1	1	3	2	2	1	2	4	2	3	2	1	3	6
1500	-597.132369553937110	-603.987857504896510	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.596278005809655	-1	2	1	1	3	3	4	6	4	6	6	4	6	7	5	6	7	9	7	7	6	7	8	10	8	7	8	8	7	10	9	8	10	9	11	10	10	10	10	9	10	9	11	10	9	12	8	10	11	12	12	11	11	10	11	11	12	12	11	12	14	13	13	15	11	13	13	14	13	14	14	14	14	14	17	15	15	15	15	14	15	15	16	17	17	17	16	17	17	16	17	17	17	17	18	16	19	17	21	20	18	18	20	23	23	0	4	1	1	4	2	4	6	6	4	5	4	6	8	7	7	5	12	12	6	9	6	14	15	16	16	16	17	12	10	12	13	17	29	19	19	23	8	9	26	29	28	33	17	17	27	16	26	25	30	30	31	31	32	42	36	40	17	16	52	48	30	52	52	54	54	59	52	45	56	60	27	60	54	67	49	60	72	30	62	65	74	54	71	58	70	39	59	30	66	74	31	61	53	89	81	83	79	78	87	82	82	98	64	94	1	1	1	1	1	1	2	2	1	3	2	2	2	1	1	1	2	2	2	3	1	2	1	2	1	1	1	1	2	2	2	1	1	1	2	1	2	1	3	2	2	1	1	2	1	2	2	2	2	1	1	2	1	1	1	1	2	3	2	1	2	1	1	3	1	2	1	2	2	3	1	3	2	2	2	2	2	1	2	1	2	1	3	2	2	2	2	3	3	2	2	3	2	3	1	1	2	2	3	2	2	1	1	3	4
2000	-605.745672484975444	-612.601160435934844	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.592108930583457	0	2	1	1	4	3	3	7	2	5	7	6	7	7	5	5	6	8	7	7	9	7	9	10	6	7	8	8	8	8	8	8	10	9	9	10	11	12	10	9	10	11	9	10	10	12	11	10	11	13	12	12	11	10	12	12	13	12	11	12	13	11	14	15	12	14	14	14	13	13	14	15	14	14	17	15	16	16	15	16	14	16	17	16	17	17	15	18	17	15	17	18	16	17	18	17	20	18	20	21	17	19	21	22	23	0	4	1	1	2	9	2	6	3	5	5	10	9	9	7	7	5	12	2	9	9	6	22	15	7	25	25	17	17	12	12	8	17	17	19	35	21	9	22	26	17	33	17	43	17	27	27	26	27	62	30	31	31	21	42	36	40	29	15	31	48	30	52	52	54	65	47	31	55	36	60	61	31	65	49	49	52	61	51	79	54	65	39	71	58	70	54	67	50	32	37	73	72	84	80	90	83	79	78	87	82	66	79	77	94	1	1	1	1	1	1	1	2	1	1	2	1	3	2	1	2	1	1	2	2	2	3	1	2	2	1	1	1	1	1	1	1	2	1	2	1	1	4	1	1	3	1	2	1	2	2	1	2	2	1	2	2	2	1	1	1	2	2	2	2	2	1	1	1	1	1	1	4	1	2	2	1	3	2	3	2	2	2	2	1	2	1	3	2	2	3	2	2	2	5	3	2	1	1	2	1	2	2	2	3	1	4	3	3	3
2500	-566.206102307174319	-573.061590258133720	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.618258104022863	-1	2	0	1	4	1	3	6	3	5	6	5	6	7	5	5	6	8	7	6	7	9	8	10	8	7	9	8	8	9	10	9	11	9	10	10	10	10	9	8	11	9	10	10	10	11	11	10	11	12	11	12	12	10	12	11	13	11	13	13	13	13	12	14	12	13	13	14	14	14	15	14	14	14	16	15	15	15	15	16	14	16	18	16	15	18	16	18	17	16	18	18	18	17	17	17	19	17	19	20	19	19	21	20	23	0	4	1	1	2	1	4	9	6	4	5	2	9	8	7	7	5	12	12	6	9	21	14	25	16	16	26	11	17	2	18	14	11	17	19	19	9	13	23	7	28	17	17	17	29	25	27	26	25	30	11	31	31	20	42	19	40	17	49	52	48	30	31	31	38	65	49	63	55	56	64	61	52	65	49	25	60	72	62	62	54	74	82	71	44	70	81	67	62	66	81	84	72	60	50	54	87	62	78	97	81	66	95	60	77	1	1	1	1	1	1	1	2	1	1	1	1	2	1	1	2	1	2	1	2	2	1	1	1	1	2	1	1	1	4	1	1	3	2	2	2	3	3	1	3	2	1	2	2	1	2	1	2	2	2	3	2	2	2	1	2	2	2	1	1	2	1	1	2	1	1	1	1	1	1	1	1	1	1	2	3	1	1	2	2	2	1	2	1	2	2	1	2	2	2	2	1	2	2	3	3	2	3	2	1	2	3	2	3	4
3000	-566.012279144569902	-572.867767095529302	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.635671771018884	-2	2	1	1	3	2	3	6	4	5	5	5	6	6	5	7	7	8	8	8	8	8	9	10	8	6	9	8	9	9	10	7	9	10	10	10	11	11	11	9	10	11	11	11	9	13	10	11	12	12	13	10	12	10	10	11	12	12	10	13	14	13	12	13	13	14	14	14	14	14	14	13	14	14	18	14	15	16	13	14	15	16	17	17	16	17	17	17	17	17	17	18	17	17	17	17	19	17	20	20	18	18	20	20	23	0	4	1	1	4	3	4	9	6	2	5	2	9	9	7	7	4	2	12	9	32	13	14	15	26	7	12	17	17	12	18	12	17	33	19	19	21	21	20	26	28	45	29	45	17	25	27	25	25	18	30	18	52	13	45	36	40	44	26	31	72	30	18	52	54	54	49	63	55	35	63	48	53	54	67	25	53	72	50	50	65	65	81	71	44	70	65	46	79	65	65	84	72	60	80	66	81	79	78	97	74	82	95	77	104	1	1	2	1	1	1	1	1	1	2	1	2	2	1	1	2	3	2	1	2	1	1	1	3	1	2	2	1	1	2	2	1	2	1	2	1	2	2	2	2	1	1	1	1	2	2	1	2	2	2	2	1	1	2	1	1	2	1	2	1	1	2	2	1	2	2	1	1	2	2	1	1	1	2	2	3	2	2	1	1	2	1	1	2	2	1	2	2	2	2	2	1	2	2	2	2	2	2	2	1	2	1	1	2	2
3500	-585.938415745512771	-592.793903696472171	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.652756491418012	-2	2	1	1	4	2	3	6	3	4	6	6	7	6	5	5	5	8	7	7	8	8	7	11	9	8	8	8	7	8	9	7	11	8	11	11	11	11	11	10	10	10	10	11	10	13	10	12	10	12	11	11	11	10	12	12	13	12	12	12	13	12	13	12	12	14	13	15	14	14	15	12	13	13	17	15	16	16	15	15	13	15	18	16	15	17	17	17	16	16	18	18	17	16	16	17	19	18	21	20	18	18	21	22	24	0	4	1	1	2	1	3	6	3	3	5	2	14	6	7	7	5	12	2	9	14	9	3	25	27	16	16	11	17	12	18	14	45	17	19	19	13	9	13	26	28	28	29	41	29	25	16	25	26	51	30	31	31	32	42	35	40	44	49	31	72	51	52	52	32	74	49	31	55	56	64	27	52	65	59	59	52	72	50	62	65	65	66	71	44	70	90	67	62	74	66	77	61	60	80	66	87	79	78	83	74	74	98	94	94	1	1	1	2	1	2	1	2	1	2	2	1	1	2	1	2	1	1	2	2	1	2	3	1	1	1	1	1	1	1	1	1	1	1	2	2	2	3	2	1	1	1	2	1	2	2	2	2	1	1	2	1	2	2	2	1	2	1	1	1	1	1	1	1	2	1	3	4	2	1	1	2	1	1	2	2	3	1	1	1	1	2	2	1	2	2	1	2	2	2	3	1	2	2	1	2	2	2	2	1	2	3	1	3	3
4000	-591.215665145316848	-598.071153096276248	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.567226288529568	-2	3	0	0	3	2	4	6	4	5	7	6	6	7	5	6	5	8	7	5	8	9	8	11	9	8	8	7	7	10	9	8	10	9	10	10	10	11	11	10	10	10	9	10	8	12	11	11	10	11	10	12	11	10	12	11	13	12	12	13	13	12	14	13	13	13	13	14	13	14	15	14	12	14	15	16	16	15	14	15	13	15	17	16	17	17	16	17	18	15	17	18	17	17	17	18	18	18	20	21	18	19	20	21	23	0	4	1	1	4	3	4	20	1	2	7	4	6	6	7	7	5	10	10	9	8	20	13	15	15	16	16	17	17	12	11	13	5	17	19	19	21	13	21	25	28	28	45	17	17	7	27	26	27	51	12	31	31	32	42	19	40	43	25	53	48	30	73	31	9	54	24	52	55	35	64	61	53	54	59	59	52	61	62	51	54	54	37	64	58	19	74	27	79	54	81	84	72	77	80	82	87	79	78	87	66	91	95	94	94	1	1	1	1	2	2	2	1	2	2	2	2	2	3	1	1	1	2	1	1	1	2	1	4	2	1	1	1	2	2	1	1	2	2	2	2	1	3	1	1	2	2	1	2	1	3	1	2	1	1	2	2	2	1	1	2	1	1	1	2	1	1	1	2	4	2	2	1	1	2	2	1	1	2	2	2	2	1	1	2	2	2	3	1	3	4	1	4	2	3	2	1	1	1	1	1	2	2	2	1	2	1	2	2	4
4500	-587.741308310374393	-594.596796261333793	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.660934474872336	-1	3	0	1	2	2	3	6	3	5	6	6	5	6	6	6	6	8	8	7	7	8	9	10	8	8	9	8	9	9	10	9	9	10	10	11	10	11	9	10	9	10	10	10	7	11	11	11	12	11	12	11	11	10	11	11	12	12	12	13	13	12	13	14	12	13	12	13	13	14	14	15	13	15	17	15	16	15	14	15	15	13	18	17	17	16	17	14	18	16	17	18	16	17	16	16	19	17	21	21	18	19	19	22	23	0	4	1	3	4	3	4	9	6	4	2	10	9	9	7	7	5	12	2	14	13	21	9	15	7	16	25	45	45	25	12	21	45	45	12	41	20	37	21	25	2	41	45	33	17	16	27	25	27	30	12	12	18	32	42	19	40	33	16	52	25	50	53	73	54	54	47	52	55	35	52	61	31	65	76	67	60	61	62	62	54	65	74	71	58	56	81	67	79	66	54	94	61	63	80	65	87	62	78	97	81	90	95	60	64	1	1	1	1	1	1	1	2	1	2	1	1	1	2	1	2	2	1	2	1	2	1	3	2	3	1	1	1	1	1	3	1	2	2	2	1	2	1	1	1	4	1	2	1	1	2	1	1	2	1	3	3	1	1	1	2	1	2	3	1	3	1	1	1	1	2	1	1	1	2	1	1	2	1	2	2	2	1	1	1	2	1	2	1	2	3	1	2	2	2	2	1	1	2	1	3	1	3	2	2	2	2	1	3	4
