step	p_accept_mu1	p_accept_gamma	p_accept_pi	p_accept_Tinf	sigma_mu1	sigma_gamma	sigma_pi	n_like_zero
1		1.00000	1.00000	1.00000	1.00000	0.000100000000000	1.000000000000000	0.010000000000000	0
500		1.00000	1.00000	1.00000	0.35089	0.000100000000000	1.000000000000000	0.010000000000000	0
1000		-nan	-nan	0.93400	0.33624	0.000150000000000	1.000000000000000	0.015000000000000	0
1500		-nan	-nan	0.89800	0.32445	0.000150000000000	1.000000000000000	0.022500000000000	0
2000		-nan	-nan	0.83600	0.31652	0.000150000000000	1.000000000000000	0.033750000000000	0
2500		-nan	-nan	0.75600	0.30891	0.000150000000000	1.000000000000000	0.050625000000000	0
3000		-nan	-nan	0.61400	0.30490	0.000150000000000	1.000000000000000	0.075937500000000	0
3500		-nan	-nan	0.53200	0.30181	0.000150000000000	1.000000000000000	0.113906250000000	0
4000		-nan	-nan	0.41600	0.29977	0.000150000000000	1.000000000000000	0.170859375000000	0
4500		-nan	-nan	0.39100	0.29700	0.000150000000000	1.000000000000000	0.170859375000000	0
5000		-nan	-nan	0.41067	0.29610	0.000150000000000	1.000000000000000	0.170859375000000	0
5500		-nan	-nan	0.40750	0.29646	0.000150000000000	1.000000000000000	0.170859375000000	0
6000		-nan	-nan	0.40520	0.29624	0.000150000000000	1.000000000000000	0.170859375000000	0
6500		-nan	-nan	0.40267	0.29441	0.000150000000000	1.000000000000000	0.170859375000000	0
7000		-nan	-nan	0.39971	0.29259	0.000150000000000	1.000000000000000	0.170859375000000	0
7500		-nan	-nan	0.39850	0.29196	0.000150000000000	1.000000000000000	0.170859375000000	0
8000		-nan	-nan	0.40289	0.29176	0.000150000000000	1.000000000000000	0.170859375000000	0
8500		-nan	-nan	0.40080	0.29144	0.000150000000000	1.000000000000000	0.170859375000000	0
9000		-nan	-nan	0.40273	0.29107	0.000150000000000	1.000000000000000	0.170859375000000	0
9500		-nan	-nan	0.40300	0.29069	0.000150000000000	1.000000000000000	0.170859375000000	0
10000		-nan	-nan	0.40246	0.29033	0.000150000000000	1.000000000000000	0.170859375000000	0
10500		-nan	-nan	0.40043	0.28980	0.000150000000000	1.000000000000000	0.170859375000000	0
