step	p_accept_mu1	p_accept_gamma	p_accept_pi	p_accept_Tinf	sigma_mu1	sigma_gamma	sigma_pi	n_like_zero
1		1.00000	1.00000	1.00000	1.00000	0.000100000000000	1.000000000000000	0.010000000000000	0
500		1.00000	1.00000	1.00000	0.37192	0.000100000000000	1.000000000000000	0.010000000000000	0
1000		-nan	-nan	0.88600	0.36259	0.000150000000000	1.000000000000000	0.015000000000000	0
1500		-nan	-nan	0.90600	0.35075	0.000150000000000	1.000000000000000	0.022500000000000	0
2000		-nan	-nan	0.82400	0.34216	0.000150000000000	1.000000000000000	0.033750000000000	0
2500		-nan	-nan	0.71600	0.33749	0.000150000000000	1.000000000000000	0.050625000000000	0
3000		-nan	-nan	0.60400	0.33354	0.000150000000000	1.000000000000000	0.075937500000000	0
3500		-nan	-nan	0.47200	0.33094	0.000150000000000	1.000000000000000	0.113906250000000	0
4000		-nan	-nan	0.48500	0.32761	0.000150000000000	1.000000000000000	0.113906250000000	0
4500		-nan	-nan	0.48800	0.32516	0.000150000000000	1.000000000000000	0.113906250000000	0
5000		-nan	-nan	0.48550	0.32309	0.000150000000000	1.000000000000000	0.113906250000000	0
5500		-nan	-nan	0.49080	0.32101	0.000150000000000	1.000000000000000	0.113906250000000	0
6000		-nan	-nan	0.49233	0.31971	0.000150000000000	1.000000000000000	0.113906250000000	0
6500		-nan	-nan	0.48914	0.31854	0.000150000000000	1.000000000000000	0.113906250000000	0
7000		-nan	-nan	0.48925	0.31751	0.000150000000000	1.000000000000000	0.113906250000000	0
7500		-nan	-nan	0.48911	0.31660	0.000150000000000	1.000000000000000	0.113906250000000	0
8000		-nan	-nan	0.48940	0.31619	0.000150000000000	1.000000000000000	0.113906250000000	0
8500		-nan	-nan	0.48727	0.31568	0.000150000000000	1.000000000000000	0.113906250000000	0
9000		-nan	-nan	0.48483	0.31532	0.000150000000000	1.000000000000000	0.113906250000000	0
9500		-nan	-nan	0.48615	0.31489	0.000150000000000	1.000000000000000	0.113906250000000	0
10000		-nan	-nan	0.48286	0.31398	0.000150000000000	1.000000000000000	0.113906250000000	0
10500		-nan	-nan	0.48013	0.31336	0.000150000000000	1.000000000000000	0.113906250000000	0
11000		-nan	-nan	0.47975	0.31278	0.000150000000000	1.000000000000000	0.113906250000000	0
11500		-nan	-nan	0.48000	0.31234	0.000150000000000	1.000000000000000	0.113906250000000	0
12000		-nan	-nan	0.47822	0.31179	0.000150000000000	1.000000000000000	0.113906250000000	0
12500		-nan	-nan	0.47895	0.31165	0.000150000000000	1.000000000000000	0.113906250000000	0
13000		-nan	-nan	0.48000	0.31130	0.000150000000000	1.000000000000000	0.113906250000000	0
13500		-nan	-nan	0.47990	0.31154	0.000150000000000	1.000000000000000	0.113906250000000	0
14000		-nan	-nan	0.48082	0.31119	0.000150000000000	1.000000000000000	0.113906250000000	0
14500		-nan	-nan	0.48157	0.31127	0.000150000000000	1.000000000000000	0.113906250000000	0
15000		-nan	-nan	0.48267	0.31116	0.000150000000000	1.000000000000000	0.113906250000000	0
15500		-nan	-nan	0.48208	0.31126	0.000150000000000	1.000000000000000	0.113906250000000	0
16000		-nan	-nan	0.48477	0.31130	0.000150000000000	1.000000000000000	0.113906250000000	0
16500		-nan	-nan	0.48489	0.31126	0.000150000000000	1.000000000000000	0.113906250000000	0
