step	post	like	prior	mu1	mu2	gamma	pi	Tinf_1	Tinf_2	Tinf_3	Tinf_4	Tinf_5	Tinf_6	Tinf_7	Tinf_8	Tinf_9	Tinf_10	Tinf_11	Tinf_12	Tinf_13	Tinf_14	Tinf_15	Tinf_16	Tinf_17	Tinf_18	Tinf_19	Tinf_20	Tinf_21	Tinf_22	Tinf_23	Tinf_24	Tinf_25	Tinf_26	Tinf_27	Tinf_28	alpha_1	alpha_2	alpha_3	alpha_4	alpha_5	alpha_6	alpha_7	alpha_8	alpha_9	alpha_10	alpha_11	alpha_12	alpha_13	alpha_14	alpha_15	alpha_16	alpha_17	alpha_18	alpha_19	alpha_20	alpha_21	alpha_22	alpha_23	alpha_24	alpha_25	alpha_26	alpha_27	alpha_28	kappa_1	kappa_2	kappa_3	kappa_4	kappa_5	kappa_6	kappa_7	kappa_8	kappa_9	kappa_10	kappa_11	kappa_12	kappa_13	kappa_14	kappa_15	kappa_16	kappa_17	kappa_18	kappa_19	kappa_20	kappa_21	kappa_22	kappa_23	kappa_24	kappa_25	kappa_26	kappa_27	kappa_28
1	-1420.730793866678141	-1426.669991085763286	5.939197219085218	0.000200000000000	0.000050000000000	0.250000000000000	0.014193653075612	0	0	1	2	4	3	5	6	5	7	6	6	7	6	6	9	9	11	8	8	9	10	12	11	12	12	14	14	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	2	3	3	3	4	3	3	4	3	3	5	5	6	4	4	5	5	6	6	6	6	7	7
500	-241.149462723793704	-247.088659942878934	5.939197219085218	0.000200000000000	0.000050000000000	0.250000000000000	0.028868087574671	-2	0	1	3	4	3	6	7	5	7	7	7	8	5	6	9	9	12	9	8	10	10	12	11	13	11	14	14	0	0	1	1	2	3	3	14	6	6	9	9	6	6	9	9	4	16	0	6	15	11	21	0	13	21	24	20	1	1	2	3	1	1	2	2	2	3	2	1	3	1	1	1	3	2	1	3	2	2	1	1	2	1	2	3
1000	-207.474631550960538	-213.413828770045768	5.939197219085218	0.000200000000000	0.000050000000000	0.250000000000000	0.148023073139609	0	1	2	1	5	3	5	7	5	5	6	5	7	5	7	8	10	10	8	9	9	11	12	10	12	12	15	13	0	0	1	1	2	3	4	11	6	6	6	6	6	6	12	12	7	11	0	11	11	8	18	0	6	21	24	6	1	1	1	1	2	1	2	1	2	1	2	2	2	1	1	2	3	3	1	2	2	3	1	1	3	2	3	6
1500	-179.780679830870668	-185.719877049955898	5.939197219085218	0.000200000000000	0.000050000000000	0.250000000000000	0.617737301898253	0	0	1	2	4	3	5	6	6	5	7	6	8	5	7	8	8	10	8	9	10	10	12	12	12	12	15	15	0	0	1	1	2	3	4	14	6	6	14	6	6	6	9	12	4	9	0	10	12	14	21	0	20	21	24	20	1	1	1	1	2	1	2	1	1	2	1	2	2	1	1	2	4	2	1	2	3	2	1	1	3	1	1	4
2000	-162.979387618858681	-168.918584837943911	5.939197219085218	0.000200000000000	0.000050000000000	0.250000000000000	0.856910702572627	0	1	2	3	4	3	5	6	6	7	7	5	7	7	6	7	8	10	8	9	8	10	11	10	12	12	15	13	0	0	1	3	2	3	4	6	6	9	9	6	12	8	6	12	7	21	0	10	15	14	18	0	20	18	24	25	1	1	1	1	2	1	1	1	2	1	1	2	1	1	1	1	1	2	1	1	1	1	1	1	1	1	2	1
2500	-160.548995992216419	-166.488193211301649	5.939197219085218	0.000200000000000	0.000050000000000	0.250000000000000	0.778112624001664	0	0	2	2	4	3	6	7	6	7	6	6	8	5	5	9	9	10	8	8	9	10	12	12	11	12	15	14	0	0	1	1	2	3	4	14	15	6	6	15	8	6	6	12	7	13	0	11	12	14	18	0	20	21	24	25	1	1	1	1	2	1	2	1	1	1	1	1	1	1	1	2	2	1	1	1	2	3	1	1	1	2	2	2
3000	-165.938576233191270	-171.877773452276500	5.939197219085218	0.000200000000000	0.000050000000000	0.250000000000000	0.701920912751986	0	0	2	2	3	3	4	6	5	7	6	7	8	7	6	9	10	11	8	9	10	10	13	11	11	12	13	13	0	0	1	1	2	3	4	6	6	11	6	11	11	6	6	9	4	16	0	9	12	14	21	0	20	21	24	25	1	1	1	1	1	1	2	2	1	1	2	1	1	2	1	2	4	1	1	2	1	2	2	1	1	1	2	1
3500	-163.235697732329868	-169.174894951415098	5.939197219085218	0.000200000000000	0.000050000000000	0.250000000000000	0.524667173011895	0	0	1	2	5	4	5	7	3	8	6	7	7	6	7	9	9	11	9	9	9	11	12	10	12	13	13	15	0	0	1	1	2	9	4	14	3	6	6	9	6	6	9	12	4	21	0	15	15	14	21	0	20	18	24	25	1	1	1	1	2	1	1	1	1	2	1	2	2	1	2	1	3	1	1	1	1	3	2	1	2	1	1	2
4000	-149.692847010481756	-155.632044229566986	5.939197219085218	0.000200000000000	0.000050000000000	0.250000000000000	0.734323635409254	0	0	2	2	4	4	5	6	6	5	6	7	6	7	7	10	10	12	8	8	9	10	13	12	11	12	14	14	0	0	1	1	2	3	4	6	6	6	6	9	6	8	9	12	7	21	0	11	12	14	21	0	20	21	24	20	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	2	2	2	1	1	1	2	2	1	2	1	1	2
4500	-163.923114378487696	-169.862311597572926	5.939197219085218	0.000200000000000	0.000050000000000	0.250000000000000	0.699390912484638	-1	0	1	2	4	3	5	5	5	6	6	7	8	6	7	9	9	12	8	9	10	10	12	11	12	12	15	14	0	0	1	1	2	3	4	6	6	6	6	8	15	9	9	12	7	21	0	11	12	14	21	0	15	21	24	20	1	1	2	2	2	1	1	1	1	1	1	1	1	1	2	2	2	1	1	1	1	1	1	1	3	1	2	2
