step	p_accept_mu1	p_accept_gamma	p_accept_pi	p_accept_Tinf	sigma_mu1	sigma_gamma	sigma_pi	n_like_zero
1		1.00000	1.00000	1.00000	1.00000	0.000100000000000	1.000000000000000	0.010000000000000	0
500		1.00000	1.00000	1.00000	0.36941	0.000100000000000	1.000000000000000	0.010000000000000	0
1000		-nan	-nan	0.93600	0.36410	0.000150000000000	1.000000000000000	0.015000000000000	0
1500		-nan	-nan	0.92400	0.36237	0.000150000000000	1.000000000000000	0.022500000000000	0
2000		-nan	-nan	0.84000	0.36051	0.000150000000000	1.000000000000000	0.033750000000000	0
2500		-nan	-nan	0.80000	0.35654	0.000150000000000	1.000000000000000	0.050625000000000	0
3000		-nan	-nan	0.64200	0.35213	0.000150000000000	1.000000000000000	0.075937500000000	0
3500		-nan	-nan	0.53400	0.34849	0.000150000000000	1.000000000000000	0.113906250000000	0
4000		-nan	-nan	0.38000	0.34533	0.000150000000000	1.000000000000000	0.170859375000000	0
4500		-nan	-nan	0.37900	0.34222	0.000150000000000	1.000000000000000	0.170859375000000	0
5000		-nan	-nan	0.37333	0.34012	0.000150000000000	1.000000000000000	0.170859375000000	0
5500		-nan	-nan	0.36650	0.33767	0.000150000000000	1.000000000000000	0.170859375000000	0
6000		-nan	-nan	0.36040	0.33602	0.000150000000000	1.000000000000000	0.170859375000000	0
6500		-nan	-nan	0.36233	0.33522	0.000150000000000	1.000000000000000	0.170859375000000	0
7000		-nan	-nan	0.36400	0.33328	0.000150000000000	1.000000000000000	0.170859375000000	0
7500		-nan	-nan	0.36825	0.33203	0.000150000000000	1.000000000000000	0.170859375000000	0
8000		-nan	-nan	0.36756	0.33109	0.000150000000000	1.000000000000000	0.170859375000000	0
8500		-nan	-nan	0.36900	0.33058	0.000150000000000	1.000000000000000	0.170859375000000	0
9000		-nan	-nan	0.37473	0.32926	0.000150000000000	1.000000000000000	0.170859375000000	0
9500		-nan	-nan	0.37400	0.32852	0.000150000000000	1.000000000000000	0.170859375000000	0
10000		-nan	-nan	0.37477	0.32778	0.000150000000000	1.000000000000000	0.170859375000000	0
10500		-nan	-nan	0.37529	0.32711	0.000150000000000	1.000000000000000	0.170859375000000	0
11000		-nan	-nan	0.37453	0.32646	0.000150000000000	1.000000000000000	0.170859375000000	0
11500		-nan	-nan	0.37350	0.32582	0.000150000000000	1.000000000000000	0.170859375000000	0
12000		-nan	-nan	0.37247	0.32513	0.000150000000000	1.000000000000000	0.170859375000000	0
12500		-nan	-nan	0.37400	0.32461	0.000150000000000	1.000000000000000	0.170859375000000	0
13000		-nan	-nan	0.37432	0.32439	0.000150000000000	1.000000000000000	0.170859375000000	0
13500		-nan	-nan	0.37420	0.32387	0.000150000000000	1.000000000000000	0.170859375000000	0
14000		-nan	-nan	0.37524	0.32396	0.000150000000000	1.000000000000000	0.170859375000000	0
14500		-nan	-nan	0.37673	0.32382	0.000150000000000	1.000000000000000	0.170859375000000	0
15000		-nan	-nan	0.37635	0.32337	0.000150000000000	1.000000000000000	0.170859375000000	0
15500		-nan	-nan	0.37708	0.32314	0.000150000000000	1.000000000000000	0.170859375000000	0
16000		-nan	-nan	0.37816	0.32294	0.000150000000000	1.000000000000000	0.170859375000000	0
16500		-nan	-nan	0.37762	0.32269	0.000150000000000	1.000000000000000	0.170859375000000	0
17000		-nan	-nan	0.37659	0.32244	0.000150000000000	1.000000000000000	0.170859375000000	0
17500		-nan	-nan	0.37750	0.32198	0.000150000000000	1.000000000000000	0.170859375000000	0
18000		-nan	-nan	0.37724	0.32123	0.000150000000000	1.000000000000000	0.170859375000000	0
18500		-nan	-nan	0.37547	0.32089	0.000150000000000	1.000000000000000	0.170859375000000	0
19000		-nan	-nan	0.37581	0.32047	0.000150000000000	1.000000000000000	0.170859375000000	0
19500		-nan	-nan	0.37562	0.32013	0.000150000000000	1.000000000000000	0.170859375000000	0
20000		-nan	-nan	0.37309	0.31977	0.000150000000000	1.000000000000000	0.170859375000000	0
20500		-nan	-nan	0.37200	0.31907	0.000150000000000	1.000000000000000	0.170859375000000	0
21000		-nan	-nan	0.37057	0.31860	0.000150000000000	1.000000000000000	0.170859375000000	0
21500		-nan	-nan	0.36894	0.31817	0.000150000000000	1.000000000000000	0.170859375000000	0
22000		-nan	-nan	0.36897	0.31807	0.000150000000000	1.000000000000000	0.170859375000000	0
22500		-nan	-nan	0.36879	0.31819	0.000150000000000	1.000000000000000	0.170859375000000	0
23000		-nan	-nan	0.36851	0.31788	0.000150000000000	1.000000000000000	0.170859375000000	0
23500		-nan	-nan	0.36840	0.31775	0.000150000000000	1.000000000000000	0.170859375000000	0
24000		-nan	-nan	0.36824	0.31758	0.000150000000000	1.000000000000000	0.170859375000000	0
24500		-nan	-nan	0.36771	0.31740	0.000150000000000	1.000000000000000	0.170859375000000	0
25000		-nan	-nan	0.36758	0.31702	0.000150000000000	1.000000000000000	0.170859375000000	0
25500		-nan	-nan	0.36764	0.31672	0.000150000000000	1.000000000000000	0.170859375000000	0
26000		-nan	-nan	0.36787	0.31669	0.000150000000000	1.000000000000000	0.170859375000000	0
26500		-nan	-nan	0.36752	0.31656	0.000150000000000	1.000000000000000	0.170859375000000	0
27000		-nan	-nan	0.36723	0.31659	0.000150000000000	1.000000000000000	0.170859375000000	0
27500		-nan	-nan	0.36796	0.31653	0.000150000000000	1.000000000000000	0.170859375000000	0
28000		-nan	-nan	0.36845	0.31655	0.000150000000000	1.000000000000000	0.170859375000000	0
28500		-nan	-nan	0.36872	0.31652	0.000150000000000	1.000000000000000	0.170859375000000	0
29000		-nan	-nan	0.36882	0.31632	0.000150000000000	1.000000000000000	0.170859375000000	0
29500		-nan	-nan	0.36908	0.31631	0.000150000000000	1.000000000000000	0.170859375000000	0
30000		-nan	-nan	0.36928	0.31622	0.000150000000000	1.000000000000000	0.170859375000000	0
30500		-nan	-nan	0.37007	0.31622	0.000150000000000	1.000000000000000	0.170859375000000	0
31000		-nan	-nan	0.36913	0.31619	0.000150000000000	1.000000000000000	0.170859375000000	0
31500		-nan	-nan	0.36911	0.31605	0.000150000000000	1.000000000000000	0.170859375000000	0
32000		-nan	-nan	0.36874	0.31578	0.000150000000000	1.000000000000000	0.170859375000000	0
32500		-nan	-nan	0.36952	0.31573	0.000150000000000	1.000000000000000	0.170859375000000	0
33000		-nan	-nan	0.37000	0.31580	0.000150000000000	1.000000000000000	0.170859375000000	0
33500		-nan	-nan	0.36973	0.31577	0.000150000000000	1.000000000000000	0.170859375000000	0
34000		-nan	-nan	0.36964	0.31570	0.000150000000000	1.000000000000000	0.170859375000000	0
34500		-nan	-nan	0.36981	0.31564	0.000150000000000	1.000000000000000	0.170859375000000	0
35000		-nan	-nan	0.36965	0.31565	0.000150000000000	1.000000000000000	0.170859375000000	0
35500		-nan	-nan	0.37031	0.31565	0.000150000000000	1.000000000000000	0.170859375000000	0
36000		-nan	-nan	0.37043	0.31569	0.000150000000000	1.000000000000000	0.170859375000000	0
36500		-nan	-nan	0.37055	0.31562	0.000150000000000	1.000000000000000	0.170859375000000	0
37000		-nan	-nan	0.37072	0.31558	0.000150000000000	1.000000000000000	0.170859375000000	0
37500		-nan	-nan	0.37053	0.31559	0.000150000000000	1.000000000000000	0.170859375000000	0
38000		-nan	-nan	0.37061	0.31552	0.000150000000000	1.000000000000000	0.170859375000000	0
38500		-nan	-nan	0.37069	0.31574	0.000150000000000	1.000000000000000	0.170859375000000	0
39000		-nan	-nan	0.37068	0.31557	0.000150000000000	1.000000000000000	0.170859375000000	0
39500		-nan	-nan	0.37033	0.31560	0.000150000000000	1.000000000000000	0.170859375000000	0
40000		-nan	-nan	0.36997	0.31556	0.000150000000000	1.000000000000000	0.170859375000000	0
40500		-nan	-nan	0.36968	0.31547	0.000150000000000	1.000000000000000	0.170859375000000	0
41000		-nan	-nan	0.36925	0.31521	0.000150000000000	1.000000000000000	0.170859375000000	0
41500		-nan	-nan	0.36924	0.31503	0.000150000000000	1.000000000000000	0.170859375000000	0
42000		-nan	-nan	0.36870	0.31498	0.000150000000000	1.000000000000000	0.170859375000000	0
42500		-nan	-nan	0.36885	0.31483	0.000150000000000	1.000000000000000	0.170859375000000	0
43000		-nan	-nan	0.36884	0.31482	0.000150000000000	1.000000000000000	0.170859375000000	0
43500		-nan	-nan	0.36870	0.31478	0.000150000000000	1.000000000000000	0.170859375000000	0
44000		-nan	-nan	0.36830	0.31465	0.000150000000000	1.000000000000000	0.170859375000000	0
44500		-nan	-nan	0.36766	0.31441	0.000150000000000	1.000000000000000	0.170859375000000	0
45000		-nan	-nan	0.36771	0.31435	0.000150000000000	1.000000000000000	0.170859375000000	0
45500		-nan	-nan	0.36748	0.31431	0.000150000000000	1.000000000000000	0.170859375000000	0
46000		-nan	-nan	0.36734	0.31425	0.000150000000000	1.000000000000000	0.170859375000000	0
46500		-nan	-nan	0.36693	0.31415	0.000150000000000	1.000000000000000	0.170859375000000	0
47000		-nan	-nan	0.36644	0.31398	0.000150000000000	1.000000000000000	0.170859375000000	0
47500		-nan	-nan	0.36627	0.31396	0.000150000000000	1.000000000000000	0.170859375000000	0
48000		-nan	-nan	0.36634	0.31396	0.000150000000000	1.000000000000000	0.170859375000000	0
48500		-nan	-nan	0.36629	0.31381	0.000150000000000	1.000000000000000	0.170859375000000	0
49000		-nan	-nan	0.36580	0.31374	0.000150000000000	1.000000000000000	0.170859375000000	0
