step	p_accept_mu1	p_accept_gamma	p_accept_pi	p_accept_Tinf	sigma_mu1	sigma_gamma	sigma_pi	n_like_zero
1		1.00000	1.00000	1.00000	1.00000	0.000100000000000	1.000000000000000	0.010000000000000	0
500		1.00000	1.00000	1.00000	0.33389	0.000100000000000	1.000000000000000	0.010000000000000	0
1000		-nan	-nan	0.94200	0.33194	0.000150000000000	1.000000000000000	0.015000000000000	0
1500		-nan	-nan	0.89200	0.32406	0.000150000000000	1.000000000000000	0.022500000000000	0
2000		-nan	-nan	0.81400	0.31888	0.000150000000000	1.000000000000000	0.033750000000000	0
2500		-nan	-nan	0.76400	0.31580	0.000150000000000	1.000000000000000	0.050625000000000	0
3000		-nan	-nan	0.59800	0.31434	0.000150000000000	1.000000000000000	0.075937500000000	0
3500		-nan	-nan	0.47600	0.31078	0.000150000000000	1.000000000000000	0.113906250000000	0
4000		-nan	-nan	0.46600	0.30928	0.000150000000000	1.000000000000000	0.113906250000000	0
4500		-nan	-nan	0.45667	0.30627	0.000150000000000	1.000000000000000	0.113906250000000	0
5000		-nan	-nan	0.45750	0.30550	0.000150000000000	1.000000000000000	0.113906250000000	0
5500		-nan	-nan	0.46720	0.30520	0.000150000000000	1.000000000000000	0.113906250000000	0
6000		-nan	-nan	0.46000	0.30404	0.000150000000000	1.000000000000000	0.113906250000000	0
6500		-nan	-nan	0.45829	0.30383	0.000150000000000	1.000000000000000	0.113906250000000	0
7000		-nan	-nan	0.46375	0.30365	0.000150000000000	1.000000000000000	0.113906250000000	0
7500		-nan	-nan	0.46622	0.30330	0.000150000000000	1.000000000000000	0.113906250000000	0
8000		-nan	-nan	0.47060	0.30292	0.000150000000000	1.000000000000000	0.113906250000000	0
8500		-nan	-nan	0.47636	0.30207	0.000150000000000	1.000000000000000	0.113906250000000	0
9000		-nan	-nan	0.47833	0.30183	0.000150000000000	1.000000000000000	0.113906250000000	0
9500		-nan	-nan	0.47862	0.30102	0.000150000000000	1.000000000000000	0.113906250000000	0
10000		-nan	-nan	0.47929	0.30092	0.000150000000000	1.000000000000000	0.113906250000000	0
10500		-nan	-nan	0.47747	0.30051	0.000150000000000	1.000000000000000	0.113906250000000	0
11000		-nan	-nan	0.47563	0.30055	0.000150000000000	1.000000000000000	0.113906250000000	0
11500		-nan	-nan	0.47565	0.30032	0.000150000000000	1.000000000000000	0.113906250000000	0
12000		-nan	-nan	0.47811	0.29999	0.000150000000000	1.000000000000000	0.113906250000000	0
12500		-nan	-nan	0.47821	0.29990	0.000150000000000	1.000000000000000	0.113906250000000	0
13000		-nan	-nan	0.47900	0.29956	0.000150000000000	1.000000000000000	0.113906250000000	0
13500		-nan	-nan	0.48238	0.29936	0.000150000000000	1.000000000000000	0.113906250000000	0
14000		-nan	-nan	0.48264	0.29940	0.000150000000000	1.000000000000000	0.113906250000000	0
14500		-nan	-nan	0.48191	0.29916	0.000150000000000	1.000000000000000	0.113906250000000	0
15000		-nan	-nan	0.48000	0.29907	0.000150000000000	1.000000000000000	0.113906250000000	0
15500		-nan	-nan	0.47952	0.29912	0.000150000000000	1.000000000000000	0.113906250000000	0
16000		-nan	-nan	0.47977	0.29894	0.000150000000000	1.000000000000000	0.113906250000000	0
16500		-nan	-nan	0.48022	0.29858	0.000150000000000	1.000000000000000	0.113906250000000	0
17000		-nan	-nan	0.47886	0.29884	0.000150000000000	1.000000000000000	0.113906250000000	0
17500		-nan	-nan	0.47945	0.29921	0.000150000000000	1.000000000000000	0.113906250000000	0
18000		-nan	-nan	0.48033	0.29932	0.000150000000000	1.000000000000000	0.113906250000000	0
18500		-nan	-nan	0.48174	0.29929	0.000150000000000	1.000000000000000	0.113906250000000	0
19000		-nan	-nan	0.48181	0.29914	0.000150000000000	1.000000000000000	0.113906250000000	0
19500		-nan	-nan	0.48139	0.29886	0.000150000000000	1.000000000000000	0.113906250000000	0
20000		-nan	-nan	0.48135	0.29880	0.000150000000000	1.000000000000000	0.113906250000000	0
20500		-nan	-nan	0.48229	0.29904	0.000150000000000	1.000000000000000	0.113906250000000	0
21000		-nan	-nan	0.48144	0.29895	0.000150000000000	1.000000000000000	0.113906250000000	0
21500		-nan	-nan	0.48276	0.29918	0.000150000000000	1.000000000000000	0.113906250000000	0
22000		-nan	-nan	0.48284	0.29922	0.000150000000000	1.000000000000000	0.113906250000000	0
22500		-nan	-nan	0.48226	0.29911	0.000150000000000	1.000000000000000	0.113906250000000	0
23000		-nan	-nan	0.48165	0.29913	0.000150000000000	1.000000000000000	0.113906250000000	0
23500		-nan	-nan	0.48161	0.29916	0.000150000000000	1.000000000000000	0.113906250000000	0
24000		-nan	-nan	0.48171	0.29911	0.000150000000000	1.000000000000000	0.113906250000000	0
24500		-nan	-nan	0.48260	0.29903	0.000150000000000	1.000000000000000	0.113906250000000	0
25000		-nan	-nan	0.48232	0.29904	0.000150000000000	1.000000000000000	0.113906250000000	0
25500		-nan	-nan	0.48218	0.29902	0.000150000000000	1.000000000000000	0.113906250000000	0
26000		-nan	-nan	0.48235	0.29903	0.000150000000000	1.000000000000000	0.113906250000000	0
26500		-nan	-nan	0.48221	0.29891	0.000150000000000	1.000000000000000	0.113906250000000	0
27000		-nan	-nan	0.48217	0.29880	0.000150000000000	1.000000000000000	0.113906250000000	0
27500		-nan	-nan	0.48176	0.29869	0.000150000000000	1.000000000000000	0.113906250000000	0
28000		-nan	-nan	0.48104	0.29875	0.000150000000000	1.000000000000000	0.113906250000000	0
28500		-nan	-nan	0.48129	0.29876	0.000150000000000	1.000000000000000	0.113906250000000	0
29000		-nan	-nan	0.48123	0.29872	0.000150000000000	1.000000000000000	0.113906250000000	0
29500		-nan	-nan	0.48079	0.29866	0.000150000000000	1.000000000000000	0.113906250000000	0
30000		-nan	-nan	0.48100	0.29863	0.000150000000000	1.000000000000000	0.113906250000000	0
30500		-nan	-nan	0.48156	0.29856	0.000150000000000	1.000000000000000	0.113906250000000	0
31000		-nan	-nan	0.48218	0.29866	0.000150000000000	1.000000000000000	0.113906250000000	0
31500		-nan	-nan	0.48253	0.29864	0.000150000000000	1.000000000000000	0.113906250000000	0
32000		-nan	-nan	0.48245	0.29884	0.000150000000000	1.000000000000000	0.113906250000000	0
32500		-nan	-nan	0.48336	0.29883	0.000150000000000	1.000000000000000	0.113906250000000	0
33000		-nan	-nan	0.48403	0.29875	0.000150000000000	1.000000000000000	0.113906250000000	0
33500		-nan	-nan	0.48377	0.29874	0.000150000000000	1.000000000000000	0.113906250000000	0
