step	p_accept_mu1	p_accept_gamma	p_accept_pi	p_accept_Tinf	sigma_mu1	sigma_gamma	sigma_pi	n_like_zero
1		1.00000	1.00000	1.00000	1.00000	0.000100000000000	1.000000000000000	0.010000000000000	0
500		1.00000	1.00000	1.00000	0.00200	0.000100000000000	1.000000000000000	0.010000000000000	0
1000		-nan	-nan	0.94600	0.00100	0.000150000000000	1.000000000000000	0.015000000000000	0
1500		-nan	-nan	0.90200	0.00067	0.000150000000000	1.000000000000000	0.022500000000000	0
2000		-nan	-nan	0.90200	0.00050	0.000150000000000	1.000000000000000	0.033750000000000	0
2500		-nan	-nan	0.79000	0.00040	0.000150000000000	1.000000000000000	0.050625000000000	0
3000		-nan	-nan	0.72000	0.00033	0.000150000000000	1.000000000000000	0.075937500000000	0
3500		-nan	-nan	0.64200	0.00029	0.000150000000000	1.000000000000000	0.113906250000000	0
4000		-nan	-nan	0.47200	0.00025	0.000150000000000	1.000000000000000	0.170859375000000	0
4500		-nan	-nan	0.46300	0.00022	0.000150000000000	1.000000000000000	0.170859375000000	0
5000		-nan	-nan	0.46867	0.00020	0.000150000000000	1.000000000000000	0.170859375000000	0
5500		-nan	-nan	0.47500	0.00018	0.000150000000000	1.000000000000000	0.170859375000000	0
6000		-nan	-nan	0.48000	0.00017	0.000150000000000	1.000000000000000	0.170859375000000	0
6500		-nan	-nan	0.48500	0.00015	0.000150000000000	1.000000000000000	0.170859375000000	0
7000		-nan	-nan	0.48657	0.00014	0.000150000000000	1.000000000000000	0.170859375000000	0
7500		-nan	-nan	0.48975	0.00013	0.000150000000000	1.000000000000000	0.170859375000000	0
8000		-nan	-nan	0.49111	0.00013	0.000150000000000	1.000000000000000	0.170859375000000	0
8500		-nan	-nan	0.49020	0.00012	0.000150000000000	1.000000000000000	0.170859375000000	0
9000		-nan	-nan	0.49291	0.00011	0.000150000000000	1.000000000000000	0.170859375000000	0
9500		-nan	-nan	0.49350	0.00011	0.000150000000000	1.000000000000000	0.170859375000000	0
10000		-nan	-nan	0.49277	0.00010	0.000150000000000	1.000000000000000	0.170859375000000	0
10500		-nan	-nan	0.49314	0.00010	0.000150000000000	1.000000000000000	0.170859375000000	0
11000		-nan	-nan	0.49267	0.00009	0.000150000000000	1.000000000000000	0.170859375000000	0
11500		-nan	-nan	0.49388	0.00009	0.000150000000000	1.000000000000000	0.170859375000000	0
12000		-nan	-nan	0.49541	0.00008	0.000150000000000	1.000000000000000	0.170859375000000	0
12500		-nan	-nan	0.49478	0.00008	0.000150000000000	1.000000000000000	0.170859375000000	0
13000		-nan	-nan	0.49632	0.00008	0.000150000000000	1.000000000000000	0.170859375000000	0
13500		-nan	-nan	0.49770	0.00007	0.000150000000000	1.000000000000000	0.170859375000000	0
14000		-nan	-nan	0.49819	0.00007	0.000150000000000	1.000000000000000	0.170859375000000	0
14500		-nan	-nan	0.49982	0.00007	0.000150000000000	1.000000000000000	0.170859375000000	0
15000		-nan	-nan	0.49991	0.00007	0.000150000000000	1.000000000000000	0.170859375000000	0
15500		-nan	-nan	0.49875	0.00006	0.000150000000000	1.000000000000000	0.170859375000000	0
16000		-nan	-nan	0.49688	0.00006	0.000150000000000	1.000000000000000	0.170859375000000	0
16500		-nan	-nan	0.49654	0.00006	0.000150000000000	1.000000000000000	0.170859375000000	0
17000		-nan	-nan	0.49593	0.00006	0.000150000000000	1.000000000000000	0.170859375000000	0
17500		-nan	-nan	0.49486	0.00006	0.000150000000000	1.000000000000000	0.170859375000000	0
18000		-nan	-nan	0.49510	0.00006	0.000150000000000	1.000000000000000	0.170859375000000	0
18500		-nan	-nan	0.49593	0.00005	0.000150000000000	1.000000000000000	0.170859375000000	0
19000		-nan	-nan	0.49665	0.00005	0.000150000000000	1.000000000000000	0.170859375000000	0
19500		-nan	-nan	0.49769	0.00005	0.000150000000000	1.000000000000000	0.170859375000000	0
20000		-nan	-nan	0.49830	0.00005	0.000150000000000	1.000000000000000	0.170859375000000	0
20500		-nan	-nan	0.49859	0.00005	0.000150000000000	1.000000000000000	0.170859375000000	0
21000		-nan	-nan	0.49857	0.00005	0.000150000000000	1.000000000000000	0.170859375000000	0
21500		-nan	-nan	0.49928	0.00005	0.000150000000000	1.000000000000000	0.170859375000000	0
22000		-nan	-nan	0.49892	0.00005	0.000150000000000	1.000000000000000	0.170859375000000	0
22500		-nan	-nan	0.49837	0.00004	0.000150000000000	1.000000000000000	0.170859375000000	0
23000		-nan	-nan	0.49862	0.00004	0.000150000000000	1.000000000000000	0.170859375000000	0
23500		-nan	-nan	0.49955	0.00004	0.000150000000000	1.000000000000000	0.170859375000000	0
24000		-nan	-nan	0.49966	0.00004	0.000150000000000	1.000000000000000	0.170859375000000	0
24500		-nan	-nan	0.50033	0.00004	0.000150000000000	1.000000000000000	0.170859375000000	0
25000		-nan	-nan	0.50070	0.00004	0.000150000000000	1.000000000000000	0.170859375000000	0
25500		-nan	-nan	0.50045	0.00004	0.000150000000000	1.000000000000000	0.170859375000000	0
26000		-nan	-nan	0.50098	0.00004	0.000150000000000	1.000000000000000	0.170859375000000	0
26500		-nan	-nan	0.50126	0.00004	0.000150000000000	1.000000000000000	0.170859375000000	0
27000		-nan	-nan	0.50119	0.00004	0.000150000000000	1.000000000000000	0.170859375000000	0
27500		-nan	-nan	0.50217	0.00004	0.000150000000000	1.000000000000000	0.170859375000000	0
28000		-nan	-nan	0.50253	0.00004	0.000150000000000	1.000000000000000	0.170859375000000	0
28500		-nan	-nan	0.50248	0.00004	0.000150000000000	1.000000000000000	0.170859375000000	0
29000		-nan	-nan	0.50231	0.00003	0.000150000000000	1.000000000000000	0.170859375000000	0
29500		-nan	-nan	0.50169	0.00003	0.000150000000000	1.000000000000000	0.170859375000000	0
30000		-nan	-nan	0.50177	0.00003	0.000150000000000	1.000000000000000	0.170859375000000	0
30500		-nan	-nan	0.50170	0.00003	0.000150000000000	1.000000000000000	0.170859375000000	0
31000		-nan	-nan	0.50215	0.00003	0.000150000000000	1.000000000000000	0.170859375000000	0
31500		-nan	-nan	0.50175	0.00003	0.000150000000000	1.000000000000000	0.170859375000000	0
32000		-nan	-nan	0.50126	0.00003	0.000150000000000	1.000000000000000	0.170859375000000	0
32500		-nan	-nan	0.50079	0.00003	0.000150000000000	1.000000000000000	0.170859375000000	0
33000		-nan	-nan	0.50105	0.00003	0.000150000000000	1.000000000000000	0.170859375000000	0
33500		-nan	-nan	0.50097	0.00003	0.000150000000000	1.000000000000000	0.170859375000000	0
34000		-nan	-nan	0.50164	0.00003	0.000150000000000	1.000000000000000	0.170859375000000	0
34500		-nan	-nan	0.50206	0.00003	0.000150000000000	1.000000000000000	0.170859375000000	0
35000		-nan	-nan	0.50175	0.00003	0.000150000000000	1.000000000000000	0.170859375000000	0
35500		-nan	-nan	0.50138	0.00003	0.000150000000000	1.000000000000000	0.170859375000000	0
36000		-nan	-nan	0.50154	0.00003	0.000150000000000	1.000000000000000	0.170859375000000	0
36500		-nan	-nan	0.50167	0.00003	0.000150000000000	1.000000000000000	0.170859375000000	0
37000		-nan	-nan	0.50176	0.00003	0.000150000000000	1.000000000000000	0.170859375000000	0
37500		-nan	-nan	0.50218	0.00003	0.000150000000000	1.000000000000000	0.170859375000000	0
38000		-nan	-nan	0.50188	0.00003	0.000150000000000	1.000000000000000	0.170859375000000	0
38500		-nan	-nan	0.50211	0.00003	0.000150000000000	1.000000000000000	0.170859375000000	0
39000		-nan	-nan	0.50217	0.00003	0.000150000000000	1.000000000000000	0.170859375000000	0
39500		-nan	-nan	0.50269	0.00003	0.000150000000000	1.000000000000000	0.170859375000000	0
40000		-nan	-nan	0.50266	0.00003	0.000150000000000	1.000000000000000	0.170859375000000	0
40500		-nan	-nan	0.50254	0.00002	0.000150000000000	1.000000000000000	0.170859375000000	0
41000		-nan	-nan	0.50291	0.00002	0.000150000000000	1.000000000000000	0.170859375000000	0
41500		-nan	-nan	0.50268	0.00002	0.000150000000000	1.000000000000000	0.170859375000000	0
42000		-nan	-nan	0.50312	0.00002	0.000150000000000	1.000000000000000	0.170859375000000	0
42500		-nan	-nan	0.50344	0.00002	0.000150000000000	1.000000000000000	0.170859375000000	0
43000		-nan	-nan	0.50372	0.00002	0.000150000000000	1.000000000000000	0.170859375000000	0
43500		-nan	-nan	0.50328	0.00002	0.000150000000000	1.000000000000000	0.170859375000000	0
44000		-nan	-nan	0.50319	0.00002	0.000150000000000	1.000000000000000	0.170859375000000	0
44500		-nan	-nan	0.50329	0.00002	0.000150000000000	1.000000000000000	0.170859375000000	0
45000		-nan	-nan	0.50313	0.00002	0.000150000000000	1.000000000000000	0.170859375000000	0
45500		-nan	-nan	0.50302	0.00002	0.000150000000000	1.000000000000000	0.170859375000000	0
46000		-nan	-nan	0.50268	0.00002	0.000150000000000	1.000000000000000	0.170859375000000	0
46500		-nan	-nan	0.50284	0.00002	0.000150000000000	1.000000000000000	0.170859375000000	0
47000		-nan	-nan	0.50253	0.00002	0.000150000000000	1.000000000000000	0.170859375000000	0
47500		-nan	-nan	0.50230	0.00002	0.000150000000000	1.000000000000000	0.170859375000000	0
48000		-nan	-nan	0.50247	0.00002	0.000150000000000	1.000000000000000	0.170859375000000	0
48500		-nan	-nan	0.50244	0.00002	0.000150000000000	1.000000000000000	0.170859375000000	0
49000		-nan	-nan	0.50257	0.00002	0.000150000000000	1.000000000000000	0.170859375000000	0
49500		-nan	-nan	0.50233	0.00002	0.000150000000000	1.000000000000000	0.170859375000000	0
50000		-nan	-nan	0.50222	0.00002	0.000150000000000	1.000000000000000	0.170859375000000	0
50500		-nan	-nan	0.50249	0.00002	0.000150000000000	1.000000000000000	0.170859375000000	0
51000		-nan	-nan	0.50265	0.00002	0.000150000000000	1.000000000000000	0.170859375000000	0
