step	p_accept_mu1	p_accept_gamma	p_accept_pi	p_accept_Tinf	sigma_mu1	sigma_gamma	sigma_pi	n_like_zero
1		1.00000	1.00000	0.38963	1.00000	0.000100000000000	1.000000000000000	0.010000000000000	0
500		1.00000	1.00000	0.39151	0.00200	0.000100000000000	1.000000000000000	0.010000000000000	0
1000		-nan	-nan	0.39440	0.00100	0.000150000000000	1.000000000000000	0.010000000000000	0
1500		-nan	-nan	0.39725	0.00067	0.000150000000000	1.000000000000000	0.010000000000000	0
2000		-nan	-nan	0.40010	0.00050	0.000150000000000	1.000000000000000	0.010000000000000	0
2500		-nan	-nan	0.40283	0.00040	0.000150000000000	1.000000000000000	0.010000000000000	0
3000		-nan	-nan	0.40564	0.00033	0.000150000000000	1.000000000000000	0.010000000000000	0
3500		-nan	-nan	0.40834	0.00029	0.000150000000000	1.000000000000000	0.010000000000000	0
4000		-nan	-nan	0.41121	0.00025	0.000150000000000	1.000000000000000	0.010000000000000	0
4500		-nan	-nan	0.41397	0.00022	0.000150000000000	1.000000000000000	0.010000000000000	0
5000		-nan	-nan	0.41659	0.00020	0.000150000000000	1.000000000000000	0.010000000000000	0
5500		-nan	-nan	0.41929	0.00018	0.000150000000000	1.000000000000000	0.010000000000000	0
6000		-nan	-nan	0.42199	0.00017	0.000150000000000	1.000000000000000	0.010000000000000	0
6500		-nan	-nan	0.42470	0.00015	0.000150000000000	1.000000000000000	0.010000000000000	0
7000		-nan	-nan	0.42735	0.00014	0.000150000000000	1.000000000000000	0.010000000000000	0
7500		-nan	-nan	0.42980	0.00013	0.000150000000000	1.000000000000000	0.010000000000000	0
8000		-nan	-nan	0.43237	0.00013	0.000150000000000	1.000000000000000	0.010000000000000	0
8500		-nan	-nan	0.43479	0.00012	0.000150000000000	1.000000000000000	0.010000000000000	0
9000		-nan	-nan	0.43731	0.00011	0.000150000000000	1.000000000000000	0.010000000000000	0
9500		-nan	-nan	0.43978	0.00011	0.000150000000000	1.000000000000000	0.010000000000000	0
10000		-nan	-nan	0.44232	0.00010	0.000150000000000	1.000000000000000	0.010000000000000	0
10500		-nan	-nan	0.44484	0.00010	0.000150000000000	1.000000000000000	0.010000000000000	0
11000		-nan	-nan	0.44727	0.00009	0.000150000000000	1.000000000000000	0.010000000000000	0
11500		-nan	-nan	0.44973	0.00009	0.000150000000000	1.000000000000000	0.010000000000000	0
12000		-nan	-nan	0.45215	0.00008	0.000150000000000	1.000000000000000	0.010000000000000	0
12500		-nan	-nan	0.45459	0.00008	0.000150000000000	1.000000000000000	0.010000000000000	0
13000		-nan	-nan	0.45698	0.00008	0.000150000000000	1.000000000000000	0.010000000000000	0
13500		-nan	-nan	0.45926	0.00007	0.000150000000000	1.000000000000000	0.010000000000000	0
14000		-nan	-nan	0.46147	0.00007	0.000150000000000	1.000000000000000	0.010000000000000	0
14500		-nan	-nan	0.46378	0.00007	0.000150000000000	1.000000000000000	0.010000000000000	0
15000		-nan	-nan	0.46605	0.00007	0.000150000000000	1.000000000000000	0.010000000000000	0
15500		-nan	-nan	0.46827	0.00006	0.000150000000000	1.000000000000000	0.010000000000000	0
16000		-nan	-nan	0.47044	0.00006	0.000150000000000	1.000000000000000	0.010000000000000	0
16500		-nan	-nan	0.47272	0.00006	0.000150000000000	1.000000000000000	0.010000000000000	0
17000		-nan	-nan	0.47491	0.00006	0.000150000000000	1.000000000000000	0.010000000000000	0
17500		-nan	-nan	0.47711	0.00006	0.000150000000000	1.000000000000000	0.010000000000000	0
18000		-nan	-nan	0.47932	0.00006	0.000150000000000	1.000000000000000	0.010000000000000	0
18500		-nan	-nan	0.48147	0.00005	0.000150000000000	1.000000000000000	0.010000000000000	0
19000		-nan	-nan	0.48357	0.00005	0.000150000000000	1.000000000000000	0.010000000000000	0
19500		-nan	-nan	0.48569	0.00005	0.000150000000000	1.000000000000000	0.010000000000000	0
20000		-nan	-nan	0.48781	0.00005	0.000150000000000	1.000000000000000	0.010000000000000	0
