step	p_accept_mu1	p_accept_gamma	p_accept_pi	p_accept_Tinf	sigma_mu1	sigma_gamma	sigma_pi	n_like_zero
1		1.00000	1.00000	1.00000	1.00000	0.000100000000000	1.000000000000000	0.010000000000000	0
500		1.00000	1.00000	0.84200	0.33721	0.000100000000000	1.000000000000000	0.010000000000000	0
1000		-nan	-nan	0.90400	0.31870	0.000150000000000	1.000000000000000	0.015000000000000	0
1500		-nan	-nan	0.65800	0.30549	0.000150000000000	1.000000000000000	0.022500000000000	0
2000		-nan	-nan	0.66600	0.30176	0.000150000000000	1.000000000000000	0.033750000000000	0
2500		-nan	-nan	0.60800	0.29997	0.000150000000000	1.000000000000000	0.050625000000000	0
3000		-nan	-nan	0.37600	0.29628	0.000150000000000	1.000000000000000	0.075937500000000	0
3500		-nan	-nan	0.36500	0.29342	0.000150000000000	1.000000000000000	0.075937500000000	0
4000		-nan	-nan	0.37000	0.29111	0.000150000000000	1.000000000000000	0.075937500000000	0
4500		-nan	-nan	0.36650	0.28957	0.000150000000000	1.000000000000000	0.075937500000000	0
5000		-nan	-nan	0.38240	0.28975	0.000150000000000	1.000000000000000	0.075937500000000	0
5500		-nan	-nan	0.39067	0.28923	0.000150000000000	1.000000000000000	0.075937500000000	0
6000		-nan	-nan	0.39657	0.28862	0.000150000000000	1.000000000000000	0.075937500000000	0
6500		-nan	-nan	0.40125	0.28882	0.000150000000000	1.000000000000000	0.075937500000000	0
7000		-nan	-nan	0.41000	0.28840	0.000150000000000	1.000000000000000	0.075937500000000	0
7500		-nan	-nan	0.41140	0.28790	0.000150000000000	1.000000000000000	0.075937500000000	0
8000		-nan	-nan	0.41018	0.28767	0.000150000000000	1.000000000000000	0.075937500000000	0
8500		-nan	-nan	0.41750	0.28748	0.000150000000000	1.000000000000000	0.075937500000000	0
9000		-nan	-nan	0.42015	0.28704	0.000150000000000	1.000000000000000	0.075937500000000	0
9500		-nan	-nan	0.40557	0.28661	0.000150000000000	1.000000000000000	0.075937500000000	0
10000		-nan	-nan	0.40333	0.28641	0.000150000000000	1.000000000000000	0.075937500000000	0
10500		-nan	-nan	0.39875	0.28601	0.000150000000000	1.000000000000000	0.075937500000000	0
11000		-nan	-nan	0.39894	0.28577	0.000150000000000	1.000000000000000	0.075937500000000	0
11500		-nan	-nan	0.40722	0.28613	0.000150000000000	1.000000000000000	0.075937500000000	0
12000		-nan	-nan	0.41053	0.28644	0.000150000000000	1.000000000000000	0.075937500000000	0
12500		-nan	-nan	0.41070	0.28632	0.000150000000000	1.000000000000000	0.075937500000000	0
13000		-nan	-nan	0.40790	0.28587	0.000150000000000	1.000000000000000	0.075937500000000	0
13500		-nan	-nan	0.40400	0.28567	0.000150000000000	1.000000000000000	0.075937500000000	0
14000		-nan	-nan	0.40530	0.28574	0.000150000000000	1.000000000000000	0.075937500000000	0
14500		-nan	-nan	0.40408	0.28580	0.000150000000000	1.000000000000000	0.075937500000000	0
15000		-nan	-nan	0.40048	0.28563	0.000150000000000	1.000000000000000	0.075937500000000	0
15500		-nan	-nan	0.39992	0.28554	0.000150000000000	1.000000000000000	0.075937500000000	0
16000		-nan	-nan	0.39822	0.28538	0.000150000000000	1.000000000000000	0.075937500000000	0
16500		-nan	-nan	0.39500	0.28532	0.000150000000000	1.000000000000000	0.075937500000000	0
17000		-nan	-nan	0.39366	0.28497	0.000150000000000	1.000000000000000	0.075937500000000	0
17500		-nan	-nan	0.39087	0.28473	0.000150000000000	1.000000000000000	0.075937500000000	0
18000		-nan	-nan	0.39116	0.28486	0.000150000000000	1.000000000000000	0.075937500000000	0
18500		-nan	-nan	0.39156	0.28483	0.000150000000000	1.000000000000000	0.075937500000000	0
19000		-nan	-nan	0.39145	0.28464	0.000150000000000	1.000000000000000	0.075937500000000	0
19500		-nan	-nan	0.38941	0.28448	0.000150000000000	1.000000000000000	0.075937500000000	0
20000		-nan	-nan	0.38737	0.28450	0.000150000000000	1.000000000000000	0.075937500000000	0
20500		-nan	-nan	0.38394	0.28448	0.000150000000000	1.000000000000000	0.075937500000000	0
21000		-nan	-nan	0.38632	0.28447	0.000150000000000	1.000000000000000	0.075937500000000	0
21500		-nan	-nan	0.38684	0.28453	0.000150000000000	1.000000000000000	0.075937500000000	0
22000		-nan	-nan	0.38677	0.28433	0.000150000000000	1.000000000000000	0.075937500000000	0
22500		-nan	-nan	0.38640	0.28432	0.000150000000000	1.000000000000000	0.075937500000000	0
23000		-nan	-nan	0.38673	0.28420	0.000150000000000	1.000000000000000	0.075937500000000	0
23500		-nan	-nan	0.38810	0.28423	0.000150000000000	1.000000000000000	0.075937500000000	0
24000		-nan	-nan	0.38791	0.28419	0.000150000000000	1.000000000000000	0.075937500000000	0
24500		-nan	-nan	0.38755	0.28418	0.000150000000000	1.000000000000000	0.075937500000000	0
25000		-nan	-nan	0.38684	0.28395	0.000150000000000	1.000000000000000	0.075937500000000	0
25500		-nan	-nan	0.38643	0.28387	0.000150000000000	1.000000000000000	0.075937500000000	0
26000		-nan	-nan	0.38626	0.28378	0.000150000000000	1.000000000000000	0.075937500000000	0
26500		-nan	-nan	0.38667	0.28389	0.000150000000000	1.000000000000000	0.075937500000000	0
27000		-nan	-nan	0.38669	0.28374	0.000150000000000	1.000000000000000	0.075937500000000	0
27500		-nan	-nan	0.38524	0.28364	0.000150000000000	1.000000000000000	0.075937500000000	0
28000		-nan	-nan	0.38624	0.28361	0.000150000000000	1.000000000000000	0.075937500000000	0
28500		-nan	-nan	0.38665	0.28352	0.000150000000000	1.000000000000000	0.075937500000000	0
29000		-nan	-nan	0.38792	0.28365	0.000150000000000	1.000000000000000	0.075937500000000	0
29500		-nan	-nan	0.38819	0.28375	0.000150000000000	1.000000000000000	0.075937500000000	0
30000		-nan	-nan	0.38698	0.28360	0.000150000000000	1.000000000000000	0.075937500000000	0
30500		-nan	-nan	0.38761	0.28354	0.000150000000000	1.000000000000000	0.075937500000000	0
31000		-nan	-nan	0.38618	0.28340	0.000150000000000	1.000000000000000	0.075937500000000	0
31500		-nan	-nan	0.38614	0.28344	0.000150000000000	1.000000000000000	0.075937500000000	0
32000		-nan	-nan	0.38681	0.28351	0.000150000000000	1.000000000000000	0.075937500000000	0
32500		-nan	-nan	0.38713	0.28357	0.000150000000000	1.000000000000000	0.075937500000000	0
33000		-nan	-nan	0.38528	0.28344	0.000150000000000	1.000000000000000	0.075937500000000	0
33500		-nan	-nan	0.38300	0.28331	0.000150000000000	1.000000000000000	0.075937500000000	0
34000		-nan	-nan	0.38102	0.28313	0.000150000000000	1.000000000000000	0.075937500000000	0
34500		-nan	-nan	0.38100	0.28305	0.000150000000000	1.000000000000000	0.075937500000000	0
35000		-nan	-nan	0.38142	0.28297	0.000150000000000	1.000000000000000	0.075937500000000	0
35500		-nan	-nan	0.38130	0.28298	0.000150000000000	1.000000000000000	0.075937500000000	0
36000		-nan	-nan	0.38063	0.28291	0.000150000000000	1.000000000000000	0.075937500000000	0
36500		-nan	-nan	0.37909	0.28277	0.000150000000000	1.000000000000000	0.075937500000000	0
37000		-nan	-nan	0.37858	0.28273	0.000150000000000	1.000000000000000	0.075937500000000	0
37500		-nan	-nan	0.37866	0.28260	0.000150000000000	1.000000000000000	0.075937500000000	0
38000		-nan	-nan	0.37848	0.28262	0.000150000000000	1.000000000000000	0.075937500000000	0
38500		-nan	-nan	0.37886	0.28264	0.000150000000000	1.000000000000000	0.075937500000000	0
