step	p_accept_mu1	p_accept_gamma	p_accept_pi	p_accept_Tinf	sigma_mu1	sigma_gamma	sigma_pi	n_like_zero
1		1.00000	1.00000	1.00000	1.00000	0.000100000000000	1.000000000000000	0.010000000000000	0
500		1.00000	1.00000	1.00000	0.35644	0.000100000000000	1.000000000000000	0.010000000000000	0
1000		-nan	-nan	0.85600	0.33258	0.000150000000000	1.000000000000000	0.015000000000000	0
1500		-nan	-nan	0.82800	0.31569	0.000150000000000	1.000000000000000	0.022500000000000	0
2000		-nan	-nan	0.60000	0.30511	0.000150000000000	1.000000000000000	0.033750000000000	0
2500		-nan	-nan	0.61200	0.29893	0.000150000000000	1.000000000000000	0.050625000000000	0
3000		-nan	-nan	0.40400	0.29423	0.000150000000000	1.000000000000000	0.075937500000000	0
3500		-nan	-nan	0.43700	0.29260	0.000150000000000	1.000000000000000	0.075937500000000	0
4000		-nan	-nan	0.42467	0.29137	0.000150000000000	1.000000000000000	0.075937500000000	0
4500		-nan	-nan	0.44800	0.29052	0.000150000000000	1.000000000000000	0.075937500000000	0
5000		-nan	-nan	0.44400	0.28860	0.000150000000000	1.000000000000000	0.075937500000000	0
5500		-nan	-nan	0.44967	0.28759	0.000150000000000	1.000000000000000	0.075937500000000	0
6000		-nan	-nan	0.45000	0.28672	0.000150000000000	1.000000000000000	0.075937500000000	0
6500		-nan	-nan	0.45075	0.28612	0.000150000000000	1.000000000000000	0.075937500000000	0
7000		-nan	-nan	0.44133	0.28570	0.000150000000000	1.000000000000000	0.075937500000000	0
7500		-nan	-nan	0.44540	0.28593	0.000150000000000	1.000000000000000	0.075937500000000	0
8000		-nan	-nan	0.44927	0.28576	0.000150000000000	1.000000000000000	0.075937500000000	0
8500		-nan	-nan	0.45400	0.28560	0.000150000000000	1.000000000000000	0.075937500000000	0
9000		-nan	-nan	0.45662	0.28512	0.000150000000000	1.000000000000000	0.075937500000000	0
9500		-nan	-nan	0.44986	0.28471	0.000150000000000	1.000000000000000	0.075937500000000	0
10000		-nan	-nan	0.45093	0.28468	0.000150000000000	1.000000000000000	0.075937500000000	0
10500		-nan	-nan	0.45050	0.28450	0.000150000000000	1.000000000000000	0.075937500000000	0
11000		-nan	-nan	0.45282	0.28428	0.000150000000000	1.000000000000000	0.075937500000000	0
11500		-nan	-nan	0.45200	0.28398	0.000150000000000	1.000000000000000	0.075937500000000	0
12000		-nan	-nan	0.45463	0.28439	0.000150000000000	1.000000000000000	0.075937500000000	0
12500		-nan	-nan	0.44800	0.28424	0.000150000000000	1.000000000000000	0.075937500000000	0
13000		-nan	-nan	0.44410	0.28388	0.000150000000000	1.000000000000000	0.075937500000000	0
13500		-nan	-nan	0.44518	0.28371	0.000150000000000	1.000000000000000	0.075937500000000	0
14000		-nan	-nan	0.44487	0.28381	0.000150000000000	1.000000000000000	0.075937500000000	0
14500		-nan	-nan	0.44683	0.28416	0.000150000000000	1.000000000000000	0.075937500000000	0
15000		-nan	-nan	0.45120	0.28419	0.000150000000000	1.000000000000000	0.075937500000000	0
15500		-nan	-nan	0.45369	0.28405	0.000150000000000	1.000000000000000	0.075937500000000	0
16000		-nan	-nan	0.45444	0.28392	0.000150000000000	1.000000000000000	0.075937500000000	0
16500		-nan	-nan	0.45364	0.28337	0.000150000000000	1.000000000000000	0.075937500000000	0
17000		-nan	-nan	0.45517	0.28335	0.000150000000000	1.000000000000000	0.075937500000000	0
17500		-nan	-nan	0.45660	0.28317	0.000150000000000	1.000000000000000	0.075937500000000	0
18000		-nan	-nan	0.45794	0.28336	0.000150000000000	1.000000000000000	0.075937500000000	0
18500		-nan	-nan	0.45537	0.28326	0.000150000000000	1.000000000000000	0.075937500000000	0
19000		-nan	-nan	0.45267	0.28322	0.000150000000000	1.000000000000000	0.075937500000000	0
19500		-nan	-nan	0.45488	0.28324	0.000150000000000	1.000000000000000	0.075937500000000	0
20000		-nan	-nan	0.45400	0.28328	0.000150000000000	1.000000000000000	0.075937500000000	0
20500		-nan	-nan	0.45394	0.28330	0.000150000000000	1.000000000000000	0.075937500000000	0
21000		-nan	-nan	0.45546	0.28338	0.000150000000000	1.000000000000000	0.075937500000000	0
21500		-nan	-nan	0.45626	0.28332	0.000150000000000	1.000000000000000	0.075937500000000	0
22000		-nan	-nan	0.45713	0.28322	0.000150000000000	1.000000000000000	0.075937500000000	0
22500		-nan	-nan	0.45655	0.28313	0.000150000000000	1.000000000000000	0.075937500000000	0
23000		-nan	-nan	0.45566	0.28294	0.000150000000000	1.000000000000000	0.075937500000000	0
23500		-nan	-nan	0.45576	0.28285	0.000150000000000	1.000000000000000	0.075937500000000	0
24000		-nan	-nan	0.45614	0.28307	0.000150000000000	1.000000000000000	0.075937500000000	0
24500		-nan	-nan	0.45259	0.28287	0.000150000000000	1.000000000000000	0.075937500000000	0
25000		-nan	-nan	0.45458	0.28287	0.000150000000000	1.000000000000000	0.075937500000000	0
25500		-nan	-nan	0.45526	0.28297	0.000150000000000	1.000000000000000	0.075937500000000	0
26000		-nan	-nan	0.45728	0.28306	0.000150000000000	1.000000000000000	0.075937500000000	0
26500		-nan	-nan	0.45837	0.28303	0.000150000000000	1.000000000000000	0.075937500000000	0
27000		-nan	-nan	0.45910	0.28313	0.000150000000000	1.000000000000000	0.075937500000000	0
27500		-nan	-nan	0.45932	0.28308	0.000150000000000	1.000000000000000	0.075937500000000	0
28000		-nan	-nan	0.45863	0.28296	0.000150000000000	1.000000000000000	0.075937500000000	0
28500		-nan	-nan	0.45858	0.28273	0.000150000000000	1.000000000000000	0.075937500000000	0
29000		-nan	-nan	0.45879	0.28266	0.000150000000000	1.000000000000000	0.075937500000000	0
