step	p_accept_mu1	p_accept_gamma	p_accept_pi	p_accept_Tinf	sigma_mu1	sigma_gamma	sigma_pi	n_like_zero
1		1.00000	1.00000	1.00000	1.00000	0.000100000000000	1.000000000000000	0.010000000000000	0
500		1.00000	1.00000	1.00000	0.38331	0.000100000000000	1.000000000000000	0.010000000000000	0
1000		-nan	-nan	0.90000	0.35913	0.000150000000000	1.000000000000000	0.015000000000000	0
1500		-nan	-nan	0.86800	0.34456	0.000150000000000	1.000000000000000	0.022500000000000	0
2000		-nan	-nan	0.69800	0.33377	0.000150000000000	1.000000000000000	0.033750000000000	0
2500		-nan	-nan	0.52200	0.32383	0.000150000000000	1.000000000000000	0.050625000000000	0
3000		-nan	-nan	0.46600	0.31878	0.000150000000000	1.000000000000000	0.075937500000000	0
3500		-nan	-nan	0.47800	0.31465	0.000150000000000	1.000000000000000	0.075937500000000	0
4000		-nan	-nan	0.50067	0.31265	0.000150000000000	1.000000000000000	0.075937500000000	0
4500		-nan	-nan	0.50500	0.31176	0.000150000000000	1.000000000000000	0.075937500000000	0
5000		-nan	-nan	0.49440	0.30943	0.000150000000000	1.000000000000000	0.075937500000000	0
5500		-nan	-nan	0.47233	0.30677	0.000150000000000	1.000000000000000	0.075937500000000	0
6000		-nan	-nan	0.45429	0.30441	0.000150000000000	1.000000000000000	0.075937500000000	0
6500		-nan	-nan	0.43150	0.30243	0.000150000000000	1.000000000000000	0.075937500000000	0
7000		-nan	-nan	0.41311	0.30029	0.000150000000000	1.000000000000000	0.075937500000000	0
7500		-nan	-nan	0.39680	0.29871	0.000150000000000	1.000000000000000	0.075937500000000	0
8000		-nan	-nan	0.39091	0.29768	0.000150000000000	1.000000000000000	0.075937500000000	0
8500		-nan	-nan	0.38300	0.29667	0.000150000000000	1.000000000000000	0.075937500000000	0
9000		-nan	-nan	0.38323	0.29591	0.000150000000000	1.000000000000000	0.075937500000000	0
9500		-nan	-nan	0.37429	0.29502	0.000150000000000	1.000000000000000	0.075937500000000	0
10000		-nan	-nan	0.36720	0.29401	0.000150000000000	1.000000000000000	0.075937500000000	0
10500		-nan	-nan	0.36212	0.29317	0.000150000000000	1.000000000000000	0.075937500000000	0
11000		-nan	-nan	0.36271	0.29282	0.000150000000000	1.000000000000000	0.075937500000000	0
11500		-nan	-nan	0.37100	0.29268	0.000150000000000	1.000000000000000	0.075937500000000	0
12000		-nan	-nan	0.37242	0.29240	0.000150000000000	1.000000000000000	0.075937500000000	0
12500		-nan	-nan	0.37670	0.29205	0.000150000000000	1.000000000000000	0.075937500000000	0
13000		-nan	-nan	0.38057	0.29187	0.000150000000000	1.000000000000000	0.075937500000000	0
13500		-nan	-nan	0.38655	0.29196	0.000150000000000	1.000000000000000	0.075937500000000	0
14000		-nan	-nan	0.39148	0.29190	0.000150000000000	1.000000000000000	0.075937500000000	0
14500		-nan	-nan	0.39258	0.29174	0.000150000000000	1.000000000000000	0.075937500000000	0
15000		-nan	-nan	0.39648	0.29178	0.000150000000000	1.000000000000000	0.075937500000000	0
15500		-nan	-nan	0.39708	0.29155	0.000150000000000	1.000000000000000	0.075937500000000	0
16000		-nan	-nan	0.40044	0.29140	0.000150000000000	1.000000000000000	0.075937500000000	0
16500		-nan	-nan	0.39857	0.29094	0.000150000000000	1.000000000000000	0.075937500000000	0
17000		-nan	-nan	0.40028	0.29065	0.000150000000000	1.000000000000000	0.075937500000000	0
17500		-nan	-nan	0.40000	0.29067	0.000150000000000	1.000000000000000	0.075937500000000	0
18000		-nan	-nan	0.40174	0.29044	0.000150000000000	1.000000000000000	0.075937500000000	0
18500		-nan	-nan	0.40425	0.29061	0.000150000000000	1.000000000000000	0.075937500000000	0
19000		-nan	-nan	0.40455	0.29036	0.000150000000000	1.000000000000000	0.075937500000000	0
19500		-nan	-nan	0.40347	0.29025	0.000150000000000	1.000000000000000	0.075937500000000	0
20000		-nan	-nan	0.40143	0.28998	0.000150000000000	1.000000000000000	0.075937500000000	0
20500		-nan	-nan	0.40222	0.28985	0.000150000000000	1.000000000000000	0.075937500000000	0
21000		-nan	-nan	0.40022	0.28958	0.000150000000000	1.000000000000000	0.075937500000000	0
21500		-nan	-nan	0.40184	0.28979	0.000150000000000	1.000000000000000	0.075937500000000	0
22000		-nan	-nan	0.40497	0.28994	0.000150000000000	1.000000000000000	0.075937500000000	0
22500		-nan	-nan	0.40330	0.28981	0.000150000000000	1.000000000000000	0.075937500000000	0
23000		-nan	-nan	0.40351	0.28976	0.000150000000000	1.000000000000000	0.075937500000000	0
23500		-nan	-nan	0.40362	0.28965	0.000150000000000	1.000000000000000	0.075937500000000	0
24000		-nan	-nan	0.40107	0.28952	0.000150000000000	1.000000000000000	0.075937500000000	0
24500		-nan	-nan	0.40223	0.28954	0.000150000000000	1.000000000000000	0.075937500000000	0
25000		-nan	-nan	0.40476	0.28971	0.000150000000000	1.000000000000000	0.075937500000000	0
25500		-nan	-nan	0.40683	0.28978	0.000150000000000	1.000000000000000	0.075937500000000	0
26000		-nan	-nan	0.40609	0.28964	0.000150000000000	1.000000000000000	0.075937500000000	0
26500		-nan	-nan	0.40537	0.28959	0.000150000000000	1.000000000000000	0.075937500000000	0
27000		-nan	-nan	0.40363	0.28944	0.000150000000000	1.000000000000000	0.075937500000000	0
27500		-nan	-nan	0.40372	0.28935	0.000150000000000	1.000000000000000	0.075937500000000	0
28000		-nan	-nan	0.40275	0.28927	0.000150000000000	1.000000000000000	0.075937500000000	0
28500		-nan	-nan	0.40438	0.28925	0.000150000000000	1.000000000000000	0.075937500000000	0
29000		-nan	-nan	0.40608	0.28933	0.000150000000000	1.000000000000000	0.075937500000000	0
29500		-nan	-nan	0.40781	0.28956	0.000150000000000	1.000000000000000	0.075937500000000	0
30000		-nan	-nan	0.40996	0.28963	0.000150000000000	1.000000000000000	0.075937500000000	0
30500		-nan	-nan	0.41193	0.28968	0.000150000000000	1.000000000000000	0.075937500000000	0
31000		-nan	-nan	0.41228	0.28957	0.000150000000000	1.000000000000000	0.075937500000000	0
31500		-nan	-nan	0.41228	0.28950	0.000150000000000	1.000000000000000	0.075937500000000	0
32000		-nan	-nan	0.41278	0.28950	0.000150000000000	1.000000000000000	0.075937500000000	0
32500		-nan	-nan	0.41133	0.28936	0.000150000000000	1.000000000000000	0.075937500000000	0
33000		-nan	-nan	0.41082	0.28921	0.000150000000000	1.000000000000000	0.075937500000000	0
33500		-nan	-nan	0.41142	0.28913	0.000150000000000	1.000000000000000	0.075937500000000	0
34000		-nan	-nan	0.41140	0.28912	0.000150000000000	1.000000000000000	0.075937500000000	0
34500		-nan	-nan	0.41019	0.28895	0.000150000000000	1.000000000000000	0.075937500000000	0
35000		-nan	-nan	0.40951	0.28888	0.000150000000000	1.000000000000000	0.075937500000000	0
35500		-nan	-nan	0.41000	0.28873	0.000150000000000	1.000000000000000	0.075937500000000	0
36000		-nan	-nan	0.41075	0.28877	0.000150000000000	1.000000000000000	0.075937500000000	0
36500		-nan	-nan	0.41029	0.28872	0.000150000000000	1.000000000000000	0.075937500000000	0
37000		-nan	-nan	0.41017	0.28870	0.000150000000000	1.000000000000000	0.075937500000000	0
37500		-nan	-nan	0.40854	0.28852	0.000150000000000	1.000000000000000	0.075937500000000	0
38000		-nan	-nan	0.40654	0.28835	0.000150000000000	1.000000000000000	0.075937500000000	0
38500		-nan	-nan	0.40469	0.28819	0.000150000000000	1.000000000000000	0.075937500000000	0
39000		-nan	-nan	0.40455	0.28817	0.000150000000000	1.000000000000000	0.075937500000000	0
39500		-nan	-nan	0.40578	0.28824	0.000150000000000	1.000000000000000	0.075937500000000	0
40000		-nan	-nan	0.40547	0.28827	0.000150000000000	1.000000000000000	0.075937500000000	0
40500		-nan	-nan	0.40453	0.28809	0.000150000000000	1.000000000000000	0.075937500000000	0
41000		-nan	-nan	0.40468	0.28802	0.000150000000000	1.000000000000000	0.075937500000000	0
41500		-nan	-nan	0.40597	0.28810	0.000150000000000	1.000000000000000	0.075937500000000	0
42000		-nan	-nan	0.40711	0.28816	0.000150000000000	1.000000000000000	0.075937500000000	0
42500		-nan	-nan	0.40877	0.28831	0.000150000000000	1.000000000000000	0.075937500000000	0
43000		-nan	-nan	0.41037	0.28842	0.000150000000000	1.000000000000000	0.075937500000000	0
43500		-nan	-nan	0.41129	0.28845	0.000150000000000	1.000000000000000	0.075937500000000	0
44000		-nan	-nan	0.41178	0.28845	0.000150000000000	1.000000000000000	0.075937500000000	0
44500		-nan	-nan	0.41267	0.28853	0.000150000000000	1.000000000000000	0.075937500000000	0
45000		-nan	-nan	0.41379	0.28855	0.000150000000000	1.000000000000000	0.075937500000000	0
45500		-nan	-nan	0.41344	0.28848	0.000150000000000	1.000000000000000	0.075937500000000	0
46000		-nan	-nan	0.41326	0.28836	0.000150000000000	1.000000000000000	0.075937500000000	0
46500		-nan	-nan	0.41425	0.28840	0.000150000000000	1.000000000000000	0.075937500000000	0
47000		-nan	-nan	0.41506	0.28845	0.000150000000000	1.000000000000000	0.075937500000000	0
47500		-nan	-nan	0.41338	0.28825	0.000150000000000	1.000000000000000	0.075937500000000	0
48000		-nan	-nan	0.41149	0.28816	0.000150000000000	1.000000000000000	0.075937500000000	0
48500		-nan	-nan	0.40898	0.28806	0.000150000000000	1.000000000000000	0.075937500000000	0
49000		-nan	-nan	0.40708	0.28794	0.000150000000000	1.000000000000000	0.075937500000000	0
49500		-nan	-nan	0.40738	0.28795	0.000150000000000	1.000000000000000	0.075937500000000	0
50000		-nan	-nan	0.40804	0.28802	0.000150000000000	1.000000000000000	0.075937500000000	0
50500		-nan	-nan	0.40871	0.28800	0.000150000000000	1.000000000000000	0.075937500000000	0
51000		-nan	-nan	0.40779	0.28795	0.000150000000000	1.000000000000000	0.075937500000000	0
51500		-nan	-nan	0.40747	0.28792	0.000150000000000	1.000000000000000	0.075937500000000	0
52000		-nan	-nan	0.40723	0.28783	0.000150000000000	1.000000000000000	0.075937500000000	0
52500		-nan	-nan	0.40646	0.28773	0.000150000000000	1.000000000000000	0.075937500000000	0
53000		-nan	-nan	0.40442	0.28762	0.000150000000000	1.000000000000000	0.075937500000000	0
53500		-nan	-nan	0.40433	0.28752	0.000150000000000	1.000000000000000	0.075937500000000	0
54000		-nan	-nan	0.40386	0.28744	0.000150000000000	1.000000000000000	0.075937500000000	0
54500		-nan	-nan	0.40300	0.28744	0.000150000000000	1.000000000000000	0.075937500000000	0
55000		-nan	-nan	0.40200	0.28736	0.000150000000000	1.000000000000000	0.075937500000000	0
55500		-nan	-nan	0.40043	0.28721	0.000150000000000	1.000000000000000	0.075937500000000	0
56000		-nan	-nan	0.40019	0.28715	0.000150000000000	1.000000000000000	0.075937500000000	0
56500		-nan	-nan	0.39985	0.28712	0.000150000000000	1.000000000000000	0.075937500000000	0
57000		-nan	-nan	0.39883	0.28701	0.000150000000000	1.000000000000000	0.075937500000000	0
57500		-nan	-nan	0.39745	0.28690	0.000150000000000	1.000000000000000	0.075937500000000	0
58000		-nan	-nan	0.39667	0.28686	0.000150000000000	1.000000000000000	0.075937500000000	0
58500		-nan	-nan	0.39546	0.28676	0.000150000000000	1.000000000000000	0.075937500000000	0
59000		-nan	-nan	0.39444	0.28672	0.000150000000000	1.000000000000000	0.075937500000000	0
59500		-nan	-nan	0.39495	0.28673	0.000150000000000	1.000000000000000	0.075937500000000	0
60000		-nan	-nan	0.39377	0.28660	0.000150000000000	1.000000000000000	0.075937500000000	0
60500		-nan	-nan	0.39336	0.28652	0.000150000000000	1.000000000000000	0.075937500000000	0
61000		-nan	-nan	0.39294	0.28649	0.000150000000000	1.000000000000000	0.075937500000000	0
61500		-nan	-nan	0.39232	0.28641	0.000150000000000	1.000000000000000	0.075937500000000	0
62000		-nan	-nan	0.39118	0.28637	0.000150000000000	1.000000000000000	0.075937500000000	0
62500		-nan	-nan	0.38972	0.28631	0.000150000000000	1.000000000000000	0.075937500000000	0
63000		-nan	-nan	0.38962	0.28632	0.000150000000000	1.000000000000000	0.075937500000000	0
63500		-nan	-nan	0.38992	0.28637	0.000150000000000	1.000000000000000	0.075937500000000	0
64000		-nan	-nan	0.38998	0.28634	0.000150000000000	1.000000000000000	0.075937500000000	0
64500		-nan	-nan	0.39015	0.28634	0.000150000000000	1.000000000000000	0.075937500000000	0
65000		-nan	-nan	0.38979	0.28630	0.000150000000000	1.000000000000000	0.075937500000000	0
65500		-nan	-nan	0.38986	0.28630	0.000150000000000	1.000000000000000	0.075937500000000	0
66000		-nan	-nan	0.38945	0.28625	0.000150000000000	1.000000000000000	0.075937500000000	0
66500		-nan	-nan	0.38984	0.28627	0.000150000000000	1.000000000000000	0.075937500000000	0
67000		-nan	-nan	0.39034	0.28634	0.000150000000000	1.000000000000000	0.075937500000000	0
67500		-nan	-nan	0.38995	0.28635	0.000150000000000	1.000000000000000	0.075937500000000	0
68000		-nan	-nan	0.39005	0.28631	0.000150000000000	1.000000000000000	0.075937500000000	0
68500		-nan	-nan	0.38929	0.28630	0.000150000000000	1.000000000000000	0.075937500000000	0
69000		-nan	-nan	0.38947	0.28627	0.000150000000000	1.000000000000000	0.075937500000000	0
69500		-nan	-nan	0.38982	0.28631	0.000150000000000	1.000000000000000	0.075937500000000	0
70000		-nan	-nan	0.39046	0.28633	0.000150000000000	1.000000000000000	0.075937500000000	0
70500		-nan	-nan	0.39066	0.28629	0.000150000000000	1.000000000000000	0.075937500000000	0
71000		-nan	-nan	0.39000	0.28622	0.000150000000000	1.000000000000000	0.075937500000000	0
71500		-nan	-nan	0.39013	0.28619	0.000150000000000	1.000000000000000	0.075937500000000	0
72000		-nan	-nan	0.39065	0.28621	0.000150000000000	1.000000000000000	0.075937500000000	0
72500		-nan	-nan	0.39130	0.28621	0.000150000000000	1.000000000000000	0.075937500000000	0
73000		-nan	-nan	0.39180	0.28623	0.000150000000000	1.000000000000000	0.075937500000000	0
73500		-nan	-nan	0.39199	0.28624	0.000150000000000	1.000000000000000	0.075937500000000	0
74000		-nan	-nan	0.39263	0.28633	0.000150000000000	1.000000000000000	0.075937500000000	0
74500		-nan	-nan	0.39276	0.28637	0.000150000000000	1.000000000000000	0.075937500000000	0
75000		-nan	-nan	0.39223	0.28635	0.000150000000000	1.000000000000000	0.075937500000000	0
75500		-nan	-nan	0.39164	0.28628	0.000150000000000	1.000000000000000	0.075937500000000	0
76000		-nan	-nan	0.39054	0.28620	0.000150000000000	1.000000000000000	0.075937500000000	0
76500		-nan	-nan	0.39019	0.28620	0.000150000000000	1.000000000000000	0.075937500000000	0
77000		-nan	-nan	0.38984	0.28615	0.000150000000000	1.000000000000000	0.075937500000000	0
77500		-nan	-nan	0.38952	0.28611	0.000150000000000	1.000000000000000	0.075937500000000	0
