"","R","w.mu","w.sigma","w.k","mu1","mu2","r.imp.cases","p.obs.cases","p.seq.data","type","n","prop.ances.ok","msup.ances","msup.kappa","merr.date","prop.imp.ok","mu.ok","mu1.ok","mu2.ok","merr.pi","time"
"4.631268e+12",1.5,2,0.7,5,8e-05,2e-05,0.05,1,1,"base-fixedMu",85,0.75609756097561,0.536966463414634,0.607647058823529,0.799558823529412,1,1,1,1,0.321214810115452,827
"4.631268e+121",1.5,2,0.7,5,8e-05,2e-05,0.05,1,1,"base-fixedMu",85,0.75609756097561,0.529420731707317,0.599264705882353,0.800147058823529,1,1,1,1,0.321505010286088,677
"147973f178",1.5,2,0.7,5,8e-05,2e-05,0.05,1,1,"base",129,0.728,0.350992063492063,0.547868217054264,0.791036821705426,1,0,0,0,0.382382520782085,2614
"1a34d0970f",1.5,2,0.7,5,8e-05,2e-05,0.05,1,1,"base-fixedMu",111,0.581818181818182,0.410454545454545,0.623592342342342,0.774662162162162,NA,1,1,1,0.316648137649112,1330
"1a34d0970f1",1.5,2,0.7,5,8e-05,2e-05,0.05,1,1,"base",111,0.490909090909091,0.216079545454545,0.544369369369369,0.796903153153153,NA,0,0,1,0.401418219436586,1084
"1bb3c5f3d4",1.5,2,0.7,5,8e-05,2e-05,0.05,1,1,"base-fixedMu",106,0.72,0.476608910891089,0.546580188679245,0.701591981132075,0.75,1,1,1,0.375562753568518,1751
"1bb3c5f3d41",1.5,2,0.7,5,8e-05,2e-05,0.05,1,1,"base",106,0.485148514851485,0.204888613861386,0.402417452830189,0.747110849056604,0.5,0,0,1,0.551406916701142,861
"1c60554c3e",1.5,2,0.7,5,8e-05,2e-05,0.05,1,1,"base-fixedMu",109,0.580952380952381,0.38375,0.56118119266055,0.875,1,1,1,1,0.358920731850132,1270
"1c60554c3e1",1.5,2,0.7,5,8e-05,2e-05,0.05,1,1,"base",109,0.514285714285714,0.286904761904762,0.523107798165138,0.884747706422018,1,0,0,1,0.39830890611591,1889
"23fd0c6544",1.5,2,0.7,5,8e-05,2e-05,0.05,1,1,"base-fixedMu",94,0.688172043010753,0.439650537634409,0.626529255319149,0.848337765957447,NA,1,1,1,0.305974929511191,962
"23fd0c65441",1.5,2,0.7,5,8e-05,2e-05,0.05,1,1,"base",94,0.623655913978495,0.331720430107527,0.590359042553191,0.862433510638298,NA,0,0,0,0.345305944007351,1377
"2e0546952a",1.5,2,0.7,5,8e-05,2e-05,0.05,1,1,"base-fixedMu",96,0.652173913043478,0.451494565217391,0.5765625,0.727604166666667,1,1,1,1,0.347809889697676,1422
"2e0546952a1",1.5,2,0.7,5,8e-05,2e-05,0.05,1,1,"base",96,0.608695652173913,0.375067934782609,0.556575520833333,0.740625,1,0,0,1,0.3683835445588,1436
"2fe8d3a294",1.5,2,0.7,5,8e-05,2e-05,0.05,1,1,"base-fixedMu",82,0.807692307692308,0.475080128205128,0.586737804878049,0.712042682926829,1,1,1,1,0.343330559608704,992
"2fe8d3a2941",1.5,2,0.7,5,8e-05,2e-05,0.05,1,1,"base",82,0.576923076923077,0.233974358974359,0.463643292682927,0.749085365853659,0.666666666666667,0,0,0,0.488414005495796,691
"30d6b33d80",1.5,2,0.7,5,8e-05,2e-05,0.05,1,1,"base-fixedMu",47,0.630434782608696,0.483288043478261,0.724468085106383,0.752393617021277,NA,1,1,1,0.239531057049478,217
"30d6b33d801",1.5,2,0.7,5,8e-05,2e-05,0.05,1,1,"base",47,0.608695652173913,0.467527173913043,0.717952127659575,0.75811170212766,NA,1,1,1,0.262024809829494,151
