step	post	like	prior	mu1	mu2	gamma	pi	Tinf_1	Tinf_2	Tinf_3	Tinf_4	Tinf_5	Tinf_6	Tinf_7	Tinf_8	Tinf_9	Tinf_10	Tinf_11	Tinf_12	Tinf_13	Tinf_14	alpha_1	alpha_2	alpha_3	alpha_4	alpha_5	alpha_6	alpha_7	alpha_8	alpha_9	alpha_10	alpha_11	alpha_12	alpha_13	alpha_14	kappa_1	kappa_2	kappa_3	kappa_4	kappa_5	kappa_6	kappa_7	kappa_8	kappa_9	kappa_10	kappa_11	kappa_12	kappa_13	kappa_14
1	-150.027693337174838	-156.883181288134210	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.777952639231110	3	5	4	4	7	6	5	8	8	10	11	12	14	17	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	2	1	3	3	4	4	5	6	7
500	-82.628396506105801	-89.483884457065173	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.823593246421779	3	5	5	4	7	6	6	9	9	10	10	12	14	17	0	1	1	1	4	2	2	1	5	2	5	11	12	13	1	1	1	1	1	1	1	2	1	2	1	2	1	1
1000	-83.195433173677173	-90.050921124636545	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.634456482018274	2	5	4	4	7	6	4	9	9	11	11	12	14	18	0	1	1	1	2	1	1	2	5	2	5	9	12	13	1	2	1	1	1	2	1	2	2	2	3	1	1	2
1500	-91.145867085528479	-98.001355036487851	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.876248041453009	3	5	5	5	8	7	5	8	7	9	11	12	14	17	0	1	1	1	4	2	1	1	2	2	5	11	12	13	1	1	2	1	2	1	1	3	1	2	1	1	1	2
2000	-81.134569668109535	-87.990057619068907	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.834533508818351	3	5	4	5	7	7	5	7	9	7	11	13	14	17	0	1	1	1	7	2	1	2	5	2	5	11	12	13	1	1	1	1	1	1	2	1	1	1	2	1	1	1
2500	-89.805237960225611	-96.660725911184983	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.594982229447308	3	5	4	5	6	7	5	8	8	10	9	12	14	17	0	1	1	1	4	1	1	1	5	6	5	11	12	13	1	1	1	1	1	2	1	3	2	3	2	1	1	1
3000	-75.712206537213362	-82.567694488172734	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.938367248344310	3	5	5	4	7	5	5	7	9	9	10	12	15	17	0	1	1	1	4	1	1	2	5	5	5	5	12	13	1	1	1	1	2	1	1	1	1	1	1	2	1	1
3500	-88.417721449824683	-95.273209400784054	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.666689366255351	2	4	4	4	6	6	5	8	8	9	11	12	13	17	0	1	1	1	4	2	1	3	5	2	5	5	12	13	1	1	1	1	1	1	1	2	1	2	2	2	1	1
4000	-84.883629352219714	-91.739117303179086	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.700893456185831	3	6	4	4	7	7	5	8	9	10	11	10	15	17	0	3	1	1	4	1	1	2	5	2	5	5	12	13	1	1	1	1	1	1	1	1	1	3	2	2	2	1
4500	-77.970836914589356	-84.826324865548727	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.732046907223973	3	5	5	5	7	6	5	9	8	10	11	11	14	16	0	1	1	1	4	1	1	2	5	2	5	5	12	13	1	1	1	1	1	2	1	2	1	2	2	2	1	1
5000	-85.286016737148586	-92.141504688107958	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.790310713707566	3	5	5	5	7	7	5	9	9	10	11	13	14	16	0	1	1	1	4	1	1	2	5	2	9	5	12	13	1	1	1	1	1	1	1	2	2	3	1	2	1	1
5500	-85.683268590052478	-92.538756541011850	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.681318897229113	3	4	4	5	8	6	5	8	9	9	11	10	15	17	0	1	1	1	4	2	1	1	5	2	5	5	12	13	1	1	1	1	1	1	1	2	1	3	2	1	2	2
6000	-81.124124900479771	-87.979612851439143	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.568700961346193	2	4	4	4	7	5	5	8	8	9	9	12	14	17	0	1	1	1	4	2	1	2	5	7	5	5	12	13	1	1	1	1	2	1	2	2	1	2	1	2	1	1
6500	-86.815553372360114	-93.671041323319486	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.629160193825107	3	5	5	5	7	6	6	8	9	9	11	12	13	17	0	1	1	1	4	2	1	1	5	7	5	11	12	13	1	1	1	1	1	1	1	3	1	2	2	1	1	3
7000	-82.317322281034450	-89.172810231993822	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.724667829736684	3	6	4	4	7	5	6	9	8	10	11	13	14	17	0	1	1	1	4	1	1	2	5	2	5	9	12	12	1	2	1	1	2	1	2	2	1	2	2	2	1	2
7500	-88.449996641242819	-95.305484592202191	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.690838947782433	3	4	5	5	7	7	6	8	8	10	11	12	14	17	0	1	1	1	4	1	2	2	5	2	5	11	12	12	1	1	1	1	1	2	1	3	1	2	1	1	1	2
8000	-80.476255646620999	-87.331743597580370	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.493602997225563	3	5	5	4	7	6	5	8	8	10	10	11	14	16	0	1	1	1	4	1	1	5	5	2	5	5	12	13	1	1	1	1	2	2	1	1	1	3	2	2	2	1
8500	-89.986860104742945	-96.842348055702317	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.605370019609609	3	5	4	4	6	7	5	9	9	10	11	11	14	16	0	1	1	1	4	2	1	1	5	1	5	5	12	12	1	1	1	1	1	1	1	2	2	3	2	4	1	3
9000	-80.097540149172673	-86.953028100132045	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.619462041250418	3	5	5	5	6	7	6	7	8	10	11	13	15	17	0	1	1	1	4	2	1	2	5	2	5	11	12	13	1	1	1	1	1	1	1	1	1	1	3	1	1	1
