step	post	like	prior	mu1	mu2	gamma	pi	Tinf_1	Tinf_2	Tinf_3	Tinf_4	Tinf_5	Tinf_6	Tinf_7	Tinf_8	Tinf_9	Tinf_10	Tinf_11	Tinf_12	Tinf_13	Tinf_14	Tinf_15	Tinf_16	Tinf_17	Tinf_18	Tinf_19	Tinf_20	Tinf_21	Tinf_22	Tinf_23	Tinf_24	Tinf_25	Tinf_26	Tinf_27	Tinf_28	alpha_1	alpha_2	alpha_3	alpha_4	alpha_5	alpha_6	alpha_7	alpha_8	alpha_9	alpha_10	alpha_11	alpha_12	alpha_13	alpha_14	alpha_15	alpha_16	alpha_17	alpha_18	alpha_19	alpha_20	alpha_21	alpha_22	alpha_23	alpha_24	alpha_25	alpha_26	alpha_27	alpha_28	kappa_1	kappa_2	kappa_3	kappa_4	kappa_5	kappa_6	kappa_7	kappa_8	kappa_9	kappa_10	kappa_11	kappa_12	kappa_13	kappa_14	kappa_15	kappa_16	kappa_17	kappa_18	kappa_19	kappa_20	kappa_21	kappa_22	kappa_23	kappa_24	kappa_25	kappa_26	kappa_27	kappa_28
1	-3229.087449037547231	-3235.942936988506517	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.562142825579303	3	6	6	6	5	7	9	9	11	11	12	12	13	14	13	14	17	17	19	20	20	22	23	25	25	27	28	32	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	2	2	1	2	3	3	4	4	5	5	5	6	5	6	7	7	8	9	9	10	10	11	11	12	13	15
500	-349.410935555610820	-356.266423506570220	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.408641777811621	4	7	6	5	6	5	10	10	12	10	10	12	13	15	12	14	17	17	19	19	18	21	23	25	26	27	29	33	0	4	1	0	4	0	5	1	4	6	5	4	5	9	2	15	13	13	18	21	12	18	21	7	0	21	12	12	1	1	1	1	1	1	2	3	2	3	2	4	4	2	2	1	2	1	2	1	2	2	3	9	1	6	9	10
1000	-272.651130663101355	-279.506618614060756	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.373750572479994	3	7	6	4	5	8	9	9	10	11	12	12	12	14	13	14	17	18	19	19	20	22	21	25	24	28	27	32	0	4	1	0	4	0	5	1	4	6	7	7	9	15	5	12	15	12	18	15	20	18	20	12	0	15	24	21	1	1	1	1	1	1	2	3	5	2	1	2	1	1	4	1	2	4	1	4	1	2	1	7	1	6	1	7
1500	-275.585778050251918	-282.441266001211318	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.422070975018595	3	6	6	3	5	7	10	10	11	11	11	13	13	14	13	15	17	17	19	21	20	23	23	25	25	26	28	32	0	5	1	0	4	0	5	3	7	6	5	11	9	7	11	12	11	11	18	21	15	18	21	18	0	15	24	21	1	1	1	1	1	1	3	2	1	2	3	1	1	2	1	1	3	3	2	1	2	2	2	5	1	6	2	6
2000	-265.025208254557867	-271.880696205517268	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.496221096992841	3	7	5	5	6	8	10	10	9	11	12	13	13	15	12	15	17	17	20	20	20	22	23	25	25	28	27	32	0	4	1	0	4	0	5	1	4	6	7	7	2	13	7	15	7	9	18	12	13	18	21	8	0	21	24	26	1	1	1	1	1	1	2	4	2	2	1	2	3	2	1	2	4	3	1	3	3	2	2	5	1	3	1	3
2500	-265.366621753966740	-272.222109704926140	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.504872034411676	4	6	6	5	6	7	8	8	11	11	13	13	12	13	13	14	17	16	18	19	21	22	23	25	26	26	29	31	0	4	1	0	4	0	5	1	5	6	13	9	7	13	13	15	13	16	18	15	15	18	21	20	0	21	24	23	1	1	1	1	1	1	1	2	2	2	1	1	2	1	1	1	2	1	1	3	4	2	1	4	1	2	3	4
3000	-274.751436584810506	-281.606924535769906	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.496590946971120	4	7	6	5	6	6	10	8	11	10	11	10	13	14	13	13	16	17	19	18	20	21	24	25	25	25	29	32	0	4	1	0	4	0	5	3	7	6	7	5	5	12	2	12	7	15	18	12	15	18	15	15	0	21	24	23	1	1	1	1	1	1	3	1	1	2	1	2	3	2	2	1	3	2	1	3	3	3	5	8	1	2	2	4
3500	-266.729765212784287	-273.585253163743687	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.488838666154934	3	6	7	4	5	7	9	9	11	10	13	12	13	14	14	14	17	16	19	18	21	21	24	25	22	27	28	30	0	4	1	0	4	0	5	3	4	6	9	9	5	13	12	12	13	12	18	9	13	18	21	20	0	21	24	21	1	1	3	1	1	1	2	2	4	2	2	1	3	1	1	1	2	2	2	3	4	3	1	3	1	3	1	5
4000	-245.367551628252130	-252.223039579211502	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.453695280206491	3	6	5	3	6	7	10	10	11	11	12	12	12	13	13	15	17	17	19	21	20	21	24	26	25	27	28	33	0	4	1	0	4	0	5	3	7	6	7	7	5	5	7	15	7	14	18	14	7	18	21	14	0	21	24	26	1	2	1	1	1	1	2	2	1	2	1	1	2	4	1	1	4	2	1	3	4	2	2	8	1	3	1	3
4500	-262.693089329810846	-269.548577280770246	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.548052810270791	3	6	7	4	6	7	9	10	11	11	12	11	13	15	14	14	15	18	19	20	20	23	22	25	25	27	29	33	0	4	1	0	4	0	4	1	7	6	5	4	7	16	7	12	13	7	12	15	15	18	21	12	0	23	24	26	1	1	3	1	1	1	3	3	1	2	3	4	2	1	2	1	1	3	3	2	2	3	1	7	1	3	3	4
