step	p_accept_mu1	p_accept_gamma	p_accept_pi	p_accept_Tinf	sigma_mu1	sigma_gamma	sigma_pi	n_like_zero
1		1.00000	1.00000	0.42478	1.00000	0.000100000000000	1.000000000000000	0.010000000000000	0
500		1.00000	1.00000	0.43038	0.36433	0.000100000000000	1.000000000000000	0.010000000000000	0
1000		-nan	-nan	0.43678	0.35566	0.000150000000000	1.000000000000000	0.010000000000000	0
1500		-nan	-nan	0.44292	0.35577	0.000150000000000	1.000000000000000	0.010000000000000	0
2000		-nan	-nan	0.44902	0.35008	0.000150000000000	1.000000000000000	0.010000000000000	0
2500		-nan	-nan	0.45520	0.35518	0.000150000000000	1.000000000000000	0.010000000000000	0
3000		-nan	-nan	0.46111	0.35695	0.000150000000000	1.000000000000000	0.010000000000000	0
3500		-nan	-nan	0.46678	0.35464	0.000150000000000	1.000000000000000	0.010000000000000	0
4000		-nan	-nan	0.47253	0.35481	0.000150000000000	1.000000000000000	0.010000000000000	0
4500		-nan	-nan	0.47779	0.35292	0.000150000000000	1.000000000000000	0.010000000000000	0
5000		-nan	-nan	0.48331	0.35247	0.000150000000000	1.000000000000000	0.010000000000000	0
5500		-nan	-nan	0.48866	0.35381	0.000150000000000	1.000000000000000	0.010000000000000	0
6000		-nan	-nan	0.49403	0.35411	0.000150000000000	1.000000000000000	0.010000000000000	0
6500		-nan	-nan	0.49937	0.35384	0.000150000000000	1.000000000000000	0.010000000000000	0
7000		-nan	-nan	0.50454	0.35355	0.000150000000000	1.000000000000000	0.010000000000000	0
7500		-nan	-nan	0.50936	0.35389	0.000150000000000	1.000000000000000	0.010000000000000	0
8000		-nan	-nan	0.51389	0.35368	0.000150000000000	1.000000000000000	0.010000000000000	0
8500		-nan	-nan	0.51872	0.35355	0.000150000000000	1.000000000000000	0.010000000000000	0
9000		-nan	-nan	0.52336	0.35313	0.000150000000000	1.000000000000000	0.010000000000000	0
9500		-nan	-nan	0.52749	0.35329	0.000150000000000	1.000000000000000	0.010000000000000	0
10000		-nan	-nan	0.53163	0.35345	0.000150000000000	1.000000000000000	0.010000000000000	0
10500		-nan	-nan	0.53597	0.35381	0.000150000000000	1.000000000000000	0.010000000000000	0
11000		-nan	-nan	0.53991	0.35300	0.000150000000000	1.000000000000000	0.010000000000000	0
11500		-nan	-nan	0.54399	0.35305	0.000150000000000	1.000000000000000	0.010000000000000	0
12000		-nan	-nan	0.54814	0.35325	0.000150000000000	1.000000000000000	0.010000000000000	0
12500		-nan	-nan	0.55218	0.35337	0.000150000000000	1.000000000000000	0.010000000000000	0
13000		-nan	-nan	0.55623	0.35335	0.000150000000000	1.000000000000000	0.010000000000000	0
13500		-nan	-nan	0.56016	0.35412	0.000150000000000	1.000000000000000	0.010000000000000	0
14000		-nan	-nan	0.56386	0.35431	0.000150000000000	1.000000000000000	0.010000000000000	0
14500		-nan	-nan	0.56766	0.35439	0.000150000000000	1.000000000000000	0.010000000000000	0
15000		-nan	-nan	0.57127	0.35491	0.000150000000000	1.000000000000000	0.010000000000000	0
15500		-nan	-nan	0.57497	0.35499	0.000150000000000	1.000000000000000	0.010000000000000	0
16000		-nan	-nan	0.57844	0.35473	0.000150000000000	1.000000000000000	0.010000000000000	0
16500		-nan	-nan	0.58194	0.35470	0.000150000000000	1.000000000000000	0.010000000000000	0
17000		-nan	-nan	0.58537	0.35426	0.000150000000000	1.000000000000000	0.010000000000000	0
17500		-nan	-nan	0.58861	0.35453	0.000150000000000	1.000000000000000	0.010000000000000	0
18000		-nan	-nan	0.59189	0.35450	0.000150000000000	1.000000000000000	0.010000000000000	0
18500		-nan	-nan	0.59518	0.35373	0.000150000000000	1.000000000000000	0.010000000000000	0
19000		-nan	-nan	0.59841	0.35368	0.000150000000000	1.000000000000000	0.010000000000000	0
19500		-nan	-nan	0.60159	0.35382	0.000150000000000	1.000000000000000	0.010000000000000	0
20000		-nan	-nan	0.60470	0.35391	0.000150000000000	1.000000000000000	0.010000000000000	0
20500		-nan	-nan	0.60775	0.35402	0.000150000000000	1.000000000000000	0.010000000000000	0
21000		-nan	-nan	0.61074	0.35385	0.000150000000000	1.000000000000000	0.010000000000000	0
21500		-nan	-nan	0.61374	0.35404	0.000150000000000	1.000000000000000	0.010000000000000	0
22000		-nan	-nan	0.61671	0.35443	0.000150000000000	1.000000000000000	0.010000000000000	0
22500		-nan	-nan	0.61960	0.35432	0.000150000000000	1.000000000000000	0.010000000000000	0
23000		-nan	-nan	0.62231	0.35445	0.000150000000000	1.000000000000000	0.010000000000000	0
23500		-nan	-nan	0.62520	0.35474	0.000150000000000	1.000000000000000	0.010000000000000	0
24000		-nan	-nan	0.62796	0.35481	0.000150000000000	1.000000000000000	0.010000000000000	0
24500		-nan	-nan	0.63070	0.35532	0.000150000000000	1.000000000000000	0.010000000000000	0
25000		-nan	-nan	0.63317	0.35520	0.000150000000000	1.000000000000000	0.010000000000000	0
25500		-nan	-nan	0.63559	0.35508	0.000150000000000	1.000000000000000	0.010000000000000	0
26000		-nan	-nan	0.63811	0.35498	0.000150000000000	1.000000000000000	0.010000000000000	0
