step	p_accept_mu1	p_accept_gamma	p_accept_pi	p_accept_Tinf	sigma_mu1	sigma_gamma	sigma_pi	n_like_zero
1		1.00000	1.00000	1.00000	1.00000	0.000100000000000	1.000000000000000	0.010000000000000	0
500		1.00000	1.00000	1.00000	0.35120	0.000100000000000	1.000000000000000	0.010000000000000	0
1000		-nan	-nan	0.99400	0.34184	0.000150000000000	1.000000000000000	0.015000000000000	0
1500		-nan	-nan	0.97800	0.33939	0.000150000000000	1.000000000000000	0.022500000000000	0
2000		-nan	-nan	0.93000	0.34242	0.000150000000000	1.000000000000000	0.033750000000000	0
2500		-nan	-nan	0.93600	0.33904	0.000150000000000	1.000000000000000	0.050625000000000	0
3000		-nan	-nan	0.90000	0.33645	0.000150000000000	1.000000000000000	0.075937500000000	0
3500		-nan	-nan	0.85600	0.33567	0.000150000000000	1.000000000000000	0.113906250000000	0
4000		-nan	-nan	0.77800	0.33433	0.000150000000000	1.000000000000000	0.170859375000000	0
4500		-nan	-nan	0.66800	0.33596	0.000150000000000	1.000000000000000	0.256289062500000	0
5000		-nan	-nan	0.57000	0.33467	0.000150000000000	1.000000000000000	0.384433593750000	0
5500		-nan	-nan	0.48000	0.33192	0.000150000000000	1.000000000000000	0.576650390625000	0
6000		-nan	-nan	0.51000	0.33364	0.000150000000000	1.000000000000000	0.576650390625000	0
6500		-nan	-nan	0.50200	0.33340	0.000150000000000	1.000000000000000	0.576650390625000	0
7000		-nan	-nan	0.50050	0.32830	0.000150000000000	1.000000000000000	0.576650390625000	0
7500		-nan	-nan	0.50720	0.32858	0.000150000000000	1.000000000000000	0.576650390625000	0
8000		-nan	-nan	0.50467	0.32926	0.000150000000000	1.000000000000000	0.576650390625000	0
8500		-nan	-nan	0.50286	0.32977	0.000150000000000	1.000000000000000	0.576650390625000	0
9000		-nan	-nan	0.49950	0.33012	0.000150000000000	1.000000000000000	0.576650390625000	0
9500		-nan	-nan	0.49889	0.33051	0.000150000000000	1.000000000000000	0.576650390625000	0
10000		-nan	-nan	0.50080	0.32911	0.000150000000000	1.000000000000000	0.576650390625000	0
10500		-nan	-nan	0.50182	0.32910	0.000150000000000	1.000000000000000	0.576650390625000	0
11000		-nan	-nan	0.50217	0.32919	0.000150000000000	1.000000000000000	0.576650390625000	0
11500		-nan	-nan	0.50400	0.32905	0.000150000000000	1.000000000000000	0.576650390625000	0
12000		-nan	-nan	0.50657	0.32871	0.000150000000000	1.000000000000000	0.576650390625000	0
12500		-nan	-nan	0.50507	0.32903	0.000150000000000	1.000000000000000	0.576650390625000	0
13000		-nan	-nan	0.50362	0.32960	0.000150000000000	1.000000000000000	0.576650390625000	0
13500		-nan	-nan	0.50071	0.33034	0.000150000000000	1.000000000000000	0.576650390625000	0
14000		-nan	-nan	0.50156	0.32999	0.000150000000000	1.000000000000000	0.576650390625000	0
14500		-nan	-nan	0.50274	0.32942	0.000150000000000	1.000000000000000	0.576650390625000	0
15000		-nan	-nan	0.50280	0.33042	0.000150000000000	1.000000000000000	0.576650390625000	0
15500		-nan	-nan	0.50076	0.33070	0.000150000000000	1.000000000000000	0.576650390625000	0
16000		-nan	-nan	0.49982	0.33104	0.000150000000000	1.000000000000000	0.576650390625000	0
16500		-nan	-nan	0.50009	0.33040	0.000150000000000	1.000000000000000	0.576650390625000	0
17000		-nan	-nan	0.49900	0.33068	0.000150000000000	1.000000000000000	0.576650390625000	0
17500		-nan	-nan	0.49736	0.33172	0.000150000000000	1.000000000000000	0.576650390625000	0
18000		-nan	-nan	0.49562	0.33221	0.000150000000000	1.000000000000000	0.576650390625000	0
18500		-nan	-nan	0.49496	0.33246	0.000150000000000	1.000000000000000	0.576650390625000	0
19000		-nan	-nan	0.49614	0.33182	0.000150000000000	1.000000000000000	0.576650390625000	0
19500		-nan	-nan	0.49469	0.33147	0.000150000000000	1.000000000000000	0.576650390625000	0
20000		-nan	-nan	0.49487	0.33189	0.000150000000000	1.000000000000000	0.576650390625000	0
20500		-nan	-nan	0.49445	0.33221	0.000150000000000	1.000000000000000	0.576650390625000	0
21000		-nan	-nan	0.49531	0.33263	0.000150000000000	1.000000000000000	0.576650390625000	0
21500		-nan	-nan	0.49552	0.33254	0.000150000000000	1.000000000000000	0.576650390625000	0
22000		-nan	-nan	0.49406	0.33252	0.000150000000000	1.000000000000000	0.576650390625000	0
22500		-nan	-nan	0.49383	0.33224	0.000150000000000	1.000000000000000	0.576650390625000	0
23000		-nan	-nan	0.49383	0.33262	0.000150000000000	1.000000000000000	0.576650390625000	0
