step	post	like	prior	mu1	mu2	gamma	pi	Tinf_1	Tinf_2	Tinf_3	Tinf_4	Tinf_5	Tinf_6	Tinf_7	Tinf_8	Tinf_9	Tinf_10	Tinf_11	Tinf_12	Tinf_13	Tinf_14	Tinf_15	Tinf_16	Tinf_17	Tinf_18	Tinf_19	alpha_1	alpha_2	alpha_3	alpha_4	alpha_5	alpha_6	alpha_7	alpha_8	alpha_9	alpha_10	alpha_11	alpha_12	alpha_13	alpha_14	alpha_15	alpha_16	alpha_17	alpha_18	alpha_19	kappa_1	kappa_2	kappa_3	kappa_4	kappa_5	kappa_6	kappa_7	kappa_8	kappa_9	kappa_10	kappa_11	kappa_12	kappa_13	kappa_14	kappa_15	kappa_16	kappa_17	kappa_18	kappa_19
1	-358.410664834186662	-365.266152785146062	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.787536525672469	-1	2	2	4	6	7	5	7	7	8	9	8	12	12	14	15	15	17	20	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	2	3	4	4	3	4	4	5	5	5	7	7	8	8	8	9	11
500	-130.411626774225709	-137.267114725185081	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.590333465657416	-2	1	3	4	5	8	5	6	7	8	9	8	12	12	13	15	13	17	20	0	1	1	2	3	2	3	2	2	3	10	2	11	8	9	15	0	17	18	1	1	2	1	1	5	1	3	3	2	1	3	1	2	3	1	1	2	3
1000	-113.981507899296290	-120.836995850255661	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.486847861902263	0	2	3	4	6	7	5	8	7	8	10	8	12	12	12	15	16	17	20	0	1	1	3	1	5	3	9	5	3	3	1	10	9	5	5	0	17	17	1	1	1	1	2	1	1	1	1	2	3	4	2	3	2	4	1	1	2
1500	-118.087564126995318	-124.943052077954690	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.693832107834896	0	2	3	5	4	8	5	7	7	8	9	7	13	12	13	15	15	17	20	0	1	1	1	2	8	5	5	5	3	4	7	11	9	8	15	0	17	18	1	1	1	2	1	1	1	1	1	3	2	1	3	2	2	1	1	1	2
2000	-112.231342353868868	-119.086830304828240	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.780541073538546	0	2	3	4	6	8	5	6	8	8	9	6	13	13	14	13	15	18	19	0	1	2	2	3	8	2	3	8	8	4	7	11	8	16	10	0	17	18	1	1	1	1	2	1	2	1	1	1	2	1	2	2	1	2	1	2	1
2500	-112.256420673198804	-119.111908624158175	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.591243924103714	0	3	3	5	5	7	6	6	7	7	10	7	12	10	15	16	12	16	20	0	1	1	1	1	5	5	5	8	4	2	5	11	9	5	15	0	17	18	1	1	1	2	3	2	1	1	1	1	4	1	1	1	5	1	1	2	2
3000	-120.147213130749648	-127.002701081709020	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.502934441708744	-1	3	1	4	6	6	5	8	7	7	9	8	12	12	12	15	15	17	21	0	3	1	3	2	3	2	9	3	2	9	2	10	9	10	10	0	17	18	1	1	1	1	2	2	1	1	4	3	1	2	3	3	2	3	1	1	2
3500	-122.607716964927732	-129.463204915887104	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.668042832362101	-1	2	1	3	5	7	4	8	6	8	10	8	12	12	14	15	14	17	21	0	1	1	3	3	5	2	2	2	2	4	5	10	10	11	11	0	17	18	1	2	1	1	2	1	2	3	3	2	4	2	2	1	2	4	1	2	2
4000	-121.876790226314625	-128.732278177273997	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.593217205719042	-1	2	3	4	7	8	4	8	7	8	7	6	10	11	14	16	14	16	19	0	1	2	3	2	11	2	9	3	11	1	7	5	9	10	10	0	17	18	1	1	1	1	3	1	1	1	2	1	4	1	1	2	3	3	1	2	2
4500	-110.893085527253930	-117.748573478213302	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.623063232146971	0	2	2	4	5	8	5	6	7	8	10	8	12	12	13	16	15	18	21	0	1	1	3	3	5	2	5	5	2	10	3	11	9	10	5	0	17	18	1	1	1	1	2	1	1	1	1	2	1	3	1	3	3	6	1	2	1
5000	-121.069844894277267	-127.925332845236639	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.552194346021496	-1	2	3	5	6	7	4	8	7	9	9	8	12	12	14	12	13	17	21	0	1	2	3	3	7	3	9	4	3	3	7	4	9	16	10	0	17	18	1	2	1	2	1	2	1	1	1	3	2	2	4	2	1	2	1	2	3
5500	-114.710873089368405	-121.566361040327777	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.835012849678488	-1	3	2	4	6	8	5	8	7	7	10	7	11	10	14	15	15	17	20	0	3	1	2	7	5	2	10	3	7	4	7	11	8	10	11	0	17	17	1	1	2	1	1	1	1	1	2	1	2	1	1	1	3	2	1	1	2
6000	-103.238760650615589	-110.094248601574961	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.611918023714083	0	2	2	4	5	6	5	7	8	8	9	7	13	12	13	15	15	18	20	0	1	1	2	3	7	3	5	5	2	10	5	11	9	10	15	0	17	18	1	1	1	1	2	1	2	1	2	2	1	1	1	2	3	1	1	2	1
6500	-128.199057977182292	-135.054545928141664	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.600364417574997	-1	2	1	5	5	8	3	8	7	9	9	9	12	11	14	15	15	18	19	0	1	1	2	2	7	1	5	1	5	5	5	11	9	5	10	0	17	17	1	2	2	1	1	2	2	1	4	2	2	2	1	1	3	3	1	2	2
7000	-109.520163206536552	-116.375651157495923	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.735328712063674	0	2	2	3	5	7	5	7	6	7	7	8	12	11	14	15	14	18	21	0	1	1	3	2	7	4	9	5	5	4	7	11	8	11	15	0	17	18	1	1	1	1	1	1	1	1	1	1	2	1	2	2	3	1	1	2	1
7500	-108.174343587078624	-115.029831538037996	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.401229677164704	-1	3	1	5	5	8	5	6	7	8	9	9	12	13	14	15	13	17	20	0	3	1	2	2	7	3	5	8	5	4	7	4	9	10	15	0	17	18	1	1	1	1	1	2	2	1	1	2	2	2	3	3	2	1	1	2	2
8000	-108.006265272609909	-114.861753223569281	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.623676467966744	0	3	2	5	7	7	6	7	8	8	9	9	12	12	13	15	15	17	19	0	3	1	2	2	7	2	2	8	7	4	5	11	9	10	14	0	17	18	1	1	1	1	2	1	1	2	1	1	2	1	2	3	2	2	1	2	1
8500	-112.537005089936017	-119.392493040895388	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.703251103193422	0	2	2	4	6	8	4	8	8	7	9	7	12	10	12	16	15	17	20	0	1	1	1	1	3	3	10	5	3	4	7	11	9	10	15	0	17	18	1	1	1	2	2	3	1	1	1	2	2	1	2	1	3	1	1	1	2
9000	-118.278796337327734	-125.134284288287105	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.654016505897103	0	2	2	4	6	7	6	6	7	9	9	8	11	12	14	15	15	17	20	0	1	1	3	3	2	3	1	8	5	4	5	2	8	10	15	0	17	17	1	1	1	1	2	2	1	2	1	2	2	1	3	3	2	1	1	2	3
9500	-126.213490260206214	-133.068978211165586	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.588117924597485	-2	3	2	3	5	7	5	6	8	9	10	8	13	12	14	15	16	17	21	0	1	1	1	3	5	3	3	5	5	8	5	11	9	10	11	0	17	18	1	2	3	2	1	1	2	2	1	2	1	2	1	2	2	2	1	1	2
10000	-120.754295195274750	-127.609783146234122	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.677839766368439	-1	1	3	4	5	7	5	7	8	8	9	8	12	12	15	13	15	16	19	0	1	2	2	3	7	3	3	3	5	4	5	11	9	10	2	0	17	18	1	1	1	1	1	1	1	1	2	1	2	1	2	2	3	3	1	1	2
10500	-125.612935631251560	-132.468423582210931	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.614721521721626	-1	1	2	3	6	7	5	8	7	7	9	7	12	11	15	15	15	18	21	0	1	1	1	3	7	2	5	7	4	5	5	11	10	10	3	0	17	18	1	1	2	3	4	1	2	1	1	2	1	1	2	2	3	6	1	2	1
11000	-110.930476855923189	-117.785964806882561	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.579026196659656	-1	1	3	4	4	5	6	7	6	7	8	8	13	12	14	16	14	17	19	0	1	2	3	2	5	5	9	5	3	4	5	11	8	11	15	0	17	17	1	1	1	1	2	1	1	1	1	2	2	2	2	3	4	1	1	2	2
