step	p_accept_mu1	p_accept_gamma	p_accept_pi	p_accept_Tinf	sigma_mu1	sigma_gamma	sigma_pi	n_like_zero
1		1.00000	1.00000	1.00000	1.00000	0.000100000000000	1.000000000000000	0.010000000000000	0
500		1.00000	1.00000	1.00000	0.38520	0.000100000000000	1.000000000000000	0.010000000000000	0
1000		-nan	-nan	0.92400	0.37572	0.000150000000000	1.000000000000000	0.015000000000000	0
1500		-nan	-nan	0.91600	0.36109	0.000150000000000	1.000000000000000	0.022500000000000	0
2000		-nan	-nan	0.86800	0.35060	0.000150000000000	1.000000000000000	0.033750000000000	0
2500		-nan	-nan	0.75600	0.34369	0.000150000000000	1.000000000000000	0.050625000000000	0
3000		-nan	-nan	0.64800	0.34091	0.000150000000000	1.000000000000000	0.075937500000000	0
3500		-nan	-nan	0.53000	0.33874	0.000150000000000	1.000000000000000	0.113906250000000	0
4000		-nan	-nan	0.42400	0.33721	0.000150000000000	1.000000000000000	0.170859375000000	0
4500		-nan	-nan	0.43400	0.33623	0.000150000000000	1.000000000000000	0.170859375000000	0
5000		-nan	-nan	0.43733	0.33572	0.000150000000000	1.000000000000000	0.170859375000000	0
5500		-nan	-nan	0.43850	0.33509	0.000150000000000	1.000000000000000	0.170859375000000	0
6000		-nan	-nan	0.43320	0.33313	0.000150000000000	1.000000000000000	0.170859375000000	0
6500		-nan	-nan	0.43000	0.33286	0.000150000000000	1.000000000000000	0.170859375000000	0
7000		-nan	-nan	0.43029	0.33243	0.000150000000000	1.000000000000000	0.170859375000000	0
7500		-nan	-nan	0.42625	0.33245	0.000150000000000	1.000000000000000	0.170859375000000	0
8000		-nan	-nan	0.42533	0.33230	0.000150000000000	1.000000000000000	0.170859375000000	0
8500		-nan	-nan	0.42440	0.33246	0.000150000000000	1.000000000000000	0.170859375000000	0
9000		-nan	-nan	0.42455	0.33192	0.000150000000000	1.000000000000000	0.170859375000000	0
9500		-nan	-nan	0.42650	0.33147	0.000150000000000	1.000000000000000	0.170859375000000	0
10000		-nan	-nan	0.42769	0.33113	0.000150000000000	1.000000000000000	0.170859375000000	0
10500		-nan	-nan	0.42686	0.33035	0.000150000000000	1.000000000000000	0.170859375000000	0
11000		-nan	-nan	0.42760	0.33013	0.000150000000000	1.000000000000000	0.170859375000000	0
11500		-nan	-nan	0.42600	0.32991	0.000150000000000	1.000000000000000	0.170859375000000	0
12000		-nan	-nan	0.42529	0.32999	0.000150000000000	1.000000000000000	0.170859375000000	0
12500		-nan	-nan	0.42467	0.32987	0.000150000000000	1.000000000000000	0.170859375000000	0
13000		-nan	-nan	0.42379	0.32991	0.000150000000000	1.000000000000000	0.170859375000000	0
13500		-nan	-nan	0.42250	0.32972	0.000150000000000	1.000000000000000	0.170859375000000	0
14000		-nan	-nan	0.41990	0.32978	0.000150000000000	1.000000000000000	0.170859375000000	0
14500		-nan	-nan	0.41918	0.32952	0.000150000000000	1.000000000000000	0.170859375000000	0
15000		-nan	-nan	0.41870	0.32948	0.000150000000000	1.000000000000000	0.170859375000000	0
15500		-nan	-nan	0.41842	0.32912	0.000150000000000	1.000000000000000	0.170859375000000	0
16000		-nan	-nan	0.41784	0.32861	0.000150000000000	1.000000000000000	0.170859375000000	0
16500		-nan	-nan	0.41746	0.32874	0.000150000000000	1.000000000000000	0.170859375000000	0
17000		-nan	-nan	0.41852	0.32867	0.000150000000000	1.000000000000000	0.170859375000000	0
17500		-nan	-nan	0.41814	0.32858	0.000150000000000	1.000000000000000	0.170859375000000	0
18000		-nan	-nan	0.41759	0.32840	0.000150000000000	1.000000000000000	0.170859375000000	0
18500		-nan	-nan	0.41593	0.32803	0.000150000000000	1.000000000000000	0.170859375000000	0
19000		-nan	-nan	0.41484	0.32781	0.000150000000000	1.000000000000000	0.170859375000000	0
19500		-nan	-nan	0.41387	0.32763	0.000150000000000	1.000000000000000	0.170859375000000	0
20000		-nan	-nan	0.41370	0.32745	0.000150000000000	1.000000000000000	0.170859375000000	0
20500		-nan	-nan	0.41259	0.32744	0.000150000000000	1.000000000000000	0.170859375000000	0
21000		-nan	-nan	0.41194	0.32748	0.000150000000000	1.000000000000000	0.170859375000000	0
21500		-nan	-nan	0.41206	0.32726	0.000150000000000	1.000000000000000	0.170859375000000	0
22000		-nan	-nan	0.41141	0.32716	0.000150000000000	1.000000000000000	0.170859375000000	0
22500		-nan	-nan	0.41026	0.32725	0.000150000000000	1.000000000000000	0.170859375000000	0
23000		-nan	-nan	0.41031	0.32705	0.000150000000000	1.000000000000000	0.170859375000000	0
23500		-nan	-nan	0.40935	0.32720	0.000150000000000	1.000000000000000	0.170859375000000	0
24000		-nan	-nan	0.40873	0.32738	0.000150000000000	1.000000000000000	0.170859375000000	0
24500		-nan	-nan	0.40900	0.32758	0.000150000000000	1.000000000000000	0.170859375000000	0
