step	post	like	prior	mu1	mu2	gamma	pi	Tinf_1	Tinf_2	Tinf_3	Tinf_4	Tinf_5	Tinf_6	Tinf_7	Tinf_8	Tinf_9	Tinf_10	Tinf_11	Tinf_12	Tinf_13	Tinf_14	Tinf_15	Tinf_16	Tinf_17	Tinf_18	Tinf_19	Tinf_20	Tinf_21	Tinf_22	Tinf_23	Tinf_24	Tinf_25	Tinf_26	Tinf_27	Tinf_28	Tinf_29	Tinf_30	Tinf_31	Tinf_32	Tinf_33	Tinf_34	Tinf_35	Tinf_36	Tinf_37	Tinf_38	Tinf_39	Tinf_40	Tinf_41	Tinf_42	Tinf_43	Tinf_44	Tinf_45	Tinf_46	Tinf_47	Tinf_48	Tinf_49	Tinf_50	Tinf_51	Tinf_52	Tinf_53	Tinf_54	Tinf_55	Tinf_56	Tinf_57	Tinf_58	Tinf_59	Tinf_60	Tinf_61	Tinf_62	Tinf_63	Tinf_64	Tinf_65	Tinf_66	Tinf_67	Tinf_68	Tinf_69	Tinf_70	Tinf_71	Tinf_72	Tinf_73	Tinf_74	Tinf_75	Tinf_76	alpha_1	alpha_2	alpha_3	alpha_4	alpha_5	alpha_6	alpha_7	alpha_8	alpha_9	alpha_10	alpha_11	alpha_12	alpha_13	alpha_14	alpha_15	alpha_16	alpha_17	alpha_18	alpha_19	alpha_20	alpha_21	alpha_22	alpha_23	alpha_24	alpha_25	alpha_26	alpha_27	alpha_28	alpha_29	alpha_30	alpha_31	alpha_32	alpha_33	alpha_34	alpha_35	alpha_36	alpha_37	alpha_38	alpha_39	alpha_40	alpha_41	alpha_42	alpha_43	alpha_44	alpha_45	alpha_46	alpha_47	alpha_48	alpha_49	alpha_50	alpha_51	alpha_52	alpha_53	alpha_54	alpha_55	alpha_56	alpha_57	alpha_58	alpha_59	alpha_60	alpha_61	alpha_62	alpha_63	alpha_64	alpha_65	alpha_66	alpha_67	alpha_68	alpha_69	alpha_70	alpha_71	alpha_72	alpha_73	alpha_74	alpha_75	alpha_76	kappa_1	kappa_2	kappa_3	kappa_4	kappa_5	kappa_6	kappa_7	kappa_8	kappa_9	kappa_10	kappa_11	kappa_12	kappa_13	kappa_14	kappa_15	kappa_16	kappa_17	kappa_18	kappa_19	kappa_20	kappa_21	kappa_22	kappa_23	kappa_24	kappa_25	kappa_26	kappa_27	kappa_28	kappa_29	kappa_30	kappa_31	kappa_32	kappa_33	kappa_34	kappa_35	kappa_36	kappa_37	kappa_38	kappa_39	kappa_40	kappa_41	kappa_42	kappa_43	kappa_44	kappa_45	kappa_46	kappa_47	kappa_48	kappa_49	kappa_50	kappa_51	kappa_52	kappa_53	kappa_54	kappa_55	kappa_56	kappa_57	kappa_58	kappa_59	kappa_60	kappa_61	kappa_62	kappa_63	kappa_64	kappa_65	kappa_66	kappa_67	kappa_68	kappa_69	kappa_70	kappa_71	kappa_72	kappa_73	kappa_74	kappa_75	kappa_76
1	-2952.222761741026261	-2959.078249691985548	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.346877192445299	-1	1	6	6	8	10	10	12	13	13	18	20	20	21	22	21	21	22	22	22	22	22	22	23	24	23	25	25	26	27	26	26	28	27	29	29	28	29	31	30	31	31	30	31	33	32	34	33	32	34	34	35	35	35	35	36	36	36	37	36	37	37	39	39	40	41	42	44	43	46	45	45	44	45	48	49	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	4	4	5	6	6	7	7	7	10	11	11	11	12	11	11	12	12	12	12	12	12	12	13	12	13	13	14	14	14	14	15	14	15	15	15	15	16	16	16	16	16	16	17	17	18	17	17	18	18	18	18	18	18	19	19	19	19	19	19	19	20	20	21	21	22	23	22	24	23	23	23	23	25	25
500	-1063.821582699016744	-1070.677070649976031	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.129187005554851	0	2	6	6	8	10	7	13	14	14	15	17	20	21	20	22	22	19	23	20	21	23	23	20	24	24	26	25	26	27	27	26	29	27	30	28	27	28	31	30	31	30	30	31	33	33	33	34	32	33	34	36	34	35	36	37	37	36	38	37	38	37	40	40	41	42	43	44	44	46	46	46	45	45	49	50	0	1	2	2	2	3	3	5	3	8	8	11	12	15	12	12	20	11	24	11	18	24	0	11	13	18	24	11	18	9	11	15	21	18	18	28	13	4	18	13	32	32	4	24	31	20	20	36	20	11	32	28	24	7	18	11	24	7	24	5	24	20	15	24	18	24	24	24	24	31	24	24	38	24	21	24	1	1	2	2	3	3	1	2	5	1	1	1	2	1	2	2	1	2	2	3	2	2	1	4	2	3	3	6	3	7	9	2	5	4	6	1	5	14	8	4	4	3	18	8	3	11	6	4	8	14	4	6	9	19	14	15	9	20	16	18	11	10	14	17	18	19	18	18	16	12	17	19	14	15	21	20
1000	-886.763878721494962	-893.619366672454362	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.169292954623286	-1	2	7	5	6	9	10	12	13	13	16	20	19	22	19	21	21	21	20	21	22	23	22	21	23	23	24	25	26	27	27	25	26	27	29	27	27	29	32	30	30	32	28	32	33	32	33	34	32	34	34	35	35	36	36	36	35	36	38	37	37	38	40	40	40	41	43	44	44	47	46	45	45	45	49	50	0	1	4	2	4	3	5	7	4	8	10	11	11	11	8	15	13	15	11	15	20	15	0	13	13	18	16	12	14	24	14	22	13	21	32	18	18	16	24	13	15	32	7	24	30	41	44	49	25	31	42	30	38	19	41	19	26	8	25	24	40	32	36	24	15	15	15	33	20	60	43	33	43	43	36	43	1	2	1	2	1	1	2	1	4	1	1	2	2	4	2	1	1	1	2	2	1	1	1	1	3	1	2	3	2	3	3	1	5	3	2	4	3	3	5	5	6	5	11	7	3	1	1	1	4	4	1	3	3	10	3	11	6	17	12	11	4	7	11	12	14	11	18	13	17	8	12	15	9	13	15	15
1500	-670.868483002237326	-677.723970953196726	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.242832191285433	0	1	5	6	8	11	11	12	13	14	18	20	20	21	22	21	22	23	23	22	22	21	23	23	24	23	25	26	26	26	25	26	28	27	30	28	28	30	31	29	29	32	27	31	32	32	34	33	31	34	32	36	35	36	35	36	36	37	36	36	37	38	38	39	41	42	43	44	44	46	46	46	43	45	49	49	0	1	1	2	3	5	3	7	3	7	8	11	11	10	13	13	13	15	10	13	11	13	0	12	13	20	16	21	31	24	19	15	17	19	31	12	29	34	28	29	21	14	10	32	44	25	46	35	41	51	37	45	45	13	40	35	42	11	43	43	42	50	54	43	36	43	43	43	43	59	43	43	43	43	43	43	1	1	2	3	2	1	2	1	7	2	4	1	1	2	1	1	1	1	4	1	2	1	1	2	3	1	3	2	1	2	1	2	3	2	3	4	1	1	2	2	3	6	7	4	1	4	1	2	1	1	1	2	2	10	2	3	2	10	6	6	3	2	1	9	8	7	12	11	13	6	13	9	7	11	13	13
2000	-564.641736125321813	-571.497224076281213	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.351917239495625	0	1	6	5	9	10	11	12	12	13	16	20	19	21	23	22	22	22	23	20	22	23	21	23	24	22	25	26	26	28	27	25	28	28	30	29	28	30	32	30	30	32	29	30	33	32	34	33	32	34	35	35	36	36	36	36	37	37	38	36	36	36	40	37	41	41	43	45	44	46	45	46	45	45	48	50	0	1	4	1	2	3	3	7	4	8	5	11	11	13	16	12	13	11	20	13	12	14	0	21	11	20	16	24	32	24	32	13	28	28	32	19	21	28	34	37	32	14	28	11	30	37	42	36	35	32	48	44	45	40	31	36	42	31	45	45	48	48	56	44	42	52	52	45	45	66	44	66	64	44	45	44	1	1	1	2	4	2	4	1	4	1	3	3	2	1	1	1	2	3	2	1	1	1	1	1	3	1	2	2	1	2	2	2	1	1	2	3	3	1	2	1	2	5	2	8	3	2	1	2	1	4	1	3	2	2	4	3	2	4	2	2	2	2	2	6	5	3	6	6	6	3	9	3	5	7	10	13
2500	-505.870166024100286	-512.725653975059686	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.496101966845407	0	1	5	6	9	9	9	12	14	13	18	20	21	20	23	22	22	23	22	23	22	23	22	24	25	24	25	25	25	27	27	27	28	27	30	30	27	29	29	29	31	32	31	30	32	31	34	32	33	34	35	35	36	34	36	37	36	36	36	35	37	37	39	39	39	40	42	44	44	44	45	45	44	46	49	50	0	1	2	3	3	4	3	7	4	7	8	11	12	11	12	13	12	13	12	19	12	13	0	21	13	12	16	18	15	24	29	25	34	28	22	26	29	28	28	29	32	32	24	39	30	34	34	37	36	32	54	45	43	35	41	48	43	42	45	45	48	36	49	60	56	53	53	66	66	67	67	66	66	64	70	66	1	1	2	1	2	1	2	1	4	3	3	1	1	2	2	1	1	2	1	1	2	2	1	1	1	3	2	1	1	2	1	1	1	2	3	3	1	2	1	1	2	2	3	1	2	2	4	4	2	4	1	1	2	2	3	3	2	3	2	2	1	4	3	3	2	1	4	3	2	1	2	3	2	4	3	8
3000	-452.709374405305937	-459.564862356265337	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.632360428883339	-1	1	6	5	7	10	10	13	11	12	16	19	20	22	23	22	21	22	21	23	23	21	23	24	24	23	25	25	26	28	27	26	29	27	28	28	28	27	31	30	32	30	31	31	33	32	33	33	33	32	33	36	36	34	36	36	34	36	38	35	38	36	39	40	41	42	42	45	44	46	45	44	43	46	48	49	0	1	2	2	1	3	3	4	6	7	7	11	12	22	13	13	12	12	12	19	13	13	0	20	18	19	16	20	25	24	25	25	34	15	25	25	25	17	28	37	42	25	24	30	43	39	43	40	31	40	40	45	45	40	48	54	46	42	52	45	48	29	49	52	63	64	64	66	67	64	67	67	67	73	70	74	1	1	3	2	4	3	2	4	1	1	3	2	1	1	1	1	1	2	1	2	1	1	1	1	1	1	2	2	2	2	2	1	1	1	2	1	2	2	2	1	1	2	3	2	1	1	1	2	4	1	2	1	1	2	1	1	1	4	1	1	3	4	3	2	2	1	2	2	1	3	2	1	1	3	1	2
3500	-442.563466096515640	-449.418954047475040	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.568308840212866	-1	1	5	4	7	10	10	12	14	13	17	21	19	22	23	21	21	23	21	22	21	21	21	24	24	24	24	25	27	27	27	26	29	27	30	29	28	29	31	30	32	31	30	31	34	32	34	34	32	33	33	36	35	34	35	36	37	36	36	36	38	37	38	39	40	42	41	44	43	46	45	46	44	45	47	49	0	1	2	2	3	5	3	6	7	6	10	13	11	22	22	13	13	19	13	19	13	13	0	21	12	18	16	15	18	21	15	15	28	28	25	12	18	34	30	31	37	31	29	30	44	38	43	40	35	35	40	53	45	40	48	49	46	36	45	44	62	41	56	45	63	64	64	66	67	64	68	66	67	68	70	74	1	1	2	2	1	1	2	1	2	2	1	1	1	1	2	1	1	1	1	1	1	1	1	2	2	1	2	2	2	3	2	2	3	1	3	4	2	1	2	2	2	3	1	3	2	1	4	2	1	1	2	1	1	2	1	2	2	3	1	3	1	2	1	3	2	2	1	2	1	4	1	2	2	1	1	2
4000	-403.668839444313278	-410.524327395272678	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.696313757121053	-1	1	7	7	8	10	10	11	13	13	18	20	19	22	22	22	21	23	22	23	22	20	22	24	24	20	26	26	26	28	26	26	28	27	29	30	28	29	31	30	31	32	31	30	33	33	34	33	32	33	35	35	35	35	33	36	37	35	36	36	37	37	38	40	40	41	42	44	43	46	46	46	45	44	48	50	0	1	2	1	3	3	4	7	6	8	8	13	11	22	13	22	13	11	26	26	13	13	0	21	18	11	16	24	25	24	25	25	28	28	29	32	29	34	38	29	32	29	24	30	41	38	39	37	40	40	48	45	45	55	36	49	46	49	53	45	50	42	56	52	63	64	66	67	66	64	68	68	67	64	70	73	1	1	2	4	1	1	1	1	2	1	3	1	1	1	2	1	1	2	1	2	2	1	1	1	1	1	1	2	1	2	2	1	1	1	2	2	2	1	2	2	3	2	3	1	1	2	1	2	1	2	1	2	1	1	1	2	2	1	1	2	2	3	1	2	1	1	1	2	1	2	1	1	1	2	1	2
4500	-429.289627184190181	-436.145115135149581	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.627172978457692	-1	2	4	6	9	9	10	13	11	13	17	18	19	19	23	22	22	22	21	22	22	21	21	24	24	24	26	25	26	28	27	27	29	27	29	28	28	29	32	31	31	31	31	30	32	32	34	33	33	34	35	34	35	34	35	37	37	37	36	33	37	37	39	38	40	40	42	43	44	46	46	46	44	46	49	46	0	1	2	3	4	4	5	5	6	7	8	11	12	11	12	12	12	22	12	19	11	14	0	21	17	20	16	21	25	27	15	25	34	28	36	31	29	28	34	31	29	37	34	24	44	38	43	40	41	41	48	45	45	48	48	49	46	41	44	45	55	50	58	45	63	64	64	66	66	68	68	68	68	73	70	73	1	2	1	1	1	2	1	2	1	1	2	1	1	1	4	2	2	1	1	1	2	1	1	1	1	1	3	1	2	2	2	2	1	1	1	1	1	2	3	2	3	2	2	3	1	1	2	1	1	1	1	1	1	1	1	2	2	2	2	1	1	3	1	3	1	1	2	2	2	1	2	1	1	1	1	1
