step	post	like	prior	mu1	mu2	gamma	pi	Tinf_1	Tinf_2	Tinf_3	Tinf_4	Tinf_5	Tinf_6	Tinf_7	Tinf_8	Tinf_9	Tinf_10	Tinf_11	Tinf_12	Tinf_13	Tinf_14	Tinf_15	Tinf_16	Tinf_17	Tinf_18	Tinf_19	Tinf_20	Tinf_21	Tinf_22	Tinf_23	Tinf_24	Tinf_25	Tinf_26	Tinf_27	Tinf_28	Tinf_29	Tinf_30	Tinf_31	Tinf_32	Tinf_33	Tinf_34	Tinf_35	Tinf_36	Tinf_37	Tinf_38	Tinf_39	Tinf_40	Tinf_41	Tinf_42	Tinf_43	Tinf_44	Tinf_45	Tinf_46	Tinf_47	Tinf_48	Tinf_49	Tinf_50	Tinf_51	Tinf_52	Tinf_53	Tinf_54	Tinf_55	Tinf_56	alpha_1	alpha_2	alpha_3	alpha_4	alpha_5	alpha_6	alpha_7	alpha_8	alpha_9	alpha_10	alpha_11	alpha_12	alpha_13	alpha_14	alpha_15	alpha_16	alpha_17	alpha_18	alpha_19	alpha_20	alpha_21	alpha_22	alpha_23	alpha_24	alpha_25	alpha_26	alpha_27	alpha_28	alpha_29	alpha_30	alpha_31	alpha_32	alpha_33	alpha_34	alpha_35	alpha_36	alpha_37	alpha_38	alpha_39	alpha_40	alpha_41	alpha_42	alpha_43	alpha_44	alpha_45	alpha_46	alpha_47	alpha_48	alpha_49	alpha_50	alpha_51	alpha_52	alpha_53	alpha_54	alpha_55	alpha_56	kappa_1	kappa_2	kappa_3	kappa_4	kappa_5	kappa_6	kappa_7	kappa_8	kappa_9	kappa_10	kappa_11	kappa_12	kappa_13	kappa_14	kappa_15	kappa_16	kappa_17	kappa_18	kappa_19	kappa_20	kappa_21	kappa_22	kappa_23	kappa_24	kappa_25	kappa_26	kappa_27	kappa_28	kappa_29	kappa_30	kappa_31	kappa_32	kappa_33	kappa_34	kappa_35	kappa_36	kappa_37	kappa_38	kappa_39	kappa_40	kappa_41	kappa_42	kappa_43	kappa_44	kappa_45	kappa_46	kappa_47	kappa_48	kappa_49	kappa_50	kappa_51	kappa_52	kappa_53	kappa_54	kappa_55	kappa_56
1	-1950.534442841907776	-1957.389930792867062	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.500939427631511	-1	1	3	3	6	9	9	9	9	10	10	11	11	10	12	11	12	12	13	13	13	14	13	14	15	14	14	16	17	16	17	16	16	20	18	17	18	21	19	22	21	23	22	22	22	23	24	25	27	26	26	29	28	30	31	31	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	2	4	5	5	5	5	6	6	6	6	6	7	6	7	7	7	7	7	8	7	8	8	8	8	9	9	9	9	9	9	11	10	9	10	11	10	12	11	12	12	12	12	12	13	13	14	14	14	15	15	16	16	16
500	-477.648465690159583	-484.503953641118983	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.300560200144026	-1	1	4	2	6	9	10	9	10	10	10	11	11	11	13	11	12	13	13	13	13	15	12	14	15	15	15	15	17	17	16	16	14	20	17	17	17	21	16	23	21	21	21	23	23	23	24	24	28	27	26	29	28	31	32	32	0	1	4	2	3	5	6	5	5	8	0	6	5	8	10	11	7	9	12	9	14	6	7	14	9	14	23	19	18	21	12	33	9	31	17	33	25	31	4	35	23	35	28	12	35	36	39	33	47	33	6	39	39	39	48	39	1	2	1	1	1	2	1	2	2	1	1	1	2	1	3	1	1	2	1	2	1	3	1	1	3	3	2	1	2	3	2	1	2	2	2	1	1	3	9	3	5	2	3	7	2	3	4	6	1	8	8	8	7	8	4	11
1000	-387.637288974346745	-394.492776925306146	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.375020464054261	-1	1	3	4	6	9	8	9	10	10	9	10	11	10	12	12	12	9	13	12	14	13	14	14	15	15	14	16	17	16	18	15	16	20	18	17	18	21	19	23	19	22	22	20	22	23	24	25	28	26	27	28	27	30	32	31	0	1	2	3	3	5	5	5	5	8	0	7	6	7	10	11	18	5	9	5	14	6	17	14	13	21	12	19	8	21	23	6	32	31	23	22	33	35	36	35	17	17	31	35	41	36	33	47	47	32	32	32	47	47	50	51	1	1	1	1	2	1	1	2	2	1	1	2	1	1	1	2	2	2	2	3	2	2	1	2	3	1	3	2	3	1	2	4	1	1	2	2	1	1	1	3	3	6	2	1	2	3	4	1	2	7	6	5	2	4	3	2
1500	-333.327089579187657	-340.182577530147057	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.650744463986276	0	1	4	2	4	8	9	9	8	10	11	11	12	11	13	12	12	13	13	13	13	15	14	13	15	14	14	16	18	15	17	16	17	21	19	18	19	22	20	22	21	24	22	21	22	24	24	25	27	26	27	29	28	30	32	31	0	1	4	2	4	5	9	6	5	9	0	7	9	7	10	11	7	13	12	13	14	20	17	14	13	12	17	19	25	24	7	9	18	35	31	32	33	35	36	35	35	43	31	35	34	39	37	47	47	32	48	47	48	50	53	54	1	1	1	1	1	1	1	1	2	1	1	1	2	1	3	1	2	1	1	1	1	1	1	1	1	2	1	1	1	1	3	4	2	1	1	1	2	2	1	2	1	1	2	1	1	3	3	1	2	4	2	3	2	2	3	1
2000	-313.513089710563236	-320.368577661522636	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.664461607977087	-3	1	3	4	7	8	9	10	10	11	10	11	12	11	12	12	13	13	12	13	13	15	14	15	15	14	14	15	17	16	17	16	17	19	18	17	19	21	19	20	20	23	22	23	21	23	24	26	26	26	26	30	29	31	31	32	0	1	2	3	3	5	6	5	5	8	0	7	9	7	10	11	7	9	7	13	14	13	17	21	13	21	12	12	25	21	23	20	32	31	23	32	33	35	36	31	17	17	41	35	35	39	37	47	47	47	47	50	47	53	53	54	1	3	1	1	2	1	1	2	1	1	1	1	1	1	1	1	2	2	2	1	1	1	1	1	2	1	1	2	2	1	2	2	1	1	2	1	1	2	1	2	3	5	1	2	1	2	2	1	1	1	1	2	3	1	1	1
2500	-329.962321732981763	-336.817809683941164	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.609984696993930	-1	1	3	4	7	8	8	9	9	11	10	10	11	11	11	11	12	13	13	13	13	15	13	14	15	13	15	16	18	15	17	16	16	20	17	17	18	20	20	23	22	23	21	23	22	24	24	25	27	26	26	29	27	27	31	31	0	1	2	3	3	3	5	6	5	9	0	7	9	7	8	11	7	9	14	9	14	5	6	21	18	14	17	19	18	21	27	20	5	35	27	32	33	35	36	43	34	34	22	34	27	39	33	47	48	48	47	54	50	50	47	54	1	2	1	1	2	3	1	1	2	1	1	1	1	2	1	1	2	2	1	2	1	4	2	1	1	1	2	2	2	1	1	2	4	2	1	1	1	2	2	1	1	2	2	2	3	2	3	1	1	1	1	1	1	1	2	2
3000	-324.707452546880063	-331.562940497839463	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.703491602895182	-1	1	3	4	7	9	9	9	9	10	10	10	11	10	12	12	12	12	12	14	13	13	14	14	16	14	14	16	15	14	17	15	16	20	18	16	19	21	19	22	21	24	21	23	22	22	24	25	27	26	26	29	28	30	31	31	0	1	2	3	3	5	5	5	5	8	0	7	9	7	10	11	12	5	7	18	14	9	17	14	13	21	17	19	18	21	17	13	9	17	27	32	33	35	36	34	35	17	35	35	34	39	37	47	47	47	47	50	50	47	47	54	1	1	1	1	3	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	2	3	1	1	2	2	1	2	2	3	5	2	1	2	1	2	1	1	6	2	1	1	2	2	1	2	1	1	2	1	2	2	1
3500	-308.480800385486191	-315.336288336445591	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.694682238928733	-1	1	4	3	6	8	9	9	10	10	8	11	11	10	12	12	12	12	13	13	12	14	14	14	15	14	15	16	15	16	17	16	17	20	17	18	19	21	20	22	21	23	21	21	22	23	23	25	28	26	25	30	27	29	31	32	0	1	4	2	3	5	5	5	6	8	0	7	8	7	10	11	12	8	12	9	14	13	17	14	8	21	17	19	9	26	17	13	20	23	23	32	33	34	36	35	31	43	34	34	34	36	37	47	47	47	47	54	47	50	53	54	1	1	1	1	1	1	2	2	1	1	1	1	1	1	1	2	1	2	1	1	2	1	1	2	3	2	1	2	2	1	3	3	1	3	1	1	1	1	1	2	2	1	1	1	1	2	2	1	2	1	1	1	3	2	2	2
4000	-350.648565365530658	-357.504053316490058	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.630584037957532	-1	1	3	4	6	9	10	10	9	11	9	11	9	10	13	12	12	11	13	13	11	14	14	14	14	14	14	16	18	16	17	16	17	20	18	18	19	19	20	23	19	24	22	22	21	23	24	25	27	26	26	27	28	29	30	32	0	1	2	2	3	5	13	9	5	13	0	7	5	13	10	11	12	9	4	9	14	6	17	14	9	21	17	19	9	24	17	13	25	31	23	32	33	35	36	34	22	43	31	35	34	39	37	33	47	47	47	48	50	50	48	54	1	1	2	2	1	1	1	1	2	1	1	1	1	1	1	1	1	1	3	2	1	3	1	2	2	2	1	2	4	1	2	2	2	1	2	1	1	1	1	2	3	1	2	2	1	1	2	4	2	2	1	2	1	1	2	2
4500	-322.540574101124093	-329.396062052083494	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.629320255944333	-1	1	2	4	6	9	8	9	10	11	9	11	10	10	13	11	12	11	13	13	13	15	13	14	14	12	14	17	17	16	17	16	16	20	18	18	18	21	19	21	22	24	22	22	20	23	22	25	27	27	25	30	26	29	29	31	0	1	2	3	4	5	5	5	6	8	0	7	8	7	10	11	8	13	12	9	26	20	12	14	13	14	17	19	25	24	17	20	20	23	31	32	33	35	36	35	40	43	28	35	35	39	37	47	48	47	47	50	47	50	48	54	1	1	1	1	1	1	1	2	1	1	1	2	1	1	1	1	2	1	1	1	1	1	2	2	2	1	1	2	2	1	2	1	2	2	1	1	1	1	1	2	1	1	2	3	1	2	2	2	1	2	1	2	2	1	3	2
