step	p_accept_mu1	p_accept_gamma	p_accept_pi	p_accept_Tinf	sigma_mu1	sigma_gamma	sigma_pi	n_like_zero
1		1.00000	1.00000	1.00000	1.00000	0.000100000000000	1.000000000000000	0.010000000000000	0
500		1.00000	1.00000	1.00000	0.34462	0.000100000000000	1.000000000000000	0.010000000000000	0
1000		-nan	-nan	0.93200	0.34102	0.000150000000000	1.000000000000000	0.015000000000000	0
1500		-nan	-nan	0.92000	0.33351	0.000150000000000	1.000000000000000	0.022500000000000	0
2000		-nan	-nan	0.86200	0.32752	0.000150000000000	1.000000000000000	0.033750000000000	0
2500		-nan	-nan	0.80200	0.32402	0.000150000000000	1.000000000000000	0.050625000000000	0
3000		-nan	-nan	0.69800	0.32194	0.000150000000000	1.000000000000000	0.075937500000000	0
3500		-nan	-nan	0.59800	0.32086	0.000150000000000	1.000000000000000	0.113906250000000	0
4000		-nan	-nan	0.47800	0.31948	0.000150000000000	1.000000000000000	0.170859375000000	0
4500		-nan	-nan	0.48400	0.31852	0.000150000000000	1.000000000000000	0.170859375000000	0
5000		-nan	-nan	0.47533	0.31809	0.000150000000000	1.000000000000000	0.170859375000000	0
5500		-nan	-nan	0.48150	0.31755	0.000150000000000	1.000000000000000	0.170859375000000	0
6000		-nan	-nan	0.47600	0.31574	0.000150000000000	1.000000000000000	0.170859375000000	0
6500		-nan	-nan	0.47067	0.31510	0.000150000000000	1.000000000000000	0.170859375000000	0
7000		-nan	-nan	0.47800	0.31428	0.000150000000000	1.000000000000000	0.170859375000000	0
7500		-nan	-nan	0.47975	0.31427	0.000150000000000	1.000000000000000	0.170859375000000	0
8000		-nan	-nan	0.47756	0.31381	0.000150000000000	1.000000000000000	0.170859375000000	0
8500		-nan	-nan	0.47820	0.31426	0.000150000000000	1.000000000000000	0.170859375000000	0
9000		-nan	-nan	0.47855	0.31381	0.000150000000000	1.000000000000000	0.170859375000000	0
9500		-nan	-nan	0.48017	0.31316	0.000150000000000	1.000000000000000	0.170859375000000	0
10000		-nan	-nan	0.47831	0.31291	0.000150000000000	1.000000000000000	0.170859375000000	0
10500		-nan	-nan	0.47900	0.31244	0.000150000000000	1.000000000000000	0.170859375000000	0
11000		-nan	-nan	0.47707	0.31179	0.000150000000000	1.000000000000000	0.170859375000000	0
11500		-nan	-nan	0.47537	0.31204	0.000150000000000	1.000000000000000	0.170859375000000	0
12000		-nan	-nan	0.47518	0.31148	0.000150000000000	1.000000000000000	0.170859375000000	0
12500		-nan	-nan	0.47478	0.31160	0.000150000000000	1.000000000000000	0.170859375000000	0
13000		-nan	-nan	0.47263	0.31127	0.000150000000000	1.000000000000000	0.170859375000000	0
13500		-nan	-nan	0.47520	0.31102	0.000150000000000	1.000000000000000	0.170859375000000	0
14000		-nan	-nan	0.47552	0.31101	0.000150000000000	1.000000000000000	0.170859375000000	0
14500		-nan	-nan	0.47600	0.31087	0.000150000000000	1.000000000000000	0.170859375000000	0
15000		-nan	-nan	0.47522	0.31096	0.000150000000000	1.000000000000000	0.170859375000000	0
15500		-nan	-nan	0.47583	0.31135	0.000150000000000	1.000000000000000	0.170859375000000	0
16000		-nan	-nan	0.47560	0.31125	0.000150000000000	1.000000000000000	0.170859375000000	0
16500		-nan	-nan	0.47723	0.31121	0.000150000000000	1.000000000000000	0.170859375000000	0
17000		-nan	-nan	0.47570	0.31125	0.000150000000000	1.000000000000000	0.170859375000000	0
17500		-nan	-nan	0.47400	0.31126	0.000150000000000	1.000000000000000	0.170859375000000	0
18000		-nan	-nan	0.47338	0.31071	0.000150000000000	1.000000000000000	0.170859375000000	0
18500		-nan	-nan	0.47307	0.31046	0.000150000000000	1.000000000000000	0.170859375000000	0
19000		-nan	-nan	0.47406	0.31056	0.000150000000000	1.000000000000000	0.170859375000000	0
19500		-nan	-nan	0.47375	0.31057	0.000150000000000	1.000000000000000	0.170859375000000	0
20000		-nan	-nan	0.47406	0.31030	0.000150000000000	1.000000000000000	0.170859375000000	0
20500		-nan	-nan	0.47359	0.31024	0.000150000000000	1.000000000000000	0.170859375000000	0
21000		-nan	-nan	0.47423	0.31029	0.000150000000000	1.000000000000000	0.170859375000000	0
21500		-nan	-nan	0.47467	0.31013	0.000150000000000	1.000000000000000	0.170859375000000	0
22000		-nan	-nan	0.47459	0.31013	0.000150000000000	1.000000000000000	0.170859375000000	0
22500		-nan	-nan	0.47521	0.31019	0.000150000000000	1.000000000000000	0.170859375000000	0
23000		-nan	-nan	0.47533	0.31004	0.000150000000000	1.000000000000000	0.170859375000000	0
23500		-nan	-nan	0.47540	0.30985	0.000150000000000	1.000000000000000	0.170859375000000	0
24000		-nan	-nan	0.47517	0.30977	0.000150000000000	1.000000000000000	0.170859375000000	0
24500		-nan	-nan	0.47490	0.30964	0.000150000000000	1.000000000000000	0.170859375000000	0
25000		-nan	-nan	0.47488	0.30976	0.000150000000000	1.000000000000000	0.170859375000000	0
25500		-nan	-nan	0.47564	0.30959	0.000150000000000	1.000000000000000	0.170859375000000	0
26000		-nan	-nan	0.47507	0.30961	0.000150000000000	1.000000000000000	0.170859375000000	0
26500		-nan	-nan	0.47496	0.30967	0.000150000000000	1.000000000000000	0.170859375000000	0
27000		-nan	-nan	0.47426	0.30946	0.000150000000000	1.000000000000000	0.170859375000000	0
27500		-nan	-nan	0.47433	0.30951	0.000150000000000	1.000000000000000	0.170859375000000	0
28000		-nan	-nan	0.47473	0.30933	0.000150000000000	1.000000000000000	0.170859375000000	0
28500		-nan	-nan	0.47440	0.30920	0.000150000000000	1.000000000000000	0.170859375000000	0
29000		-nan	-nan	0.47490	0.30941	0.000150000000000	1.000000000000000	0.170859375000000	0
29500		-nan	-nan	0.47465	0.30957	0.000150000000000	1.000000000000000	0.170859375000000	0
30000		-nan	-nan	0.47336	0.30958	0.000150000000000	1.000000000000000	0.170859375000000	0
30500		-nan	-nan	0.47293	0.30954	0.000150000000000	1.000000000000000	0.170859375000000	0
31000		-nan	-nan	0.47389	0.30966	0.000150000000000	1.000000000000000	0.170859375000000	0
31500		-nan	-nan	0.47286	0.30958	0.000150000000000	1.000000000000000	0.170859375000000	0
32000		-nan	-nan	0.47312	0.30979	0.000150000000000	1.000000000000000	0.170859375000000	0
32500		-nan	-nan	0.47245	0.30977	0.000150000000000	1.000000000000000	0.170859375000000	0
33000		-nan	-nan	0.47261	0.30979	0.000150000000000	1.000000000000000	0.170859375000000	0
33500		-nan	-nan	0.47273	0.30980	0.000150000000000	1.000000000000000	0.170859375000000	0
34000		-nan	-nan	0.47249	0.30971	0.000150000000000	1.000000000000000	0.170859375000000	0
34500		-nan	-nan	0.47184	0.30964	0.000150000000000	1.000000000000000	0.170859375000000	0
35000		-nan	-nan	0.47146	0.30971	0.000150000000000	1.000000000000000	0.170859375000000	0
35500		-nan	-nan	0.47187	0.30977	0.000150000000000	1.000000000000000	0.170859375000000	0
36000		-nan	-nan	0.47191	0.30961	0.000150000000000	1.000000000000000	0.170859375000000	0
36500		-nan	-nan	0.47161	0.30951	0.000150000000000	1.000000000000000	0.170859375000000	0
37000		-nan	-nan	0.47179	0.30944	0.000150000000000	1.000000000000000	0.170859375000000	0
37500		-nan	-nan	0.47191	0.30942	0.000150000000000	1.000000000000000	0.170859375000000	0
38000		-nan	-nan	0.47139	0.30927	0.000150000000000	1.000000000000000	0.170859375000000	0
38500		-nan	-nan	0.47123	0.30926	0.000150000000000	1.000000000000000	0.170859375000000	0
39000		-nan	-nan	0.47079	0.30939	0.000150000000000	1.000000000000000	0.170859375000000	0
39500		-nan	-nan	0.47139	0.30946	0.000150000000000	1.000000000000000	0.170859375000000	0
40000		-nan	-nan	0.47129	0.30953	0.000150000000000	1.000000000000000	0.170859375000000	0
40500		-nan	-nan	0.47095	0.30947	0.000150000000000	1.000000000000000	0.170859375000000	0
41000		-nan	-nan	0.47075	0.30944	0.000150000000000	1.000000000000000	0.170859375000000	0
41500		-nan	-nan	0.47053	0.30959	0.000150000000000	1.000000000000000	0.170859375000000	0
42000		-nan	-nan	0.47029	0.30959	0.000150000000000	1.000000000000000	0.170859375000000	0
42500		-nan	-nan	0.47005	0.30961	0.000150000000000	1.000000000000000	0.170859375000000	0
43000		-nan	-nan	0.47013	0.30953	0.000150000000000	1.000000000000000	0.170859375000000	0
43500		-nan	-nan	0.46990	0.30948	0.000150000000000	1.000000000000000	0.170859375000000	0
44000		-nan	-nan	0.46948	0.30943	0.000150000000000	1.000000000000000	0.170859375000000	0
44500		-nan	-nan	0.46966	0.30939	0.000150000000000	1.000000000000000	0.170859375000000	0
45000		-nan	-nan	0.46937	0.30939	0.000150000000000	1.000000000000000	0.170859375000000	0
45500		-nan	-nan	0.46921	0.30935	0.000150000000000	1.000000000000000	0.170859375000000	0
46000		-nan	-nan	0.46962	0.30937	0.000150000000000	1.000000000000000	0.170859375000000	0
46500		-nan	-nan	0.46970	0.30922	0.000150000000000	1.000000000000000	0.170859375000000	0
47000		-nan	-nan	0.46938	0.30923	0.000150000000000	1.000000000000000	0.170859375000000	0
47500		-nan	-nan	0.46952	0.30908	0.000150000000000	1.000000000000000	0.170859375000000	0
48000		-nan	-nan	0.46942	0.30909	0.000150000000000	1.000000000000000	0.170859375000000	0
48500		-nan	-nan	0.46929	0.30905	0.000150000000000	1.000000000000000	0.170859375000000	0
49000		-nan	-nan	0.46923	0.30913	0.000150000000000	1.000000000000000	0.170859375000000	0
49500		-nan	-nan	0.46891	0.30905	0.000150000000000	1.000000000000000	0.170859375000000	0
50000		-nan	-nan	0.46862	0.30896	0.000150000000000	1.000000000000000	0.170859375000000	0
50500		-nan	-nan	0.46855	0.30889	0.000150000000000	1.000000000000000	0.170859375000000	0
51000		-nan	-nan	0.46815	0.30880	0.000150000000000	1.000000000000000	0.170859375000000	0
51500		-nan	-nan	0.46806	0.30877	0.000150000000000	1.000000000000000	0.170859375000000	0
52000		-nan	-nan	0.46829	0.30867	0.000150000000000	1.000000000000000	0.170859375000000	0
52500		-nan	-nan	0.46843	0.30861	0.000150000000000	1.000000000000000	0.170859375000000	0
53000		-nan	-nan	0.46812	0.30856	0.000150000000000	1.000000000000000	0.170859375000000	0
53500		-nan	-nan	0.46794	0.30857	0.000150000000000	1.000000000000000	0.170859375000000	0
54000		-nan	-nan	0.46780	0.30856	0.000150000000000	1.000000000000000	0.170859375000000	0
54500		-nan	-nan	0.46784	0.30859	0.000150000000000	1.000000000000000	0.170859375000000	0
55000		-nan	-nan	0.46786	0.30853	0.000150000000000	1.000000000000000	0.170859375000000	0
55500		-nan	-nan	0.46771	0.30841	0.000150000000000	1.000000000000000	0.170859375000000	0
56000		-nan	-nan	0.46794	0.30839	0.000150000000000	1.000000000000000	0.170859375000000	0
56500		-nan	-nan	0.46781	0.30847	0.000150000000000	1.000000000000000	0.170859375000000	0
57000		-nan	-nan	0.46804	0.30852	0.000150000000000	1.000000000000000	0.170859375000000	0
57500		-nan	-nan	0.46806	0.30854	0.000150000000000	1.000000000000000	0.170859375000000	0
58000		-nan	-nan	0.46793	0.30849	0.000150000000000	1.000000000000000	0.170859375000000	0
58500		-nan	-nan	0.46809	0.30849	0.000150000000000	1.000000000000000	0.170859375000000	0
59000		-nan	-nan	0.46820	0.30853	0.000150000000000	1.000000000000000	0.170859375000000	0
59500		-nan	-nan	0.46839	0.30858	0.000150000000000	1.000000000000000	0.170859375000000	0
60000		-nan	-nan	0.46864	0.30858	0.000150000000000	1.000000000000000	0.170859375000000	0
60500		-nan	-nan	0.46825	0.30863	0.000150000000000	1.000000000000000	0.170859375000000	0
61000		-nan	-nan	0.46772	0.30863	0.000150000000000	1.000000000000000	0.170859375000000	0
61500		-nan	-nan	0.46793	0.30863	0.000150000000000	1.000000000000000	0.170859375000000	0
62000		-nan	-nan	0.46817	0.30861	0.000150000000000	1.000000000000000	0.170859375000000	0
62500		-nan	-nan	0.46812	0.30865	0.000150000000000	1.000000000000000	0.170859375000000	0
63000		-nan	-nan	0.46810	0.30861	0.000150000000000	1.000000000000000	0.170859375000000	0
63500		-nan	-nan	0.46798	0.30859	0.000150000000000	1.000000000000000	0.170859375000000	0
64000		-nan	-nan	0.46793	0.30853	0.000150000000000	1.000000000000000	0.170859375000000	0
64500		-nan	-nan	0.46810	0.30858	0.000150000000000	1.000000000000000	0.170859375000000	0
65000		-nan	-nan	0.46824	0.30852	0.000150000000000	1.000000000000000	0.170859375000000	0
65500		-nan	-nan	0.46803	0.30843	0.000150000000000	1.000000000000000	0.170859375000000	0
66000		-nan	-nan	0.46790	0.30837	0.000150000000000	1.000000000000000	0.170859375000000	0
66500		-nan	-nan	0.46759	0.30841	0.000150000000000	1.000000000000000	0.170859375000000	0
67000		-nan	-nan	0.46778	0.30835	0.000150000000000	1.000000000000000	0.170859375000000	0
67500		-nan	-nan	0.46797	0.30834	0.000150000000000	1.000000000000000	0.170859375000000	0
68000		-nan	-nan	0.46797	0.30833	0.000150000000000	1.000000000000000	0.170859375000000	0
68500		-nan	-nan	0.46791	0.30840	0.000150000000000	1.000000000000000	0.170859375000000	0
69000		-nan	-nan	0.46789	0.30840	0.000150000000000	1.000000000000000	0.170859375000000	0
69500		-nan	-nan	0.46789	0.30832	0.000150000000000	1.000000000000000	0.170859375000000	0
70000		-nan	-nan	0.46812	0.30839	0.000150000000000	1.000000000000000	0.170859375000000	0
70500		-nan	-nan	0.46831	0.30843	0.000150000000000	1.000000000000000	0.170859375000000	0
71000		-nan	-nan	0.46804	0.30836	0.000150000000000	1.000000000000000	0.170859375000000	0
71500		-nan	-nan	0.46813	0.30841	0.000150000000000	1.000000000000000	0.170859375000000	0
72000		-nan	-nan	0.46791	0.30835	0.000150000000000	1.000000000000000	0.170859375000000	0
72500		-nan	-nan	0.46801	0.30840	0.000150000000000	1.000000000000000	0.170859375000000	0
73000		-nan	-nan	0.46824	0.30841	0.000150000000000	1.000000000000000	0.170859375000000	0
73500		-nan	-nan	0.46817	0.30836	0.000150000000000	1.000000000000000	0.170859375000000	0
74000		-nan	-nan	0.46823	0.30834	0.000150000000000	1.000000000000000	0.170859375000000	0
74500		-nan	-nan	0.46825	0.30829	0.000150000000000	1.000000000000000	0.170859375000000	0
75000		-nan	-nan	0.46831	0.30838	0.000150000000000	1.000000000000000	0.170859375000000	0
75500		-nan	-nan	0.46839	0.30839	0.000150000000000	1.000000000000000	0.170859375000000	0
76000		-nan	-nan	0.46814	0.30825	0.000150000000000	1.000000000000000	0.170859375000000	0
76500		-nan	-nan	0.46823	0.30822	0.000150000000000	1.000000000000000	0.170859375000000	0
77000		-nan	-nan	0.46822	0.30816	0.000150000000000	1.000000000000000	0.170859375000000	0
77500		-nan	-nan	0.46820	0.30813	0.000150000000000	1.000000000000000	0.170859375000000	0
78000		-nan	-nan	0.46874	0.30809	0.000150000000000	1.000000000000000	0.170859375000000	0
78500		-nan	-nan	0.46877	0.30806	0.000150000000000	1.000000000000000	0.170859375000000	0
79000		-nan	-nan	0.46856	0.30807	0.000150000000000	1.000000000000000	0.170859375000000	0
79500		-nan	-nan	0.46863	0.30809	0.000150000000000	1.000000000000000	0.170859375000000	0
80000		-nan	-nan	0.46868	0.30812	0.000150000000000	1.000000000000000	0.170859375000000	0
80500		-nan	-nan	0.46853	0.30812	0.000150000000000	1.000000000000000	0.170859375000000	0
81000		-nan	-nan	0.46843	0.30819	0.000150000000000	1.000000000000000	0.170859375000000	0
81500		-nan	-nan	0.46851	0.30825	0.000150000000000	1.000000000000000	0.170859375000000	0
82000		-nan	-nan	0.46843	0.30827	0.000150000000000	1.000000000000000	0.170859375000000	0
82500		-nan	-nan	0.46859	0.30830	0.000150000000000	1.000000000000000	0.170859375000000	0
83000		-nan	-nan	0.46850	0.30827	0.000150000000000	1.000000000000000	0.170859375000000	0
83500		-nan	-nan	0.46847	0.30826	0.000150000000000	1.000000000000000	0.170859375000000	0
84000		-nan	-nan	0.46825	0.30826	0.000150000000000	1.000000000000000	0.170859375000000	0
84500		-nan	-nan	0.46836	0.30822	0.000150000000000	1.000000000000000	0.170859375000000	0
85000		-nan	-nan	0.46843	0.30818	0.000150000000000	1.000000000000000	0.170859375000000	0
85500		-nan	-nan	0.46871	0.30816	0.000150000000000	1.000000000000000	0.170859375000000	0
86000		-nan	-nan	0.46880	0.30819	0.000150000000000	1.000000000000000	0.170859375000000	0
86500		-nan	-nan	0.46876	0.30819	0.000150000000000	1.000000000000000	0.170859375000000	0
87000		-nan	-nan	0.46899	0.30820	0.000150000000000	1.000000000000000	0.170859375000000	0
87500		-nan	-nan	0.46892	0.30823	0.000150000000000	1.000000000000000	0.170859375000000	0
88000		-nan	-nan	0.46883	0.30820	0.000150000000000	1.000000000000000	0.170859375000000	0
88500		-nan	-nan	0.46881	0.30821	0.000150000000000	1.000000000000000	0.170859375000000	0
89000		-nan	-nan	0.46889	0.30820	0.000150000000000	1.000000000000000	0.170859375000000	0
89500		-nan	-nan	0.46873	0.30820	0.000150000000000	1.000000000000000	0.170859375000000	0
90000		-nan	-nan	0.46871	0.30822	0.000150000000000	1.000000000000000	0.170859375000000	0
90500		-nan	-nan	0.46920	0.30824	0.000150000000000	1.000000000000000	0.170859375000000	0
91000		-nan	-nan	0.46920	0.30819	0.000150000000000	1.000000000000000	0.170859375000000	0
91500		-nan	-nan	0.46906	0.30820	0.000150000000000	1.000000000000000	0.170859375000000	0
92000		-nan	-nan	0.46913	0.30823	0.000150000000000	1.000000000000000	0.170859375000000	0
92500		-nan	-nan	0.46900	0.30823	0.000150000000000	1.000000000000000	0.170859375000000	0
93000		-nan	-nan	0.46909	0.30819	0.000150000000000	1.000000000000000	0.170859375000000	0
93500		-nan	-nan	0.46886	0.30814	0.000150000000000	1.000000000000000	0.170859375000000	0
94000		-nan	-nan	0.46891	0.30814	0.000150000000000	1.000000000000000	0.170859375000000	0
94500		-nan	-nan	0.46893	0.30815	0.000150000000000	1.000000000000000	0.170859375000000	0
95000		-nan	-nan	0.46910	0.30815	0.000150000000000	1.000000000000000	0.170859375000000	0
95500		-nan	-nan	0.46917	0.30811	0.000150000000000	1.000000000000000	0.170859375000000	0
96000		-nan	-nan	0.46906	0.30805	0.000150000000000	1.000000000000000	0.170859375000000	0
96500		-nan	-nan	0.46914	0.30805	0.000150000000000	1.000000000000000	0.170859375000000	0
97000		-nan	-nan	0.46930	0.30807	0.000150000000000	1.000000000000000	0.170859375000000	0
97500		-nan	-nan	0.46931	0.30803	0.000150000000000	1.000000000000000	0.170859375000000	0
98000		-nan	-nan	0.46941	0.30805	0.000150000000000	1.000000000000000	0.170859375000000	0
98500		-nan	-nan	0.46955	0.30811	0.000150000000000	1.000000000000000	0.170859375000000	0
99000		-nan	-nan	0.46942	0.30810	0.000150000000000	1.000000000000000	0.170859375000000	0
99500		-nan	-nan	0.46950	0.30814	0.000150000000000	1.000000000000000	0.170859375000000	0
100000		-nan	-nan	0.46933	0.30816	0.000150000000000	1.000000000000000	0.170859375000000	0
