step	post	like	prior	mu1	mu2	gamma	pi	Tinf_1	Tinf_2	Tinf_3	Tinf_4	Tinf_5	Tinf_6	Tinf_7	Tinf_8	alpha_1	alpha_2	alpha_3	alpha_4	alpha_5	alpha_6	alpha_7	alpha_8	kappa_1	kappa_2	kappa_3	kappa_4	kappa_5	kappa_6	kappa_7	kappa_8
1	-101.266389860742407	-108.121877811701779	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.051691457770615	5	5	7	8	7	9	8	10	0	0	1	1	1	1	1	1	1	1	1	2	1	2	2	3
500	-40.079585647381762	-46.935073598341134	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.073144447975429	4	6	7	8	6	8	7	10	0	1	2	0	1	1	1	7	1	1	1	1	1	2	2	1
1000	-32.120040157511724	-38.975528108471096	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.089152244920829	5	6	7	8	6	10	8	10	0	1	1	0	1	3	5	7	1	1	1	1	1	2	1	1
1500	-30.326146501037968	-37.181634451997340	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.222499688286423	5	6	7	9	7	8	9	11	0	1	1	0	2	1	5	7	1	1	2	1	1	2	1	1
2000	-19.106776953263946	-25.962264904223318	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.897289288880227	4	6	7	8	7	8	8	10	0	1	1	0	2	2	5	7	1	1	1	1	1	1	1	1
2500	-22.699281969170130	-29.554769920129502	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.799675904599202	3	5	8	8	7	10	8	11	0	1	5	0	2	3	5	7	1	1	1	1	1	1	1	1
3000	-19.596766706506372	-26.452254657465744	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.994271329579913	3	5	8	9	7	10	8	10	0	1	2	0	2	3	5	7	1	1	1	1	1	1	1	1
3500	-19.057388207961889	-25.912876158921261	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.936366450039144	5	6	6	8	7	8	9	10	0	1	1	0	1	3	5	7	1	1	1	1	1	1	1	1
4000	-19.191009963196876	-26.046497914156248	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.986986971724279	5	6	7	8	7	9	9	10	0	1	2	0	1	1	5	7	1	1	1	1	1	1	1	1
4500	-23.436199009645186	-30.291686960604558	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.706966763836178	4	5	7	8	6	9	8	11	0	1	1	0	2	3	5	7	1	1	2	1	1	1	1	2
