step	post	like	prior	mu1	mu2	gamma	pi	Tinf_1	Tinf_2	Tinf_3	Tinf_4	Tinf_5	Tinf_6	Tinf_7	Tinf_8	Tinf_9	Tinf_10	Tinf_11	Tinf_12	Tinf_13	Tinf_14	Tinf_15	Tinf_16	Tinf_17	Tinf_18	Tinf_19	Tinf_20	Tinf_21	Tinf_22	Tinf_23	Tinf_24	Tinf_25	Tinf_26	Tinf_27	Tinf_28	Tinf_29	Tinf_30	Tinf_31	Tinf_32	Tinf_33	Tinf_34	Tinf_35	Tinf_36	Tinf_37	Tinf_38	Tinf_39	Tinf_40	Tinf_41	Tinf_42	Tinf_43	Tinf_44	Tinf_45	Tinf_46	Tinf_47	Tinf_48	Tinf_49	Tinf_50	Tinf_51	Tinf_52	Tinf_53	alpha_1	alpha_2	alpha_3	alpha_4	alpha_5	alpha_6	alpha_7	alpha_8	alpha_9	alpha_10	alpha_11	alpha_12	alpha_13	alpha_14	alpha_15	alpha_16	alpha_17	alpha_18	alpha_19	alpha_20	alpha_21	alpha_22	alpha_23	alpha_24	alpha_25	alpha_26	alpha_27	alpha_28	alpha_29	alpha_30	alpha_31	alpha_32	alpha_33	alpha_34	alpha_35	alpha_36	alpha_37	alpha_38	alpha_39	alpha_40	alpha_41	alpha_42	alpha_43	alpha_44	alpha_45	alpha_46	alpha_47	alpha_48	alpha_49	alpha_50	alpha_51	alpha_52	alpha_53	kappa_1	kappa_2	kappa_3	kappa_4	kappa_5	kappa_6	kappa_7	kappa_8	kappa_9	kappa_10	kappa_11	kappa_12	kappa_13	kappa_14	kappa_15	kappa_16	kappa_17	kappa_18	kappa_19	kappa_20	kappa_21	kappa_22	kappa_23	kappa_24	kappa_25	kappa_26	kappa_27	kappa_28	kappa_29	kappa_30	kappa_31	kappa_32	kappa_33	kappa_34	kappa_35	kappa_36	kappa_37	kappa_38	kappa_39	kappa_40	kappa_41	kappa_42	kappa_43	kappa_44	kappa_45	kappa_46	kappa_47	kappa_48	kappa_49	kappa_50	kappa_51	kappa_52	kappa_53
1	-938.428599750665398	-945.284087701624799	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.202279516477821	0	3	2	5	5	5	6	8	7	7	9	8	8	8	7	9	10	8	9	9	9	10	10	9	10	11	10	12	12	11	10	10	11	13	12	11	11	13	13	13	15	14	17	14	15	15	16	17	18	19	21	24	27	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	3	3	3	3	4	4	4	5	4	4	4	4	5	5	4	5	5	5	5	5	5	5	6	5	6	6	6	5	5	6	7	6	6	6	7	7	7	8	7	9	7	8	8	8	9	9	10	11	12	14
500	-325.967337053566666	-332.822825004526067	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.372347151142025	0	3	2	4	6	5	7	6	6	7	9	9	8	8	7	6	9	8	9	9	9	9	9	9	10	10	8	12	11	11	11	11	11	14	11	11	12	13	12	13	13	14	17	14	15	16	17	17	18	19	21	24	27	0	1	1	1	4	4	2	2	4	6	27	18	16	9	9	2	4	2	4	15	16	15	10	7	19	15	5	11	8	17	18	19	9	20	23	8	18	23	11	31	18	37	14	28	37	37	28	44	45	36	46	42	0	1	1	1	2	1	1	1	2	1	1	1	1	2	1	1	2	3	3	2	1	2	1	1	1	1	2	1	2	3	1	1	2	3	2	1	2	2	2	2	1	2	2	5	1	2	2	3	2	2	4	2	6	1
1000	-338.139620044063122	-344.995107995022522	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.544892186318795	1	3	2	4	5	5	6	6	5	7	9	8	8	8	6	9	11	9	10	9	10	10	10	9	10	11	10	12	13	10	10	11	11	13	13	11	11	13	13	13	15	12	18	13	16	15	16	18	19	18	21	24	27	0	1	1	2	2	2	2	2	4	6	5	6	8	9	9	6	30	7	14	15	16	15	6	8	20	15	5	11	36	8	7	19	14	15	23	16	18	23	27	37	29	31	33	11	40	42	44	44	40	24	42	42	0	1	1	1	1	1	2	2	1	1	1	2	2	2	2	1	2	1	2	1	3	1	3	2	2	1	2	3	1	1	2	2	1	2	5	1	2	2	1	1	1	1	2	5	3	1	2	1	2	3	4	6	5	1
1500	-290.378948215843650	-297.234436166803050	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.592712516969262	0	3	2	5	5	5	6	9	6	7	9	9	8	9	8	8	11	8	8	10	10	10	10	10	10	12	9	12	13	11	10	10	10	14	12	11	12	13	12	14	16	15	17	14	16	16	17	16	18	19	21	23	28	0	1	1	2	2	2	2	2	4	6	5	10	2	9	9	7	18	2	9	15	16	14	6	13	19	15	5	27	17	18	18	19	9	22	23	16	31	23	11	18	8	18	33	39	40	37	44	44	40	36	40	51	0	1	3	1	1	1	1	1	3	1	1	2	1	2	2	1	1	2	2	1	1	1	1	2	2	1	2	2	1	1	2	1	1	2	2	1	1	1	1	2	3	4	4	3	1	1	2	1	1	2	3	2	1	1
2000	-294.415218873589254	-301.270706824548654	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.547979848927887	0	3	2	5	5	4	7	8	7	8	8	9	9	9	6	10	10	8	10	9	9	11	10	9	11	11	10	11	11	12	10	11	11	13	12	12	11	13	13	12	14	13	17	14	15	16	16	17	18	18	19	25	28	0	1	1	2	2	2	2	2	15	6	5	10	8	9	4	18	18	2	14	15	8	20	6	7	19	9	5	11	8	17	18	19	20	22	23	16	18	23	11	31	8	37	33	28	31	37	44	47	31	41	42	51	0	1	2	1	1	1	1	2	3	1	2	2	1	1	1	1	1	1	2	1	2	1	1	3	1	1	2	2	2	3	2	1	1	1	2	1	1	2	1	2	1	2	1	3	3	2	3	1	1	3	2	3	2	1
2500	-297.396484416701639	-304.251972367661040	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.574637525218227	0	3	3	4	4	5	6	8	6	7	9	8	9	8	7	9	10	6	8	9	10	10	10	10	11	11	11	10	12	12	9	11	10	14	12	12	11	13	13	13	15	14	18	13	15	15	16	17	19	19	22	24	28	0	1	1	2	2	2	4	10	2	6	5	10	18	9	9	8	18	4	2	15	16	20	10	8	19	20	28	11	8	17	18	19	14	22	23	16	31	23	28	31	24	37	33	28	42	31	44	44	45	41	46	51	0	1	2	2	1	1	1	1	1	2	1	2	1	2	1	1	1	2	1	2	1	1	1	1	1	2	1	1	1	3	1	2	1	1	2	1	2	1	2	1	3	3	2	4	1	1	3	1	2	3	2	3	1	1
3000	-293.848145393885034	-300.703633344844434	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.599679795945239	0	3	2	5	6	5	7	7	7	8	9	7	8	9	8	8	10	8	9	10	10	8	9	10	11	11	10	12	12	12	10	11	11	13	12	12	11	13	13	13	16	14	17	14	15	15	16	17	18	19	21	25	27	0	1	1	2	4	2	2	2	2	6	5	6	8	9	9	8	18	7	9	15	8	9	6	16	19	15	5	27	16	18	18	19	8	22	10	13	31	23	27	17	36	37	33	28	40	37	44	44	45	41	46	51	0	1	1	1	1	1	1	2	2	2	2	1	1	1	1	1	1	1	1	1	1	2	1	2	2	1	1	1	1	2	2	1	1	2	2	2	2	1	2	1	1	2	2	2	1	1	1	1	2	2	2	4	4	1
3500	-279.583300688597944	-286.438788639557345	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.730409532496980	0	3	2	5	5	5	7	6	6	8	7	9	8	9	8	9	10	8	9	9	10	11	10	9	11	11	9	12	12	11	10	10	10	13	12	12	12	13	14	12	14	14	17	14	14	15	16	18	17	19	21	23	27	0	1	1	2	2	2	6	2	4	6	5	7	7	9	9	13	18	8	15	9	8	20	10	8	19	15	11	27	8	31	18	19	14	22	23	8	31	23	28	31	24	37	33	28	40	42	44	47	45	41	46	51	0	1	1	1	1	1	2	1	2	1	2	1	1	1	2	1	1	1	1	1	1	2	1	1	2	1	1	1	2	3	1	2	1	1	1	1	2	1	2	1	1	2	1	3	2	1	1	1	1	2	2	3	1	1
4000	-300.022975384417748	-306.878463335377148	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.606140237038400	-1	4	2	6	6	5	6	8	7	7	7	9	8	9	8	10	10	8	9	9	9	10	10	6	11	10	11	10	12	11	10	11	12	14	12	10	12	13	13	13	14	14	16	14	15	15	15	15	18	20	22	25	26	0	1	1	2	2	2	2	2	2	6	5	10	24	9	9	8	18	7	9	15	8	9	6	2	19	20	11	11	24	17	18	19	14	22	23	21	31	10	27	18	36	37	33	28	40	42	44	44	45	41	42	51	0	1	3	1	2	1	1	2	1	2	2	1	1	1	1	1	1	2	1	1	1	1	1	3	2	1	1	2	2	4	1	1	1	1	2	2	1	1	3	1	2	2	1	2	3	2	1	1	1	2	4	3	2	1
4500	-285.333561552604635	-292.189049503564036	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.618754311252928	0	3	2	5	5	5	6	7	7	7	10	9	9	9	6	8	11	8	9	10	9	9	10	9	11	11	11	12	12	11	9	10	12	13	12	12	11	13	13	13	15	14	16	13	13	15	15	17	18	19	22	24	27	0	1	1	2	2	2	2	7	15	6	5	10	16	9	2	8	18	7	15	2	7	15	10	16	19	20	11	11	8	18	18	19	15	22	23	16	31	23	28	31	36	37	34	27	31	37	44	47	45	41	46	51	0	1	2	1	1	2	1	2	1	1	1	2	2	1	1	2	1	2	1	1	2	1	1	1	1	1	1	1	1	2	2	1	1	4	2	2	2	1	2	1	2	2	2	2	1	2	2	1	1	2	3	2	1	1
