step	post	like	prior	mu1	mu2	gamma	pi	Tinf_1	Tinf_2	Tinf_3	Tinf_4	Tinf_5	Tinf_6	Tinf_7	Tinf_8	Tinf_9	Tinf_10	Tinf_11	Tinf_12	Tinf_13	Tinf_14	Tinf_15	Tinf_16	Tinf_17	Tinf_18	Tinf_19	Tinf_20	Tinf_21	Tinf_22	Tinf_23	Tinf_24	Tinf_25	Tinf_26	Tinf_27	Tinf_28	Tinf_29	Tinf_30	Tinf_31	Tinf_32	Tinf_33	Tinf_34	Tinf_35	Tinf_36	Tinf_37	Tinf_38	Tinf_39	Tinf_40	Tinf_41	Tinf_42	Tinf_43	Tinf_44	Tinf_45	Tinf_46	Tinf_47	Tinf_48	Tinf_49	Tinf_50	Tinf_51	Tinf_52	Tinf_53	Tinf_54	Tinf_55	Tinf_56	Tinf_57	Tinf_58	Tinf_59	Tinf_60	Tinf_61	Tinf_62	Tinf_63	Tinf_64	Tinf_65	Tinf_66	Tinf_67	Tinf_68	Tinf_69	Tinf_70	Tinf_71	Tinf_72	Tinf_73	Tinf_74	Tinf_75	Tinf_76	Tinf_77	Tinf_78	Tinf_79	Tinf_80	Tinf_81	Tinf_82	Tinf_83	Tinf_84	Tinf_85	Tinf_86	Tinf_87	Tinf_88	alpha_1	alpha_2	alpha_3	alpha_4	alpha_5	alpha_6	alpha_7	alpha_8	alpha_9	alpha_10	alpha_11	alpha_12	alpha_13	alpha_14	alpha_15	alpha_16	alpha_17	alpha_18	alpha_19	alpha_20	alpha_21	alpha_22	alpha_23	alpha_24	alpha_25	alpha_26	alpha_27	alpha_28	alpha_29	alpha_30	alpha_31	alpha_32	alpha_33	alpha_34	alpha_35	alpha_36	alpha_37	alpha_38	alpha_39	alpha_40	alpha_41	alpha_42	alpha_43	alpha_44	alpha_45	alpha_46	alpha_47	alpha_48	alpha_49	alpha_50	alpha_51	alpha_52	alpha_53	alpha_54	alpha_55	alpha_56	alpha_57	alpha_58	alpha_59	alpha_60	alpha_61	alpha_62	alpha_63	alpha_64	alpha_65	alpha_66	alpha_67	alpha_68	alpha_69	alpha_70	alpha_71	alpha_72	alpha_73	alpha_74	alpha_75	alpha_76	alpha_77	alpha_78	alpha_79	alpha_80	alpha_81	alpha_82	alpha_83	alpha_84	alpha_85	alpha_86	alpha_87	alpha_88	kappa_1	kappa_2	kappa_3	kappa_4	kappa_5	kappa_6	kappa_7	kappa_8	kappa_9	kappa_10	kappa_11	kappa_12	kappa_13	kappa_14	kappa_15	kappa_16	kappa_17	kappa_18	kappa_19	kappa_20	kappa_21	kappa_22	kappa_23	kappa_24	kappa_25	kappa_26	kappa_27	kappa_28	kappa_29	kappa_30	kappa_31	kappa_32	kappa_33	kappa_34	kappa_35	kappa_36	kappa_37	kappa_38	kappa_39	kappa_40	kappa_41	kappa_42	kappa_43	kappa_44	kappa_45	kappa_46	kappa_47	kappa_48	kappa_49	kappa_50	kappa_51	kappa_52	kappa_53	kappa_54	kappa_55	kappa_56	kappa_57	kappa_58	kappa_59	kappa_60	kappa_61	kappa_62	kappa_63	kappa_64	kappa_65	kappa_66	kappa_67	kappa_68	kappa_69	kappa_70	kappa_71	kappa_72	kappa_73	kappa_74	kappa_75	kappa_76	kappa_77	kappa_78	kappa_79	kappa_80	kappa_81	kappa_82	kappa_83	kappa_84	kappa_85	kappa_86	kappa_87	kappa_88
1	-533.157355262766373	-540.012843213725773	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.029527472066661	0	3	6	8	9	9	11	10	10	12	12	12	11	13	12	13	13	12	14	13	13	13	14	13	14	14	13	15	14	15	14	14	16	15	17	15	18	15	14	14	15	15	15	15	17	14	16	15	15	16	17	15	17	16	16	17	15	18	17	17	17	16	16	16	18	18	18	18	18	18	19	20	19	21	21	20	20	21	23	22	24	27	27	26	27	28	30	32	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	3	4	5	5	6	5	5	6	6	6	6	7	6	7	7	6	7	7	7	7	7	7	7	7	7	8	7	8	7	7	8	8	9	8	9	8	7	7	8	8	8	8	9	7	8	8	8	8	9	8	9	8	8	9	8	9	9	9	9	8	8	8	9	9	9	9	9	9	10	10	10	11	11	10	10	11	12	11	12	14	14	13	14	14	15	16
500	-538.901869622060076	-545.757357573019476	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.069772987995989	-1	1	5	8	10	9	10	11	8	13	11	10	11	11	12	14	13	12	15	13	14	14	14	14	15	13	13	14	15	16	14	14	16	15	17	15	18	15	15	14	16	16	16	16	16	15	16	13	14	16	17	16	18	17	17	17	15	18	17	16	18	16	17	15	15	18	17	19	17	18	19	19	18	22	21	19	21	21	23	21	23	28	28	27	26	28	30	33	0	1	1	3	3	1	4	6	2	13	7	2	1	2	14	4	6	4	9	1	2	15	3	2	6	1	8	2	27	16	11	2	1	1	6	8	2	23	17	14	18	15	2	9	1	26	0	18	2	3	48	46	1	36	26	32	27	15	48	1	4	1	21	8	17	2	11	10	2	11	18	7	2	2	2	29	76	32	2	2	61	1	35	56	2	26	67	31	1	1	4	2	2	4	1	2	5	2	1	3	5	7	1	4	2	1	4	8	7	1	4	6	2	7	1	5	1	1	2	6	11	8	4	1	10	1	1	1	2	2	7	5	9	1	1	1	6	6	2	1	9	1	1	2	1	3	2	10	6	8	2	2	1	10	4	3	9	4	4	4	9	10	11	1	1	3	10	8	3	16	6	4	14	8	7	11
1000	-453.386560263172896	-460.242048214132296	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.263858761523477	-1	2	5	8	7	9	11	10	10	12	13	12	12	14	13	14	13	12	15	14	13	11	14	14	15	13	13	15	14	15	15	14	16	15	18	13	17	14	14	14	15	15	15	16	17	15	17	15	15	17	17	14	17	16	16	18	15	19	18	15	18	14	16	15	19	18	18	17	18	18	18	20	19	22	22	20	20	21	22	20	24	27	27	26	27	28	30	33	0	1	2	5	3	4	6	3	2	3	6	6	1	13	2	10	7	1	62	4	6	6	27	10	2	22	7	18	10	14	4	18	1	27	17	2	26	18	8	18	11	17	1	10	13	36	0	12	22	46	19	36	6	38	49	57	26	31	33	20	63	18	15	12	33	18	16	57	3	19	11	70	68	62	10	58	70	51	1	26	29	4	59	77	2	84	2	85	1	1	1	1	1	1	1	3	4	4	2	1	7	1	4	1	1	6	1	3	3	1	1	1	6	1	1	1	1	1	5	1	8	1	2	7	2	1	2	1	1	1	9	2	2	1	1	1	4	1	1	1	6	1	1	1	1	3	2	1	1	2	2	2	1	5	2	2	8	2	5	1	1	4	5	1	1	2	13	3	5	11	5	3	13	2	13	3
1500	-405.278427980141601	-412.133915931101001	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.410555100855586	0	3	7	6	10	8	11	8	10	12	13	13	11	13	12	12	13	12	15	11	14	14	14	13	15	14	14	15	14	16	15	14	16	12	17	16	17	14	14	14	16	15	15	14	17	13	16	15	14	16	18	15	18	16	17	16	16	18	16	18	17	17	16	17	18	19	17	18	19	19	19	20	19	21	22	20	20	21	22	22	25	27	27	25	26	28	28	33	0	1	1	2	8	3	3	4	4	5	7	9	4	2	2	4	1	5	17	2	13	18	6	10	38	17	6	2	3	24	12	4	44	5	46	44	26	10	11	17	14	17	27	24	28	10	0	44	17	38	48	18	29	34	25	19	38	33	4	47	12	27	40	33	11	15	52	55	48	59	67	41	5	21	15	12	41	43	4	56	78	14	81	27	2	73	64	45	1	1	3	2	1	1	2	1	2	1	1	1	3	5	4	3	6	1	1	3	3	1	3	1	1	1	2	5	3	2	1	4	1	1	2	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	3	2	1	1	1	1	6	1	3	2	1	1	3	3	1	1	2	2	1	2	6	3	5	4	2	3	10	2	2	6	1	6	12	3	5	7
2000	-466.844160441279826	-473.699648392239226	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.727350641121034	1	4	6	8	10	8	11	10	10	12	11	12	11	14	13	12	13	12	14	13	13	14	14	13	13	15	12	15	14	15	14	13	16	15	18	16	19	15	14	14	16	15	15	15	17	14	16	15	16	17	17	15	18	17	16	17	15	16	18	14	16	16	16	16	19	17	17	18	15	17	19	19	19	21	21	21	21	21	23	21	23	28	28	24	27	29	30	32	0	1	2	3	6	3	6	6	4	13	9	11	5	17	11	2	18	13	16	7	7	8	15	18	27	5	5	29	24	22	20	2	12	16	42	16	45	22	15	25	31	20	11	20	40	15	0	22	40	42	44	20	54	18	10	17	14	38	18	16	22	29	46	43	56	36	29	64	20	21	70	12	67	32	50	71	62	71	2	51	76	36	45	15	77	48	82	84	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	4	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	3	1	2	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	2	1	2	1	1	3	1	1	1	1	1	1	1	1	1	1	2	1	3	1	4	2	1	2	1	7	2	1	3	6	5	3	4	1	4
2500	-364.459587485467921	-371.315075436427321	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.641536874707387	0	3	6	8	9	10	12	10	10	12	12	11	12	13	12	13	14	13	13	13	13	14	14	13	14	14	14	15	15	15	11	14	16	15	18	15	18	15	14	15	16	16	15	15	18	15	17	16	14	17	17	16	17	16	16	17	15	19	17	17	17	17	17	15	18	17	18	19	17	17	20	19	19	22	21	20	20	22	24	22	24	28	27	26	26	26	28	29	0	1	1	2	4	4	4	2	4	8	8	2	4	15	6	2	11	31	11	9	5	13	20	8	4	12	6	7	39	25	6	6	32	4	7	10	28	32	8	32	27	49	19	19	29	17	0	10	10	7	43	28	38	24	49	39	27	45	39	30	29	30	17	4	28	55	34	66	21	55	56	44	18	69	53	42	61	73	45	56	74	84	81	45	2	63	84	83	1	1	2	2	1	1	2	3	1	1	1	4	3	1	1	5	1	1	1	1	2	1	1	2	2	1	2	2	1	1	1	3	1	2	3	1	1	1	3	1	1	1	1	1	1	1	1	2	1	2	1	1	1	1	1	1	1	1	2	1	1	1	1	3	1	1	1	1	2	1	2	1	2	1	1	2	1	1	4	2	1	1	2	3	11	4	1	1
3000	-404.597010660801800	-411.452498611761200	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.470677791040875	0	4	7	8	9	9	11	10	9	12	12	10	11	13	13	12	14	12	15	13	10	13	15	11	14	13	14	15	15	14	13	13	17	15	17	16	18	14	14	14	16	14	15	16	18	14	16	15	15	17	18	15	16	16	16	17	14	19	18	17	17	16	15	16	18	17	18	18	18	19	19	19	19	21	19	19	20	21	23	22	23	26	28	26	28	28	31	32	0	1	2	1	3	3	5	4	3	6	21	1	4	24	4	4	6	21	20	2	4	21	26	4	5	16	18	4	39	32	7	4	47	8	28	27	47	7	6	11	57	11	20	16	55	3	0	13	24	27	55	9	11	34	30	22	14	33	64	29	23	25	42	22	55	62	4	61	57	46	49	11	41	75	57	43	35	44	12	60	50	75	84	80	66	68	85	83	1	2	2	4	1	1	1	1	1	2	1	5	2	1	2	2	3	1	1	4	1	1	1	2	3	1	1	2	1	1	1	2	1	3	1	2	1	2	2	1	1	1	2	2	1	3	1	2	3	3	2	3	3	1	1	1	1	1	1	1	1	1	1	1	1	1	7	1	2	2	2	3	1	1	2	1	1	2	5	1	2	3	1	1	8	6	3	3
3500	-412.308974466330767	-419.164462417290167	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.471809224434330	1	4	6	7	9	10	11	9	10	12	12	12	9	13	12	13	13	12	14	12	13	14	14	14	14	13	13	13	14	16	15	12	16	16	17	16	19	14	15	15	15	14	16	15	17	15	16	14	16	15	16	15	17	16	16	17	15	19	17	17	17	16	17	16	17	19	17	19	18	18	18	20	19	21	21	19	19	20	22	21	24	25	27	26	27	29	29	32	0	1	1	3	1	3	2	1	8	6	4	6	3	8	5	2	12	6	7	7	11	18	6	11	2	10	5	7	13	20	1	1	26	40	39	6	61	26	12	18	21	10	8	20	30	28	0	7	3	20	29	38	49	22	3	43	6	18	25	42	47	18	19	29	31	21	41	38	28	24	49	10	55	60	56	65	43	69	57	58	79	23	74	64	82	48	82	24	1	2	1	1	4	2	3	4	1	1	2	1	2	2	2	4	1	1	1	1	1	1	1	1	6	1	2	1	2	2	5	5	1	1	1	3	1	1	1	2	1	1	4	2	1	1	1	1	5	2	1	1	1	1	5	1	2	3	2	2	1	2	1	1	1	2	1	2	2	2	1	4	1	2	2	1	2	1	3	1	1	3	3	4	1	8	2	9
4000	-386.582001821990616	-393.437489772950016	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.609575264394787	1	4	6	9	9	10	11	10	11	11	12	13	11	13	12	13	13	12	14	13	13	14	14	12	13	14	13	15	14	15	14	13	17	14	18	15	17	16	15	14	15	14	16	15	18	15	17	14	15	16	17	13	17	16	14	17	16	18	16	17	17	16	17	16	17	18	18	19	18	18	18	20	19	21	22	21	19	21	23	22	24	27	26	26	28	26	29	32	0	1	2	2	3	5	5	2	4	4	8	9	2	18	2	13	8	6	6	9	10	18	52	6	6	14	11	10	16	12	7	8	29	7	32	5	31	28	29	7	48	6	17	52	57	17	0	7	2	42	41	11	10	48	18	17	18	31	1	64	59	40	44	49	7	21	34	12	20	63	39	69	69	67	78	67	17	33	69	6	51	78	74	81	71	56	84	67	1	1	1	2	1	1	1	3	2	1	1	1	4	1	4	2	2	1	2	1	1	1	1	1	2	1	1	3	1	1	1	1	1	2	3	2	2	1	1	1	1	2	1	1	1	1	1	1	5	1	1	1	3	1	1	2	2	2	6	1	1	1	1	1	2	2	2	3	2	1	1	1	1	1	1	1	3	2	3	5	3	2	2	1	5	4	2	9
4500	-368.073789501492854	-374.929277452452254	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.696430803104630	1	4	6	8	10	9	10	10	10	12	12	12	11	12	11	12	14	13	14	12	13	13	15	12	14	15	13	15	12	15	14	14	16	14	18	15	18	15	13	14	15	16	15	16	17	14	16	15	16	16	17	14	17	16	17	16	15	18	18	16	18	17	15	16	18	18	18	17	18	18	20	19	20	20	21	18	19	20	22	22	24	25	28	25	27	27	28	32	0	1	2	3	4	3	3	6	4	5	7	9	7	9	2	2	9	20	18	9	4	20	46	5	39	52	12	21	7	27	10	2	52	5	62	16	49	7	5	10	31	43	2	12	60	14	0	21	11	14	41	10	52	31	23	52	17	40	7	31	49	19	12	36	11	49	56	30	62	42	69	27	53	36	76	42	63	47	58	30	78	58	59	37	82	82	84	86	1	2	1	1	1	2	2	1	1	1	1	2	1	1	2	4	1	1	1	1	3	1	1	1	1	1	1	1	1	1	1	4	1	2	1	1	1	2	1	1	1	1	4	2	1	1	1	1	2	1	1	1	1	1	1	1	1	1	4	1	1	1	2	1	3	1	1	1	1	1	1	2	1	2	1	1	2	2	3	3	2	2	4	2	1	1	2	2
