step	p_accept_mu1	p_accept_gamma	p_accept_pi	p_accept_Tinf	sigma_mu1	sigma_gamma	sigma_pi	n_like_zero
1		1.00000	1.00000	1.00000	1.00000	0.000100000000000	1.000000000000000	0.010000000000000	0
500		1.00000	1.00000	1.00000	0.31630	0.000100000000000	1.000000000000000	0.010000000000000	0
1000		-nan	-nan	0.96600	0.31081	0.000150000000000	1.000000000000000	0.015000000000000	0
1500		-nan	-nan	0.95200	0.30387	0.000150000000000	1.000000000000000	0.022500000000000	0
2000		-nan	-nan	0.92600	0.30265	0.000150000000000	1.000000000000000	0.033750000000000	0
2500		-nan	-nan	0.87800	0.30639	0.000150000000000	1.000000000000000	0.050625000000000	0
3000		-nan	-nan	0.79000	0.30299	0.000150000000000	1.000000000000000	0.075937500000000	0
3500		-nan	-nan	0.71800	0.30290	0.000150000000000	1.000000000000000	0.113906250000000	0
4000		-nan	-nan	0.66600	0.30341	0.000150000000000	1.000000000000000	0.170859375000000	0
4500		-nan	-nan	0.51400	0.30355	0.000150000000000	1.000000000000000	0.256289062500000	0
5000		-nan	-nan	0.39600	0.30309	0.000150000000000	1.000000000000000	0.384433593750000	0
5500		-nan	-nan	0.42200	0.30287	0.000150000000000	1.000000000000000	0.384433593750000	0
6000		-nan	-nan	0.42267	0.30233	0.000150000000000	1.000000000000000	0.384433593750000	0
6500		-nan	-nan	0.42650	0.30192	0.000150000000000	1.000000000000000	0.384433593750000	0
7000		-nan	-nan	0.42280	0.30181	0.000150000000000	1.000000000000000	0.384433593750000	0
7500		-nan	-nan	0.42267	0.30253	0.000150000000000	1.000000000000000	0.384433593750000	0
8000		-nan	-nan	0.42943	0.30220	0.000150000000000	1.000000000000000	0.384433593750000	0
8500		-nan	-nan	0.43650	0.30333	0.000150000000000	1.000000000000000	0.384433593750000	0
9000		-nan	-nan	0.44000	0.30407	0.000150000000000	1.000000000000000	0.384433593750000	0
9500		-nan	-nan	0.43980	0.30414	0.000150000000000	1.000000000000000	0.384433593750000	0
10000		-nan	-nan	0.44036	0.30481	0.000150000000000	1.000000000000000	0.384433593750000	0
10500		-nan	-nan	0.44150	0.30541	0.000150000000000	1.000000000000000	0.384433593750000	0
11000		-nan	-nan	0.44277	0.30488	0.000150000000000	1.000000000000000	0.384433593750000	0
11500		-nan	-nan	0.44443	0.30462	0.000150000000000	1.000000000000000	0.384433593750000	0
12000		-nan	-nan	0.44373	0.30441	0.000150000000000	1.000000000000000	0.384433593750000	0
12500		-nan	-nan	0.44288	0.30372	0.000150000000000	1.000000000000000	0.384433593750000	0
13000		-nan	-nan	0.44200	0.30387	0.000150000000000	1.000000000000000	0.384433593750000	0
13500		-nan	-nan	0.43967	0.30433	0.000150000000000	1.000000000000000	0.384433593750000	0
14000		-nan	-nan	0.43979	0.30408	0.000150000000000	1.000000000000000	0.384433593750000	0
14500		-nan	-nan	0.44100	0.30415	0.000150000000000	1.000000000000000	0.384433593750000	0
15000		-nan	-nan	0.43838	0.30330	0.000150000000000	1.000000000000000	0.384433593750000	0
15500		-nan	-nan	0.43864	0.30337	0.000150000000000	1.000000000000000	0.384433593750000	0
16000		-nan	-nan	0.44009	0.30330	0.000150000000000	1.000000000000000	0.384433593750000	0
16500		-nan	-nan	0.43850	0.30345	0.000150000000000	1.000000000000000	0.384433593750000	0
17000		-nan	-nan	0.43760	0.30390	0.000150000000000	1.000000000000000	0.384433593750000	0
17500		-nan	-nan	0.43700	0.30380	0.000150000000000	1.000000000000000	0.384433593750000	0
18000		-nan	-nan	0.43659	0.30346	0.000150000000000	1.000000000000000	0.384433593750000	0
18500		-nan	-nan	0.43771	0.30376	0.000150000000000	1.000000000000000	0.384433593750000	0
19000		-nan	-nan	0.43738	0.30383	0.000150000000000	1.000000000000000	0.384433593750000	0
19500		-nan	-nan	0.43867	0.30367	0.000150000000000	1.000000000000000	0.384433593750000	0
20000		-nan	-nan	0.44000	0.30407	0.000150000000000	1.000000000000000	0.384433593750000	0
20500		-nan	-nan	0.44012	0.30396	0.000150000000000	1.000000000000000	0.384433593750000	0
21000		-nan	-nan	0.44000	0.30351	0.000150000000000	1.000000000000000	0.384433593750000	0
21500		-nan	-nan	0.43888	0.30396	0.000150000000000	1.000000000000000	0.384433593750000	0
22000		-nan	-nan	0.43806	0.30361	0.000150000000000	1.000000000000000	0.384433593750000	0
22500		-nan	-nan	0.43783	0.30312	0.000150000000000	1.000000000000000	0.384433593750000	0
23000		-nan	-nan	0.43784	0.30299	0.000150000000000	1.000000000000000	0.384433593750000	0
23500		-nan	-nan	0.43926	0.30281	0.000150000000000	1.000000000000000	0.384433593750000	0
24000		-nan	-nan	0.43990	0.30333	0.000150000000000	1.000000000000000	0.384433593750000	0
24500		-nan	-nan	0.43910	0.30354	0.000150000000000	1.000000000000000	0.384433593750000	0
25000		-nan	-nan	0.43985	0.30392	0.000150000000000	1.000000000000000	0.384433593750000	0
25500		-nan	-nan	0.44052	0.30409	0.000150000000000	1.000000000000000	0.384433593750000	0
