step	p_accept_mu1	p_accept_gamma	p_accept_pi	p_accept_Tinf	sigma_mu1	sigma_gamma	sigma_pi	n_like_zero
1		1.00000	1.00000	1.00000	1.00000	0.000100000000000	1.000000000000000	0.010000000000000	0
500		1.00000	1.00000	1.00000	0.36427	0.000100000000000	1.000000000000000	0.010000000000000	0
1000		-nan	-nan	0.90600	0.34060	0.000150000000000	1.000000000000000	0.015000000000000	0
1500		-nan	-nan	0.86600	0.33216	0.000150000000000	1.000000000000000	0.022500000000000	0
2000		-nan	-nan	0.80800	0.32852	0.000150000000000	1.000000000000000	0.033750000000000	0
2500		-nan	-nan	0.69600	0.32540	0.000150000000000	1.000000000000000	0.050625000000000	0
3000		-nan	-nan	0.57600	0.32209	0.000150000000000	1.000000000000000	0.075937500000000	0
3500		-nan	-nan	0.38200	0.31938	0.000150000000000	1.000000000000000	0.113906250000000	0
4000		-nan	-nan	0.42200	0.31826	0.000150000000000	1.000000000000000	0.113906250000000	0
4500		-nan	-nan	0.43067	0.31767	0.000150000000000	1.000000000000000	0.113906250000000	0
5000		-nan	-nan	0.43650	0.31706	0.000150000000000	1.000000000000000	0.113906250000000	0
5500		-nan	-nan	0.44600	0.31656	0.000150000000000	1.000000000000000	0.113906250000000	0
6000		-nan	-nan	0.45033	0.31656	0.000150000000000	1.000000000000000	0.113906250000000	0
6500		-nan	-nan	0.45057	0.31606	0.000150000000000	1.000000000000000	0.113906250000000	0
7000		-nan	-nan	0.44800	0.31550	0.000150000000000	1.000000000000000	0.113906250000000	0
7500		-nan	-nan	0.45311	0.31536	0.000150000000000	1.000000000000000	0.113906250000000	0
8000		-nan	-nan	0.45760	0.31577	0.000150000000000	1.000000000000000	0.113906250000000	0
8500		-nan	-nan	0.46127	0.31582	0.000150000000000	1.000000000000000	0.113906250000000	0
9000		-nan	-nan	0.45867	0.31554	0.000150000000000	1.000000000000000	0.113906250000000	0
9500		-nan	-nan	0.45938	0.31531	0.000150000000000	1.000000000000000	0.113906250000000	0
10000		-nan	-nan	0.46000	0.31513	0.000150000000000	1.000000000000000	0.113906250000000	0
10500		-nan	-nan	0.45933	0.31495	0.000150000000000	1.000000000000000	0.113906250000000	0
11000		-nan	-nan	0.45675	0.31491	0.000150000000000	1.000000000000000	0.113906250000000	0
11500		-nan	-nan	0.45824	0.31474	0.000150000000000	1.000000000000000	0.113906250000000	0
12000		-nan	-nan	0.45633	0.31428	0.000150000000000	1.000000000000000	0.113906250000000	0
12500		-nan	-nan	0.45568	0.31428	0.000150000000000	1.000000000000000	0.113906250000000	0
13000		-nan	-nan	0.45380	0.31430	0.000150000000000	1.000000000000000	0.113906250000000	0
13500		-nan	-nan	0.45533	0.31432	0.000150000000000	1.000000000000000	0.113906250000000	0
14000		-nan	-nan	0.45464	0.31399	0.000150000000000	1.000000000000000	0.113906250000000	0
14500		-nan	-nan	0.45591	0.31404	0.000150000000000	1.000000000000000	0.113906250000000	0
15000		-nan	-nan	0.45442	0.31408	0.000150000000000	1.000000000000000	0.113906250000000	0
15500		-nan	-nan	0.45272	0.31394	0.000150000000000	1.000000000000000	0.113906250000000	0
16000		-nan	-nan	0.45169	0.31387	0.000150000000000	1.000000000000000	0.113906250000000	0
16500		-nan	-nan	0.45230	0.31401	0.000150000000000	1.000000000000000	0.113906250000000	0
17000		-nan	-nan	0.45229	0.31402	0.000150000000000	1.000000000000000	0.113906250000000	0
17500		-nan	-nan	0.45297	0.31396	0.000150000000000	1.000000000000000	0.113906250000000	0
18000		-nan	-nan	0.45333	0.31411	0.000150000000000	1.000000000000000	0.113906250000000	0
18500		-nan	-nan	0.45284	0.31409	0.000150000000000	1.000000000000000	0.113906250000000	0
19000		-nan	-nan	0.45281	0.31407	0.000150000000000	1.000000000000000	0.113906250000000	0
19500		-nan	-nan	0.45285	0.31407	0.000150000000000	1.000000000000000	0.113906250000000	0
20000		-nan	-nan	0.45282	0.31416	0.000150000000000	1.000000000000000	0.113906250000000	0
20500		-nan	-nan	0.45251	0.31414	0.000150000000000	1.000000000000000	0.113906250000000	0
21000		-nan	-nan	0.45217	0.31409	0.000150000000000	1.000000000000000	0.113906250000000	0
21500		-nan	-nan	0.45297	0.31427	0.000150000000000	1.000000000000000	0.113906250000000	0
22000		-nan	-nan	0.45326	0.31422	0.000150000000000	1.000000000000000	0.113906250000000	0
22500		-nan	-nan	0.45338	0.31418	0.000150000000000	1.000000000000000	0.113906250000000	0
23000		-nan	-nan	0.45415	0.31424	0.000150000000000	1.000000000000000	0.113906250000000	0
23500		-nan	-nan	0.45424	0.31423	0.000150000000000	1.000000000000000	0.113906250000000	0
24000		-nan	-nan	0.45381	0.31414	0.000150000000000	1.000000000000000	0.113906250000000	0
24500		-nan	-nan	0.45460	0.31429	0.000150000000000	1.000000000000000	0.113906250000000	0
25000		-nan	-nan	0.45432	0.31431	0.000150000000000	1.000000000000000	0.113906250000000	0
25500		-nan	-nan	0.45356	0.31421	0.000150000000000	1.000000000000000	0.113906250000000	0
26000		-nan	-nan	0.45435	0.31422	0.000150000000000	1.000000000000000	0.113906250000000	0
26500		-nan	-nan	0.45409	0.31411	0.000150000000000	1.000000000000000	0.113906250000000	0
27000		-nan	-nan	0.45413	0.31416	0.000150000000000	1.000000000000000	0.113906250000000	0
27500		-nan	-nan	0.45404	0.31417	0.000150000000000	1.000000000000000	0.113906250000000	0
28000		-nan	-nan	0.45336	0.31416	0.000150000000000	1.000000000000000	0.113906250000000	0
28500		-nan	-nan	0.45302	0.31405	0.000150000000000	1.000000000000000	0.113906250000000	0
29000		-nan	-nan	0.45300	0.31413	0.000150000000000	1.000000000000000	0.113906250000000	0
29500		-nan	-nan	0.45336	0.31409	0.000150000000000	1.000000000000000	0.113906250000000	0
30000		-nan	-nan	0.45356	0.31398	0.000150000000000	1.000000000000000	0.113906250000000	0
30500		-nan	-nan	0.45505	0.31401	0.000150000000000	1.000000000000000	0.113906250000000	0
31000		-nan	-nan	0.45471	0.31410	0.000150000000000	1.000000000000000	0.113906250000000	0
31500		-nan	-nan	0.45484	0.31407	0.000150000000000	1.000000000000000	0.113906250000000	0
32000		-nan	-nan	0.45462	0.31413	0.000150000000000	1.000000000000000	0.113906250000000	0
32500		-nan	-nan	0.45437	0.31408	0.000150000000000	1.000000000000000	0.113906250000000	0
33000		-nan	-nan	0.45440	0.31406	0.000150000000000	1.000000000000000	0.113906250000000	0
33500		-nan	-nan	0.45377	0.31406	0.000150000000000	1.000000000000000	0.113906250000000	0
34000		-nan	-nan	0.45419	0.31411	0.000150000000000	1.000000000000000	0.113906250000000	0
34500		-nan	-nan	0.45390	0.31404	0.000150000000000	1.000000000000000	0.113906250000000	0
35000		-nan	-nan	0.45344	0.31404	0.000150000000000	1.000000000000000	0.113906250000000	0
35500		-nan	-nan	0.45335	0.31392	0.000150000000000	1.000000000000000	0.113906250000000	0
36000		-nan	-nan	0.45327	0.31394	0.000150000000000	1.000000000000000	0.113906250000000	0
36500		-nan	-nan	0.45269	0.31393	0.000150000000000	1.000000000000000	0.113906250000000	0
37000		-nan	-nan	0.45279	0.31384	0.000150000000000	1.000000000000000	0.113906250000000	0
37500		-nan	-nan	0.45238	0.31379	0.000150000000000	1.000000000000000	0.113906250000000	0
38000		-nan	-nan	0.45269	0.31381	0.000150000000000	1.000000000000000	0.113906250000000	0
38500		-nan	-nan	0.45287	0.31380	0.000150000000000	1.000000000000000	0.113906250000000	0
39000		-nan	-nan	0.45278	0.31375	0.000150000000000	1.000000000000000	0.113906250000000	0
39500		-nan	-nan	0.45233	0.31377	0.000150000000000	1.000000000000000	0.113906250000000	0
40000		-nan	-nan	0.45259	0.31374	0.000150000000000	1.000000000000000	0.113906250000000	0
40500		-nan	-nan	0.45240	0.31368	0.000150000000000	1.000000000000000	0.113906250000000	0
41000		-nan	-nan	0.45224	0.31368	0.000150000000000	1.000000000000000	0.113906250000000	0
41500		-nan	-nan	0.45234	0.31367	0.000150000000000	1.000000000000000	0.113906250000000	0
42000		-nan	-nan	0.45223	0.31363	0.000150000000000	1.000000000000000	0.113906250000000	0
42500		-nan	-nan	0.45273	0.31365	0.000150000000000	1.000000000000000	0.113906250000000	0
43000		-nan	-nan	0.45243	0.31371	0.000150000000000	1.000000000000000	0.113906250000000	0
43500		-nan	-nan	0.45306	0.31375	0.000150000000000	1.000000000000000	0.113906250000000	0
44000		-nan	-nan	0.45332	0.31370	0.000150000000000	1.000000000000000	0.113906250000000	0
44500		-nan	-nan	0.45318	0.31371	0.000150000000000	1.000000000000000	0.113906250000000	0
45000		-nan	-nan	0.45300	0.31358	0.000150000000000	1.000000000000000	0.113906250000000	0
45500		-nan	-nan	0.45325	0.31352	0.000150000000000	1.000000000000000	0.113906250000000	0
46000		-nan	-nan	0.45326	0.31353	0.000150000000000	1.000000000000000	0.113906250000000	0
46500		-nan	-nan	0.45315	0.31345	0.000150000000000	1.000000000000000	0.113906250000000	0
47000		-nan	-nan	0.45345	0.31350	0.000150000000000	1.000000000000000	0.113906250000000	0
47500		-nan	-nan	0.45353	0.31349	0.000150000000000	1.000000000000000	0.113906250000000	0
48000		-nan	-nan	0.45338	0.31348	0.000150000000000	1.000000000000000	0.113906250000000	0
48500		-nan	-nan	0.45330	0.31340	0.000150000000000	1.000000000000000	0.113906250000000	0
49000		-nan	-nan	0.45324	0.31331	0.000150000000000	1.000000000000000	0.113906250000000	0
49500		-nan	-nan	0.45361	0.31327	0.000150000000000	1.000000000000000	0.113906250000000	0
50000		-nan	-nan	0.45340	0.31326	0.000150000000000	1.000000000000000	0.113906250000000	0
50500		-nan	-nan	0.45326	0.31328	0.000150000000000	1.000000000000000	0.113906250000000	0
51000		-nan	-nan	0.45365	0.31329	0.000150000000000	1.000000000000000	0.113906250000000	0
51500		-nan	-nan	0.45379	0.31336	0.000150000000000	1.000000000000000	0.113906250000000	0
52000		-nan	-nan	0.45359	0.31341	0.000150000000000	1.000000000000000	0.113906250000000	0
52500		-nan	-nan	0.45347	0.31337	0.000150000000000	1.000000000000000	0.113906250000000	0
53000		-nan	-nan	0.45376	0.31338	0.000150000000000	1.000000000000000	0.113906250000000	0
53500		-nan	-nan	0.45382	0.31332	0.000150000000000	1.000000000000000	0.113906250000000	0
54000		-nan	-nan	0.45363	0.31334	0.000150000000000	1.000000000000000	0.113906250000000	0
54500		-nan	-nan	0.45367	0.31338	0.000150000000000	1.000000000000000	0.113906250000000	0
55000		-nan	-nan	0.45381	0.31338	0.000150000000000	1.000000000000000	0.113906250000000	0
