step	p_accept_mu1	p_accept_gamma	p_accept_pi	p_accept_Tinf	sigma_mu1	sigma_gamma	sigma_pi	n_like_zero
1		1.00000	1.00000	1.00000	1.00000	0.000100000000000	1.000000000000000	0.010000000000000	0
500		1.00000	1.00000	1.00000	0.33058	0.000100000000000	1.000000000000000	0.010000000000000	0
1000		-nan	-nan	0.90200	0.31414	0.000150000000000	1.000000000000000	0.015000000000000	0
1500		-nan	-nan	0.84200	0.30860	0.000150000000000	1.000000000000000	0.022500000000000	0
2000		-nan	-nan	0.79200	0.30526	0.000150000000000	1.000000000000000	0.033750000000000	0
2500		-nan	-nan	0.71200	0.30273	0.000150000000000	1.000000000000000	0.050625000000000	0
3000		-nan	-nan	0.56600	0.30128	0.000150000000000	1.000000000000000	0.075937500000000	0
3500		-nan	-nan	0.37600	0.30028	0.000150000000000	1.000000000000000	0.113906250000000	0
4000		-nan	-nan	0.37600	0.30025	0.000150000000000	1.000000000000000	0.113906250000000	0
4500		-nan	-nan	0.39000	0.30010	0.000150000000000	1.000000000000000	0.113906250000000	0
5000		-nan	-nan	0.39400	0.30002	0.000150000000000	1.000000000000000	0.113906250000000	0
5500		-nan	-nan	0.39880	0.29948	0.000150000000000	1.000000000000000	0.113906250000000	0
6000		-nan	-nan	0.40533	0.30015	0.000150000000000	1.000000000000000	0.113906250000000	0
6500		-nan	-nan	0.41371	0.29992	0.000150000000000	1.000000000000000	0.113906250000000	0
7000		-nan	-nan	0.41450	0.29960	0.000150000000000	1.000000000000000	0.113906250000000	0
7500		-nan	-nan	0.41356	0.29879	0.000150000000000	1.000000000000000	0.113906250000000	0
8000		-nan	-nan	0.41780	0.29865	0.000150000000000	1.000000000000000	0.113906250000000	0
8500		-nan	-nan	0.42055	0.29854	0.000150000000000	1.000000000000000	0.113906250000000	0
9000		-nan	-nan	0.42117	0.29837	0.000150000000000	1.000000000000000	0.113906250000000	0
9500		-nan	-nan	0.41862	0.29830	0.000150000000000	1.000000000000000	0.113906250000000	0
10000		-nan	-nan	0.42186	0.29850	0.000150000000000	1.000000000000000	0.113906250000000	0
10500		-nan	-nan	0.42133	0.29857	0.000150000000000	1.000000000000000	0.113906250000000	0
11000		-nan	-nan	0.42325	0.29841	0.000150000000000	1.000000000000000	0.113906250000000	0
11500		-nan	-nan	0.42376	0.29827	0.000150000000000	1.000000000000000	0.113906250000000	0
12000		-nan	-nan	0.42344	0.29806	0.000150000000000	1.000000000000000	0.113906250000000	0
12500		-nan	-nan	0.42358	0.29782	0.000150000000000	1.000000000000000	0.113906250000000	0
13000		-nan	-nan	0.42420	0.29784	0.000150000000000	1.000000000000000	0.113906250000000	0
13500		-nan	-nan	0.42581	0.29777	0.000150000000000	1.000000000000000	0.113906250000000	0
14000		-nan	-nan	0.42709	0.29796	0.000150000000000	1.000000000000000	0.113906250000000	0
14500		-nan	-nan	0.42704	0.29795	0.000150000000000	1.000000000000000	0.113906250000000	0
15000		-nan	-nan	0.42850	0.29803	0.000150000000000	1.000000000000000	0.113906250000000	0
15500		-nan	-nan	0.42832	0.29820	0.000150000000000	1.000000000000000	0.113906250000000	0
16000		-nan	-nan	0.42792	0.29792	0.000150000000000	1.000000000000000	0.113906250000000	0
16500		-nan	-nan	0.42948	0.29820	0.000150000000000	1.000000000000000	0.113906250000000	0
17000		-nan	-nan	0.42964	0.29813	0.000150000000000	1.000000000000000	0.113906250000000	0
17500		-nan	-nan	0.43055	0.29817	0.000150000000000	1.000000000000000	0.113906250000000	0
18000		-nan	-nan	0.42973	0.29791	0.000150000000000	1.000000000000000	0.113906250000000	0
18500		-nan	-nan	0.42903	0.29777	0.000150000000000	1.000000000000000	0.113906250000000	0
19000		-nan	-nan	0.42831	0.29772	0.000150000000000	1.000000000000000	0.113906250000000	0
19500		-nan	-nan	0.42982	0.29786	0.000150000000000	1.000000000000000	0.113906250000000	0
20000		-nan	-nan	0.42859	0.29789	0.000150000000000	1.000000000000000	0.113906250000000	0
20500		-nan	-nan	0.42909	0.29791	0.000150000000000	1.000000000000000	0.113906250000000	0
21000		-nan	-nan	0.42883	0.29776	0.000150000000000	1.000000000000000	0.113906250000000	0
21500		-nan	-nan	0.42924	0.29777	0.000150000000000	1.000000000000000	0.113906250000000	0
22000		-nan	-nan	0.42868	0.29764	0.000150000000000	1.000000000000000	0.113906250000000	0
22500		-nan	-nan	0.42954	0.29765	0.000150000000000	1.000000000000000	0.113906250000000	0
23000		-nan	-nan	0.43055	0.29781	0.000150000000000	1.000000000000000	0.113906250000000	0
23500		-nan	-nan	0.43283	0.29795	0.000150000000000	1.000000000000000	0.113906250000000	0
24000		-nan	-nan	0.43310	0.29803	0.000150000000000	1.000000000000000	0.113906250000000	0
24500		-nan	-nan	0.43302	0.29793	0.000150000000000	1.000000000000000	0.113906250000000	0
25000		-nan	-nan	0.43264	0.29800	0.000150000000000	1.000000000000000	0.113906250000000	0
25500		-nan	-nan	0.43227	0.29781	0.000150000000000	1.000000000000000	0.113906250000000	0
26000		-nan	-nan	0.43183	0.29773	0.000150000000000	1.000000000000000	0.113906250000000	0
26500		-nan	-nan	0.43200	0.29776	0.000150000000000	1.000000000000000	0.113906250000000	0
27000		-nan	-nan	0.43146	0.29756	0.000150000000000	1.000000000000000	0.113906250000000	0
27500		-nan	-nan	0.43000	0.29740	0.000150000000000	1.000000000000000	0.113906250000000	0
28000		-nan	-nan	0.43048	0.29732	0.000150000000000	1.000000000000000	0.113906250000000	0
