step	p_accept_mu1	p_accept_gamma	p_accept_pi	p_accept_Tinf	sigma_mu1	sigma_gamma	sigma_pi	n_like_zero
1		1.00000	1.00000	1.00000	1.00000	0.000100000000000	1.000000000000000	0.010000000000000	0
500		1.00000	1.00000	1.00000	0.33401	0.000100000000000	1.000000000000000	0.010000000000000	0
1000		-nan	-nan	0.86600	0.31801	0.000150000000000	1.000000000000000	0.015000000000000	0
1500		-nan	-nan	0.86600	0.31128	0.000150000000000	1.000000000000000	0.022500000000000	0
2000		-nan	-nan	0.80400	0.30856	0.000150000000000	1.000000000000000	0.033750000000000	0
2500		-nan	-nan	0.69600	0.30524	0.000150000000000	1.000000000000000	0.050625000000000	0
3000		-nan	-nan	0.60600	0.30469	0.000150000000000	1.000000000000000	0.075937500000000	0
3500		-nan	-nan	0.44400	0.30392	0.000150000000000	1.000000000000000	0.113906250000000	0
4000		-nan	-nan	0.46800	0.30410	0.000150000000000	1.000000000000000	0.113906250000000	0
4500		-nan	-nan	0.47267	0.30363	0.000150000000000	1.000000000000000	0.113906250000000	0
5000		-nan	-nan	0.46850	0.30311	0.000150000000000	1.000000000000000	0.113906250000000	0
5500		-nan	-nan	0.45640	0.30293	0.000150000000000	1.000000000000000	0.113906250000000	0
6000		-nan	-nan	0.45300	0.30205	0.000150000000000	1.000000000000000	0.113906250000000	0
6500		-nan	-nan	0.45229	0.30257	0.000150000000000	1.000000000000000	0.113906250000000	0
7000		-nan	-nan	0.45825	0.30264	0.000150000000000	1.000000000000000	0.113906250000000	0
7500		-nan	-nan	0.45533	0.30227	0.000150000000000	1.000000000000000	0.113906250000000	0
8000		-nan	-nan	0.45800	0.30236	0.000150000000000	1.000000000000000	0.113906250000000	0
8500		-nan	-nan	0.45673	0.30236	0.000150000000000	1.000000000000000	0.113906250000000	0
9000		-nan	-nan	0.45933	0.30223	0.000150000000000	1.000000000000000	0.113906250000000	0
9500		-nan	-nan	0.45523	0.30214	0.000150000000000	1.000000000000000	0.113906250000000	0
10000		-nan	-nan	0.45357	0.30200	0.000150000000000	1.000000000000000	0.113906250000000	0
10500		-nan	-nan	0.45173	0.30179	0.000150000000000	1.000000000000000	0.113906250000000	0
11000		-nan	-nan	0.44675	0.30107	0.000150000000000	1.000000000000000	0.113906250000000	0
11500		-nan	-nan	0.44882	0.30103	0.000150000000000	1.000000000000000	0.113906250000000	0
12000		-nan	-nan	0.44644	0.30053	0.000150000000000	1.000000000000000	0.113906250000000	0
12500		-nan	-nan	0.44284	0.29994	0.000150000000000	1.000000000000000	0.113906250000000	0
13000		-nan	-nan	0.43980	0.29964	0.000150000000000	1.000000000000000	0.113906250000000	0
13500		-nan	-nan	0.44152	0.29952	0.000150000000000	1.000000000000000	0.113906250000000	0
14000		-nan	-nan	0.44364	0.29936	0.000150000000000	1.000000000000000	0.113906250000000	0
14500		-nan	-nan	0.44635	0.29927	0.000150000000000	1.000000000000000	0.113906250000000	0
15000		-nan	-nan	0.44608	0.29908	0.000150000000000	1.000000000000000	0.113906250000000	0
15500		-nan	-nan	0.44584	0.29882	0.000150000000000	1.000000000000000	0.113906250000000	0
16000		-nan	-nan	0.44631	0.29864	0.000150000000000	1.000000000000000	0.113906250000000	0
16500		-nan	-nan	0.44600	0.29860	0.000150000000000	1.000000000000000	0.113906250000000	0
17000		-nan	-nan	0.44679	0.29871	0.000150000000000	1.000000000000000	0.113906250000000	0
17500		-nan	-nan	0.44648	0.29864	0.000150000000000	1.000000000000000	0.113906250000000	0
18000		-nan	-nan	0.44587	0.29864	0.000150000000000	1.000000000000000	0.113906250000000	0
18500		-nan	-nan	0.44748	0.29895	0.000150000000000	1.000000000000000	0.113906250000000	0
