step	p_accept_mu1	p_accept_gamma	p_accept_pi	p_accept_Tinf	sigma_mu1	sigma_gamma	sigma_pi	n_like_zero
1		1.00000	1.00000	1.00000	1.00000	0.000100000000000	1.000000000000000	0.010000000000000	0
500		1.00000	1.00000	1.00000	0.34142	0.000100000000000	1.000000000000000	0.010000000000000	0
1000		-nan	-nan	0.93400	0.33166	0.000150000000000	1.000000000000000	0.015000000000000	0
1500		-nan	-nan	0.86400	0.32705	0.000150000000000	1.000000000000000	0.022500000000000	0
2000		-nan	-nan	0.81600	0.32455	0.000150000000000	1.000000000000000	0.033750000000000	0
2500		-nan	-nan	0.71000	0.32202	0.000150000000000	1.000000000000000	0.050625000000000	0
3000		-nan	-nan	0.55800	0.31926	0.000150000000000	1.000000000000000	0.075937500000000	0
3500		-nan	-nan	0.50000	0.31858	0.000150000000000	1.000000000000000	0.113906250000000	0
4000		-nan	-nan	0.51000	0.31821	0.000150000000000	1.000000000000000	0.113906250000000	0
4500		-nan	-nan	0.50667	0.31736	0.000150000000000	1.000000000000000	0.113906250000000	0
5000		-nan	-nan	0.50300	0.31633	0.000150000000000	1.000000000000000	0.113906250000000	0
5500		-nan	-nan	0.49880	0.31558	0.000150000000000	1.000000000000000	0.113906250000000	0
6000		-nan	-nan	0.48267	0.31527	0.000150000000000	1.000000000000000	0.113906250000000	0
6500		-nan	-nan	0.47743	0.31505	0.000150000000000	1.000000000000000	0.113906250000000	0
7000		-nan	-nan	0.47225	0.31457	0.000150000000000	1.000000000000000	0.113906250000000	0
7500		-nan	-nan	0.46600	0.31432	0.000150000000000	1.000000000000000	0.113906250000000	0
8000		-nan	-nan	0.45940	0.31384	0.000150000000000	1.000000000000000	0.113906250000000	0
8500		-nan	-nan	0.45236	0.31334	0.000150000000000	1.000000000000000	0.113906250000000	0
9000		-nan	-nan	0.45400	0.31260	0.000150000000000	1.000000000000000	0.113906250000000	0
9500		-nan	-nan	0.45138	0.31188	0.000150000000000	1.000000000000000	0.113906250000000	0
10000		-nan	-nan	0.45200	0.31178	0.000150000000000	1.000000000000000	0.113906250000000	0
10500		-nan	-nan	0.45027	0.31108	0.000150000000000	1.000000000000000	0.113906250000000	0
11000		-nan	-nan	0.45038	0.31078	0.000150000000000	1.000000000000000	0.113906250000000	0
11500		-nan	-nan	0.44965	0.31061	0.000150000000000	1.000000000000000	0.113906250000000	0
12000		-nan	-nan	0.44833	0.31040	0.000150000000000	1.000000000000000	0.113906250000000	0
12500		-nan	-nan	0.45021	0.31002	0.000150000000000	1.000000000000000	0.113906250000000	0
13000		-nan	-nan	0.44970	0.30972	0.000150000000000	1.000000000000000	0.113906250000000	0
13500		-nan	-nan	0.45029	0.30961	0.000150000000000	1.000000000000000	0.113906250000000	0
14000		-nan	-nan	0.45209	0.30933	0.000150000000000	1.000000000000000	0.113906250000000	0
14500		-nan	-nan	0.45278	0.30920	0.000150000000000	1.000000000000000	0.113906250000000	0
15000		-nan	-nan	0.45283	0.30914	0.000150000000000	1.000000000000000	0.113906250000000	0
15500		-nan	-nan	0.45240	0.30883	0.000150000000000	1.000000000000000	0.113906250000000	0
16000		-nan	-nan	0.44954	0.30820	0.000150000000000	1.000000000000000	0.113906250000000	0
16500		-nan	-nan	0.44970	0.30789	0.000150000000000	1.000000000000000	0.113906250000000	0
17000		-nan	-nan	0.44979	0.30769	0.000150000000000	1.000000000000000	0.113906250000000	0
17500		-nan	-nan	0.44800	0.30760	0.000150000000000	1.000000000000000	0.113906250000000	0
18000		-nan	-nan	0.44607	0.30730	0.000150000000000	1.000000000000000	0.113906250000000	0
18500		-nan	-nan	0.44510	0.30720	0.000150000000000	1.000000000000000	0.113906250000000	0
19000		-nan	-nan	0.44531	0.30703	0.000150000000000	1.000000000000000	0.113906250000000	0
19500		-nan	-nan	0.44503	0.30705	0.000150000000000	1.000000000000000	0.113906250000000	0
20000		-nan	-nan	0.44371	0.30702	0.000150000000000	1.000000000000000	0.113906250000000	0
20500		-nan	-nan	0.44366	0.30677	0.000150000000000	1.000000000000000	0.113906250000000	0
21000		-nan	-nan	0.44200	0.30658	0.000150000000000	1.000000000000000	0.113906250000000	0
21500		-nan	-nan	0.44086	0.30633	0.000150000000000	1.000000000000000	0.113906250000000	0
22000		-nan	-nan	0.44047	0.30617	0.000150000000000	1.000000000000000	0.113906250000000	0
22500		-nan	-nan	0.43938	0.30608	0.000150000000000	1.000000000000000	0.113906250000000	0
23000		-nan	-nan	0.43910	0.30601	0.000150000000000	1.000000000000000	0.113906250000000	0
23500		-nan	-nan	0.43941	0.30581	0.000150000000000	1.000000000000000	0.113906250000000	0
24000		-nan	-nan	0.43933	0.30577	0.000150000000000	1.000000000000000	0.113906250000000	0
24500		-nan	-nan	0.43847	0.30577	0.000150000000000	1.000000000000000	0.113906250000000	0
25000		-nan	-nan	0.43782	0.30571	0.000150000000000	1.000000000000000	0.113906250000000	0
25500		-nan	-nan	0.43809	0.30555	0.000150000000000	1.000000000000000	0.113906250000000	0
26000		-nan	-nan	0.43774	0.30541	0.000150000000000	1.000000000000000	0.113906250000000	0
26500		-nan	-nan	0.43706	0.30522	0.000150000000000	1.000000000000000	0.113906250000000	0
27000		-nan	-nan	0.43754	0.30513	0.000150000000000	1.000000000000000	0.113906250000000	0
