step	p_accept_mu1	p_accept_gamma	p_accept_pi	p_accept_Tinf	sigma_mu1	sigma_gamma	sigma_pi	n_like_zero
1		1.00000	1.00000	1.00000	1.00000	0.000100000000000	1.000000000000000	0.010000000000000	0
500		1.00000	1.00000	1.00000	0.39906	0.000100000000000	1.000000000000000	0.010000000000000	0
1000		-nan	-nan	0.97200	0.38652	0.000150000000000	1.000000000000000	0.015000000000000	0
1500		-nan	-nan	0.93800	0.37923	0.000150000000000	1.000000000000000	0.022500000000000	0
2000		-nan	-nan	0.93400	0.37629	0.000150000000000	1.000000000000000	0.033750000000000	0
2500		-nan	-nan	0.84400	0.37154	0.000150000000000	1.000000000000000	0.050625000000000	0
3000		-nan	-nan	0.80600	0.36999	0.000150000000000	1.000000000000000	0.075937500000000	0
3500		-nan	-nan	0.74800	0.37045	0.000150000000000	1.000000000000000	0.113906250000000	0
4000		-nan	-nan	0.67400	0.37206	0.000150000000000	1.000000000000000	0.170859375000000	0
4500		-nan	-nan	0.54000	0.37155	0.000150000000000	1.000000000000000	0.256289062500000	0
5000		-nan	-nan	0.42400	0.37113	0.000150000000000	1.000000000000000	0.384433593750000	0
5500		-nan	-nan	0.41400	0.36967	0.000150000000000	1.000000000000000	0.384433593750000	0
6000		-nan	-nan	0.41200	0.36923	0.000150000000000	1.000000000000000	0.384433593750000	0
6500		-nan	-nan	0.42000	0.36804	0.000150000000000	1.000000000000000	0.384433593750000	0
7000		-nan	-nan	0.41240	0.36756	0.000150000000000	1.000000000000000	0.384433593750000	0
7500		-nan	-nan	0.40767	0.36670	0.000150000000000	1.000000000000000	0.384433593750000	0
8000		-nan	-nan	0.40029	0.36525	0.000150000000000	1.000000000000000	0.384433593750000	0
8500		-nan	-nan	0.40075	0.36540	0.000150000000000	1.000000000000000	0.384433593750000	0
9000		-nan	-nan	0.40644	0.36631	0.000150000000000	1.000000000000000	0.384433593750000	0
9500		-nan	-nan	0.40500	0.36580	0.000150000000000	1.000000000000000	0.384433593750000	0
10000		-nan	-nan	0.40309	0.36471	0.000150000000000	1.000000000000000	0.384433593750000	0
10500		-nan	-nan	0.40117	0.36439	0.000150000000000	1.000000000000000	0.384433593750000	0
