step	post	like	prior	mu1	mu2	gamma	pi	Tinf_1	Tinf_2	Tinf_3	Tinf_4	Tinf_5	Tinf_6	Tinf_7	Tinf_8	Tinf_9	Tinf_10	Tinf_11	Tinf_12	Tinf_13	Tinf_14	Tinf_15	Tinf_16	Tinf_17	Tinf_18	Tinf_19	Tinf_20	Tinf_21	Tinf_22	Tinf_23	Tinf_24	Tinf_25	Tinf_26	Tinf_27	Tinf_28	Tinf_29	Tinf_30	Tinf_31	Tinf_32	Tinf_33	Tinf_34	Tinf_35	Tinf_36	Tinf_37	Tinf_38	Tinf_39	Tinf_40	Tinf_41	Tinf_42	Tinf_43	Tinf_44	Tinf_45	Tinf_46	Tinf_47	Tinf_48	Tinf_49	Tinf_50	Tinf_51	Tinf_52	Tinf_53	Tinf_54	Tinf_55	Tinf_56	Tinf_57	Tinf_58	Tinf_59	Tinf_60	Tinf_61	Tinf_62	Tinf_63	Tinf_64	Tinf_65	Tinf_66	Tinf_67	Tinf_68	Tinf_69	Tinf_70	Tinf_71	Tinf_72	Tinf_73	Tinf_74	Tinf_75	Tinf_76	Tinf_77	Tinf_78	Tinf_79	Tinf_80	Tinf_81	Tinf_82	Tinf_83	Tinf_84	Tinf_85	Tinf_86	Tinf_87	Tinf_88	Tinf_89	Tinf_90	Tinf_91	Tinf_92	alpha_1	alpha_2	alpha_3	alpha_4	alpha_5	alpha_6	alpha_7	alpha_8	alpha_9	alpha_10	alpha_11	alpha_12	alpha_13	alpha_14	alpha_15	alpha_16	alpha_17	alpha_18	alpha_19	alpha_20	alpha_21	alpha_22	alpha_23	alpha_24	alpha_25	alpha_26	alpha_27	alpha_28	alpha_29	alpha_30	alpha_31	alpha_32	alpha_33	alpha_34	alpha_35	alpha_36	alpha_37	alpha_38	alpha_39	alpha_40	alpha_41	alpha_42	alpha_43	alpha_44	alpha_45	alpha_46	alpha_47	alpha_48	alpha_49	alpha_50	alpha_51	alpha_52	alpha_53	alpha_54	alpha_55	alpha_56	alpha_57	alpha_58	alpha_59	alpha_60	alpha_61	alpha_62	alpha_63	alpha_64	alpha_65	alpha_66	alpha_67	alpha_68	alpha_69	alpha_70	alpha_71	alpha_72	alpha_73	alpha_74	alpha_75	alpha_76	alpha_77	alpha_78	alpha_79	alpha_80	alpha_81	alpha_82	alpha_83	alpha_84	alpha_85	alpha_86	alpha_87	alpha_88	alpha_89	alpha_90	alpha_91	alpha_92	kappa_1	kappa_2	kappa_3	kappa_4	kappa_5	kappa_6	kappa_7	kappa_8	kappa_9	kappa_10	kappa_11	kappa_12	kappa_13	kappa_14	kappa_15	kappa_16	kappa_17	kappa_18	kappa_19	kappa_20	kappa_21	kappa_22	kappa_23	kappa_24	kappa_25	kappa_26	kappa_27	kappa_28	kappa_29	kappa_30	kappa_31	kappa_32	kappa_33	kappa_34	kappa_35	kappa_36	kappa_37	kappa_38	kappa_39	kappa_40	kappa_41	kappa_42	kappa_43	kappa_44	kappa_45	kappa_46	kappa_47	kappa_48	kappa_49	kappa_50	kappa_51	kappa_52	kappa_53	kappa_54	kappa_55	kappa_56	kappa_57	kappa_58	kappa_59	kappa_60	kappa_61	kappa_62	kappa_63	kappa_64	kappa_65	kappa_66	kappa_67	kappa_68	kappa_69	kappa_70	kappa_71	kappa_72	kappa_73	kappa_74	kappa_75	kappa_76	kappa_77	kappa_78	kappa_79	kappa_80	kappa_81	kappa_82	kappa_83	kappa_84	kappa_85	kappa_86	kappa_87	kappa_88	kappa_89	kappa_90	kappa_91	kappa_92
1	-2222.464817875384142	-2229.320305826343429	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.900722143022271	-1	2	3	5	6	8	8	9	7	8	9	8	9	10	9	11	10	12	10	11	12	12	13	14	13	12	12	13	12	14	15	14	14	13	13	13	14	14	14	15	16	15	15	15	14	15	16	15	15	16	16	16	16	18	16	18	16	17	17	17	17	18	18	17	19	18	18	17	18	18	20	19	19	18	18	19	19	20	21	20	21	21	21	23	22	26	26	29	29	31	33	35	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	2	3	4	5	5	5	4	5	5	5	5	6	5	6	6	7	6	6	7	7	7	8	7	7	7	7	7	8	8	8	8	7	7	7	8	8	8	8	9	8	8	8	8	8	9	8	8	9	9	9	9	10	9	10	9	9	9	9	9	10	10	9	10	10	10	9	10	10	11	10	10	10	10	10	10	11	11	11	11	11	11	12	12	14	14	15	15	16	17	18
500	-526.679944907147956	-533.535432858107356	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.343683956447375	0	3	4	5	6	9	9	9	7	7	8	7	9	11	10	12	9	13	10	10	12	12	14	12	13	13	12	13	12	14	16	14	12	13	13	13	15	14	15	16	16	15	13	16	15	15	14	15	16	16	16	17	17	18	16	18	16	18	18	17	17	17	18	17	19	18	18	18	18	17	20	20	19	18	19	20	18	20	20	19	21	21	21	23	22	26	26	30	29	31	34	34	0	1	1	2	4	3	12	12	4	4	10	4	2	11	6	6	12	14	9	6	19	2	14	7	11	9	10	6	11	18	43	35	9	19	6	22	22	27	0	48	18	43	29	20	30	26	28	8	34	22	24	34	23	33	10	8	38	32	38	34	6	37	23	45	67	41	29	37	48	4	28	42	57	62	21	17	34	19	14	62	65	68	57	60	44	66	19	55	79	34	30	74	1	1	1	1	1	2	1	1	1	1	1	1	2	2	1	1	1	1	2	1	2	5	1	2	2	2	3	2	3	1	2	1	3	2	3	1	1	1	1	1	1	1	1	3	1	1	1	3	1	2	2	2	2	3	3	4	1	1	2	2	4	1	3	1	1	1	3	2	1	6	4	3	1	1	4	5	2	4	5	2	1	2	3	3	4	4	7	7	5	6	12	11
1000	-519.961309946166693	-526.816797897126094	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.607039000120090	0	2	4	5	6	5	8	10	7	8	9	7	9	10	8	11	11	13	11	12	11	12	13	15	13	13	12	12	13	15	15	15	13	14	13	12	15	13	15	13	16	16	15	14	14	15	16	15	16	15	15	16	16	17	17	18	14	16	17	17	16	19	19	17	19	19	18	17	19	17	20	20	18	18	18	17	19	20	22	20	20	20	21	24	22	25	26	26	29	29	33	33	0	1	2	3	3	3	5	11	5	3	5	6	10	12	6	12	12	9	13	10	8	10	22	40	19	21	10	8	19	9	27	14	20	27	11	16	17	7	0	9	28	20	57	20	7	26	34	35	28	11	17	17	50	11	37	36	38	34	32	24	45	68	54	50	75	30	60	50	51	46	75	14	31	68	8	32	59	70	65	68	47	37	62	74	69	79	73	37	19	61	86	86	1	1	1	1	1	1	2	1	1	2	2	1	1	1	2	2	2	2	1	2	1	2	1	1	1	2	2	1	1	3	1	2	1	1	1	1	2	3	1	3	2	2	1	1	4	1	1	1	2	3	2	2	1	5	1	2	1	1	1	1	1	1	1	1	1	2	1	1	2	1	1	5	1	1	4	1	1	1	1	1	2	2	1	2	2	1	5	3	9	4	4	4
1500	-517.569893199495141	-524.425381150454541	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.555513269840451	0	2	4	5	6	8	7	10	8	8	9	7	9	11	9	11	11	12	10	11	12	12	13	13	13	11	11	13	12	15	14	15	14	14	13	12	15	15	13	15	17	15	13	15	14	14	16	15	16	17	15	14	16	17	15	18	17	18	17	17	16	19	17	17	19	18	18	17	19	18	18	19	18	17	18	20	20	21	18	21	22	21	21	22	23	26	27	29	29	31	33	36	0	1	2	3	3	2	5	9	5	5	5	1	3	6	4	10	11	13	9	15	26	11	17	8	14	15	5	18	20	28	27	14	13	29	16	6	8	31	0	52	7	43	20	29	24	21	28	25	15	51	24	18	52	55	8	29	23	49	30	9	30	68	43	33	30	61	61	37	22	60	53	21	32	17	51	47	56	79	55	57	71	74	42	79	82	79	14	76	14	88	88	88	1	2	1	1	1	3	1	1	1	1	2	3	4	2	3	2	1	2	1	1	1	2	2	1	2	1	3	1	1	1	1	3	2	1	1	2	3	1	1	1	4	1	2	1	1	1	1	1	4	1	1	1	1	1	2	2	1	1	1	3	1	1	2	1	2	1	1	1	2	1	1	3	2	2	1	2	1	1	1	2	2	3	4	2	1	4	7	2	9	1	2	4
2000	-485.898505121223309	-492.753993072182709	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.563054648211798	0	2	3	6	6	8	9	9	7	8	10	9	9	10	9	11	9	12	8	10	12	11	12	14	14	9	12	12	12	14	16	15	14	12	13	13	15	14	13	14	16	15	14	14	15	15	16	15	16	17	16	16	17	19	16	18	16	18	16	17	17	17	17	17	19	18	17	16	18	17	19	19	19	16	19	20	20	21	21	20	20	20	22	23	23	27	25	28	29	31	33	36	0	1	1	2	2	3	4	6	5	9	17	9	5	10	6	26	9	14	3	26	8	15	22	17	34	6	14	7	11	18	45	16	20	11	16	28	14	14	0	11	11	19	20	28	10	28	24	35	21	31	24	29	42	28	10	49	46	50	42	25	32	68	47	47	16	31	42	24	74	52	28	61	34	48	47	66	67	57	65	73	50	66	31	73	77	55	31	65	73	89	89	90	1	1	1	2	2	2	1	1	1	1	1	1	1	1	1	1	1	1	3	1	1	1	1	1	1	1	1	1	1	1	1	2	2	1	2	1	1	2	1	3	3	4	2	1	3	2	1	1	1	1	2	2	1	3	3	1	1	1	1	2	1	1	1	1	3	1	1	1	1	1	3	1	3	1	3	1	1	2	1	1	2	1	3	2	2	8	3	3	5	1	2	2
2500	-534.086923017343565	-540.942410968302966	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.534377417889844	0	2	3	4	7	6	8	8	7	9	8	9	9	9	9	12	10	11	10	11	9	12	12	14	14	12	12	13	12	14	15	14	14	13	14	13	14	15	15	15	15	16	15	12	15	14	17	15	14	17	15	17	17	17	16	19	14	18	16	17	16	19	18	17	19	16	18	17	15	17	20	19	20	18	19	20	19	21	22	20	22	22	21	23	22	26	27	29	26	31	33	36	0	1	2	1	2	4	6	5	1	6	6	7	7	8	9	12	10	10	4	21	9	13	11	14	29	14	13	23	21	10	15	16	20	22	22	22	7	19	0	49	18	43	21	15	44	11	11	23	15	51	13	30	45	33	30	38	21	45	39	57	44	8	45	32	21	45	52	51	28	37	28	50	55	21	47	70	23	73	37	24	62	24	32	58	80	41	78	79	26	88	90	84	1	1	1	2	2	1	1	1	3	1	1	1	1	1	1	1	1	1	4	1	1	1	3	1	1	1	1	1	1	2	2	1	2	1	1	1	2	3	1	1	2	1	4	1	2	3	6	1	1	1	2	1	1	2	1	2	2	2	1	1	2	5	1	2	5	1	1	1	1	1	4	1	3	4	1	1	3	1	5	3	2	4	3	3	1	6	3	4	8	1	1	5
3000	-490.046123916362774	-496.901611867322174	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.590376372865611	-1	2	3	5	6	7	7	9	8	8	10	8	9	10	9	11	11	12	10	12	11	12	11	15	13	13	13	14	12	14	14	15	14	12	13	13	13	11	13	14	17	15	13	15	13	15	16	15	15	15	16	16	16	18	16	19	16	17	17	16	18	18	18	16	18	18	18	16	17	18	19	18	19	19	19	19	19	20	19	20	21	20	19	23	20	27	26	29	28	32	34	33	0	1	2	3	3	4	2	12	3	6	12	6	4	9	7	19	10	6	2	10	8	10	9	8	23	17	18	34	19	18	35	16	19	11	17	10	8	5	0	36	27	43	13	29	20	6	19	17	15	31	11	30	49	32	18	68	50	50	50	16	47	64	53	35	51	44	47	16	42	49	17	60	46	68	47	41	68	59	16	60	83	10	44	73	61	79	17	86	15	88	92	84	1	2	1	1	1	1	4	1	2	1	1	1	3	1	1	1	2	3	3	2	1	2	1	3	1	1	1	1	2	1	1	3	2	1	1	2	2	2	1	1	2	1	2	1	1	3	2	2	3	1	3	1	1	2	1	1	1	1	2	3	1	1	1	1	1	2	1	2	1	2	4	1	2	2	2	2	1	1	4	1	2	4	1	3	1	3	9	1	7	2	1	4
3500	-501.010167167223301	-507.865655118182701	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.523586769053576	-1	2	4	6	7	9	8	9	7	7	9	8	8	10	9	11	9	12	10	11	12	12	13	15	13	12	13	13	11	14	16	14	14	13	13	12	13	15	15	15	17	16	15	15	14	15	16	14	15	17	15	16	15	18	17	18	17	15	18	17	16	18	18	18	19	18	19	16	18	16	21	19	18	18	18	20	20	20	20	18	21	20	22	23	23	25	25	29	30	31	33	34	0	1	2	3	3	1	9	3	3	2	13	4	10	4	9	8	5	10	7	14	13	13	7	17	20	19	15	5	6	27	33	10	6	29	6	9	9	26	0	13	30	28	10	29	16	8	9	37	26	68	8	44	48	57	35	45	25	25	42	15	44	36	51	25	41	45	63	37	34	46	40	20	52	15	38	16	66	54	53	68	79	55	72	71	71	83	57	79	18	86	90	89	1	2	1	1	1	6	1	2	1	2	1	1	1	2	1	1	1	3	1	1	2	2	2	2	1	1	1	3	1	1	2	3	3	1	3	3	3	1	1	2	2	1	3	2	1	2	4	1	1	1	3	1	1	1	2	2	2	1	1	4	1	4	1	2	1	2	1	2	2	1	4	4	1	4	1	5	1	1	4	1	1	2	2	1	1	2	3	5	14	2	1	2
4000	-509.938513532237039	-516.794001483196439	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.559400350934520	-1	1	3	6	5	9	9	9	7	8	9	7	9	11	9	11	9	13	10	10	11	13	13	13	12	13	12	14	13	14	13	14	15	13	13	11	13	13	15	16	15	15	16	14	15	15	16	16	15	17	16	16	16	17	17	19	16	17	17	17	17	18	18	17	20	18	18	17	18	17	20	19	19	18	18	19	19	20	20	20	21	20	22	23	21	26	26	29	29	29	34	35	0	1	2	3	3	12	4	10	5	2	12	5	9	17	12	11	12	15	17	11	12	36	13	13	12	6	14	21	7	27	16	15	26	4	9	11	8	13	0	25	38	44	10	4	31	25	9	22	4	26	12	39	9	33	28	27	35	28	34	26	18	31	43	22	17	68	41	8	61	45	72	50	74	17	52	35	55	47	10	59	18	62	62	74	73	64	77	65	79	86	89	90	1	1	1	2	1	1	2	1	1	4	1	1	1	1	1	1	1	1	1	1	2	1	3	2	2	3	1	1	3	1	1	3	1	3	2	1	2	2	1	2	1	1	4	5	1	1	5	2	4	2	3	1	6	2	1	4	2	1	1	2	2	2	1	1	5	1	1	3	1	1	1	1	1	3	1	3	1	1	4	2	4	1	2	2	1	3	4	6	5	2	2	3
4500	-505.089950383349048	-511.945438334308449	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.522484516744815	-2	2	4	5	6	8	6	6	7	8	9	7	9	9	9	12	10	12	11	11	13	12	13	15	14	11	12	14	12	14	14	14	14	13	12	14	12	14	14	15	16	12	16	16	14	16	16	15	14	16	17	16	16	18	16	18	17	16	17	18	17	19	19	17	17	17	17	17	19	18	21	20	19	18	19	18	18	20	21	20	21	20	20	23	23	27	25	30	30	32	33	35	0	1	2	3	4	8	4	3	4	12	5	4	7	9	9	17	5	10	17	4	6	8	13	22	26	11	26	29	10	35	35	26	15	11	7	17	17	27	0	26	11	13	25	25	29	21	21	26	35	22	48	49	29	45	49	58	35	36	18	25	33	31	51	46	24	42	9	28	57	34	59	60	56	68	48	28	59	37	57	74	60	57	66	62	79	67	7	67	4	88	90	91	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	4	3	3	2	2	1	1	1	1	2	1	1	1	2	1	3	2	1	1	1	2	2	1	1	1	1	1	1	2	1	2	2	1	3	2	1	1	3	1	2	2	2	2	1	1	1	3	5	1	1	2	1	1	1	1	2	1	1	4	2	1	1	1	1	2	1	5	9	7	9	1	1	1
