step	p_accept_mu1	p_accept_gamma	p_accept_pi	p_accept_Tinf	sigma_mu1	sigma_gamma	sigma_pi	n_like_zero
1		1.00000	1.00000	1.00000	1.00000	0.000100000000000	1.000000000000000	0.010000000000000	0
500		1.00000	1.00000	1.00000	0.42212	0.000100000000000	1.000000000000000	0.010000000000000	0
1000		-nan	-nan	0.95400	0.41199	0.000150000000000	1.000000000000000	0.015000000000000	0
1500		-nan	-nan	0.93600	0.40447	0.000150000000000	1.000000000000000	0.022500000000000	0
2000		-nan	-nan	0.86800	0.39975	0.000150000000000	1.000000000000000	0.033750000000000	0
2500		-nan	-nan	0.83200	0.39520	0.000150000000000	1.000000000000000	0.050625000000000	0
3000		-nan	-nan	0.73000	0.39185	0.000150000000000	1.000000000000000	0.075937500000000	0
3500		-nan	-nan	0.61800	0.39046	0.000150000000000	1.000000000000000	0.113906250000000	0
4000		-nan	-nan	0.51000	0.38778	0.000150000000000	1.000000000000000	0.170859375000000	0
4500		-nan	-nan	0.35800	0.38597	0.000150000000000	1.000000000000000	0.256289062500000	0
5000		-nan	-nan	0.36500	0.38462	0.000150000000000	1.000000000000000	0.256289062500000	0
5500		-nan	-nan	0.36000	0.38487	0.000150000000000	1.000000000000000	0.256289062500000	0
6000		-nan	-nan	0.36300	0.38451	0.000150000000000	1.000000000000000	0.256289062500000	0
6500		-nan	-nan	0.36040	0.38298	0.000150000000000	1.000000000000000	0.256289062500000	0
7000		-nan	-nan	0.35800	0.38174	0.000150000000000	1.000000000000000	0.256289062500000	0
7500		-nan	-nan	0.35943	0.38066	0.000150000000000	1.000000000000000	0.256289062500000	0
8000		-nan	-nan	0.36025	0.37977	0.000150000000000	1.000000000000000	0.256289062500000	0
8500		-nan	-nan	0.36556	0.37873	0.000150000000000	1.000000000000000	0.256289062500000	0
9000		-nan	-nan	0.35780	0.37713	0.000150000000000	1.000000000000000	0.256289062500000	0
9500		-nan	-nan	0.35309	0.37569	0.000150000000000	1.000000000000000	0.256289062500000	0
