step	p_accept_mu1	p_accept_gamma	p_accept_pi	p_accept_Tinf	sigma_mu1	sigma_gamma	sigma_pi	n_like_zero
1		1.00000	1.00000	1.00000	1.00000	0.000100000000000	1.000000000000000	0.010000000000000	0
500		1.00000	1.00000	1.00000	0.38730	0.000100000000000	1.000000000000000	0.010000000000000	0
1000		-nan	-nan	0.95000	0.37543	0.000150000000000	1.000000000000000	0.015000000000000	0
1500		-nan	-nan	0.93600	0.36851	0.000150000000000	1.000000000000000	0.022500000000000	0
2000		-nan	-nan	0.86400	0.36146	0.000150000000000	1.000000000000000	0.033750000000000	0
2500		-nan	-nan	0.81000	0.35993	0.000150000000000	1.000000000000000	0.050625000000000	0
3000		-nan	-nan	0.74000	0.35787	0.000150000000000	1.000000000000000	0.075937500000000	0
3500		-nan	-nan	0.63000	0.35721	0.000150000000000	1.000000000000000	0.113906250000000	0
4000		-nan	-nan	0.43000	0.35577	0.000150000000000	1.000000000000000	0.170859375000000	0
4500		-nan	-nan	0.45900	0.35506	0.000150000000000	1.000000000000000	0.170859375000000	0
5000		-nan	-nan	0.45933	0.35496	0.000150000000000	1.000000000000000	0.170859375000000	0
5500		-nan	-nan	0.46250	0.35433	0.000150000000000	1.000000000000000	0.170859375000000	0
6000		-nan	-nan	0.46560	0.35399	0.000150000000000	1.000000000000000	0.170859375000000	0
6500		-nan	-nan	0.47500	0.35361	0.000150000000000	1.000000000000000	0.170859375000000	0
7000		-nan	-nan	0.48171	0.35340	0.000150000000000	1.000000000000000	0.170859375000000	0
7500		-nan	-nan	0.47850	0.35335	0.000150000000000	1.000000000000000	0.170859375000000	0
8000		-nan	-nan	0.48089	0.35308	0.000150000000000	1.000000000000000	0.170859375000000	0
8500		-nan	-nan	0.47760	0.35206	0.000150000000000	1.000000000000000	0.170859375000000	0
9000		-nan	-nan	0.48000	0.35201	0.000150000000000	1.000000000000000	0.170859375000000	0
9500		-nan	-nan	0.48217	0.35201	0.000150000000000	1.000000000000000	0.170859375000000	0
10000		-nan	-nan	0.48169	0.35173	0.000150000000000	1.000000000000000	0.170859375000000	0
10500		-nan	-nan	0.48386	0.35143	0.000150000000000	1.000000000000000	0.170859375000000	0
11000		-nan	-nan	0.48360	0.35135	0.000150000000000	1.000000000000000	0.170859375000000	0
11500		-nan	-nan	0.48300	0.35103	0.000150000000000	1.000000000000000	0.170859375000000	0
12000		-nan	-nan	0.48247	0.35062	0.000150000000000	1.000000000000000	0.170859375000000	0
12500		-nan	-nan	0.48300	0.35049	0.000150000000000	1.000000000000000	0.170859375000000	0
13000		-nan	-nan	0.48389	0.35047	0.000150000000000	1.000000000000000	0.170859375000000	0
13500		-nan	-nan	0.48420	0.35051	0.000150000000000	1.000000000000000	0.170859375000000	0
14000		-nan	-nan	0.48543	0.35076	0.000150000000000	1.000000000000000	0.170859375000000	0
14500		-nan	-nan	0.48609	0.35085	0.000150000000000	1.000000000000000	0.170859375000000	0
15000		-nan	-nan	0.48878	0.35089	0.000150000000000	1.000000000000000	0.170859375000000	0
15500		-nan	-nan	0.48883	0.35087	0.000150000000000	1.000000000000000	0.170859375000000	0
16000		-nan	-nan	0.48808	0.35078	0.000150000000000	1.000000000000000	0.170859375000000	0
16500		-nan	-nan	0.48731	0.35054	0.000150000000000	1.000000000000000	0.170859375000000	0
17000		-nan	-nan	0.48793	0.35022	0.000150000000000	1.000000000000000	0.170859375000000	0
17500		-nan	-nan	0.48864	0.35027	0.000150000000000	1.000000000000000	0.170859375000000	0
18000		-nan	-nan	0.48979	0.35035	0.000150000000000	1.000000000000000	0.170859375000000	0
18500		-nan	-nan	0.49087	0.35033	0.000150000000000	1.000000000000000	0.170859375000000	0
19000		-nan	-nan	0.49123	0.35063	0.000150000000000	1.000000000000000	0.170859375000000	0
19500		-nan	-nan	0.49094	0.35075	0.000150000000000	1.000000000000000	0.170859375000000	0
20000		-nan	-nan	0.48958	0.35070	0.000150000000000	1.000000000000000	0.170859375000000	0
20500		-nan	-nan	0.49012	0.35093	0.000150000000000	1.000000000000000	0.170859375000000	0
21000		-nan	-nan	0.49040	0.35075	0.000150000000000	1.000000000000000	0.170859375000000	0
21500		-nan	-nan	0.48922	0.35068	0.000150000000000	1.000000000000000	0.170859375000000	0
22000		-nan	-nan	0.48951	0.35050	0.000150000000000	1.000000000000000	0.170859375000000	0
22500		-nan	-nan	0.49063	0.35031	0.000150000000000	1.000000000000000	0.170859375000000	0
23000		-nan	-nan	0.49015	0.35031	0.000150000000000	1.000000000000000	0.170859375000000	0
23500		-nan	-nan	0.49070	0.35035	0.000150000000000	1.000000000000000	0.170859375000000	0
24000		-nan	-nan	0.49098	0.35040	0.000150000000000	1.000000000000000	0.170859375000000	0
24500		-nan	-nan	0.49110	0.35053	0.000150000000000	1.000000000000000	0.170859375000000	0
25000		-nan	-nan	0.49130	0.35034	0.000150000000000	1.000000000000000	0.170859375000000	0
25500		-nan	-nan	0.49291	0.35032	0.000150000000000	1.000000000000000	0.170859375000000	0
26000		-nan	-nan	0.49338	0.35049	0.000150000000000	1.000000000000000	0.170859375000000	0
26500		-nan	-nan	0.49278	0.35075	0.000150000000000	1.000000000000000	0.170859375000000	0
27000		-nan	-nan	0.49285	0.35079	0.000150000000000	1.000000000000000	0.170859375000000	0
27500		-nan	-nan	0.49300	0.35076	0.000150000000000	1.000000000000000	0.170859375000000	0
28000		-nan	-nan	0.49367	0.35092	0.000150000000000	1.000000000000000	0.170859375000000	0
28500		-nan	-nan	0.49324	0.35108	0.000150000000000	1.000000000000000	0.170859375000000	0
29000		-nan	-nan	0.49384	0.35112	0.000150000000000	1.000000000000000	0.170859375000000	0
29500		-nan	-nan	0.49435	0.35113	0.000150000000000	1.000000000000000	0.170859375000000	0
30000		-nan	-nan	0.49525	0.35110	0.000150000000000	1.000000000000000	0.170859375000000	0
