step	p_accept_mu1	p_accept_gamma	p_accept_pi	p_accept_Tinf	sigma_mu1	sigma_gamma	sigma_pi	n_like_zero
1		1.00000	1.00000	-nan	1.00000	0.000100000000000	1.000000000000000	0.010000000000000	0
500		1.00000	1.00000	0.92972	0.34942	0.000100000000000	1.000000000000000	0.010000000000000	0
1000		-nan	-nan	0.91800	0.34679	0.000150000000000	1.000000000000000	0.015000000000000	0
1500		-nan	-nan	0.91600	0.34498	0.000150000000000	1.000000000000000	0.022500000000000	0
2000		-nan	-nan	0.82000	0.34450	0.000150000000000	1.000000000000000	0.033750000000000	0
2500		-nan	-nan	0.78400	0.34350	0.000150000000000	1.000000000000000	0.050625000000000	0
3000		-nan	-nan	0.65600	0.34226	0.000150000000000	1.000000000000000	0.075937500000000	0
3500		-nan	-nan	0.57800	0.34225	0.000150000000000	1.000000000000000	0.113906250000000	0
4000		-nan	-nan	0.43600	0.34143	0.000150000000000	1.000000000000000	0.170859375000000	0
4500		-nan	-nan	0.42900	0.34130	0.000150000000000	1.000000000000000	0.170859375000000	0
5000		-nan	-nan	0.41600	0.34027	0.000150000000000	1.000000000000000	0.170859375000000	0
5500		-nan	-nan	0.41200	0.33957	0.000150000000000	1.000000000000000	0.170859375000000	0
6000		-nan	-nan	0.41760	0.33941	0.000150000000000	1.000000000000000	0.170859375000000	0
6500		-nan	-nan	0.41700	0.33919	0.000150000000000	1.000000000000000	0.170859375000000	0
7000		-nan	-nan	0.41600	0.33881	0.000150000000000	1.000000000000000	0.170859375000000	0
7500		-nan	-nan	0.42050	0.33848	0.000150000000000	1.000000000000000	0.170859375000000	0
8000		-nan	-nan	0.42289	0.33799	0.000150000000000	1.000000000000000	0.170859375000000	0
8500		-nan	-nan	0.42360	0.33803	0.000150000000000	1.000000000000000	0.170859375000000	0
9000		-nan	-nan	0.42636	0.33781	0.000150000000000	1.000000000000000	0.170859375000000	0
9500		-nan	-nan	0.42683	0.33749	0.000150000000000	1.000000000000000	0.170859375000000	0
10000		-nan	-nan	0.42462	0.33761	0.000150000000000	1.000000000000000	0.170859375000000	0
10500		-nan	-nan	0.42429	0.33752	0.000150000000000	1.000000000000000	0.170859375000000	0
11000		-nan	-nan	0.42400	0.33748	0.000150000000000	1.000000000000000	0.170859375000000	0
11500		-nan	-nan	0.42588	0.33759	0.000150000000000	1.000000000000000	0.170859375000000	0
12000		-nan	-nan	0.42412	0.33728	0.000150000000000	1.000000000000000	0.170859375000000	0
12500		-nan	-nan	0.42311	0.33730	0.000150000000000	1.000000000000000	0.170859375000000	0
13000		-nan	-nan	0.42579	0.33723	0.000150000000000	1.000000000000000	0.170859375000000	0
13500		-nan	-nan	0.42520	0.33709	0.000150000000000	1.000000000000000	0.170859375000000	0
