step	p_accept_mu1	p_accept_gamma	p_accept_pi	p_accept_Tinf	sigma_mu1	sigma_gamma	sigma_pi	n_like_zero
1		1.00000	1.00000	1.00000	1.00000	0.000100000000000	1.000000000000000	0.010000000000000	0
500		1.00000	1.00000	1.00000	0.41193	0.000100000000000	1.000000000000000	0.010000000000000	0
1000		-nan	-nan	0.95200	0.40032	0.000150000000000	1.000000000000000	0.015000000000000	0
1500		-nan	-nan	0.92200	0.39243	0.000150000000000	1.000000000000000	0.022500000000000	0
2000		-nan	-nan	0.89000	0.38842	0.000150000000000	1.000000000000000	0.033750000000000	0
2500		-nan	-nan	0.80400	0.38581	0.000150000000000	1.000000000000000	0.050625000000000	0
3000		-nan	-nan	0.68600	0.38420	0.000150000000000	1.000000000000000	0.075937500000000	0
3500		-nan	-nan	0.58000	0.38142	0.000150000000000	1.000000000000000	0.113906250000000	0
4000		-nan	-nan	0.43800	0.37959	0.000150000000000	1.000000000000000	0.170859375000000	0
4500		-nan	-nan	0.45000	0.37836	0.000150000000000	1.000000000000000	0.170859375000000	0
5000		-nan	-nan	0.44467	0.37817	0.000150000000000	1.000000000000000	0.170859375000000	0
5500		-nan	-nan	0.44050	0.37746	0.000150000000000	1.000000000000000	0.170859375000000	0
6000		-nan	-nan	0.44080	0.37739	0.000150000000000	1.000000000000000	0.170859375000000	0
6500		-nan	-nan	0.43433	0.37612	0.000150000000000	1.000000000000000	0.170859375000000	0
7000		-nan	-nan	0.43486	0.37575	0.000150000000000	1.000000000000000	0.170859375000000	0
7500		-nan	-nan	0.43475	0.37515	0.000150000000000	1.000000000000000	0.170859375000000	0
8000		-nan	-nan	0.43533	0.37550	0.000150000000000	1.000000000000000	0.170859375000000	0
8500		-nan	-nan	0.43680	0.37570	0.000150000000000	1.000000000000000	0.170859375000000	0
9000		-nan	-nan	0.43800	0.37555	0.000150000000000	1.000000000000000	0.170859375000000	0
9500		-nan	-nan	0.43683	0.37502	0.000150000000000	1.000000000000000	0.170859375000000	0
10000		-nan	-nan	0.43231	0.37415	0.000150000000000	1.000000000000000	0.170859375000000	0
10500		-nan	-nan	0.42929	0.37359	0.000150000000000	1.000000000000000	0.170859375000000	0
11000		-nan	-nan	0.42787	0.37309	0.000150000000000	1.000000000000000	0.170859375000000	0
11500		-nan	-nan	0.42862	0.37265	0.000150000000000	1.000000000000000	0.170859375000000	0
12000		-nan	-nan	0.43024	0.37250	0.000150000000000	1.000000000000000	0.170859375000000	0
12500		-nan	-nan	0.42967	0.37248	0.000150000000000	1.000000000000000	0.170859375000000	0
13000		-nan	-nan	0.43084	0.37240	0.000150000000000	1.000000000000000	0.170859375000000	0
13500		-nan	-nan	0.43160	0.37214	0.000150000000000	1.000000000000000	0.170859375000000	0
14000		-nan	-nan	0.43133	0.37198	0.000150000000000	1.000000000000000	0.170859375000000	0
14500		-nan	-nan	0.42973	0.37171	0.000150000000000	1.000000000000000	0.170859375000000	0
15000		-nan	-nan	0.42983	0.37121	0.000150000000000	1.000000000000000	0.170859375000000	0
15500		-nan	-nan	0.42908	0.37077	0.000150000000000	1.000000000000000	0.170859375000000	0
16000		-nan	-nan	0.42824	0.36998	0.000150000000000	1.000000000000000	0.170859375000000	0
16500		-nan	-nan	0.42746	0.36956	0.000150000000000	1.000000000000000	0.170859375000000	0
17000		-nan	-nan	0.42726	0.36954	0.000150000000000	1.000000000000000	0.170859375000000	0
17500		-nan	-nan	0.42757	0.36981	0.000150000000000	1.000000000000000	0.170859375000000	0
18000		-nan	-nan	0.42745	0.36971	0.000150000000000	1.000000000000000	0.170859375000000	0
18500		-nan	-nan	0.42827	0.36960	0.000150000000000	1.000000000000000	0.170859375000000	0
19000		-nan	-nan	0.42871	0.36957	0.000150000000000	1.000000000000000	0.170859375000000	0
19500		-nan	-nan	0.42994	0.36935	0.000150000000000	1.000000000000000	0.170859375000000	0
20000		-nan	-nan	0.42958	0.36897	0.000150000000000	1.000000000000000	0.170859375000000	0
20500		-nan	-nan	0.42941	0.36888	0.000150000000000	1.000000000000000	0.170859375000000	0
21000		-nan	-nan	0.42943	0.36865	0.000150000000000	1.000000000000000	0.170859375000000	0
21500		-nan	-nan	0.42956	0.36850	0.000150000000000	1.000000000000000	0.170859375000000	0
22000		-nan	-nan	0.42849	0.36817	0.000150000000000	1.000000000000000	0.170859375000000	0
22500		-nan	-nan	0.42842	0.36813	0.000150000000000	1.000000000000000	0.170859375000000	0
23000		-nan	-nan	0.42841	0.36813	0.000150000000000	1.000000000000000	0.170859375000000	0
23500		-nan	-nan	0.42920	0.36824	0.000150000000000	1.000000000000000	0.170859375000000	0
24000		-nan	-nan	0.42815	0.36829	0.000150000000000	1.000000000000000	0.170859375000000	0
24500		-nan	-nan	0.42890	0.36815	0.000150000000000	1.000000000000000	0.170859375000000	0
25000		-nan	-nan	0.42879	0.36807	0.000150000000000	1.000000000000000	0.170859375000000	0
25500		-nan	-nan	0.42895	0.36823	0.000150000000000	1.000000000000000	0.170859375000000	0
26000		-nan	-nan	0.42871	0.36815	0.000150000000000	1.000000000000000	0.170859375000000	0
26500		-nan	-nan	0.42909	0.36813	0.000150000000000	1.000000000000000	0.170859375000000	0
27000		-nan	-nan	0.42911	0.36812	0.000150000000000	1.000000000000000	0.170859375000000	0
27500		-nan	-nan	0.42933	0.36818	0.000150000000000	1.000000000000000	0.170859375000000	0
28000		-nan	-nan	0.42967	0.36827	0.000150000000000	1.000000000000000	0.170859375000000	0
28500		-nan	-nan	0.43024	0.36826	0.000150000000000	1.000000000000000	0.170859375000000	0
29000		-nan	-nan	0.43075	0.36823	0.000150000000000	1.000000000000000	0.170859375000000	0
29500		-nan	-nan	0.43081	0.36811	0.000150000000000	1.000000000000000	0.170859375000000	0
30000		-nan	-nan	0.43079	0.36794	0.000150000000000	1.000000000000000	0.170859375000000	0
30500		-nan	-nan	0.43041	0.36789	0.000150000000000	1.000000000000000	0.170859375000000	0
31000		-nan	-nan	0.43113	0.36787	0.000150000000000	1.000000000000000	0.170859375000000	0
31500		-nan	-nan	0.43171	0.36796	0.000150000000000	1.000000000000000	0.170859375000000	0
32000		-nan	-nan	0.43077	0.36801	0.000150000000000	1.000000000000000	0.170859375000000	0
32500		-nan	-nan	0.43162	0.36792	0.000150000000000	1.000000000000000	0.170859375000000	0
33000		-nan	-nan	0.43092	0.36790	0.000150000000000	1.000000000000000	0.170859375000000	0
33500		-nan	-nan	0.43103	0.36792	0.000150000000000	1.000000000000000	0.170859375000000	0
34000		-nan	-nan	0.43098	0.36787	0.000150000000000	1.000000000000000	0.170859375000000	0
34500		-nan	-nan	0.43094	0.36774	0.000150000000000	1.000000000000000	0.170859375000000	0
35000		-nan	-nan	0.43102	0.36763	0.000150000000000	1.000000000000000	0.170859375000000	0
35500		-nan	-nan	0.43069	0.36753	0.000150000000000	1.000000000000000	0.170859375000000	0
36000		-nan	-nan	0.43086	0.36745	0.000150000000000	1.000000000000000	0.170859375000000	0
36500		-nan	-nan	0.43115	0.36751	0.000150000000000	1.000000000000000	0.170859375000000	0
37000		-nan	-nan	0.43093	0.36755	0.000150000000000	1.000000000000000	0.170859375000000	0
37500		-nan	-nan	0.43126	0.36762	0.000150000000000	1.000000000000000	0.170859375000000	0
38000		-nan	-nan	0.43081	0.36760	0.000150000000000	1.000000000000000	0.170859375000000	0
38500		-nan	-nan	0.43097	0.36757	0.000150000000000	1.000000000000000	0.170859375000000	0
39000		-nan	-nan	0.43110	0.36758	0.000150000000000	1.000000000000000	0.170859375000000	0
39500		-nan	-nan	0.43158	0.36758	0.000150000000000	1.000000000000000	0.170859375000000	0
40000		-nan	-nan	0.43175	0.36764	0.000150000000000	1.000000000000000	0.170859375000000	0
40500		-nan	-nan	0.43235	0.36769	0.000150000000000	1.000000000000000	0.170859375000000	0
41000		-nan	-nan	0.43261	0.36784	0.000150000000000	1.000000000000000	0.170859375000000	0
41500		-nan	-nan	0.43311	0.36787	0.000150000000000	1.000000000000000	0.170859375000000	0
42000		-nan	-nan	0.43319	0.36786	0.000150000000000	1.000000000000000	0.170859375000000	0
42500		-nan	-nan	0.43318	0.36798	0.000150000000000	1.000000000000000	0.170859375000000	0
43000		-nan	-nan	0.43309	0.36800	0.000150000000000	1.000000000000000	0.170859375000000	0
43500		-nan	-nan	0.43325	0.36799	0.000150000000000	1.000000000000000	0.170859375000000	0
44000		-nan	-nan	0.43385	0.36816	0.000150000000000	1.000000000000000	0.170859375000000	0
44500		-nan	-nan	0.43405	0.36815	0.000150000000000	1.000000000000000	0.170859375000000	0
45000		-nan	-nan	0.43441	0.36815	0.000150000000000	1.000000000000000	0.170859375000000	0
45500		-nan	-nan	0.43464	0.36823	0.000150000000000	1.000000000000000	0.170859375000000	0
46000		-nan	-nan	0.43454	0.36814	0.000150000000000	1.000000000000000	0.170859375000000	0
46500		-nan	-nan	0.43414	0.36812	0.000150000000000	1.000000000000000	0.170859375000000	0
47000		-nan	-nan	0.43460	0.36799	0.000150000000000	1.000000000000000	0.170859375000000	0
47500		-nan	-nan	0.43436	0.36796	0.000150000000000	1.000000000000000	0.170859375000000	0
48000		-nan	-nan	0.43429	0.36792	0.000150000000000	1.000000000000000	0.170859375000000	0
48500		-nan	-nan	0.43440	0.36788	0.000150000000000	1.000000000000000	0.170859375000000	0
49000		-nan	-nan	0.43402	0.36791	0.000150000000000	1.000000000000000	0.170859375000000	0
49500		-nan	-nan	0.43400	0.36800	0.000150000000000	1.000000000000000	0.170859375000000	0
50000		-nan	-nan	0.43443	0.36808	0.000150000000000	1.000000000000000	0.170859375000000	0
50500		-nan	-nan	0.43443	0.36823	0.000150000000000	1.000000000000000	0.170859375000000	0
51000		-nan	-nan	0.43436	0.36818	0.000150000000000	1.000000000000000	0.170859375000000	0
51500		-nan	-nan	0.43456	0.36814	0.000150000000000	1.000000000000000	0.170859375000000	0
52000		-nan	-nan	0.43480	0.36808	0.000150000000000	1.000000000000000	0.170859375000000	0
52500		-nan	-nan	0.43467	0.36811	0.000150000000000	1.000000000000000	0.170859375000000	0
53000		-nan	-nan	0.43481	0.36804	0.000150000000000	1.000000000000000	0.170859375000000	0
53500		-nan	-nan	0.43462	0.36795	0.000150000000000	1.000000000000000	0.170859375000000	0
54000		-nan	-nan	0.43485	0.36790	0.000150000000000	1.000000000000000	0.170859375000000	0
54500		-nan	-nan	0.43478	0.36786	0.000150000000000	1.000000000000000	0.170859375000000	0
55000		-nan	-nan	0.43491	0.36786	0.000150000000000	1.000000000000000	0.170859375000000	0
55500		-nan	-nan	0.43490	0.36776	0.000150000000000	1.000000000000000	0.170859375000000	0
