step	post	like	prior	mu1	mu2	gamma	pi	Tinf_1	Tinf_2	Tinf_3	Tinf_4	Tinf_5	Tinf_6	Tinf_7	Tinf_8	Tinf_9	Tinf_10	Tinf_11	Tinf_12	Tinf_13	Tinf_14	Tinf_15	Tinf_16	Tinf_17	Tinf_18	Tinf_19	Tinf_20	Tinf_21	Tinf_22	Tinf_23	Tinf_24	Tinf_25	Tinf_26	Tinf_27	Tinf_28	Tinf_29	Tinf_30	Tinf_31	Tinf_32	Tinf_33	Tinf_34	Tinf_35	Tinf_36	Tinf_37	Tinf_38	Tinf_39	Tinf_40	Tinf_41	Tinf_42	Tinf_43	Tinf_44	Tinf_45	Tinf_46	Tinf_47	Tinf_48	Tinf_49	Tinf_50	Tinf_51	Tinf_52	Tinf_53	Tinf_54	Tinf_55	Tinf_56	Tinf_57	Tinf_58	Tinf_59	Tinf_60	Tinf_61	Tinf_62	Tinf_63	Tinf_64	Tinf_65	Tinf_66	Tinf_67	Tinf_68	Tinf_69	Tinf_70	Tinf_71	Tinf_72	Tinf_73	Tinf_74	Tinf_75	Tinf_76	Tinf_77	Tinf_78	Tinf_79	Tinf_80	Tinf_81	Tinf_82	Tinf_83	Tinf_84	Tinf_85	Tinf_86	Tinf_87	Tinf_88	Tinf_89	Tinf_90	Tinf_91	Tinf_92	Tinf_93	Tinf_94	Tinf_95	Tinf_96	Tinf_97	Tinf_98	Tinf_99	Tinf_100	Tinf_101	Tinf_102	Tinf_103	Tinf_104	Tinf_105	Tinf_106	Tinf_107	Tinf_108	Tinf_109	Tinf_110	Tinf_111	Tinf_112	alpha_1	alpha_2	alpha_3	alpha_4	alpha_5	alpha_6	alpha_7	alpha_8	alpha_9	alpha_10	alpha_11	alpha_12	alpha_13	alpha_14	alpha_15	alpha_16	alpha_17	alpha_18	alpha_19	alpha_20	alpha_21	alpha_22	alpha_23	alpha_24	alpha_25	alpha_26	alpha_27	alpha_28	alpha_29	alpha_30	alpha_31	alpha_32	alpha_33	alpha_34	alpha_35	alpha_36	alpha_37	alpha_38	alpha_39	alpha_40	alpha_41	alpha_42	alpha_43	alpha_44	alpha_45	alpha_46	alpha_47	alpha_48	alpha_49	alpha_50	alpha_51	alpha_52	alpha_53	alpha_54	alpha_55	alpha_56	alpha_57	alpha_58	alpha_59	alpha_60	alpha_61	alpha_62	alpha_63	alpha_64	alpha_65	alpha_66	alpha_67	alpha_68	alpha_69	alpha_70	alpha_71	alpha_72	alpha_73	alpha_74	alpha_75	alpha_76	alpha_77	alpha_78	alpha_79	alpha_80	alpha_81	alpha_82	alpha_83	alpha_84	alpha_85	alpha_86	alpha_87	alpha_88	alpha_89	alpha_90	alpha_91	alpha_92	alpha_93	alpha_94	alpha_95	alpha_96	alpha_97	alpha_98	alpha_99	alpha_100	alpha_101	alpha_102	alpha_103	alpha_104	alpha_105	alpha_106	alpha_107	alpha_108	alpha_109	alpha_110	alpha_111	alpha_112	kappa_1	kappa_2	kappa_3	kappa_4	kappa_5	kappa_6	kappa_7	kappa_8	kappa_9	kappa_10	kappa_11	kappa_12	kappa_13	kappa_14	kappa_15	kappa_16	kappa_17	kappa_18	kappa_19	kappa_20	kappa_21	kappa_22	kappa_23	kappa_24	kappa_25	kappa_26	kappa_27	kappa_28	kappa_29	kappa_30	kappa_31	kappa_32	kappa_33	kappa_34	kappa_35	kappa_36	kappa_37	kappa_38	kappa_39	kappa_40	kappa_41	kappa_42	kappa_43	kappa_44	kappa_45	kappa_46	kappa_47	kappa_48	kappa_49	kappa_50	kappa_51	kappa_52	kappa_53	kappa_54	kappa_55	kappa_56	kappa_57	kappa_58	kappa_59	kappa_60	kappa_61	kappa_62	kappa_63	kappa_64	kappa_65	kappa_66	kappa_67	kappa_68	kappa_69	kappa_70	kappa_71	kappa_72	kappa_73	kappa_74	kappa_75	kappa_76	kappa_77	kappa_78	kappa_79	kappa_80	kappa_81	kappa_82	kappa_83	kappa_84	kappa_85	kappa_86	kappa_87	kappa_88	kappa_89	kappa_90	kappa_91	kappa_92	kappa_93	kappa_94	kappa_95	kappa_96	kappa_97	kappa_98	kappa_99	kappa_100	kappa_101	kappa_102	kappa_103	kappa_104	kappa_105	kappa_106	kappa_107	kappa_108	kappa_109	kappa_110	kappa_111	kappa_112
1	-2214.199457404261921	-2221.054945355221207	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.325453964757578	1	0	3	4	4	5	7	8	8	9	11	11	12	11	13	12	11	12	11	13	15	14	15	14	14	14	14	14	14	14	15	15	14	15	15	15	14	15	16	15	14	16	15	15	18	15	16	16	15	16	15	17	17	17	18	18	18	17	17	17	17	17	17	18	20	17	19	19	20	18	18	18	19	18	20	18	19	19	20	19	21	20	19	22	20	20	19	19	19	20	20	20	21	22	21	20	22	22	21	23	22	23	24	23	23	22	23	26	26	29	30	29	2	0	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1	1	2	2	2	3	4	4	4	5	6	6	6	6	7	6	6	6	6	7	8	7	8	7	7	7	7	7	7	7	8	8	7	8	8	8	7	8	8	8	7	8	8	8	9	8	8	8	8	8	8	9	9	9	9	9	9	9	9	9	9	9	9	9	10	9	10	10	10	9	9	9	10	9	10	9	10	10	10	10	11	10	10	11	10	10	10	10	10	10	10	10	11	11	11	10	11	11	11	12	11	12	12	12	12	11	12	13	13	15	15	15
500	-746.619199812055399	-753.474687763014799	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.285966156051231	1	1	4	4	5	6	7	9	9	8	11	12	11	10	13	11	11	13	12	13	14	14	16	12	14	14	14	12	14	13	15	15	15	15	14	15	13	14	17	16	13	16	16	15	18	14	16	16	15	16	16	17	18	17	18	18	19	16	17	16	17	17	17	17	19	17	19	20	20	18	16	18	18	18	21	19	19	19	20	19	21	20	19	22	19	20	19	19	20	21	19	21	20	23	21	21	22	22	21	24	21	23	24	23	23	22	23	24	27	29	30	30	0	0	2	2	2	4	5	6	4	5	6	14	7	7	16	8	14	13	9	7	20	30	34	14	28	11	8	4	17	14	7	16	21	27	17	8	14	14	26	49	5	22	36	22	64	17	34	37	20	30	22	28	60	28	5	29	63	19	14	37	19	30	38	9	64	37	9	10	53	51	26	51	21	28	35	11	59	56	22	30	8	39	46	66	20	65	71	20	44	31	22	78	71	84	85	9	46	28	17	62	31	30	50	42	10	62	83	52	87	89	79	91	1	1	1	2	3	1	1	2	3	2	3	1	2	2	1	1	1	1	2	3	1	1	1	1	1	1	2	4	2	3	4	2	1	1	1	4	1	2	1	1	3	1	1	1	1	1	1	1	1	2	1	2	2	4	7	2	1	2	4	1	2	2	2	3	1	2	5	6	1	1	2	2	2	2	3	5	2	1	5	3	6	2	3	3	3	1	2	2	3	3	4	2	3	1	2	4	3	7	6	3	3	5	6	4	8	3	2	3	3	4	5	8
1000	-696.934977435110454	-703.790465386069855	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.589222500921540	2	0	2	2	5	5	7	8	9	9	11	12	12	11	13	13	11	12	10	13	16	15	15	15	13	14	15	14	14	14	15	16	14	15	16	16	14	16	16	15	13	17	15	16	17	15	17	17	16	17	14	15	17	18	18	18	18	18	17	17	16	18	17	17	19	18	19	20	20	18	18	17	20	18	19	18	19	19	20	20	22	21	18	22	21	19	20	19	19	21	19	20	21	19	20	19	22	22	21	24	21	23	24	22	23	22	23	26	27	30	30	29	0	0	2	2	4	3	6	5	7	8	19	19	9	19	14	17	6	19	8	17	51	13	11	12	10	13	25	16	13	13	29	23	11	18	8	5	13	26	26	41	17	15	11	17	23	15	34	23	40	30	12	20	20	36	23	26	38	39	26	22	11	36	38	23	15	37	35	36	49	44	59	44	65	13	62	23	53	31	78	35	55	57	35	67	63	31	71	46	9	92	30	78	65	21	88	33	64	35	64	80	91	91	79	62	17	93	21	102	87	91	103	43	1	1	2	1	1	3	1	2	1	1	1	1	1	1	1	1	2	1	1	1	1	2	2	1	2	1	1	1	1	1	1	1	1	2	3	5	1	2	2	1	2	2	2	3	1	1	1	1	1	2	1	1	2	1	1	1	1	1	2	1	2	1	1	1	2	2	1	1	2	2	1	1	1	3	1	1	2	1	1	2	3	2	1	1	2	2	2	2	5	1	3	1	1	1	1	3	2	2	2	2	2	2	2	1	5	1	3	1	3	7	2	9
1500	-658.379312353866112	-665.234800304825512	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.545452578106056	1	1	3	4	5	6	7	9	8	7	10	11	12	9	13	12	11	13	10	13	15	13	16	14	15	13	14	12	15	14	15	15	14	15	15	14	14	14	15	15	15	16	16	16	18	15	17	15	16	16	15	16	17	17	18	17	18	17	17	16	18	17	18	16	19	17	20	20	20	17	18	18	18	19	19	18	19	20	21	19	20	21	20	21	20	21	20	19	19	18	20	20	21	22	21	20	22	22	21	23	22	22	24	23	23	22	24	26	26	27	31	30	0	0	2	2	4	4	3	5	7	5	9	19	19	9	17	9	9	28	14	11	12	14	38	13	27	28	16	11	7	13	11	16	11	13	11	15	13	26	38	15	36	30	13	30	9	15	34	37	27	22	26	21	36	21	16	52	38	39	23	36	53	43	58	15	35	48	45	45	90	31	58	39	28	50	55	15	26	30	30	43	15	39	65	67	12	47	58	20	44	13	50	42	55	39	42	64	21	45	21	62	28	89	92	21	85	80	33	75	67	92	110	103	1	1	1	2	1	1	2	1	1	1	1	1	1	1	1	2	1	1	1	2	3	2	1	1	1	1	1	1	3	1	3	2	2	1	2	1	1	1	1	1	1	1	2	1	3	1	1	1	2	2	1	1	2	1	2	1	3	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	2	1	1	3	2	3	4	1	3	3	1	1	6	2	1	2	1	2	2	2	1	3	2	2	4	2	3	3	6	1	2	2	2	2	5	4	3	3	3	4
2000	-633.039372748864025	-639.894860699823425	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.586209751067009	2	0	3	4	5	5	7	8	8	9	11	11	13	12	13	12	11	11	10	13	16	15	16	14	14	15	13	15	14	14	15	13	15	15	14	15	14	16	16	14	14	15	16	16	17	14	16	16	15	16	14	18	18	17	18	19	17	17	18	17	17	17	17	19	19	17	19	19	19	18	19	19	19	18	21	19	19	18	21	19	22	20	19	22	19	20	19	18	20	20	19	21	21	22	21	21	21	23	21	23	22	23	25	22	23	22	23	26	25	29	28	28	0	0	2	3	4	4	3	5	5	7	10	19	12	19	17	9	10	19	10	17	33	15	24	13	8	12	7	25	11	14	27	16	35	18	17	11	15	26	26	27	11	13	42	30	13	13	18	37	40	30	11	17	21	41	54	48	26	26	26	51	20	22	39	35	21	37	45	45	43	43	58	61	28	43	74	27	59	22	91	78	55	57	35	79	57	49	58	46	72	44	22	91	76	76	89	83	56	28	41	89	86	93	79	80	73	61	65	79	106	103	103	100	1	1	2	1	1	1	3	2	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	3	2	3	1	2	1	1	1	1	2	2	1	1	1	1	1	3	1	1	2	1	1	2	1	1	2	1	3	1	2	1	1	1	1	1	1	2	1	1	2	2	2	1	1	1	1	2	1	1	1	1	4	1	2	2	1	2	1	2	1	1	3	1	2	1	2	2	1	1	2	1	1	2	4	3	2	1	1	2	1	2	3	2	3	1	1	2	2
2500	-666.991803859882111	-673.847291810841512	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.536482421524789	0	0	3	4	5	3	7	8	8	9	11	10	11	12	12	12	11	13	11	13	16	15	15	15	13	13	14	13	14	14	16	14	12	15	15	15	14	14	15	16	14	16	15	15	18	15	16	15	14	16	13	17	17	18	19	18	18	17	18	18	17	17	16	18	20	17	20	20	21	18	18	19	18	17	20	18	19	19	20	20	22	20	19	21	21	20	19	19	20	20	20	21	22	22	22	21	23	22	20	23	22	23	24	24	23	22	24	26	26	29	30	27	0	0	2	6	4	2	4	5	5	7	3	9	12	11	8	8	8	11	12	10	23	51	33	13	15	19	33	10	5	11	38	15	10	13	28	28	13	26	26	15	51	43	51	14	47	11	29	37	28	44	33	11	49	29	23	48	61	39	38	23	22	22	38	21	53	48	45	45	60	17	39	42	21	30	46	29	59	44	29	40	51	39	64	59	88	77	39	29	30	22	42	78	88	56	83	83	23	68	28	80	15	44	89	102	60	91	99	80	21	112	78	103	1	1	2	1	1	2	1	2	2	1	4	1	1	1	2	2	2	1	1	2	1	1	2	2	1	1	1	2	5	1	1	1	2	1	1	1	2	1	1	2	1	1	1	1	1	2	1	1	1	1	1	3	1	2	2	1	1	1	3	1	2	1	1	1	2	1	1	1	2	3	2	1	1	1	3	3	1	2	2	2	5	2	1	1	1	1	2	2	3	3	2	1	2	2	1	1	5	1	3	1	5	5	2	1	3	2	2	3	3	1	7	2
3000	-692.960491847653543	-699.815979798612943	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.575222819898459	1	0	3	4	3	5	8	8	8	9	10	11	12	11	13	13	11	12	9	13	15	14	14	14	15	13	15	13	13	13	16	14	14	15	13	15	14	15	15	16	13	16	15	16	17	16	16	16	15	17	15	17	15	17	17	18	18	16	18	17	17	17	18	19	20	17	19	18	21	18	19	17	18	18	20	18	20	16	20	18	21	18	17	21	20	19	17	19	20	19	20	21	21	21	21	19	22	23	21	24	22	24	24	22	22	22	23	26	24	29	30	29	0	0	2	5	2	4	4	5	3	9	10	19	17	19	14	7	10	10	7	11	6	14	16	14	13	14	37	18	10	11	32	13	13	18	11	41	19	26	26	49	17	14	30	22	7	29	28	37	35	42	28	36	13	32	32	39	46	26	72	40	25	42	26	35	24	37	29	29	74	42	56	16	46	50	40	35	59	15	61	62	55	28	20	96	40	62	58	56	44	78	30	78	67	79	45	83	94	68	17	89	46	89	91	91	20	78	95	102	104	91	92	103	1	1	1	1	1	1	2	1	2	1	1	1	1	2	1	2	1	1	1	2	5	2	1	2	2	1	1	1	2	3	1	1	1	1	2	1	2	1	2	1	1	3	1	1	4	3	2	1	1	1	1	1	2	1	2	1	1	1	1	1	1	1	4	3	3	2	4	2	2	1	1	2	1	1	2	2	1	2	2	1	1	3	3	1	2	1	1	1	2	2	3	2	1	1	3	1	1	3	4	2	3	2	2	1	4	3	1	1	1	4	6	2
3500	-643.542442600718573	-650.397930551677973	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.641142605331636	1	0	3	3	5	6	8	8	8	9	12	10	12	11	13	13	11	13	11	14	13	15	16	13	15	15	14	15	14	14	15	15	13	16	16	16	13	15	16	16	14	16	15	15	18	16	17	17	15	17	16	18	17	17	16	18	18	17	17	18	17	17	17	18	20	17	19	20	20	19	19	18	18	17	19	17	20	19	19	20	22	20	20	22	20	20	18	19	20	20	20	20	21	21	21	19	23	23	21	24	23	24	24	22	23	21	21	26	24	30	29	29	0	0	2	2	4	3	6	5	5	5	12	7	9	12	19	5	8	12	12	10	8	14	32	12	11	17	13	30	11	13	24	10	11	18	29	29	13	13	26	49	11	28	30	30	17	13	34	37	11	43	26	21	41	16	16	61	39	38	26	32	25	44	39	16	64	37	13	45	72	27	51	16	15	51	38	11	59	43	42	22	54	39	64	69	58	19	58	46	31	72	56	60	92	68	52	61	95	45	83	106	84	70	92	70	96	80	17	105	60	103	92	103	1	1	2	2	1	1	1	1	1	2	1	1	2	1	1	3	1	2	1	2	2	1	1	1	2	2	1	1	1	1	1	3	1	1	1	1	1	1	1	1	1	1	1	1	4	1	1	2	2	1	1	2	1	2	1	1	1	1	1	2	1	1	1	1	1	2	3	1	1	3	1	2	2	1	2	2	1	1	2	3	2	3	1	1	1	4	1	2	2	1	1	1	1	1	2	1	1	3	1	2	1	2	3	2	2	1	4	1	3	2	4	2
4000	-690.923327655231674	-697.778815606191074	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.668956043221289	1	0	2	4	5	5	7	7	8	9	12	10	12	11	12	11	11	12	11	13	15	15	16	14	14	13	14	13	15	15	16	16	14	14	15	13	15	16	17	16	13	16	14	16	18	15	16	15	16	17	15	15	16	18	18	18	18	17	17	18	17	17	17	19	19	17	19	18	21	18	18	18	20	18	20	19	20	19	21	18	22	21	17	21	20	20	18	17	20	20	20	20	20	22	21	20	22	22	22	22	22	23	24	23	23	22	20	26	26	29	28	28	0	0	2	2	4	4	6	5	5	5	19	9	17	9	6	8	10	12	12	13	36	43	34	28	11	15	28	19	17	14	43	29	15	18	36	17	28	26	26	11	10	13	14	22	35	11	34	13	11	30	13	28	41	32	32	47	28	11	38	49	18	19	26	53	29	37	33	28	56	42	26	42	46	42	88	28	57	42	78	53	55	38	29	76	37	45	38	29	78	22	72	78	49	77	23	83	85	86	107	72	85	70	91	70	64	92	51	27	95	111	79	103	1	1	1	2	1	1	1	1	1	2	1	1	1	2	3	2	1	1	1	1	2	1	1	1	2	1	1	1	2	2	1	1	1	2	1	1	1	1	2	2	2	2	2	1	2	1	1	2	2	1	2	1	1	1	1	1	2	2	1	1	2	3	2	2	2	2	2	2	2	1	2	1	4	2	2	3	1	2	2	1	2	2	1	1	2	1	1	1	1	2	1	1	2	1	2	2	2	1	1	3	2	3	3	2	2	1	3	4	2	1	4	1
4500	-665.291387981105800	-672.146875932065200	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.542502881084471	1	0	3	5	5	4	7	8	8	9	11	9	12	12	12	13	11	13	11	13	15	14	13	13	14	13	13	15	13	15	16	16	14	15	13	15	14	16	16	15	14	16	15	15	16	14	15	16	14	16	15	17	16	17	16	18	19	18	17	17	18	17	18	18	18	17	16	18	19	18	17	18	18	19	20	17	19	19	21	18	20	20	18	21	21	20	19	19	19	20	20	19	21	21	21	20	21	23	22	24	22	21	24	23	24	22	23	26	24	27	30	29	0	0	2	3	6	2	5	5	5	8	5	7	19	19	11	7	10	11	9	17	27	13	8	11	13	15	10	22	10	35	26	13	13	18	10	17	15	26	51	49	13	44	22	27	7	23	35	37	13	22	19	15	28	35	16	48	60	38	38	26	7	42	26	21	35	37	7	67	62	62	51	66	46	23	34	23	53	22	92	30	8	38	36	73	92	80	71	29	42	30	92	80	65	73	40	64	23	68	93	80	83	74	79	78	65	30	29	106	93	103	90	110	1	1	2	1	1	2	1	2	1	1	3	2	1	1	1	3	1	1	2	1	1	1	2	1	1	1	2	1	2	1	1	2	1	1	3	2	1	2	1	1	1	1	1	1	3	1	1	2	1	1	2	3	1	2	2	1	1	2	1	1	5	1	3	1	3	1	2	1	1	1	1	1	2	4	2	2	2	2	1	3	3	3	2	1	1	1	1	4	1	3	1	1	1	1	3	1	3	4	1	3	2	1	1	2	3	3	5	2	1	2	5	2
