step	p_accept_mu1	p_accept_gamma	p_accept_pi	p_accept_Tinf	sigma_mu1	sigma_gamma	sigma_pi	n_like_zero
1		1.00000	1.00000	1.00000	1.00000	0.000100000000000	1.000000000000000	0.010000000000000	0
500		1.00000	1.00000	1.00000	0.35788	0.000100000000000	1.000000000000000	0.010000000000000	0
1000		-nan	-nan	0.84200	0.35026	0.000150000000000	1.000000000000000	0.015000000000000	0
1500		-nan	-nan	0.89200	0.33660	0.000150000000000	1.000000000000000	0.022500000000000	0
2000		-nan	-nan	0.81400	0.32657	0.000150000000000	1.000000000000000	0.033750000000000	0
2500		-nan	-nan	0.72800	0.32067	0.000150000000000	1.000000000000000	0.050625000000000	0
3000		-nan	-nan	0.67400	0.31923	0.000150000000000	1.000000000000000	0.075937500000000	0
3500		-nan	-nan	0.53000	0.31630	0.000150000000000	1.000000000000000	0.113906250000000	0
4000		-nan	-nan	0.42800	0.31394	0.000150000000000	1.000000000000000	0.170859375000000	0
4500		-nan	-nan	0.40600	0.31230	0.000150000000000	1.000000000000000	0.170859375000000	0
5000		-nan	-nan	0.40000	0.31134	0.000150000000000	1.000000000000000	0.170859375000000	0
5500		-nan	-nan	0.39500	0.30932	0.000150000000000	1.000000000000000	0.170859375000000	0
6000		-nan	-nan	0.38800	0.30862	0.000150000000000	1.000000000000000	0.170859375000000	0
6500		-nan	-nan	0.38733	0.30807	0.000150000000000	1.000000000000000	0.170859375000000	0
7000		-nan	-nan	0.38714	0.30771	0.000150000000000	1.000000000000000	0.170859375000000	0
7500		-nan	-nan	0.38800	0.30737	0.000150000000000	1.000000000000000	0.170859375000000	0
8000		-nan	-nan	0.38800	0.30651	0.000150000000000	1.000000000000000	0.170859375000000	0
8500		-nan	-nan	0.39140	0.30571	0.000150000000000	1.000000000000000	0.170859375000000	0
9000		-nan	-nan	0.39382	0.30507	0.000150000000000	1.000000000000000	0.170859375000000	0
9500		-nan	-nan	0.39250	0.30507	0.000150000000000	1.000000000000000	0.170859375000000	0
10000		-nan	-nan	0.39092	0.30525	0.000150000000000	1.000000000000000	0.170859375000000	0
10500		-nan	-nan	0.39229	0.30534	0.000150000000000	1.000000000000000	0.170859375000000	0
11000		-nan	-nan	0.39093	0.30503	0.000150000000000	1.000000000000000	0.170859375000000	0
11500		-nan	-nan	0.39075	0.30460	0.000150000000000	1.000000000000000	0.170859375000000	0
12000		-nan	-nan	0.39024	0.30432	0.000150000000000	1.000000000000000	0.170859375000000	0
12500		-nan	-nan	0.39089	0.30338	0.000150000000000	1.000000000000000	0.170859375000000	0
13000		-nan	-nan	0.39000	0.30323	0.000150000000000	1.000000000000000	0.170859375000000	0
13500		-nan	-nan	0.38980	0.30325	0.000150000000000	1.000000000000000	0.170859375000000	0
14000		-nan	-nan	0.38971	0.30281	0.000150000000000	1.000000000000000	0.170859375000000	0
14500		-nan	-nan	0.39055	0.30247	0.000150000000000	1.000000000000000	0.170859375000000	0
15000		-nan	-nan	0.39157	0.30273	0.000150000000000	1.000000000000000	0.170859375000000	0
15500		-nan	-nan	0.39067	0.30258	0.000150000000000	1.000000000000000	0.170859375000000	0
16000		-nan	-nan	0.39128	0.30257	0.000150000000000	1.000000000000000	0.170859375000000	0
16500		-nan	-nan	0.39000	0.30229	0.000150000000000	1.000000000000000	0.170859375000000	0
17000		-nan	-nan	0.39119	0.30219	0.000150000000000	1.000000000000000	0.170859375000000	0
17500		-nan	-nan	0.38993	0.30195	0.000150000000000	1.000000000000000	0.170859375000000	0
18000		-nan	-nan	0.38903	0.30170	0.000150000000000	1.000000000000000	0.170859375000000	0
18500		-nan	-nan	0.38973	0.30185	0.000150000000000	1.000000000000000	0.170859375000000	0
19000		-nan	-nan	0.38981	0.30161	0.000150000000000	1.000000000000000	0.170859375000000	0
19500		-nan	-nan	0.38938	0.30182	0.000150000000000	1.000000000000000	0.170859375000000	0
20000		-nan	-nan	0.39036	0.30199	0.000150000000000	1.000000000000000	0.170859375000000	0
20500		-nan	-nan	0.39071	0.30193	0.000150000000000	1.000000000000000	0.170859375000000	0
21000		-nan	-nan	0.39114	0.30165	0.000150000000000	1.000000000000000	0.170859375000000	0
21500		-nan	-nan	0.39044	0.30183	0.000150000000000	1.000000000000000	0.170859375000000	0
22000		-nan	-nan	0.38973	0.30172	0.000150000000000	1.000000000000000	0.170859375000000	0
22500		-nan	-nan	0.39079	0.30165	0.000150000000000	1.000000000000000	0.170859375000000	0
23000		-nan	-nan	0.39036	0.30165	0.000150000000000	1.000000000000000	0.170859375000000	0
23500		-nan	-nan	0.39060	0.30135	0.000150000000000	1.000000000000000	0.170859375000000	0
24000		-nan	-nan	0.39015	0.30094	0.000150000000000	1.000000000000000	0.170859375000000	0
24500		-nan	-nan	0.39100	0.30097	0.000150000000000	1.000000000000000	0.170859375000000	0
25000		-nan	-nan	0.39047	0.30099	0.000150000000000	1.000000000000000	0.170859375000000	0
25500		-nan	-nan	0.39032	0.30097	0.000150000000000	1.000000000000000	0.170859375000000	0
26000		-nan	-nan	0.38956	0.30080	0.000150000000000	1.000000000000000	0.170859375000000	0
26500		-nan	-nan	0.38939	0.30084	0.000150000000000	1.000000000000000	0.170859375000000	0
27000		-nan	-nan	0.39000	0.30070	0.000150000000000	1.000000000000000	0.170859375000000	0
27500		-nan	-nan	0.39012	0.30085	0.000150000000000	1.000000000000000	0.170859375000000	0
28000		-nan	-nan	0.38980	0.30090	0.000150000000000	1.000000000000000	0.170859375000000	0
28500		-nan	-nan	0.39048	0.30081	0.000150000000000	1.000000000000000	0.170859375000000	0
29000		-nan	-nan	0.39114	0.30082	0.000150000000000	1.000000000000000	0.170859375000000	0
29500		-nan	-nan	0.39112	0.30081	0.000150000000000	1.000000000000000	0.170859375000000	0
30000		-nan	-nan	0.39128	0.30064	0.000150000000000	1.000000000000000	0.170859375000000	0
30500		-nan	-nan	0.39107	0.30057	0.000150000000000	1.000000000000000	0.170859375000000	0
31000		-nan	-nan	0.39091	0.30042	0.000150000000000	1.000000000000000	0.170859375000000	0
31500		-nan	-nan	0.39089	0.30026	0.000150000000000	1.000000000000000	0.170859375000000	0
32000		-nan	-nan	0.39172	0.30024	0.000150000000000	1.000000000000000	0.170859375000000	0
32500		-nan	-nan	0.39203	0.30035	0.000150000000000	1.000000000000000	0.170859375000000	0
33000		-nan	-nan	0.39153	0.30033	0.000150000000000	1.000000000000000	0.170859375000000	0
33500		-nan	-nan	0.39243	0.30042	0.000150000000000	1.000000000000000	0.170859375000000	0
34000		-nan	-nan	0.39295	0.30044	0.000150000000000	1.000000000000000	0.170859375000000	0
34500		-nan	-nan	0.39316	0.30048	0.000150000000000	1.000000000000000	0.170859375000000	0
35000		-nan	-nan	0.39314	0.30046	0.000150000000000	1.000000000000000	0.170859375000000	0
35500		-nan	-nan	0.39334	0.30040	0.000150000000000	1.000000000000000	0.170859375000000	0
36000		-nan	-nan	0.39415	0.30031	0.000150000000000	1.000000000000000	0.170859375000000	0
36500		-nan	-nan	0.39424	0.30030	0.000150000000000	1.000000000000000	0.170859375000000	0
37000		-nan	-nan	0.39391	0.30030	0.000150000000000	1.000000000000000	0.170859375000000	0
37500		-nan	-nan	0.39400	0.30019	0.000150000000000	1.000000000000000	0.170859375000000	0
38000		-nan	-nan	0.39386	0.30003	0.000150000000000	1.000000000000000	0.170859375000000	0
38500		-nan	-nan	0.39374	0.30020	0.000150000000000	1.000000000000000	0.170859375000000	0
39000		-nan	-nan	0.39358	0.30026	0.000150000000000	1.000000000000000	0.170859375000000	0
39500		-nan	-nan	0.39328	0.30032	0.000150000000000	1.000000000000000	0.170859375000000	0
40000		-nan	-nan	0.39375	0.30039	0.000150000000000	1.000000000000000	0.170859375000000	0
40500		-nan	-nan	0.39400	0.30042	0.000150000000000	1.000000000000000	0.170859375000000	0
