step	p_accept_mu1	p_accept_gamma	p_accept_pi	p_accept_Tinf	sigma_mu1	sigma_gamma	sigma_pi	n_like_zero
1		1.00000	1.00000	1.00000	1.00000	0.000100000000000	1.000000000000000	0.010000000000000	0
500		1.00000	1.00000	1.00000	0.39512	0.000100000000000	1.000000000000000	0.010000000000000	0
1000		-nan	-nan	0.96600	0.38425	0.000150000000000	1.000000000000000	0.015000000000000	0
1500		-nan	-nan	0.89800	0.38023	0.000150000000000	1.000000000000000	0.022500000000000	0
2000		-nan	-nan	0.85800	0.37948	0.000150000000000	1.000000000000000	0.033750000000000	0
2500		-nan	-nan	0.79800	0.37729	0.000150000000000	1.000000000000000	0.050625000000000	0
3000		-nan	-nan	0.71200	0.37579	0.000150000000000	1.000000000000000	0.075937500000000	0
3500		-nan	-nan	0.63400	0.37356	0.000150000000000	1.000000000000000	0.113906250000000	0
4000		-nan	-nan	0.44600	0.37166	0.000150000000000	1.000000000000000	0.170859375000000	0
4500		-nan	-nan	0.45000	0.37118	0.000150000000000	1.000000000000000	0.170859375000000	0
5000		-nan	-nan	0.45800	0.37033	0.000150000000000	1.000000000000000	0.170859375000000	0
5500		-nan	-nan	0.45700	0.36962	0.000150000000000	1.000000000000000	0.170859375000000	0
6000		-nan	-nan	0.45480	0.36976	0.000150000000000	1.000000000000000	0.170859375000000	0
6500		-nan	-nan	0.45400	0.36961	0.000150000000000	1.000000000000000	0.170859375000000	0
7000		-nan	-nan	0.45286	0.36893	0.000150000000000	1.000000000000000	0.170859375000000	0
7500		-nan	-nan	0.45325	0.36853	0.000150000000000	1.000000000000000	0.170859375000000	0
8000		-nan	-nan	0.45511	0.36861	0.000150000000000	1.000000000000000	0.170859375000000	0
8500		-nan	-nan	0.45760	0.36825	0.000150000000000	1.000000000000000	0.170859375000000	0
9000		-nan	-nan	0.45964	0.36817	0.000150000000000	1.000000000000000	0.170859375000000	0
9500		-nan	-nan	0.45850	0.36824	0.000150000000000	1.000000000000000	0.170859375000000	0
10000		-nan	-nan	0.45969	0.36830	0.000150000000000	1.000000000000000	0.170859375000000	0
10500		-nan	-nan	0.45957	0.36851	0.000150000000000	1.000000000000000	0.170859375000000	0
