step	p_accept_mu1	p_accept_gamma	p_accept_pi	p_accept_Tinf	sigma_mu1	sigma_gamma	sigma_pi	n_like_zero
1		1.00000	1.00000	1.00000	1.00000	0.000100000000000	1.000000000000000	0.010000000000000	0
500		1.00000	1.00000	1.00000	0.43749	0.000100000000000	1.000000000000000	0.010000000000000	0
1000		-nan	-nan	0.96600	0.42380	0.000150000000000	1.000000000000000	0.015000000000000	0
1500		-nan	-nan	0.93400	0.41505	0.000150000000000	1.000000000000000	0.022500000000000	0
2000		-nan	-nan	0.89600	0.40825	0.000150000000000	1.000000000000000	0.033750000000000	0
2500		-nan	-nan	0.82000	0.40234	0.000150000000000	1.000000000000000	0.050625000000000	0
3000		-nan	-nan	0.74000	0.39810	0.000150000000000	1.000000000000000	0.075937500000000	0
3500		-nan	-nan	0.64800	0.39656	0.000150000000000	1.000000000000000	0.113906250000000	0
4000		-nan	-nan	0.51400	0.39455	0.000150000000000	1.000000000000000	0.170859375000000	0
4500		-nan	-nan	0.41800	0.39374	0.000150000000000	1.000000000000000	0.256289062500000	0
5000		-nan	-nan	0.40300	0.39265	0.000150000000000	1.000000000000000	0.256289062500000	0
5500		-nan	-nan	0.38800	0.39092	0.000150000000000	1.000000000000000	0.256289062500000	0
6000		-nan	-nan	0.38800	0.39056	0.000150000000000	1.000000000000000	0.256289062500000	0
6500		-nan	-nan	0.38600	0.38955	0.000150000000000	1.000000000000000	0.256289062500000	0
7000		-nan	-nan	0.39000	0.38920	0.000150000000000	1.000000000000000	0.256289062500000	0
7500		-nan	-nan	0.39257	0.38919	0.000150000000000	1.000000000000000	0.256289062500000	0
8000		-nan	-nan	0.39475	0.38906	0.000150000000000	1.000000000000000	0.256289062500000	0
8500		-nan	-nan	0.39578	0.38838	0.000150000000000	1.000000000000000	0.256289062500000	0
9000		-nan	-nan	0.39500	0.38702	0.000150000000000	1.000000000000000	0.256289062500000	0
9500		-nan	-nan	0.39436	0.38625	0.000150000000000	1.000000000000000	0.256289062500000	0
10000		-nan	-nan	0.39033	0.38510	0.000150000000000	1.000000000000000	0.256289062500000	0
10500		-nan	-nan	0.38831	0.38426	0.000150000000000	1.000000000000000	0.256289062500000	0
11000		-nan	-nan	0.39286	0.38429	0.000150000000000	1.000000000000000	0.256289062500000	0
11500		-nan	-nan	0.39040	0.38377	0.000150000000000	1.000000000000000	0.256289062500000	0
12000		-nan	-nan	0.38912	0.38291	0.000150000000000	1.000000000000000	0.256289062500000	0
12500		-nan	-nan	0.38624	0.38208	0.000150000000000	1.000000000000000	0.256289062500000	0
13000		-nan	-nan	0.38489	0.38116	0.000150000000000	1.000000000000000	0.256289062500000	0
13500		-nan	-nan	0.38400	0.38096	0.000150000000000	1.000000000000000	0.256289062500000	0
14000		-nan	-nan	0.38290	0.38048	0.000150000000000	1.000000000000000	0.256289062500000	0
14500		-nan	-nan	0.38276	0.37988	0.000150000000000	1.000000000000000	0.256289062500000	0
15000		-nan	-nan	0.38382	0.37916	0.000150000000000	1.000000000000000	0.256289062500000	0
15500		-nan	-nan	0.38443	0.37849	0.000150000000000	1.000000000000000	0.256289062500000	0
16000		-nan	-nan	0.38383	0.37799	0.000150000000000	1.000000000000000	0.256289062500000	0
16500		-nan	-nan	0.38376	0.37734	0.000150000000000	1.000000000000000	0.256289062500000	0
17000		-nan	-nan	0.38523	0.37679	0.000150000000000	1.000000000000000	0.256289062500000	0
17500		-nan	-nan	0.38548	0.37633	0.000150000000000	1.000000000000000	0.256289062500000	0
18000		-nan	-nan	0.38386	0.37559	0.000150000000000	1.000000000000000	0.256289062500000	0
18500		-nan	-nan	0.38303	0.37477	0.000150000000000	1.000000000000000	0.256289062500000	0
19000		-nan	-nan	0.38227	0.37442	0.000150000000000	1.000000000000000	0.256289062500000	0
19500		-nan	-nan	0.38032	0.37377	0.000150000000000	1.000000000000000	0.256289062500000	0
20000		-nan	-nan	0.37888	0.37289	0.000150000000000	1.000000000000000	0.256289062500000	0
20500		-nan	-nan	0.37830	0.37254	0.000150000000000	1.000000000000000	0.256289062500000	0
