step	post	like	prior	mu1	mu2	gamma	pi	Tinf_1	Tinf_2	Tinf_3	Tinf_4	Tinf_5	Tinf_6	Tinf_7	Tinf_8	Tinf_9	Tinf_10	Tinf_11	Tinf_12	Tinf_13	Tinf_14	Tinf_15	Tinf_16	Tinf_17	Tinf_18	Tinf_19	Tinf_20	Tinf_21	Tinf_22	Tinf_23	Tinf_24	Tinf_25	Tinf_26	Tinf_27	Tinf_28	Tinf_29	Tinf_30	Tinf_31	Tinf_32	Tinf_33	Tinf_34	Tinf_35	Tinf_36	Tinf_37	Tinf_38	Tinf_39	Tinf_40	Tinf_41	Tinf_42	Tinf_43	Tinf_44	Tinf_45	Tinf_46	Tinf_47	Tinf_48	Tinf_49	Tinf_50	Tinf_51	Tinf_52	Tinf_53	Tinf_54	Tinf_55	Tinf_56	Tinf_57	Tinf_58	Tinf_59	Tinf_60	Tinf_61	Tinf_62	Tinf_63	Tinf_64	Tinf_65	Tinf_66	Tinf_67	Tinf_68	Tinf_69	Tinf_70	Tinf_71	Tinf_72	Tinf_73	Tinf_74	Tinf_75	Tinf_76	Tinf_77	Tinf_78	Tinf_79	Tinf_80	Tinf_81	Tinf_82	alpha_1	alpha_2	alpha_3	alpha_4	alpha_5	alpha_6	alpha_7	alpha_8	alpha_9	alpha_10	alpha_11	alpha_12	alpha_13	alpha_14	alpha_15	alpha_16	alpha_17	alpha_18	alpha_19	alpha_20	alpha_21	alpha_22	alpha_23	alpha_24	alpha_25	alpha_26	alpha_27	alpha_28	alpha_29	alpha_30	alpha_31	alpha_32	alpha_33	alpha_34	alpha_35	alpha_36	alpha_37	alpha_38	alpha_39	alpha_40	alpha_41	alpha_42	alpha_43	alpha_44	alpha_45	alpha_46	alpha_47	alpha_48	alpha_49	alpha_50	alpha_51	alpha_52	alpha_53	alpha_54	alpha_55	alpha_56	alpha_57	alpha_58	alpha_59	alpha_60	alpha_61	alpha_62	alpha_63	alpha_64	alpha_65	alpha_66	alpha_67	alpha_68	alpha_69	alpha_70	alpha_71	alpha_72	alpha_73	alpha_74	alpha_75	alpha_76	alpha_77	alpha_78	alpha_79	alpha_80	alpha_81	alpha_82	kappa_1	kappa_2	kappa_3	kappa_4	kappa_5	kappa_6	kappa_7	kappa_8	kappa_9	kappa_10	kappa_11	kappa_12	kappa_13	kappa_14	kappa_15	kappa_16	kappa_17	kappa_18	kappa_19	kappa_20	kappa_21	kappa_22	kappa_23	kappa_24	kappa_25	kappa_26	kappa_27	kappa_28	kappa_29	kappa_30	kappa_31	kappa_32	kappa_33	kappa_34	kappa_35	kappa_36	kappa_37	kappa_38	kappa_39	kappa_40	kappa_41	kappa_42	kappa_43	kappa_44	kappa_45	kappa_46	kappa_47	kappa_48	kappa_49	kappa_50	kappa_51	kappa_52	kappa_53	kappa_54	kappa_55	kappa_56	kappa_57	kappa_58	kappa_59	kappa_60	kappa_61	kappa_62	kappa_63	kappa_64	kappa_65	kappa_66	kappa_67	kappa_68	kappa_69	kappa_70	kappa_71	kappa_72	kappa_73	kappa_74	kappa_75	kappa_76	kappa_77	kappa_78	kappa_79	kappa_80	kappa_81	kappa_82
1	-923.524328044818049	-932.575171425269446	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.043928508772730	0	0	3	5	4	4	5	5	8	6	6	7	8	7	9	7	10	8	10	9	11	9	10	11	11	11	14	12	12	14	12	13	14	14	16	18	12	15	13	15	15	14	16	22	14	16	19	16	15	17	17	17	17	19	18	19	19	21	17	18	18	19	19	18	22	19	21	20	19	21	26	24	23	24	26	25	25	26	26	26	28	30	0	0	2	3	3	3	3	3	16	2	7	8	3	3	8	5	9	10	11	9	9	3	3	11	8	10	22	11	12	20	21	11	3	10	21	50	12	20	20	26	3	10	21	29	29	21	36	39	3	21	43	45	49	49	25	41	29	47	21	49	49	28	49	50	52	49	62	49	64	47	56	43	67	68	47	56	56	47	47	76	79	78	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
500	-727.055776592487291	-735.440823508714061	8.385046916226765	0.000010017887278	0.000026797196398	2.674934909392357	0.112746592241995	1	1	3	4	5	5	5	6	8	5	6	7	6	6	10	7	10	8	9	10	11	7	11	11	11	12	13	11	13	12	13	13	14	14	17	17	11	15	14	14	14	12	17	17	15	14	16	16	15	15	18	18	17	19	15	20	19	18	17	17	18	16	19	18	21	17	22	21	20	21	22	19	23	24	26	25	24	25	27	27	28	31	0	0	2	3	4	4	3	4	16	2	7	8	3	4	8	5	9	10	11	9	9	4	13	11	8	10	22	19	37	20	21	24	23	42	46	50	12	30	30	26	23	18	50	29	29	31	50	39	41	31	43	45	49	60	25	41	44	47	47	49	49	28	49	50	52	49	62	63	64	58	56	43	67	68	70	71	71	70	75	76	79	78	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
1000	-585.408133826014364	-594.031749883609109	8.623616057594736	0.000009995391815	0.000020599938270	2.060943547904446	0.810954501395464	1	0	1	4	4	4	2	6	9	4	5	8	8	7	10	7	11	9	10	10	10	10	9	11	11	10	14	12	13	12	12	13	12	12	17	16	12	16	14	13	14	11	17	18	15	15	17	16	16	14	18	17	17	18	16	17	20	19	18	19	19	17	17	16	21	18	21	20	18	22	23	19	23	23	21	25	26	25	25	26	27	27	2	0	2	3	3	3	3	4	16	2	7	8	4	4	8	5	9	10	11	16	9	13	3	19	8	18	22	19	37	20	21	24	13	42	46	50	12	30	20	26	33	18	50	29	29	31	36	39	41	31	43	45	49	49	25	41	44	47	47	63	66	28	49	50	52	49	62	63	64	58	56	43	67	68	58	71	71	70	75	76	79	78	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
1500	-554.672356597031467	-562.871373112937931	8.199016515906520	0.000009974015074	0.000031996557527	3.207991695436884	0.999524446316682	1	0	4	6	5	5	5	6	8	7	7	7	8	7	10	7	9	9	10	10	9	10	11	9	11	12	12	12	13	11	12	12	14	14	17	16	10	12	12	15	15	12	17	18	14	16	16	13	16	14	18	17	17	20	12	19	19	21	17	19	18	17	18	18	18	17	19	20	19	22	23	19	24	23	24	25	25	27	26	27	29	29	2	0	2	3	3	3	3	3	16	2	7	8	3	4	8	5	9	10	24	9	9	13	13	11	8	18	22	19	37	20	21	19	13	42	46	50	12	30	30	26	33	18	36	29	29	31	50	39	41	31	43	45	49	60	25	41	44	47	47	66	66	28	49	36	52	49	62	63	64	58	56	43	67	68	70	71	71	58	75	76	79	78	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
2000	-568.552954390582840	-577.127231237840306	8.574276847257448	0.000009963006835	0.000021854967905	2.193611654195875	0.998612453645228	1	0	3	4	4	5	5	5	8	6	6	7	5	7	6	7	10	8	11	9	10	10	11	8	8	11	12	12	13	15	12	13	7	15	14	16	11	16	12	14	15	13	16	15	13	13	16	16	16	15	18	17	18	20	11	20	17	20	17	19	19	19	20	17	20	18	21	20	19	22	23	17	23	24	24	24	25	27	26	26	29	30	2	0	2	3	3	3	4	3	16	2	7	8	3	4	8	5	16	10	24	16	16	33	13	11	8	18	22	19	37	20	21	24	13	42	46	50	12	30	20	26	23	18	50	37	37	21	50	39	41	31	43	45	49	60	25	41	44	47	47	66	49	28	66	50	52	49	62	66	64	58	56	43	67	68	58	71	71	70	75	76	79	78	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
2500	-565.078905952862215	-572.871101950426123	7.792195997563949	0.000009886735038	0.000044644724246	4.515618561071478	0.970160442261921	1	0	2	4	4	5	4	5	8	5	6	8	9	7	9	6	8	9	10	10	10	10	11	9	10	12	11	13	13	13	12	14	14	13	17	16	11	12	13	15	14	11	17	18	14	16	17	17	15	15	18	16	18	18	12	20	20	18	18	19	18	18	18	18	22	17	21	20	20	22	22	18	23	23	24	24	23	26	26	26	28	27	2	0	2	3	3	4	3	3	16	2	7	8	4	4	8	5	16	10	11	9	16	13	13	11	8	18	22	19	37	20	21	19	23	42	46	50	12	20	20	26	23	18	36	29	29	21	50	39	41	31	43	45	66	49	25	41	44	47	47	66	66	28	49	36	52	49	62	63	64	58	56	43	67	68	70	71	71	70	75	76	79	78	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
3000	-555.257649051459225	-563.781301396039453	8.523652344580213	0.000009957661923	0.000023148716528	2.324714045144142	0.988893666042446	1	0	2	5	4	4	4	6	9	6	7	7	8	7	9	8	10	9	9	10	11	8	10	11	12	9	12	13	12	14	13	13	12	14	16	16	11	14	13	12	14	11	16	15	13	15	17	15	16	14	17	18	17	18	16	18	19	21	18	17	18	19	19	18	20	17	21	21	20	20	23	24	23	23	23	25	26	26	26	27	28	29	2	0	2	3	3	3	3	3	16	2	7	8	3	4	8	5	16	10	11	16	9	4	13	19	8	10	22	24	37	20	21	19	23	42	46	50	12	20	20	26	33	18	50	29	37	31	50	39	41	31	43	45	49	49	25	41	44	47	47	49	49	28	66	36	52	49	62	63	64	47	56	43	67	68	58	71	71	58	75	76	79	78	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
3500	-556.771838239464046	-564.988573602805332	8.216735363341307	0.000010417148006	0.000031565703527	3.030167518937813	0.983348788901315	1	0	3	5	5	5	4	6	8	5	6	8	8	6	8	7	10	9	11	10	9	9	9	12	8	12	13	8	13	13	13	10	11	15	17	18	11	15	12	14	15	12	17	17	14	16	17	16	16	15	18	15	18	19	12	19	19	21	18	17	17	19	18	17	18	20	21	21	19	22	23	22	22	24	24	25	26	26	26	26	28	27	2	0	2	3	3	3	3	4	16	2	7	8	4	4	8	5	9	10	11	16	16	4	4	19	8	18	22	11	37	20	21	11	23	42	46	50	12	30	20	26	33	18	50	29	37	31	50	39	41	31	43	45	49	60	25	41	44	47	47	49	49	28	49	50	52	63	62	49	64	58	56	43	67	68	70	71	71	70	75	76	79	78	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
4000	-545.985910244328011	-554.061354355338267	8.075444111010258	0.000010930983956	0.000035955025937	3.289276252092128	0.998242965653821	0	-1	3	6	5	5	5	6	9	6	6	8	9	7	7	8	10	8	11	9	11	9	11	10	10	11	13	12	12	12	13	13	13	13	16	17	10	14	11	14	14	12	16	17	14	15	16	15	16	15	18	18	18	19	12	18	19	22	18	18	18	19	18	18	21	20	21	20	19	20	24	23	24	25	24	25	26	26	27	26	28	30	2	0	2	3	3	3	3	3	16	2	7	8	4	3	8	5	9	10	11	16	9	4	4	11	8	18	22	24	37	20	21	19	13	42	46	50	12	30	20	26	33	18	50	29	29	31	50	39	41	31	43	45	49	63	25	41	44	70	47	49	49	28	49	50	52	60	62	49	64	47	56	43	67	68	58	71	71	58	75	76	79	78	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
4500	-535.865818174836363	-544.109365379733845	8.243547204897459	0.000012886173114	0.000029533231504	2.291854318861640	0.994156862749958	1	0	3	5	5	5	5	5	9	6	7	7	9	7	7	8	10	8	9	10	11	9	7	11	10	9	12	13	13	12	13	12	14	14	16	17	12	16	11	12	14	11	16	17	14	14	17	13	15	15	18	17	18	20	17	18	19	21	18	17	19	16	18	18	21	20	20	21	20	19	22	20	21	25	25	25	26	26	26	26	29	28	2	0	2	3	3	3	3	3	16	2	7	8	4	4	8	5	16	10	11	16	9	23	4	19	8	18	22	24	37	20	21	24	13	42	46	50	12	30	20	26	13	18	50	37	37	21	50	39	41	31	43	45	49	63	25	41	44	70	47	49	63	28	49	36	52	63	62	66	64	47	56	43	67	68	58	71	71	58	75	76	79	78	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
