step	post	like	prior	mu1	mu2	gamma	pi	Tinf_1	Tinf_2	Tinf_3	Tinf_4	Tinf_5	Tinf_6	Tinf_7	Tinf_8	Tinf_9	Tinf_10	Tinf_11	Tinf_12	Tinf_13	Tinf_14	Tinf_15	Tinf_16	Tinf_17	Tinf_18	Tinf_19	Tinf_20	Tinf_21	Tinf_22	Tinf_23	Tinf_24	Tinf_25	Tinf_26	Tinf_27	Tinf_28	Tinf_29	Tinf_30	Tinf_31	Tinf_32	Tinf_33	Tinf_34	Tinf_35	Tinf_36	Tinf_37	Tinf_38	Tinf_39	Tinf_40	Tinf_41	Tinf_42	Tinf_43	Tinf_44	Tinf_45	Tinf_46	Tinf_47	Tinf_48	Tinf_49	Tinf_50	Tinf_51	Tinf_52	Tinf_53	Tinf_54	Tinf_55	Tinf_56	Tinf_57	Tinf_58	Tinf_59	Tinf_60	Tinf_61	Tinf_62	Tinf_63	Tinf_64	Tinf_65	Tinf_66	Tinf_67	Tinf_68	Tinf_69	Tinf_70	Tinf_71	Tinf_72	Tinf_73	Tinf_74	Tinf_75	Tinf_76	Tinf_77	Tinf_78	Tinf_79	Tinf_80	Tinf_81	Tinf_82	Tinf_83	alpha_1	alpha_2	alpha_3	alpha_4	alpha_5	alpha_6	alpha_7	alpha_8	alpha_9	alpha_10	alpha_11	alpha_12	alpha_13	alpha_14	alpha_15	alpha_16	alpha_17	alpha_18	alpha_19	alpha_20	alpha_21	alpha_22	alpha_23	alpha_24	alpha_25	alpha_26	alpha_27	alpha_28	alpha_29	alpha_30	alpha_31	alpha_32	alpha_33	alpha_34	alpha_35	alpha_36	alpha_37	alpha_38	alpha_39	alpha_40	alpha_41	alpha_42	alpha_43	alpha_44	alpha_45	alpha_46	alpha_47	alpha_48	alpha_49	alpha_50	alpha_51	alpha_52	alpha_53	alpha_54	alpha_55	alpha_56	alpha_57	alpha_58	alpha_59	alpha_60	alpha_61	alpha_62	alpha_63	alpha_64	alpha_65	alpha_66	alpha_67	alpha_68	alpha_69	alpha_70	alpha_71	alpha_72	alpha_73	alpha_74	alpha_75	alpha_76	alpha_77	alpha_78	alpha_79	alpha_80	alpha_81	alpha_82	alpha_83	kappa_1	kappa_2	kappa_3	kappa_4	kappa_5	kappa_6	kappa_7	kappa_8	kappa_9	kappa_10	kappa_11	kappa_12	kappa_13	kappa_14	kappa_15	kappa_16	kappa_17	kappa_18	kappa_19	kappa_20	kappa_21	kappa_22	kappa_23	kappa_24	kappa_25	kappa_26	kappa_27	kappa_28	kappa_29	kappa_30	kappa_31	kappa_32	kappa_33	kappa_34	kappa_35	kappa_36	kappa_37	kappa_38	kappa_39	kappa_40	kappa_41	kappa_42	kappa_43	kappa_44	kappa_45	kappa_46	kappa_47	kappa_48	kappa_49	kappa_50	kappa_51	kappa_52	kappa_53	kappa_54	kappa_55	kappa_56	kappa_57	kappa_58	kappa_59	kappa_60	kappa_61	kappa_62	kappa_63	kappa_64	kappa_65	kappa_66	kappa_67	kappa_68	kappa_69	kappa_70	kappa_71	kappa_72	kappa_73	kappa_74	kappa_75	kappa_76	kappa_77	kappa_78	kappa_79	kappa_80	kappa_81	kappa_82	kappa_83
1	-1069.708214220833270	-1078.759057601284667	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.272245406938677	-1	1	6	8	6	8	7	8	7	8	8	12	8	9	9	10	10	11	11	12	10	13	11	11	12	12	13	14	15	13	13	13	13	14	18	15	18	15	23	16	16	15	19	15	18	15	20	17	17	17	18	17	18	24	17	18	19	20	18	23	18	19	18	21	21	19	22	23	19	18	19	20	20	23	19	22	19	21	22	23	23	23	25	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
500	-272.357663697239047	-281.408507077690388	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.971272143731870	-1	1	7	9	7	9	5	9	7	9	3	11	9	6	9	11	11	12	9	13	8	12	11	10	13	10	13	13	14	12	14	12	9	10	17	15	18	13	22	11	16	14	20	15	16	14	17	18	16	16	15	17	17	23	17	18	19	20	15	20	18	17	15	19	20	18	21	23	18	18	20	16	19	23	20	21	18	21	22	19	22	22	25	0	1	14	5	11	21	11	3	7	9	2	26	5	11	21	33	24	12	14	4	3	3	6	3	17	8	24	18	20	12	17	17	3	5	44	38	31	10	61	14	51	22	73	32	30	32	51	63	51	25	46	72	45	64	18	36	66	52	25	52	42	42	46	35	57	50	71	60	49	53	62	38	63	58	77	29	36	57	45	72	80	58	39	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
1000	-251.629144093668401	-260.679987474119741	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.989799300485967	0	2	7	9	7	8	6	8	4	6	9	8	9	9	9	10	11	7	11	12	9	13	12	11	12	13	14	14	14	13	13	14	14	15	18	14	19	15	21	16	16	16	15	15	17	11	18	16	16	17	17	16	18	23	15	18	20	16	12	21	12	20	18	21	21	19	21	23	19	17	18	18	20	22	19	23	18	21	23	24	23	23	24	0	1	9	2	10	10	9	18	1	9	18	10	5	9	12	12	21	9	13	11	8	59	19	11	24	20	6	13	25	20	46	25	22	22	38	20	49	23	37	26	36	55	30	22	55	14	40	19	28	49	49	22	50	67	30	70	47	30	16	71	4	45	45	70	66	56	37	78	34	43	34	50	26	64	72	39	29	41	60	76	73	64	82	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
1500	-264.941198968152833	-273.992042348604173	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.991920256686686	-1	2	7	9	6	8	5	8	7	8	9	11	9	10	7	10	10	11	11	13	9	9	12	10	12	13	12	14	15	14	14	14	12	12	19	14	18	16	22	16	17	11	17	15	18	11	18	18	17	14	19	18	19	19	17	17	19	20	13	19	19	16	17	22	22	19	22	24	20	19	18	21	20	22	19	20	20	16	17	19	22	20	24	0	1	5	3	2	7	2	2	2	5	15	14	6	6	7	4	11	24	3	13	3	10	18	10	17	34	16	13	23	11	42	42	22	16	49	4	33	28	48	28	20	21	38	59	38	8	38	38	78	59	44	43	43	71	40	50	71	70	14	56	55	20	32	77	77	71	51	74	56	40	49	75	48	53	78	71	48	50	36	49	75	38	57	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
2000	-256.888506252102673	-265.939349632554013	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.958004974246711	-1	2	7	9	4	8	7	9	7	9	6	11	8	10	9	11	10	11	11	11	11	12	12	11	10	13	14	14	12	13	14	13	14	15	18	16	17	15	23	16	11	14	19	15	18	14	16	18	17	17	18	14	18	18	18	17	19	21	19	22	18	18	17	19	21	17	23	18	18	19	19	21	20	24	18	21	20	21	17	22	23	21	24	0	1	5	11	2	7	5	11	5	3	5	15	3	3	7	6	15	15	10	9	17	19	14	15	10	17	30	23	10	13	32	4	29	33	50	34	44	46	80	42	15	19	54	33	32	23	28	37	52	44	38	29	66	28	66	16	55	54	75	71	38	44	28	45	70	36	71	31	42	50	45	68	56	78	32	63	64	57	36	78	59	37	73	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
2500	-262.471796889092673	-271.522640269544013	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.999493011281167	0	2	6	9	6	9	4	7	5	9	9	12	8	9	9	11	11	11	12	13	11	13	11	12	11	13	14	14	15	13	14	14	13	11	19	15	19	14	24	10	12	15	18	16	15	16	18	17	17	17	19	15	17	25	16	15	19	20	17	22	15	17	16	13	21	18	23	16	19	17	20	15	18	21	16	19	14	21	23	21	22	23	26	0	1	7	5	7	7	2	9	2	8	8	40	3	13	9	40	6	4	17	19	15	13	4	34	6	6	19	20	27	18	26	22	25	15	27	33	36	33	47	6	40	20	48	77	33	20	61	31	77	75	50	28	56	67	27	30	70	76	44	76	77	68	30	25	76	42	81	45	70	38	72	33	46	55	40	44	17	76	60	37	58	81	81	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
3000	-243.492127603204011	-252.542970983655351	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.999972951612413	-2	1	5	6	3	8	5	7	7	9	8	12	9	9	8	11	10	12	12	9	11	13	11	11	12	13	10	14	13	12	13	14	14	14	17	14	18	16	23	16	17	14	18	15	19	10	20	15	16	18	16	17	19	24	18	18	19	21	18	22	19	16	17	22	22	20	23	22	19	17	20	20	20	22	19	23	20	21	20	20	21	22	25	0	1	5	7	2	4	5	7	7	8	7	10	6	4	3	9	10	27	23	15	15	16	6	14	20	12	15	29	15	6	30	26	11	29	33	18	44	44	81	27	51	20	28	32	55	14	37	29	33	35	42	49	62	78	12	40	49	72	41	51	56	22	44	73	57	35	58	80	50	49	59	37	55	47	33	77	43	77	43	57	45	79	67	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
3500	-252.637025803807262	-261.687869184258602	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.998934472163679	-1	2	7	7	6	8	7	5	7	9	8	11	9	10	8	10	9	12	12	11	10	14	12	10	12	10	14	14	15	13	14	12	13	14	11	16	19	14	22	14	15	15	19	11	19	15	20	18	17	15	18	17	17	17	18	16	19	21	19	22	19	19	18	21	21	20	19	21	20	17	19	18	20	21	20	17	16	20	23	23	24	21	25	0	1	8	8	8	5	8	2	8	2	9	17	9	6	3	6	11	14	16	7	3	19	24	6	24	15	24	16	12	25	21	10	25	18	16	28	29	10	82	7	30	28	51	13	70	30	61	53	36	28	70	42	46	41	46	23	48	67	55	75	31	63	29	70	61	70	52	51	55	56	76	50	36	78	57	41	42	49	60	74	73	63	73	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
4000	-257.315489501239824	-266.366332881691164	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.983099341506767	-2	1	7	9	7	9	8	5	7	9	7	12	9	9	4	11	11	12	11	11	10	14	12	10	12	9	13	13	14	14	12	14	12	15	18	15	16	16	23	14	16	16	17	15	19	14	19	18	18	17	19	17	19	22	16	19	16	20	18	24	18	20	18	19	19	19	22	20	20	18	6	20	21	22	19	21	18	22	18	23	22	21	19	0	1	8	9	71	3	11	1	8	9	8	16	7	9	1	14	4	6	71	10	5	24	19	10	4	7	31	20	17	25	19	28	6	32	34	27	33	36	62	26	18	6	42	31	63	18	52	41	42	57	48	36	61	53	25	50	32	63	41	67	42	44	38	50	70	55	62	75	45	55	8	64	53	65	70	59	52	69	37	73	48	66	43	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
4500	-254.591588924838277	-263.642432305289617	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.993261763929657	0	2	5	8	3	9	7	9	7	7	9	13	9	10	8	10	10	11	12	12	11	11	10	12	13	13	12	15	15	14	14	14	13	13	17	15	18	16	21	13	16	16	19	15	17	9	20	14	17	18	19	17	19	22	17	17	19	19	16	23	18	19	17	20	17	18	19	22	20	19	20	21	20	23	20	22	19	22	21	23	23	24	22	0	1	2	9	2	7	3	4	2	3	10	8	4	3	10	9	8	13	18	46	17	3	6	13	8	21	23	12	27	26	15	20	18	19	31	40	55	24	64	8	18	48	55	14	30	9	67	23	25	65	55	32	63	75	41	28	45	56	12	72	35	45	36	43	12	48	42	37	66	35	43	43	59	43	45	50	50	47	63	76	39	44	70	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
