step	post	like	prior	mu1	mu2	gamma	pi	Tinf_1	Tinf_2	Tinf_3	Tinf_4	Tinf_5	Tinf_6	Tinf_7	Tinf_8	Tinf_9	Tinf_10	Tinf_11	Tinf_12	Tinf_13	Tinf_14	Tinf_15	Tinf_16	Tinf_17	Tinf_18	Tinf_19	Tinf_20	Tinf_21	Tinf_22	Tinf_23	Tinf_24	Tinf_25	Tinf_26	Tinf_27	Tinf_28	Tinf_29	Tinf_30	Tinf_31	Tinf_32	Tinf_33	Tinf_34	Tinf_35	Tinf_36	Tinf_37	Tinf_38	Tinf_39	Tinf_40	Tinf_41	Tinf_42	Tinf_43	Tinf_44	Tinf_45	Tinf_46	Tinf_47	Tinf_48	Tinf_49	Tinf_50	Tinf_51	Tinf_52	Tinf_53	Tinf_54	Tinf_55	Tinf_56	Tinf_57	Tinf_58	Tinf_59	Tinf_60	Tinf_61	Tinf_62	Tinf_63	Tinf_64	Tinf_65	Tinf_66	Tinf_67	Tinf_68	Tinf_69	Tinf_70	Tinf_71	Tinf_72	Tinf_73	Tinf_74	Tinf_75	Tinf_76	Tinf_77	Tinf_78	Tinf_79	Tinf_80	Tinf_81	Tinf_82	Tinf_83	Tinf_84	Tinf_85	Tinf_86	Tinf_87	Tinf_88	Tinf_89	Tinf_90	alpha_1	alpha_2	alpha_3	alpha_4	alpha_5	alpha_6	alpha_7	alpha_8	alpha_9	alpha_10	alpha_11	alpha_12	alpha_13	alpha_14	alpha_15	alpha_16	alpha_17	alpha_18	alpha_19	alpha_20	alpha_21	alpha_22	alpha_23	alpha_24	alpha_25	alpha_26	alpha_27	alpha_28	alpha_29	alpha_30	alpha_31	alpha_32	alpha_33	alpha_34	alpha_35	alpha_36	alpha_37	alpha_38	alpha_39	alpha_40	alpha_41	alpha_42	alpha_43	alpha_44	alpha_45	alpha_46	alpha_47	alpha_48	alpha_49	alpha_50	alpha_51	alpha_52	alpha_53	alpha_54	alpha_55	alpha_56	alpha_57	alpha_58	alpha_59	alpha_60	alpha_61	alpha_62	alpha_63	alpha_64	alpha_65	alpha_66	alpha_67	alpha_68	alpha_69	alpha_70	alpha_71	alpha_72	alpha_73	alpha_74	alpha_75	alpha_76	alpha_77	alpha_78	alpha_79	alpha_80	alpha_81	alpha_82	alpha_83	alpha_84	alpha_85	alpha_86	alpha_87	alpha_88	alpha_89	alpha_90	kappa_1	kappa_2	kappa_3	kappa_4	kappa_5	kappa_6	kappa_7	kappa_8	kappa_9	kappa_10	kappa_11	kappa_12	kappa_13	kappa_14	kappa_15	kappa_16	kappa_17	kappa_18	kappa_19	kappa_20	kappa_21	kappa_22	kappa_23	kappa_24	kappa_25	kappa_26	kappa_27	kappa_28	kappa_29	kappa_30	kappa_31	kappa_32	kappa_33	kappa_34	kappa_35	kappa_36	kappa_37	kappa_38	kappa_39	kappa_40	kappa_41	kappa_42	kappa_43	kappa_44	kappa_45	kappa_46	kappa_47	kappa_48	kappa_49	kappa_50	kappa_51	kappa_52	kappa_53	kappa_54	kappa_55	kappa_56	kappa_57	kappa_58	kappa_59	kappa_60	kappa_61	kappa_62	kappa_63	kappa_64	kappa_65	kappa_66	kappa_67	kappa_68	kappa_69	kappa_70	kappa_71	kappa_72	kappa_73	kappa_74	kappa_75	kappa_76	kappa_77	kappa_78	kappa_79	kappa_80	kappa_81	kappa_82	kappa_83	kappa_84	kappa_85	kappa_86	kappa_87	kappa_88	kappa_89	kappa_90
1	-651.888278898660246	-660.939122279111643	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.186731036150727	1	3	1	2	5	3	2	5	5	4	5	4	4	4	4	6	4	5	8	6	7	5	6	6	6	8	7	6	7	5	6	10	8	7	8	10	6	6	6	7	6	9	7	8	9	6	8	11	8	10	11	9	7	8	7	7	10	9	12	8	8	12	11	10	9	13	13	11	9	10	11	17	9	10	11	10	10	11	11	11	12	13	13	13	14	14	13	15	17	19	0	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
500	-335.473373314205674	-344.524216694657014	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.511771655078618	1	3	-2	-1	5	2	1	4	3	3	6	2	4	5	4	6	2	5	8	6	6	6	4	6	0	8	8	7	7	5	7	9	8	7	9	10	7	6	5	7	6	9	4	8	10	6	9	11	8	9	11	9	6	9	4	5	10	10	9	8	6	12	11	10	9	14	12	12	7	11	9	8	9	7	10	8	8	9	12	11	12	6	9	9	12	12	13	15	13	18	4	17	0	3	2	7	3	9	1	7	13	3	12	12	17	18	1	10	16	9	56	23	2	23	3	22	22	41	55	9	30	41	34	22	19	52	20	8	10	30	30	28	6	56	33	9	76	20	21	77	36	20	15	60	1	55	83	34	19	16	13	73	78	38	40	87	29	51	53	50	82	18	11	43	49	40	46	74	26	59	48	55	74	16	36	64	62	68	75	65	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
1000	-264.922330379424466	-273.973173759875806	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.987133735693569	1	3	0	2	4	3	3	5	5	5	6	5	4	4	5	6	4	5	7	7	7	5	6	5	6	9	7	5	7	5	7	8	8	8	8	7	6	6	6	5	6	9	4	5	10	7	2	11	4	10	8	9	8	8	7	7	10	9	11	8	8	12	12	10	8	13	11	8	9	5	9	17	7	9	9	10	8	12	12	11	11	13	12	14	15	12	13	14	9	17	3	1	0	1	4	47	47	49	6	4	15	49	6	47	14	13	2	7	37	16	10	43	30	7	49	53	4	49	18	4	30	29	28	27	7	37	15	6	9	7	5	29	7	7	60	2	3	69	4	38	11	39	25	30	41	22	35	65	20	27	28	80	89	37	27	62	74	73	12	5	12	84	23	20	35	55	23	80	44	89	52	45	64	86	57	67	52	79	46	85	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
1500	-274.218872956571829	-283.269716337023169	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.989254856066285	1	4	0	2	6	2	3	4	6	5	5	3	4	4	3	6	4	6	7	5	8	6	6	7	7	8	8	6	6	6	7	8	9	7	8	10	7	6	5	6	6	8	8	9	8	6	8	10	8	8	12	8	7	8	6	8	10	9	7	5	7	12	9	10	8	10	14	10	5	6	10	18	8	10	11	7	7	10	11	12	12	13	9	11	13	13	13	14	12	17	3	4	0	3	10	3	3	12	69	2	12	3	1	4	1	15	6	11	28	15	20	6	39	18	12	38	2	13	69	39	69	38	46	69	22	23	13	2	17	39	14	11	53	16	40	20	23	77	23	16	75	18	30	53	60	18	41	25	28	8	9	68	19	37	30	50	66	34	8	20	28	80	38	32	47	38	55	47	43	75	79	80	52	48	48	57	34	1	75	87	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
2000	-261.579066444744456	-270.629909825195796	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.999460266061067	2	0	-1	1	6	4	2	3	6	5	6	4	5	4	5	5	4	6	5	7	6	5	6	7	3	4	6	6	7	4	6	7	9	7	9	11	5	7	7	8	7	10	8	8	8	7	8	11	6	10	11	5	7	9	7	7	9	7	12	9	7	10	11	10	8	13	13	10	10	11	11	16	9	10	10	9	11	10	11	11	12	12	12	13	12	13	14	12	17	18	3	3	0	3	17	1	2	4	6	30	22	8	26	1	17	8	8	30	14	52	16	14	13	11	1	25	25	1	11	1	14	16	61	9	27	68	25	30	28	39	21	24	27	13	28	21	28	76	25	65	35	8	11	9	27	52	23	52	57	32	27	47	62	60	37	62	48	53	10	46	45	42	28	65	34	29	50	23	54	60	62	10	74	18	11	59	88	68	66	87	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
2500	-263.657932425581464	-272.708775806032804	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.979938911738792	2	3	0	2	6	3	2	3	5	4	4	4	5	5	4	5	5	4	8	5	7	5	4	6	7	6	7	7	8	6	7	9	7	7	8	8	5	6	6	6	7	9	7	6	7	7	8	11	7	10	10	9	7	9	6	7	10	9	10	8	9	11	11	6	9	14	13	12	9	10	10	18	10	11	10	8	9	11	11	11	11	12	12	13	15	13	11	13	14	19	3	7	0	3	18	7	3	7	18	4	4	4	2	1	6	8	8	7	39	8	12	12	6	23	9	11	17	26	41	37	20	10	13	26	24	41	18	8	7	13	16	76	14	9	23	12	64	61	16	6	69	47	16	13	13	15	42	76	40	24	20	27	61	7	18	59	83	58	56	14	28	66	56	57	33	64	46	59	46	42	29	37	77	27	67	74	53	87	68	88	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
3000	-259.540361686745200	-268.591205067196540	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.989386520233967	2	3	0	3	5	1	3	3	6	4	4	3	4	3	1	7	4	6	9	7	7	4	7	6	7	8	7	5	6	5	5	9	9	7	9	9	6	6	6	7	7	10	7	8	9	6	4	12	8	11	11	10	5	9	6	7	10	5	12	6	7	12	12	9	9	11	13	10	5	9	11	14	8	5	11	10	11	12	10	11	13	10	11	12	15	15	12	16	14	19	3	3	0	3	7	3	15	15	10	8	1	15	1	6	3	53	12	4	44	13	5	7	60	47	10	55	31	11	53	10	2	9	16	14	61	49	53	8	69	74	53	43	24	9	40	2	2	51	56	55	73	41	13	61	53	30	9	2	77	12	37	64	57	25	29	26	76	49	4	5	76	51	16	4	70	45	65	71	27	34	62	65	42	57	70	75	80	72	48	86	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
3500	-266.807004121327850	-275.857847501779190	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.979338759735116	1	2	0	1	5	4	2	5	4	5	4	3	4	3	4	7	4	5	6	6	7	5	7	5	6	9	7	5	8	6	7	10	8	7	6	10	6	5	6	7	4	4	7	9	8	7	8	11	5	9	12	9	7	8	6	8	10	10	10	8	8	9	11	10	7	12	14	11	9	7	11	17	8	11	12	6	11	11	11	9	8	14	12	12	14	15	14	14	17	14	3	3	0	3	14	12	3	15	7	1	4	4	2	1	1	49	2	2	14	49	49	42	11	14	49	45	5	15	13	2	19	70	10	9	28	50	15	9	18	8	14	2	6	73	42	22	20	44	9	25	77	70	25	21	9	34	60	42	34	35	27	53	25	5	35	69	75	54	39	55	81	87	9	69	77	13	64	60	56	65	46	62	78	57	52	62	26	75	90	66	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
4000	-249.422175781614897	-258.473019162066237	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.994920022313177	2	4	0	3	6	4	2	6	6	5	6	4	5	5	5	7	4	5	7	7	7	5	7	6	5	8	8	4	7	3	6	9	9	8	7	10	7	6	6	8	6	9	8	9	10	6	6	11	8	11	11	10	5	8	8	7	9	7	11	8	7	13	8	8	9	14	14	12	9	10	10	17	7	8	8	8	9	10	12	11	12	13	13	11	13	12	11	14	16	18	3	30	0	7	6	7	3	25	10	12	18	4	2	4	28	18	4	28	17	31	41	28	46	17	2	39	23	4	12	7	12	37	47	46	13	74	15	53	28	13	10	37	6	76	60	13	18	70	47	71	52	75	7	9	23	53	43	28	40	23	2	51	39	58	9	59	83	50	56	27	42	66	15	29	47	56	23	20	52	63	59	84	54	54	42	59	33	25	51	72	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
4500	-265.773796574664857	-274.824639955116197	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.970818418882383	2	1	0	2	3	4	2	5	4	5	4	4	2	4	4	5	4	5	8	4	6	5	6	2	4	9	8	6	7	5	4	9	9	5	5	11	6	3	6	6	4	7	6	9	7	6	9	9	7	9	9	9	7	7	8	8	9	7	10	7	9	9	10	10	9	14	12	11	8	11	9	17	8	10	12	11	11	11	10	12	11	13	14	14	12	15	11	16	13	19	3	3	0	3	13	5	2	1	5	25	1	5	2	13	7	11	1	41	53	7	13	11	41	3	13	40	60	7	18	41	5	29	17	31	15	51	14	24	12	30	13	20	41	18	20	8	19	54	14	58	58	19	15	21	46	41	56	22	43	46	49	49	19	26	27	85	70	26	10	50	23	84	45	44	36	60	45	64	62	87	57	79	85	74	74	82	52	82	87	84	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
