step	p_accept_mu1	p_accept_gamma	p_accept_pi	p_accept_Tinf	sigma_mu1	sigma_gamma	sigma_pi	n_like_zero
1		1.00000	1.00000	1.00000	1.00000	0.000100000000000	1.000000000000000	0.010000000000000	0
500		1.00000	1.00000	1.00000	0.79210	0.000100000000000	1.000000000000000	0.010000000000000	0
1000		-nan	-nan	0.56600	0.79179	0.000150000000000	1.000000000000000	0.015000000000000	0
1500		-nan	-nan	0.48800	0.79121	0.000150000000000	1.000000000000000	0.022500000000000	0
2000		-nan	-nan	0.48800	0.79273	0.000150000000000	1.000000000000000	0.022500000000000	0
2500		-nan	-nan	0.49133	0.79304	0.000150000000000	1.000000000000000	0.022500000000000	0
3000		-nan	-nan	0.48200	0.79392	0.000150000000000	1.000000000000000	0.022500000000000	0
3500		-nan	-nan	0.48480	0.79515	0.000150000000000	1.000000000000000	0.022500000000000	0
4000		-nan	-nan	0.48200	0.79467	0.000150000000000	1.000000000000000	0.022500000000000	0
4500		-nan	-nan	0.48457	0.79414	0.000150000000000	1.000000000000000	0.022500000000000	0
5000		-nan	-nan	0.48575	0.79442	0.000150000000000	1.000000000000000	0.022500000000000	0
5500		-nan	-nan	0.48400	0.79399	0.000150000000000	1.000000000000000	0.022500000000000	0
6000		-nan	-nan	0.48280	0.79421	0.000150000000000	1.000000000000000	0.022500000000000	0
6500		-nan	-nan	0.48382	0.79442	0.000150000000000	1.000000000000000	0.022500000000000	0
7000		-nan	-nan	0.48700	0.79407	0.000150000000000	1.000000000000000	0.022500000000000	0
7500		-nan	-nan	0.48908	0.79403	0.000150000000000	1.000000000000000	0.022500000000000	0
8000		-nan	-nan	0.48629	0.79421	0.000150000000000	1.000000000000000	0.022500000000000	0
8500		-nan	-nan	0.48933	0.79383	0.000150000000000	1.000000000000000	0.022500000000000	0
9000		-nan	-nan	0.48712	0.79370	0.000150000000000	1.000000000000000	0.022500000000000	0
9500		-nan	-nan	0.48494	0.79336	0.000150000000000	1.000000000000000	0.022500000000000	0
10000		-nan	-nan	0.48267	0.79316	0.000150000000000	1.000000000000000	0.022500000000000	0
10500		-nan	-nan	0.48474	0.79318	0.000150000000000	1.000000000000000	0.022500000000000	0
11000		-nan	-nan	0.48270	0.79300	0.000150000000000	1.000000000000000	0.022500000000000	0
11500		-nan	-nan	0.48200	0.79297	0.000150000000000	1.000000000000000	0.022500000000000	0
12000		-nan	-nan	0.48264	0.79261	0.000150000000000	1.000000000000000	0.022500000000000	0
12500		-nan	-nan	0.48365	0.79257	0.000150000000000	1.000000000000000	0.022500000000000	0
13000		-nan	-nan	0.48392	0.79269	0.000150000000000	1.000000000000000	0.022500000000000	0
13500		-nan	-nan	0.48360	0.79266	0.000150000000000	1.000000000000000	0.022500000000000	0
14000		-nan	-nan	0.48215	0.79261	0.000150000000000	1.000000000000000	0.022500000000000	0
14500		-nan	-nan	0.48081	0.79255	0.000150000000000	1.000000000000000	0.022500000000000	0
15000		-nan	-nan	0.48050	0.79260	0.000150000000000	1.000000000000000	0.022500000000000	0
15500		-nan	-nan	0.48028	0.79248	0.000150000000000	1.000000000000000	0.022500000000000	0
16000		-nan	-nan	0.47900	0.79251	0.000150000000000	1.000000000000000	0.022500000000000	0
16500		-nan	-nan	0.47852	0.79241	0.000150000000000	1.000000000000000	0.022500000000000	0
17000		-nan	-nan	0.47763	0.79220	0.000150000000000	1.000000000000000	0.022500000000000	0
17500		-nan	-nan	0.47600	0.79219	0.000150000000000	1.000000000000000	0.022500000000000	0
18000		-nan	-nan	0.47600	0.79224	0.000150000000000	1.000000000000000	0.022500000000000	0
18500		-nan	-nan	0.47531	0.79218	0.000150000000000	1.000000000000000	0.022500000000000	0
19000		-nan	-nan	0.47661	0.79229	0.000150000000000	1.000000000000000	0.022500000000000	0
19500		-nan	-nan	0.47573	0.79243	0.000150000000000	1.000000000000000	0.022500000000000	0
20000		-nan	-nan	0.47700	0.79252	0.000150000000000	1.000000000000000	0.022500000000000	0
20500		-nan	-nan	0.47574	0.79244	0.000150000000000	1.000000000000000	0.022500000000000	0
21000		-nan	-nan	0.47525	0.79233	0.000150000000000	1.000000000000000	0.022500000000000	0
21500		-nan	-nan	0.47473	0.79238	0.000150000000000	1.000000000000000	0.022500000000000	0
22000		-nan	-nan	0.47481	0.79217	0.000150000000000	1.000000000000000	0.022500000000000	0
22500		-nan	-nan	0.47423	0.79225	0.000150000000000	1.000000000000000	0.022500000000000	0
23000		-nan	-nan	0.47459	0.79230	0.000150000000000	1.000000000000000	0.022500000000000	0
23500		-nan	-nan	0.47520	0.79238	0.000150000000000	1.000000000000000	0.022500000000000	0
24000		-nan	-nan	0.47517	0.79237	0.000150000000000	1.000000000000000	0.022500000000000	0
24500		-nan	-nan	0.47481	0.79235	0.000150000000000	1.000000000000000	0.022500000000000	0
25000		-nan	-nan	0.47471	0.79231	0.000150000000000	1.000000000000000	0.022500000000000	0
25500		-nan	-nan	0.47584	0.79237	0.000150000000000	1.000000000000000	0.022500000000000	0
26000		-nan	-nan	0.47524	0.79232	0.000150000000000	1.000000000000000	0.022500000000000	0
26500		-nan	-nan	0.47561	0.79244	0.000150000000000	1.000000000000000	0.022500000000000	0
27000		-nan	-nan	0.47565	0.79242	0.000150000000000	1.000000000000000	0.022500000000000	0
27500		-nan	-nan	0.47626	0.79226	0.000150000000000	1.000000000000000	0.022500000000000	0
28000		-nan	-nan	0.47641	0.79218	0.000150000000000	1.000000000000000	0.022500000000000	0
28500		-nan	-nan	0.47749	0.79203	0.000150000000000	1.000000000000000	0.022500000000000	0
29000		-nan	-nan	0.47821	0.79209	0.000150000000000	1.000000000000000	0.022500000000000	0
29500		-nan	-nan	0.47832	0.79217	0.000150000000000	1.000000000000000	0.022500000000000	0
30000		-nan	-nan	0.47848	0.79226	0.000150000000000	1.000000000000000	0.022500000000000	0
30500		-nan	-nan	0.47790	0.79220	0.000150000000000	1.000000000000000	0.022500000000000	0
31000		-nan	-nan	0.47787	0.79217	0.000150000000000	1.000000000000000	0.022500000000000	0
31500		-nan	-nan	0.47777	0.79206	0.000150000000000	1.000000000000000	0.022500000000000	0
32000		-nan	-nan	0.47790	0.79208	0.000150000000000	1.000000000000000	0.022500000000000	0
32500		-nan	-nan	0.47771	0.79207	0.000150000000000	1.000000000000000	0.022500000000000	0
33000		-nan	-nan	0.47716	0.79206	0.000150000000000	1.000000000000000	0.022500000000000	0
33500		-nan	-nan	0.47738	0.79218	0.000150000000000	1.000000000000000	0.022500000000000	0
34000		-nan	-nan	0.47758	0.79210	0.000150000000000	1.000000000000000	0.022500000000000	0
34500		-nan	-nan	0.47836	0.79193	0.000150000000000	1.000000000000000	0.022500000000000	0
35000		-nan	-nan	0.47824	0.79191	0.000150000000000	1.000000000000000	0.022500000000000	0
35500		-nan	-nan	0.47780	0.79188	0.000150000000000	1.000000000000000	0.022500000000000	0
36000		-nan	-nan	0.47766	0.79190	0.000150000000000	1.000000000000000	0.022500000000000	0
36500		-nan	-nan	0.47679	0.79191	0.000150000000000	1.000000000000000	0.022500000000000	0
37000		-nan	-nan	0.47669	0.79197	0.000150000000000	1.000000000000000	0.022500000000000	0
37500		-nan	-nan	0.47696	0.79202	0.000150000000000	1.000000000000000	0.022500000000000	0
38000		-nan	-nan	0.47722	0.79204	0.000150000000000	1.000000000000000	0.022500000000000	0
38500		-nan	-nan	0.47680	0.79206	0.000150000000000	1.000000000000000	0.022500000000000	0
39000		-nan	-nan	0.47726	0.79215	0.000150000000000	1.000000000000000	0.022500000000000	0
39500		-nan	-nan	0.47740	0.79215	0.000150000000000	1.000000000000000	0.022500000000000	0
40000		-nan	-nan	0.47749	0.79213	0.000150000000000	1.000000000000000	0.022500000000000	0
40500		-nan	-nan	0.47787	0.79223	0.000150000000000	1.000000000000000	0.022500000000000	0
41000		-nan	-nan	0.47720	0.79224	0.000150000000000	1.000000000000000	0.022500000000000	0
41500		-nan	-nan	0.47719	0.79217	0.000150000000000	1.000000000000000	0.022500000000000	0
42000		-nan	-nan	0.47671	0.79205	0.000150000000000	1.000000000000000	0.022500000000000	0
42500		-nan	-nan	0.47720	0.79200	0.000150000000000	1.000000000000000	0.022500000000000	0
43000		-nan	-nan	0.47693	0.79199	0.000150000000000	1.000000000000000	0.022500000000000	0
43500		-nan	-nan	0.47699	0.79193	0.000150000000000	1.000000000000000	0.022500000000000	0
44000		-nan	-nan	0.47693	0.79188	0.000150000000000	1.000000000000000	0.022500000000000	0
44500		-nan	-nan	0.47683	0.79194	0.000150000000000	1.000000000000000	0.022500000000000	0
45000		-nan	-nan	0.47605	0.79194	0.000150000000000	1.000000000000000	0.022500000000000	0
45500		-nan	-nan	0.47589	0.79195	0.000150000000000	1.000000000000000	0.022500000000000	0
46000		-nan	-nan	0.47622	0.79195	0.000150000000000	1.000000000000000	0.022500000000000	0
46500		-nan	-nan	0.47668	0.79191	0.000150000000000	1.000000000000000	0.022500000000000	0
47000		-nan	-nan	0.47693	0.79192	0.000150000000000	1.000000000000000	0.022500000000000	0
47500		-nan	-nan	0.47669	0.79194	0.000150000000000	1.000000000000000	0.022500000000000	0
48000		-nan	-nan	0.47730	0.79189	0.000150000000000	1.000000000000000	0.022500000000000	0
48500		-nan	-nan	0.47663	0.79195	0.000150000000000	1.000000000000000	0.022500000000000	0
49000		-nan	-nan	0.47683	0.79192	0.000150000000000	1.000000000000000	0.022500000000000	0
49500		-nan	-nan	0.47637	0.79188	0.000150000000000	1.000000000000000	0.022500000000000	0
50000		-nan	-nan	0.47629	0.79182	0.000150000000000	1.000000000000000	0.022500000000000	0
50500		-nan	-nan	0.47628	0.79181	0.000150000000000	1.000000000000000	0.022500000000000	0
51000		-nan	-nan	0.47626	0.79190	0.000150000000000	1.000000000000000	0.022500000000000	0
51500		-nan	-nan	0.47600	0.79184	0.000150000000000	1.000000000000000	0.022500000000000	0
52000		-nan	-nan	0.47567	0.79179	0.000150000000000	1.000000000000000	0.022500000000000	0
52500		-nan	-nan	0.47584	0.79177	0.000150000000000	1.000000000000000	0.022500000000000	0
53000		-nan	-nan	0.47612	0.79173	0.000150000000000	1.000000000000000	0.022500000000000	0
53500		-nan	-nan	0.47644	0.79179	0.000150000000000	1.000000000000000	0.022500000000000	0
54000		-nan	-nan	0.47594	0.79184	0.000150000000000	1.000000000000000	0.022500000000000	0
54500		-nan	-nan	0.47564	0.79186	0.000150000000000	1.000000000000000	0.022500000000000	0
55000		-nan	-nan	0.47574	0.79190	0.000150000000000	1.000000000000000	0.022500000000000	0
55500		-nan	-nan	0.47607	0.79189	0.000150000000000	1.000000000000000	0.022500000000000	0
56000		-nan	-nan	0.47602	0.79185	0.000150000000000	1.000000000000000	0.022500000000000	0
56500		-nan	-nan	0.47602	0.79188	0.000150000000000	1.000000000000000	0.022500000000000	0
57000		-nan	-nan	0.47620	0.79193	0.000150000000000	1.000000000000000	0.022500000000000	0
57500		-nan	-nan	0.47625	0.79193	0.000150000000000	1.000000000000000	0.022500000000000	0
58000		-nan	-nan	0.47628	0.79195	0.000150000000000	1.000000000000000	0.022500000000000	0
58500		-nan	-nan	0.47657	0.79197	0.000150000000000	1.000000000000000	0.022500000000000	0
59000		-nan	-nan	0.47660	0.79196	0.000150000000000	1.000000000000000	0.022500000000000	0
59500		-nan	-nan	0.47636	0.79201	0.000150000000000	1.000000000000000	0.022500000000000	0
60000		-nan	-nan	0.47612	0.79206	0.000150000000000	1.000000000000000	0.022500000000000	0
60500		-nan	-nan	0.47592	0.79202	0.000150000000000	1.000000000000000	0.022500000000000	0
61000		-nan	-nan	0.47585	0.79210	0.000150000000000	1.000000000000000	0.022500000000000	0
61500		-nan	-nan	0.47567	0.79215	0.000150000000000	1.000000000000000	0.022500000000000	0
62000		-nan	-nan	0.47595	0.79217	0.000150000000000	1.000000000000000	0.022500000000000	0
62500		-nan	-nan	0.47567	0.79217	0.000150000000000	1.000000000000000	0.022500000000000	0
63000		-nan	-nan	0.47584	0.79216	0.000150000000000	1.000000000000000	0.022500000000000	0
63500		-nan	-nan	0.47616	0.79219	0.000150000000000	1.000000000000000	0.022500000000000	0
64000		-nan	-nan	0.47657	0.79221	0.000150000000000	1.000000000000000	0.022500000000000	0
64500		-nan	-nan	0.47661	0.79224	0.000150000000000	1.000000000000000	0.022500000000000	0
65000		-nan	-nan	0.47634	0.79223	0.000150000000000	1.000000000000000	0.022500000000000	0
65500		-nan	-nan	0.47631	0.79223	0.000150000000000	1.000000000000000	0.022500000000000	0
66000		-nan	-nan	0.47634	0.79225	0.000150000000000	1.000000000000000	0.022500000000000	0
66500		-nan	-nan	0.47617	0.79225	0.000150000000000	1.000000000000000	0.022500000000000	0
67000		-nan	-nan	0.47612	0.79225	0.000150000000000	1.000000000000000	0.022500000000000	0
67500		-nan	-nan	0.47615	0.79227	0.000150000000000	1.000000000000000	0.022500000000000	0
68000		-nan	-nan	0.47643	0.79224	0.000150000000000	1.000000000000000	0.022500000000000	0
68500		-nan	-nan	0.47640	0.79225	0.000150000000000	1.000000000000000	0.022500000000000	0
69000		-nan	-nan	0.47666	0.79219	0.000150000000000	1.000000000000000	0.022500000000000	0
69500		-nan	-nan	0.47648	0.79219	0.000150000000000	1.000000000000000	0.022500000000000	0
70000		-nan	-nan	0.47672	0.79219	0.000150000000000	1.000000000000000	0.022500000000000	0
70500		-nan	-nan	0.47678	0.79218	0.000150000000000	1.000000000000000	0.022500000000000	0
71000		-nan	-nan	0.47696	0.79219	0.000150000000000	1.000000000000000	0.022500000000000	0
71500		-nan	-nan	0.47709	0.79220	0.000150000000000	1.000000000000000	0.022500000000000	0
72000		-nan	-nan	0.47692	0.79221	0.000150000000000	1.000000000000000	0.022500000000000	0
72500		-nan	-nan	0.47694	0.79220	0.000150000000000	1.000000000000000	0.022500000000000	0
73000		-nan	-nan	0.47675	0.79220	0.000150000000000	1.000000000000000	0.022500000000000	0
73500		-nan	-nan	0.47676	0.79221	0.000150000000000	1.000000000000000	0.022500000000000	0
74000		-nan	-nan	0.47653	0.79224	0.000150000000000	1.000000000000000	0.022500000000000	0
74500		-nan	-nan	0.47639	0.79225	0.000150000000000	1.000000000000000	0.022500000000000	0
75000		-nan	-nan	0.47654	0.79224	0.000150000000000	1.000000000000000	0.022500000000000	0
75500		-nan	-nan	0.47658	0.79227	0.000150000000000	1.000000000000000	0.022500000000000	0
76000		-nan	-nan	0.47653	0.79225	0.000150000000000	1.000000000000000	0.022500000000000	0
76500		-nan	-nan	0.47674	0.79221	0.000150000000000	1.000000000000000	0.022500000000000	0
77000		-nan	-nan	0.47668	0.79216	0.000150000000000	1.000000000000000	0.022500000000000	0
77500		-nan	-nan	0.47668	0.79217	0.000150000000000	1.000000000000000	0.022500000000000	0
