step	p_accept_mu1	p_accept_gamma	p_accept_pi	p_accept_Tinf	sigma_mu1	sigma_gamma	sigma_pi	n_like_zero
1		1.00000	1.00000	1.00000	1.00000	0.000100000000000	1.000000000000000	0.010000000000000	0
500		1.00000	1.00000	1.00000	0.78899	0.000100000000000	1.000000000000000	0.010000000000000	0
1000		-nan	-nan	0.60600	0.78976	0.000150000000000	1.000000000000000	0.015000000000000	0
1500		-nan	-nan	0.52000	0.79137	0.000150000000000	1.000000000000000	0.022500000000000	0
2000		-nan	-nan	0.41200	0.79219	0.000150000000000	1.000000000000000	0.033750000000000	0
2500		-nan	-nan	0.41400	0.79196	0.000150000000000	1.000000000000000	0.033750000000000	0
3000		-nan	-nan	0.41067	0.79109	0.000150000000000	1.000000000000000	0.033750000000000	0
3500		-nan	-nan	0.40400	0.79200	0.000150000000000	1.000000000000000	0.033750000000000	0
4000		-nan	-nan	0.40040	0.79311	0.000150000000000	1.000000000000000	0.033750000000000	0
4500		-nan	-nan	0.40067	0.79347	0.000150000000000	1.000000000000000	0.033750000000000	0
5000		-nan	-nan	0.40029	0.79302	0.000150000000000	1.000000000000000	0.033750000000000	0
5500		-nan	-nan	0.40450	0.79345	0.000150000000000	1.000000000000000	0.033750000000000	0
6000		-nan	-nan	0.40489	0.79405	0.000150000000000	1.000000000000000	0.033750000000000	0
6500		-nan	-nan	0.40160	0.79428	0.000150000000000	1.000000000000000	0.033750000000000	0
7000		-nan	-nan	0.40600	0.79476	0.000150000000000	1.000000000000000	0.033750000000000	0
7500		-nan	-nan	0.40367	0.79476	0.000150000000000	1.000000000000000	0.033750000000000	0
8000		-nan	-nan	0.40215	0.79490	0.000150000000000	1.000000000000000	0.033750000000000	0
8500		-nan	-nan	0.40414	0.79465	0.000150000000000	1.000000000000000	0.033750000000000	0
9000		-nan	-nan	0.40253	0.79474	0.000150000000000	1.000000000000000	0.033750000000000	0
9500		-nan	-nan	0.40075	0.79472	0.000150000000000	1.000000000000000	0.033750000000000	0
10000		-nan	-nan	0.40024	0.79476	0.000150000000000	1.000000000000000	0.033750000000000	0
10500		-nan	-nan	0.40044	0.79477	0.000150000000000	1.000000000000000	0.033750000000000	0
11000		-nan	-nan	0.40126	0.79488	0.000150000000000	1.000000000000000	0.033750000000000	0
11500		-nan	-nan	0.40070	0.79454	0.000150000000000	1.000000000000000	0.033750000000000	0
12000		-nan	-nan	0.40152	0.79452	0.000150000000000	1.000000000000000	0.033750000000000	0
12500		-nan	-nan	0.40082	0.79428	0.000150000000000	1.000000000000000	0.033750000000000	0
13000		-nan	-nan	0.39843	0.79426	0.000150000000000	1.000000000000000	0.033750000000000	0
13500		-nan	-nan	0.39842	0.79443	0.000150000000000	1.000000000000000	0.033750000000000	0
14000		-nan	-nan	0.40024	0.79443	0.000150000000000	1.000000000000000	0.033750000000000	0
14500		-nan	-nan	0.40054	0.79444	0.000150000000000	1.000000000000000	0.033750000000000	0
15000		-nan	-nan	0.39963	0.79441	0.000150000000000	1.000000000000000	0.033750000000000	0
15500		-nan	-nan	0.40021	0.79426	0.000150000000000	1.000000000000000	0.033750000000000	0
16000		-nan	-nan	0.40007	0.79410	0.000150000000000	1.000000000000000	0.033750000000000	0
16500		-nan	-nan	0.39940	0.79420	0.000150000000000	1.000000000000000	0.033750000000000	0
17000		-nan	-nan	0.40006	0.79434	0.000150000000000	1.000000000000000	0.033750000000000	0
17500		-nan	-nan	0.40106	0.79435	0.000150000000000	1.000000000000000	0.033750000000000	0
18000		-nan	-nan	0.40182	0.79444	0.000150000000000	1.000000000000000	0.033750000000000	0
18500		-nan	-nan	0.40053	0.79440	0.000150000000000	1.000000000000000	0.033750000000000	0
19000		-nan	-nan	0.40023	0.79431	0.000150000000000	1.000000000000000	0.033750000000000	0
19500		-nan	-nan	0.40028	0.79429	0.000150000000000	1.000000000000000	0.033750000000000	0
20000		-nan	-nan	0.40097	0.79436	0.000150000000000	1.000000000000000	0.033750000000000	0
20500		-nan	-nan	0.40084	0.79424	0.000150000000000	1.000000000000000	0.033750000000000	0
21000		-nan	-nan	0.39959	0.79432	0.000150000000000	1.000000000000000	0.033750000000000	0
21500		-nan	-nan	0.39840	0.79438	0.000150000000000	1.000000000000000	0.033750000000000	0
22000		-nan	-nan	0.39849	0.79441	0.000150000000000	1.000000000000000	0.033750000000000	0
22500		-nan	-nan	0.39805	0.79433	0.000150000000000	1.000000000000000	0.033750000000000	0
23000		-nan	-nan	0.39721	0.79438	0.000150000000000	1.000000000000000	0.033750000000000	0
23500		-nan	-nan	0.39823	0.79443	0.000150000000000	1.000000000000000	0.033750000000000	0
24000		-nan	-nan	0.39773	0.79452	0.000150000000000	1.000000000000000	0.033750000000000	0
24500		-nan	-nan	0.39857	0.79454	0.000150000000000	1.000000000000000	0.033750000000000	0
25000		-nan	-nan	0.39949	0.79446	0.000150000000000	1.000000000000000	0.033750000000000	0
25500		-nan	-nan	0.40042	0.79453	0.000150000000000	1.000000000000000	0.033750000000000	0
26000		-nan	-nan	0.40147	0.79456	0.000150000000000	1.000000000000000	0.033750000000000	0
26500		-nan	-nan	0.40108	0.79461	0.000150000000000	1.000000000000000	0.033750000000000	0
27000		-nan	-nan	0.40071	0.79466	0.000150000000000	1.000000000000000	0.033750000000000	0
27500		-nan	-nan	0.39996	0.79458	0.000150000000000	1.000000000000000	0.033750000000000	0
28000		-nan	-nan	0.39966	0.79455	0.000150000000000	1.000000000000000	0.033750000000000	0
28500		-nan	-nan	0.39948	0.79455	0.000150000000000	1.000000000000000	0.033750000000000	0
29000		-nan	-nan	0.40007	0.79461	0.000150000000000	1.000000000000000	0.033750000000000	0
29500		-nan	-nan	0.39968	0.79459	0.000150000000000	1.000000000000000	0.033750000000000	0
30000		-nan	-nan	0.39944	0.79473	0.000150000000000	1.000000000000000	0.033750000000000	0
30500		-nan	-nan	0.40010	0.79477	0.000150000000000	1.000000000000000	0.033750000000000	0
31000		-nan	-nan	0.39990	0.79463	0.000150000000000	1.000000000000000	0.033750000000000	0
31500		-nan	-nan	0.40057	0.79462	0.000150000000000	1.000000000000000	0.033750000000000	0
32000		-nan	-nan	0.40052	0.79465	0.000150000000000	1.000000000000000	0.033750000000000	0
32500		-nan	-nan	0.40110	0.79466	0.000150000000000	1.000000000000000	0.033750000000000	0
33000		-nan	-nan	0.40152	0.79461	0.000150000000000	1.000000000000000	0.033750000000000	0
