step	p_accept_mu1	p_accept_gamma	p_accept_pi	p_accept_Tinf	sigma_mu1	sigma_gamma	sigma_pi	n_like_zero
1		1.00000	1.00000	0.49697	1.00000	0.000100000000000	1.000000000000000	0.010000000000000	0
500		1.00000	1.00000	0.76471	0.78882	0.000100000000000	1.000000000000000	0.010000000000000	0
1000		-nan	-nan	0.73600	0.79222	0.000150000000000	1.000000000000000	0.015000000000000	0
1500		-nan	-nan	0.64200	0.79240	0.000150000000000	1.000000000000000	0.022500000000000	0
2000		-nan	-nan	0.51800	0.79263	0.000150000000000	1.000000000000000	0.033750000000000	0
2500		-nan	-nan	0.43000	0.79422	0.000150000000000	1.000000000000000	0.050625000000000	0
3000		-nan	-nan	0.42000	0.79530	0.000150000000000	1.000000000000000	0.050625000000000	0
3500		-nan	-nan	0.42333	0.79466	0.000150000000000	1.000000000000000	0.050625000000000	0
4000		-nan	-nan	0.42350	0.79501	0.000150000000000	1.000000000000000	0.050625000000000	0
4500		-nan	-nan	0.41800	0.79582	0.000150000000000	1.000000000000000	0.050625000000000	0
5000		-nan	-nan	0.41433	0.79492	0.000150000000000	1.000000000000000	0.050625000000000	0
5500		-nan	-nan	0.41800	0.79485	0.000150000000000	1.000000000000000	0.050625000000000	0
6000		-nan	-nan	0.42275	0.79472	0.000150000000000	1.000000000000000	0.050625000000000	0
6500		-nan	-nan	0.42533	0.79528	0.000150000000000	1.000000000000000	0.050625000000000	0
7000		-nan	-nan	0.43100	0.79531	0.000150000000000	1.000000000000000	0.050625000000000	0
7500		-nan	-nan	0.43127	0.79545	0.000150000000000	1.000000000000000	0.050625000000000	0
8000		-nan	-nan	0.43267	0.79515	0.000150000000000	1.000000000000000	0.050625000000000	0
8500		-nan	-nan	0.43292	0.79515	0.000150000000000	1.000000000000000	0.050625000000000	0
9000		-nan	-nan	0.43400	0.79505	0.000150000000000	1.000000000000000	0.050625000000000	0
9500		-nan	-nan	0.43187	0.79492	0.000150000000000	1.000000000000000	0.050625000000000	0
10000		-nan	-nan	0.42925	0.79516	0.000150000000000	1.000000000000000	0.050625000000000	0
10500		-nan	-nan	0.42894	0.79539	0.000150000000000	1.000000000000000	0.050625000000000	0
11000		-nan	-nan	0.42989	0.79529	0.000150000000000	1.000000000000000	0.050625000000000	0
11500		-nan	-nan	0.42821	0.79545	0.000150000000000	1.000000000000000	0.050625000000000	0
12000		-nan	-nan	0.42920	0.79592	0.000150000000000	1.000000000000000	0.050625000000000	0
12500		-nan	-nan	0.42914	0.79654	0.000150000000000	1.000000000000000	0.050625000000000	0
13000		-nan	-nan	0.42773	0.79685	0.000150000000000	1.000000000000000	0.050625000000000	0
13500		-nan	-nan	0.42600	0.79671	0.000150000000000	1.000000000000000	0.050625000000000	0
14000		-nan	-nan	0.42767	0.79668	0.000150000000000	1.000000000000000	0.050625000000000	0
14500		-nan	-nan	0.42704	0.79651	0.000150000000000	1.000000000000000	0.050625000000000	0
15000		-nan	-nan	0.42700	0.79658	0.000150000000000	1.000000000000000	0.050625000000000	0
