step	post	like	prior	mu1	mu2	gamma	pi	Tinf_1	Tinf_2	Tinf_3	Tinf_4	Tinf_5	Tinf_6	Tinf_7	Tinf_8	Tinf_9	Tinf_10	Tinf_11	Tinf_12	Tinf_13	Tinf_14	Tinf_15	Tinf_16	Tinf_17	Tinf_18	Tinf_19	Tinf_20	Tinf_21	Tinf_22	Tinf_23	Tinf_24	Tinf_25	Tinf_26	Tinf_27	Tinf_28	Tinf_29	Tinf_30	Tinf_31	Tinf_32	Tinf_33	Tinf_34	Tinf_35	Tinf_36	Tinf_37	Tinf_38	Tinf_39	Tinf_40	Tinf_41	Tinf_42	Tinf_43	Tinf_44	Tinf_45	Tinf_46	Tinf_47	Tinf_48	Tinf_49	Tinf_50	Tinf_51	Tinf_52	Tinf_53	Tinf_54	Tinf_55	Tinf_56	Tinf_57	Tinf_58	Tinf_59	Tinf_60	Tinf_61	Tinf_62	Tinf_63	Tinf_64	Tinf_65	Tinf_66	Tinf_67	Tinf_68	Tinf_69	Tinf_70	Tinf_71	Tinf_72	Tinf_73	Tinf_74	Tinf_75	Tinf_76	Tinf_77	Tinf_78	Tinf_79	Tinf_80	Tinf_81	Tinf_82	Tinf_83	Tinf_84	Tinf_85	Tinf_86	Tinf_87	Tinf_88	Tinf_89	Tinf_90	Tinf_91	Tinf_92	Tinf_93	Tinf_94	Tinf_95	Tinf_96	Tinf_97	Tinf_98	Tinf_99	Tinf_100	Tinf_101	Tinf_102	Tinf_103	Tinf_104	Tinf_105	Tinf_106	Tinf_107	Tinf_108	alpha_1	alpha_2	alpha_3	alpha_4	alpha_5	alpha_6	alpha_7	alpha_8	alpha_9	alpha_10	alpha_11	alpha_12	alpha_13	alpha_14	alpha_15	alpha_16	alpha_17	alpha_18	alpha_19	alpha_20	alpha_21	alpha_22	alpha_23	alpha_24	alpha_25	alpha_26	alpha_27	alpha_28	alpha_29	alpha_30	alpha_31	alpha_32	alpha_33	alpha_34	alpha_35	alpha_36	alpha_37	alpha_38	alpha_39	alpha_40	alpha_41	alpha_42	alpha_43	alpha_44	alpha_45	alpha_46	alpha_47	alpha_48	alpha_49	alpha_50	alpha_51	alpha_52	alpha_53	alpha_54	alpha_55	alpha_56	alpha_57	alpha_58	alpha_59	alpha_60	alpha_61	alpha_62	alpha_63	alpha_64	alpha_65	alpha_66	alpha_67	alpha_68	alpha_69	alpha_70	alpha_71	alpha_72	alpha_73	alpha_74	alpha_75	alpha_76	alpha_77	alpha_78	alpha_79	alpha_80	alpha_81	alpha_82	alpha_83	alpha_84	alpha_85	alpha_86	alpha_87	alpha_88	alpha_89	alpha_90	alpha_91	alpha_92	alpha_93	alpha_94	alpha_95	alpha_96	alpha_97	alpha_98	alpha_99	alpha_100	alpha_101	alpha_102	alpha_103	alpha_104	alpha_105	alpha_106	alpha_107	alpha_108	kappa_1	kappa_2	kappa_3	kappa_4	kappa_5	kappa_6	kappa_7	kappa_8	kappa_9	kappa_10	kappa_11	kappa_12	kappa_13	kappa_14	kappa_15	kappa_16	kappa_17	kappa_18	kappa_19	kappa_20	kappa_21	kappa_22	kappa_23	kappa_24	kappa_25	kappa_26	kappa_27	kappa_28	kappa_29	kappa_30	kappa_31	kappa_32	kappa_33	kappa_34	kappa_35	kappa_36	kappa_37	kappa_38	kappa_39	kappa_40	kappa_41	kappa_42	kappa_43	kappa_44	kappa_45	kappa_46	kappa_47	kappa_48	kappa_49	kappa_50	kappa_51	kappa_52	kappa_53	kappa_54	kappa_55	kappa_56	kappa_57	kappa_58	kappa_59	kappa_60	kappa_61	kappa_62	kappa_63	kappa_64	kappa_65	kappa_66	kappa_67	kappa_68	kappa_69	kappa_70	kappa_71	kappa_72	kappa_73	kappa_74	kappa_75	kappa_76	kappa_77	kappa_78	kappa_79	kappa_80	kappa_81	kappa_82	kappa_83	kappa_84	kappa_85	kappa_86	kappa_87	kappa_88	kappa_89	kappa_90	kappa_91	kappa_92	kappa_93	kappa_94	kappa_95	kappa_96	kappa_97	kappa_98	kappa_99	kappa_100	kappa_101	kappa_102	kappa_103	kappa_104	kappa_105	kappa_106	kappa_107	kappa_108
1	-2962.632574142927751	-2969.488062093887038	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.606995032671113	0	2	3	4	4	5	5	5	6	8	7	8	8	8	11	10	11	9	9	10	10	11	10	10	11	10	13	12	11	12	11	11	11	14	11	12	12	12	13	13	12	12	12	12	13	13	13	13	13	13	13	13	14	14	14	15	15	14	14	14	15	15	15	15	15	16	17	16	16	17	16	18	17	17	17	17	21	19	18	18	18	18	19	19	19	19	19	20	21	20	20	21	21	23	25	25	26	27	28	29	30	29	29	30	31	31	32	32	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	3	3	3	4	4	4	5	6	6	6	6	6	8	8	8	7	7	8	8	8	8	8	8	8	10	9	8	9	8	8	8	11	8	9	9	9	10	10	9	9	9	9	10	10	10	10	10	10	10	10	11	11	11	11	11	11	11	11	11	11	11	11	11	12	13	12	12	13	12	13	13	13	13	13	16	14	13	13	13	13	14	14	14	14	14	15	16	15	15	16	16	17	18	18	19	20	21	21	22	21	21	22	23	23	24	24
500	-1130.355703151378293	-1137.211191102337580	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.183247474856425	0	2	1	4	3	5	2	2	4	8	7	8	6	5	11	10	9	8	9	9	7	11	9	10	9	8	13	11	10	12	11	10	11	14	11	11	12	12	11	13	11	12	12	12	13	13	13	13	13	11	12	13	14	14	14	12	15	13	14	14	14	12	14	12	14	15	17	15	16	17	16	18	17	17	17	17	21	19	16	18	18	18	19	19	19	19	19	20	21	19	20	21	21	23	25	25	26	27	28	29	30	29	29	30	31	31	32	30	0	3	1	3	1	4	3	3	8	21	13	7	9	9	21	3	13	14	11	4	7	18	9	12	12	11	15	14	9	29	19	18	25	15	19	16	21	11	32	29	23	25	32	35	32	5	9	18	23	21	33	35	7	62	14	15	38	15	38	5	28	16	2	15	7	59	40	7	16	3	46	2	29	23	65	5	62	29	21	39	57	9	53	23	50	40	16	9	71	9	50	9	80	3	64	90	38	15	53	15	64	76	23	23	76	8	29	65	1	1	1	3	3	1	1	1	2	1	1	4	2	1	3	6	3	2	2	5	4	3	4	1	1	1	1	4	6	2	2	2	2	3	2	1	4	5	1	2	2	2	1	1	2	8	6	4	2	4	1	2	11	2	7	1	3	2	2	6	2	2	11	1	10	1	4	11	5	10	1	14	5	8	3	13	8	8	9	6	3	8	4	9	6	5	6	14	3	15	6	13	3	17	7	5	9	14	13	17	15	9	19	20	13	25	19	12
1000	-938.910809786029290	-945.766297736988690	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.199761392011705	0	2	1	4	4	5	3	4	5	8	6	8	8	7	9	7	11	9	9	10	10	10	9	9	9	10	12	12	10	11	11	11	10	12	11	12	12	11	13	13	11	12	10	9	13	12	13	13	12	13	13	12	14	14	14	14	15	14	14	14	15	12	15	15	13	15	15	16	16	17	16	17	17	14	17	17	21	18	17	18	18	18	19	19	19	19	19	20	18	20	20	21	21	23	25	25	25	27	28	27	28	28	29	30	30	31	32	32	0	3	1	7	3	4	2	2	3	11	8	5	8	8	9	5	33	10	5	13	11	1	11	9	3	18	17	23	15	12	29	23	12	43	44	22	22	13	9	31	15	33	9	16	12	22	7	19	22	9	27	43	5	51	9	30	39	38	12	12	52	22	14	56	15	56	40	9	33	64	21	15	40	34	65	9	62	59	39	65	9	50	55	54	40	67	89	14	57	8	31	70	79	22	88	56	88	72	76	59	88	76	29	58	71	53	59	88	1	1	1	1	3	1	1	1	3	2	2	3	2	2	3	2	1	1	3	2	2	7	1	3	6	1	1	3	1	3	1	2	2	2	2	2	2	2	5	2	2	2	2	2	3	1	7	3	2	4	1	2	6	1	6	3	2	3	5	6	2	2	5	1	4	1	2	10	4	2	6	7	2	1	2	11	5	4	3	5	8	5	2	4	5	2	1	9	2	14	7	4	3	12	4	6	2	8	10	11	8	9	19	13	13	14	17	10
1500	-724.113962404737549	-730.969450355696949	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.344735073008148	0	2	3	4	4	5	5	5	6	8	7	8	7	8	11	10	11	9	7	9	10	10	10	10	11	10	13	12	11	12	9	11	11	14	11	12	12	12	11	13	12	12	11	12	13	13	12	13	12	13	13	13	14	14	14	15	15	14	13	14	15	15	14	15	15	16	17	16	16	17	15	17	15	17	17	17	21	19	18	15	17	18	17	19	18	19	19	19	21	20	20	21	21	22	25	25	26	27	27	28	30	29	29	30	29	31	30	32	0	1	1	2	1	4	5	5	8	9	9	5	9	11	9	11	20	19	3	9	8	12	31	10	24	19	17	32	23	9	3	23	22	16	26	16	18	31	3	16	15	15	22	35	11	20	8	44	22	22	42	43	49	27	48	58	59	15	49	15	45	54	47	49	59	57	73	61	3	64	49	80	50	61	64	56	84	80	72	49	59	73	55	62	50	85	72	64	87	71	73	88	65	76	75	88	95	88	94	64	88	76	39	70	88	94	39	96	1	2	3	2	3	1	1	1	1	2	1	2	1	1	4	2	1	1	2	3	3	2	1	2	1	2	2	1	1	3	4	1	1	4	1	2	2	3	5	2	1	1	1	1	3	3	6	1	2	2	1	2	2	1	1	1	2	2	1	3	1	1	2	2	2	1	2	1	5	2	3	2	2	2	1	2	2	3	1	2	4	2	2	3	3	1	2	2	2	3	5	2	3	5	6	5	1	4	4	9	7	8	16	8	10	8	16	7
2000	-683.276437811791425	-690.131925762750825	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.398287987369938	0	2	3	4	4	5	2	5	6	8	7	7	6	8	10	10	11	9	9	10	10	11	9	10	11	10	13	11	10	12	11	10	10	12	11	11	12	12	10	13	12	12	12	10	13	13	12	13	11	12	13	12	14	13	14	15	14	13	13	14	14	15	15	14	15	16	16	16	16	16	16	17	16	17	17	17	21	19	17	15	18	18	18	19	19	19	19	19	21	19	20	21	20	22	23	25	26	27	28	29	30	29	29	30	31	31	31	32	0	1	1	3	7	4	1	5	8	8	9	8	5	8	7	12	33	11	13	23	9	29	11	12	33	18	17	23	23	23	21	11	14	16	44	39	28	21	3	23	15	12	18	14	32	23	16	35	15	19	33	23	38	42	15	64	49	49	49	15	47	54	55	58	49	57	40	43	54	64	49	71	31	61	70	64	84	80	65	53	80	73	63	62	67	82	53	76	65	65	73	88	78	88	88	88	96	94	94	97	97	95	88	70	71	94	88	96	1	2	3	1	1	1	2	1	1	2	1	2	2	2	6	3	1	2	3	1	2	1	2	3	1	1	2	2	1	2	1	1	1	1	1	1	1	2	4	4	2	3	2	2	3	2	2	2	1	2	3	2	1	1	4	1	2	2	2	4	2	2	1	1	3	2	2	2	3	2	4	1	3	1	1	2	2	3	2	1	2	2	3	3	2	1	3	2	3	3	3	2	1	3	4	4	1	4	4	3	4	3	8	8	8	5	10	6
2500	-692.029153128732105	-698.884641079691505	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.480399296166759	0	2	3	4	4	5	5	5	6	7	6	8	7	8	10	9	8	9	9	10	10	11	8	10	11	9	13	12	11	12	11	11	11	14	11	12	10	12	12	12	11	10	10	12	13	13	13	13	12	13	13	13	14	13	14	15	14	14	14	14	15	15	15	15	15	16	17	16	16	17	16	17	17	17	17	17	18	19	18	18	18	18	18	19	19	19	19	20	21	18	20	21	21	23	22	25	26	24	28	29	30	29	27	27	31	31	32	32	0	1	1	1	2	2	2	3	2	9	8	13	4	4	19	7	7	9	13	26	5	15	7	9	17	11	17	37	15	4	15	4	2	47	2	19	18	25	29	31	21	14	11	23	33	20	33	35	21	40	42	43	49	25	35	57	49	49	49	51	47	16	35	57	39	49	50	52	62	64	58	53	23	68	64	64	62	57	66	53	53	50	35	69	67	82	79	56	53	72	86	64	78	92	88	92	98	92	104	96	97	97	92	76	98	104	96	96	1	1	2	4	2	2	2	2	3	1	1	1	3	3	1	3	3	2	2	1	4	1	2	3	3	1	2	2	1	3	1	4	5	1	7	3	1	1	1	1	1	1	2	2	1	2	2	1	2	1	2	3	1	1	3	1	2	2	1	1	2	3	3	1	3	2	2	2	1	2	2	2	8	1	2	1	3	3	2	3	2	2	3	3	2	1	1	3	2	1	1	3	2	2	2	4	2	2	1	3	3	2	3	6	7	2	3	6
3000	-584.753208135814020	-591.608696086773421	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.546384027455140	0	2	3	3	4	5	5	5	6	8	5	8	7	7	10	8	11	8	9	10	10	9	10	10	11	10	12	12	11	12	10	11	10	14	11	11	11	11	11	12	12	11	11	12	13	13	13	13	12	13	13	13	14	14	14	15	15	14	14	14	15	12	15	15	15	16	17	16	16	17	16	17	17	17	16	17	21	19	18	18	18	18	19	16	19	19	19	20	21	19	20	19	20	23	25	25	26	27	28	29	29	29	29	30	31	31	30	32	0	1	2	1	3	4	3	3	1	8	3	5	7	11	22	11	12	14	18	12	22	14	10	9	24	19	25	19	15	21	12	7	9	43	19	14	19	31	31	31	31	24	19	35	26	20	43	35	39	40	42	43	23	62	35	59	49	39	49	51	47	33	55	59	49	49	40	61	42	64	57	53	50	61	64	64	69	72	72	65	57	50	63	54	82	82	81	64	79	53	73	76	90	56	92	88	96	96	94	98	99	94	99	96	96	104	100	94	1	1	1	3	1	1	2	1	4	2	2	3	1	2	1	1	3	1	1	1	1	1	2	2	1	1	1	2	1	1	2	5	4	2	2	3	2	1	1	2	2	1	1	1	3	2	1	2	1	1	1	1	2	2	2	1	3	2	2	1	2	2	1	1	3	2	4	1	4	2	1	2	4	2	1	2	4	2	1	2	3	2	2	1	1	1	1	2	2	3	2	2	1	7	3	3	1	1	4	1	1	3	1	4	4	1	1	6
3500	-613.598538520833927	-620.454026471793327	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.594018879873041	0	2	3	4	4	5	5	5	6	7	7	7	8	8	9	8	10	8	9	10	8	11	10	9	11	9	13	12	11	10	10	10	11	14	11	11	11	12	12	13	12	12	12	11	13	13	12	13	12	13	13	13	14	14	14	15	15	13	14	13	15	14	15	15	15	14	17	16	16	17	16	15	17	17	17	17	21	18	18	18	18	18	19	19	19	19	19	18	21	20	19	21	21	23	25	25	26	27	28	29	30	29	29	30	31	31	31	30	0	1	2	2	3	4	3	5	5	3	9	9	9	10	8	11	16	10	18	10	8	13	16	12	16	14	33	23	7	10	24	14	17	52	18	14	16	32	21	31	15	25	26	19	13	20	17	35	9	22	42	43	58	25	48	59	58	29	30	42	47	42	55	59	58	58	50	61	25	64	57	53	50	68	64	64	54	72	72	72	72	67	63	62	82	82	81	76	72	81	67	76	90	88	92	70	96	94	97	98	99	96	99	95	94	104	100	96	1	2	1	2	1	1	2	1	1	3	1	1	2	1	3	1	2	1	1	3	2	1	2	2	2	1	1	1	2	1	1	1	1	1	1	2	2	1	2	3	3	1	2	1	4	2	1	2	3	1	1	1	1	2	1	1	2	2	3	1	3	2	1	1	2	1	3	1	4	2	1	1	2	1	2	2	6	2	2	1	2	1	1	4	1	1	1	1	2	2	2	4	1	4	3	4	1	3	2	1	2	4	1	4	5	1	2	4
4000	-564.451610426545358	-571.307098377504758	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.641754794703512	0	2	1	4	4	5	4	5	6	8	7	7	8	8	11	9	9	9	9	10	10	9	9	8	10	10	12	11	10	11	11	10	11	14	11	10	10	12	10	13	12	12	12	12	13	12	13	13	13	11	13	13	14	13	14	15	15	12	14	14	14	15	15	15	14	16	16	16	16	17	15	15	17	17	16	17	21	18	17	17	16	18	17	19	19	19	19	20	21	20	20	21	18	23	25	25	26	27	28	29	30	28	29	30	31	31	32	32	0	3	1	2	3	5	2	7	8	9	9	5	8	12	29	7	12	14	14	17	9	8	7	5	17	19	24	19	16	32	21	11	24	43	36	5	19	21	22	50	23	17	16	35	32	20	43	35	58	21	42	36	39	42	48	65	49	39	58	33	47	54	55	65	58	53	40	61	62	64	58	39	67	68	56	64	69	53	81	65	53	73	63	69	82	82	79	75	81	81	86	76	81	92	88	92	92	96	97	98	99	97	99	96	98	100	105	96	1	1	1	1	1	1	2	1	1	2	1	3	3	1	1	2	2	1	1	1	3	2	4	3	1	1	2	2	1	1	1	2	3	1	1	5	1	2	1	2	1	2	2	1	2	2	1	1	1	1	1	2	2	1	1	1	2	2	2	1	1	2	1	1	2	1	2	2	1	2	2	2	1	1	1	2	4	2	1	1	2	1	2	3	1	1	2	3	2	2	1	2	2	1	2	2	3	2	2	1	2	2	1	3	3	1	1	4
4500	-527.974966571123218	-534.830454522082618	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.549105824544312	0	2	1	4	3	5	5	5	6	8	7	8	7	8	9	10	11	9	6	10	8	11	10	9	11	10	10	12	10	11	11	10	11	14	11	11	11	12	10	12	12	12	11	12	13	13	13	13	13	13	13	13	14	14	14	14	15	12	14	14	14	15	15	15	15	16	16	15	16	17	15	16	17	17	15	17	21	19	18	18	17	18	19	19	18	19	19	20	20	20	20	21	21	23	25	24	25	27	28	26	30	29	29	30	30	31	31	32	0	3	1	1	2	4	3	2	8	8	9	5	4	19	21	11	27	14	8	12	7	15	15	12	27	14	10	19	15	39	12	14	27	43	26	32	26	30	12	23	31	33	32	35	32	20	43	26	58	40	42	43	28	51	48	49	58	22	58	51	47	54	55	56	58	49	50	61	54	64	49	71	67	68	56	64	84	81	72	81	57	73	63	54	73	67	72	56	79	81	86	88	90	92	88	92	94	96	95	96	99	99	99	100	100	105	98	106	1	1	1	1	1	1	2	2	1	2	1	4	2	2	1	3	1	1	1	2	1	2	1	1	1	2	2	5	1	1	1	2	1	2	1	1	1	1	2	1	1	1	1	1	1	2	1	1	1	1	1	2	2	1	1	1	2	1	2	1	1	1	1	1	2	1	2	1	1	2	2	1	1	2	1	2	2	2	2	1	2	1	2	2	1	1	3	3	1	3	1	1	1	2	3	3	2	2	2	2	2	1	1	4	2	1	2	1
