step	post	like	prior	mu1	mu2	gamma	pi	Tinf_1	Tinf_2	Tinf_3	Tinf_4	Tinf_5	Tinf_6	Tinf_7	Tinf_8	Tinf_9	Tinf_10	Tinf_11	Tinf_12	Tinf_13	Tinf_14	Tinf_15	Tinf_16	Tinf_17	Tinf_18	Tinf_19	Tinf_20	Tinf_21	Tinf_22	Tinf_23	Tinf_24	Tinf_25	Tinf_26	Tinf_27	Tinf_28	Tinf_29	Tinf_30	Tinf_31	Tinf_32	Tinf_33	Tinf_34	Tinf_35	Tinf_36	Tinf_37	Tinf_38	Tinf_39	Tinf_40	Tinf_41	Tinf_42	Tinf_43	Tinf_44	Tinf_45	Tinf_46	Tinf_47	Tinf_48	Tinf_49	Tinf_50	Tinf_51	Tinf_52	Tinf_53	Tinf_54	Tinf_55	Tinf_56	Tinf_57	Tinf_58	Tinf_59	Tinf_60	Tinf_61	Tinf_62	Tinf_63	Tinf_64	Tinf_65	Tinf_66	Tinf_67	Tinf_68	Tinf_69	Tinf_70	Tinf_71	Tinf_72	Tinf_73	Tinf_74	Tinf_75	Tinf_76	Tinf_77	Tinf_78	Tinf_79	Tinf_80	Tinf_81	Tinf_82	Tinf_83	Tinf_84	Tinf_85	Tinf_86	Tinf_87	Tinf_88	Tinf_89	Tinf_90	Tinf_91	Tinf_92	Tinf_93	Tinf_94	Tinf_95	Tinf_96	Tinf_97	Tinf_98	Tinf_99	Tinf_100	Tinf_101	Tinf_102	Tinf_103	Tinf_104	Tinf_105	Tinf_106	alpha_1	alpha_2	alpha_3	alpha_4	alpha_5	alpha_6	alpha_7	alpha_8	alpha_9	alpha_10	alpha_11	alpha_12	alpha_13	alpha_14	alpha_15	alpha_16	alpha_17	alpha_18	alpha_19	alpha_20	alpha_21	alpha_22	alpha_23	alpha_24	alpha_25	alpha_26	alpha_27	alpha_28	alpha_29	alpha_30	alpha_31	alpha_32	alpha_33	alpha_34	alpha_35	alpha_36	alpha_37	alpha_38	alpha_39	alpha_40	alpha_41	alpha_42	alpha_43	alpha_44	alpha_45	alpha_46	alpha_47	alpha_48	alpha_49	alpha_50	alpha_51	alpha_52	alpha_53	alpha_54	alpha_55	alpha_56	alpha_57	alpha_58	alpha_59	alpha_60	alpha_61	alpha_62	alpha_63	alpha_64	alpha_65	alpha_66	alpha_67	alpha_68	alpha_69	alpha_70	alpha_71	alpha_72	alpha_73	alpha_74	alpha_75	alpha_76	alpha_77	alpha_78	alpha_79	alpha_80	alpha_81	alpha_82	alpha_83	alpha_84	alpha_85	alpha_86	alpha_87	alpha_88	alpha_89	alpha_90	alpha_91	alpha_92	alpha_93	alpha_94	alpha_95	alpha_96	alpha_97	alpha_98	alpha_99	alpha_100	alpha_101	alpha_102	alpha_103	alpha_104	alpha_105	alpha_106	kappa_1	kappa_2	kappa_3	kappa_4	kappa_5	kappa_6	kappa_7	kappa_8	kappa_9	kappa_10	kappa_11	kappa_12	kappa_13	kappa_14	kappa_15	kappa_16	kappa_17	kappa_18	kappa_19	kappa_20	kappa_21	kappa_22	kappa_23	kappa_24	kappa_25	kappa_26	kappa_27	kappa_28	kappa_29	kappa_30	kappa_31	kappa_32	kappa_33	kappa_34	kappa_35	kappa_36	kappa_37	kappa_38	kappa_39	kappa_40	kappa_41	kappa_42	kappa_43	kappa_44	kappa_45	kappa_46	kappa_47	kappa_48	kappa_49	kappa_50	kappa_51	kappa_52	kappa_53	kappa_54	kappa_55	kappa_56	kappa_57	kappa_58	kappa_59	kappa_60	kappa_61	kappa_62	kappa_63	kappa_64	kappa_65	kappa_66	kappa_67	kappa_68	kappa_69	kappa_70	kappa_71	kappa_72	kappa_73	kappa_74	kappa_75	kappa_76	kappa_77	kappa_78	kappa_79	kappa_80	kappa_81	kappa_82	kappa_83	kappa_84	kappa_85	kappa_86	kappa_87	kappa_88	kappa_89	kappa_90	kappa_91	kappa_92	kappa_93	kappa_94	kappa_95	kappa_96	kappa_97	kappa_98	kappa_99	kappa_100	kappa_101	kappa_102	kappa_103	kappa_104	kappa_105	kappa_106
1	-1796.645679296787193	-1803.501167247746480	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.003381025957255	0	1	1	2	1	2	3	2	4	2	3	3	3	3	4	3	5	3	3	6	4	4	4	4	4	4	4	4	6	5	4	5	5	5	6	6	5	5	7	5	5	5	5	5	5	5	5	5	6	6	6	6	6	6	7	6	9	6	6	6	6	7	7	6	8	7	8	7	7	9	8	7	8	7	8	7	8	8	8	8	8	8	8	8	9	10	10	9	9	9	9	10	9	11	11	11	11	10	10	12	10	13	11	11	12	14	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	2	3	2	3	2	3	3	3	3	3	3	4	3	3	5	3	3	3	3	3	3	3	3	5	4	3	4	4	4	5	5	4	4	6	4	4	4	4	4	4	4	4	4	5	5	5	5	5	5	6	5	7	5	5	5	5	6	6	5	6	6	6	6	6	7	6	6	6	6	6	6	6	6	6	6	6	6	6	6	7	8	8	7	7	7	7	8	7	8	8	8	8	8	8	9	8	10	8	8	9	11
500	-947.927479708103078	-954.782967659062479	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.011185270571903	0	1	1	1	1	2	3	2	4	2	1	2	3	2	4	3	5	3	3	6	3	4	4	4	4	4	4	4	6	5	4	5	5	3	5	5	5	5	7	5	3	5	4	5	5	5	5	5	6	6	4	6	6	5	7	6	9	6	6	6	5	7	7	6	7	4	6	7	7	8	8	6	8	7	8	6	8	8	7	7	8	8	8	8	6	10	10	9	9	9	9	10	9	10	11	11	11	10	10	12	10	12	11	11	12	14	0	1	1	1	1	2	5	1	3	4	1	5	1	5	11	3	34	3	10	2	11	14	7	14	1	14	41	16	45	34	18	19	4	3	21	14	24	27	22	24	14	15	18	18	3	7	66	31	31	32	8	51	17	4	20	21	35	14	24	43	9	76	44	46	17	34	13	20	19	7	72	13	58	60	61	61	17	13	28	30	56	21	9	76	0	53	16	5	79	17	78	76	0	20	99	41	9	68	77	77	52	17	80	88	34	102	1	1	1	1	1	1	2	2	2	1	1	1	3	1	3	2	2	2	1	4	2	2	1	1	3	2	1	1	1	2	1	2	3	2	2	3	1	1	2	1	1	1	1	2	3	2	1	1	2	1	2	2	1	4	1	2	3	3	1	1	1	1	2	1	2	1	3	1	3	3	2	3	2	1	1	1	3	5	2	2	2	4	4	2	1	3	4	6	1	2	1	3	1	3	1	6	6	3	2	4	3	7	4	2	8	2
1000	-654.891079576088259	-661.746567527047659	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.096148279826720	0	1	1	1	1	2	3	2	3	2	3	2	3	1	4	3	5	3	3	6	4	4	4	3	4	4	4	4	6	5	4	5	4	4	6	6	5	4	7	5	3	5	5	5	5	4	4	5	5	6	6	6	6	4	7	6	9	6	6	5	5	6	7	6	8	7	8	7	7	9	8	7	8	7	7	6	8	8	8	8	8	8	8	8	9	10	9	9	9	9	9	10	9	11	11	11	11	10	10	12	10	13	11	10	12	14	0	1	1	1	1	5	2	1	3	4	1	14	1	1	7	3	18	3	10	33	1	24	4	14	41	11	14	16	45	13	16	54	4	16	21	24	13	14	41	24	14	13	28	16	9	9	9	31	16	54	15	26	9	19	5	21	72	14	21	13	9	42	44	46	30	34	7	53	32	56	56	35	58	9	61	43	47	41	17	68	56	35	74	76	0	68	55	27	79	34	72	61	0	69	87	52	76	68	87	77	7	90	68	87	90	105	1	1	1	1	1	1	2	1	2	1	3	1	3	1	1	2	2	2	1	2	4	1	3	2	1	1	2	1	1	2	1	1	2	1	2	2	1	1	3	2	2	2	1	2	1	1	1	1	2	2	2	2	2	1	4	1	1	4	2	1	2	1	2	2	3	2	2	1	2	3	2	1	2	3	1	1	3	5	3	1	2	2	1	2	1	3	1	5	1	3	1	3	1	4	2	2	5	3	1	4	6	3	3	1	2	2
1500	-510.110761363435358	-516.966249314394759	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.692710605010391	0	1	1	1	1	2	3	2	2	2	3	3	3	1	4	3	4	3	3	6	4	3	3	3	4	4	4	4	6	5	4	5	4	5	5	5	5	5	6	5	2	4	4	5	4	5	5	5	6	6	3	5	6	4	7	6	8	6	6	5	6	7	7	6	8	7	5	6	7	8	8	7	7	7	8	5	8	8	8	8	8	6	8	7	9	10	10	7	9	9	9	7	9	11	11	11	11	10	10	12	10	11	11	11	12	14	0	1	1	1	1	2	1	2	3	4	8	8	6	1	8	9	16	9	10	19	2	41	14	41	41	14	51	16	17	17	16	54	1	43	21	22	22	24	27	24	14	16	9	45	16	17	9	31	48	32	14	23	46	19	7	35	35	37	40	43	76	43	44	30	66	16	22	67	32	56	56	35	58	60	84	43	66	20	66	68	56	35	74	76	0	68	77	7	79	79	72	76	0	54	77	88	84	68	77	99	88	79	86	77	79	105	1	1	1	1	1	1	2	1	1	1	1	1	1	1	2	1	1	1	1	2	2	1	2	1	2	2	1	1	2	1	1	1	3	1	1	1	2	2	2	2	1	1	2	1	1	1	1	1	1	1	2	2	1	1	3	1	1	1	1	1	1	2	2	1	1	3	1	1	2	2	2	2	1	2	1	1	1	1	1	2	2	1	1	2	1	2	2	2	1	1	2	2	1	5	3	2	4	3	1	2	2	3	1	2	3	1
2000	-456.415150778800978	-463.270638729760378	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.716503030160903	0	1	1	1	1	2	3	2	2	2	2	3	2	2	4	3	5	3	3	6	4	3	4	4	3	4	4	3	6	5	3	5	5	5	5	6	4	5	7	4	5	5	4	5	4	4	5	5	5	6	6	5	6	4	7	6	8	6	6	6	6	7	7	6	8	7	8	7	6	9	8	7	8	7	8	5	8	8	8	8	8	6	8	8	9	8	10	9	9	9	9	7	9	10	11	10	9	10	10	11	10	12	11	11	11	13	0	1	1	1	1	5	2	1	3	4	5	2	5	5	8	9	16	9	10	2	7	14	22	22	14	22	14	9	17	9	9	54	4	16	11	41	7	22	24	25	24	28	28	45	9	16	46	31	31	54	41	24	17	19	33	35	35	27	40	43	76	42	44	46	17	49	39	53	32	56	56	82	58	60	61	43	17	52	20	68	56	35	74	61	0	68	77	51	79	79	71	61	0	69	77	88	92	86	77	99	88	90	86	77	79	102	1	1	1	1	1	1	2	2	1	1	1	2	1	1	2	1	2	1	1	4	1	1	1	1	1	1	2	1	1	1	1	1	2	1	2	1	1	1	1	1	1	2	1	1	2	1	1	2	2	2	1	1	1	1	2	1	2	2	1	1	1	2	2	1	1	2	1	1	1	2	2	1	2	1	1	1	2	2	2	1	2	1	1	2	1	1	2	2	1	1	1	1	1	3	3	1	2	2	2	1	1	2	2	2	2	1
2500	-494.873831846379176	-501.729319797338576	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.738863130905974	0	1	1	1	1	2	2	2	2	2	3	3	3	2	4	3	5	3	3	5	4	3	4	4	3	4	3	3	6	5	4	5	5	5	5	6	5	5	7	5	5	4	4	5	4	4	5	5	6	5	5	6	6	4	7	6	9	5	4	6	6	7	7	6	7	7	7	6	7	9	8	7	8	7	8	5	8	8	8	8	7	6	8	8	7	8	9	9	9	9	9	10	9	8	10	11	11	10	10	12	10	13	11	10	12	14	0	1	1	1	1	5	2	1	3	4	2	7	2	1	8	9	16	9	10	19	11	14	22	14	14	14	14	9	45	46	9	54	4	26	21	23	23	7	27	59	14	28	28	45	9	16	16	31	31	54	22	33	30	19	51	21	82	23	13	17	76	60	44	46	49	34	23	17	20	71	81	82	15	60	61	43	47	52	49	68	82	35	60	61	0	68	77	78	49	34	72	61	0	32	87	101	76	86	87	87	37	105	86	77	89	102	1	1	1	1	1	1	1	1	1	1	1	1	2	1	2	1	2	1	1	2	1	1	1	2	1	2	1	1	2	1	2	1	3	1	1	2	1	2	4	1	1	1	1	1	2	1	1	1	2	1	2	1	1	1	1	2	2	1	1	1	1	1	2	1	1	1	3	1	1	1	1	1	2	1	1	1	2	1	2	1	1	1	2	1	1	1	1	1	3	2	2	2	1	2	1	1	2	2	1	2	3	1	2	2	3	1
3000	-457.136066330880340	-463.991554281839740	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.624330919252448	0	1	1	1	1	1	2	2	2	2	3	1	3	2	4	3	5	3	3	6	4	4	4	3	4	4	4	3	6	5	4	5	5	5	5	6	5	4	7	5	3	5	4	5	4	4	5	4	6	6	4	6	6	4	7	6	9	6	6	6	6	6	7	6	8	7	5	7	7	9	8	7	8	7	7	5	8	7	8	8	8	6	8	8	9	10	9	9	8	9	8	10	9	10	11	10	11	9	10	12	8	13	11	11	12	14	0	1	1	1	1	1	1	5	3	4	2	1	2	5	8	9	16	9	10	10	11	14	14	14	41	14	14	9	45	16	9	54	7	46	21	22	24	41	22	22	14	28	28	45	16	9	46	9	17	54	24	26	30	19	33	35	72	37	27	43	76	43	44	30	30	48	51	30	32	56	56	82	58	60	61	43	47	52	15	66	56	35	74	61	0	53	77	39	66	89	72	61	0	50	77	78	84	80	87	87	78	105	98	77	79	105	1	1	1	1	1	1	2	1	1	1	2	1	2	1	2	1	2	1	1	2	1	2	1	1	1	2	2	1	2	2	2	1	1	1	1	1	2	1	2	1	1	2	1	1	1	2	1	2	1	2	1	2	1	1	2	1	2	1	1	2	1	2	2	1	2	3	1	1	2	3	2	1	2	1	1	1	2	1	3	1	2	1	1	2	1	2	1	2	1	1	1	2	1	3	3	2	2	1	1	2	1	1	2	3	2	2
3500	-468.735936441736328	-475.591424392695728	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.658393728693998	0	1	1	1	1	2	3	2	2	2	3	3	2	2	3	3	5	3	3	6	4	4	4	4	4	4	4	3	6	4	3	5	4	5	6	6	5	5	6	5	5	5	4	5	4	4	5	5	5	6	6	6	6	3	6	6	9	6	6	6	6	7	7	6	6	6	8	7	7	8	8	7	8	7	8	5	8	8	8	8	8	5	8	8	9	10	9	9	9	9	9	10	9	11	11	10	10	10	10	12	10	13	11	10	11	13	0	1	1	1	1	2	13	5	3	4	13	13	2	5	8	9	16	9	10	26	11	14	14	14	14	14	5	9	44	9	9	54	4	9	82	41	22	24	41	24	14	46	28	45	16	9	46	31	31	54	27	26	17	10	33	82	35	37	25	43	76	60	44	30	46	25	22	53	50	56	56	82	58	60	60	43	30	24	66	53	56	24	74	61	0	53	77	52	79	79	35	61	0	69	87	88	76	53	77	87	78	105	98	87	89	105	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	2	2	2	2	2	2	1	1	2	1	2	1	2	1	1	1	1	1	1	2	1	1	1	1	2	1	2	2	2	1	2	1	1	2	1	3	1	1	2	1	1	2	2	2	2	2	1	1	2	2	2	2	1	1	1	2	2	2	2	2	1	1	2	1	2	1	2	1	1	3	2	1	3	2	1	4	3	1	1	2	2	1	1	1	2
4000	-490.498392797328052	-497.353880748287452	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.657947068561910	0	1	1	1	1	2	3	2	2	2	3	3	1	2	4	3	5	3	3	5	3	4	4	4	4	4	3	4	6	5	4	5	5	5	6	6	5	5	7	4	5	5	4	5	4	5	5	5	6	6	6	6	6	4	7	6	8	5	5	6	6	7	7	6	8	7	8	7	7	9	8	7	6	7	8	5	7	7	7	8	8	5	8	8	9	8	9	8	9	7	9	9	7	11	11	11	10	10	10	11	10	13	9	10	11	14	0	1	1	1	1	13	10	2	3	4	13	13	1	5	8	9	16	9	10	10	5	27	11	27	14	11	14	9	44	16	9	54	11	9	82	11	26	25	41	14	21	28	9	45	9	9	11	31	48	54	24	41	17	19	33	21	82	25	40	76	76	28	44	47	46	46	51	53	32	56	56	82	58	43	61	43	46	52	46	68	56	21	74	61	0	68	77	78	79	31	57	61	0	54	77	26	84	68	87	87	88	105	86	87	89	105	1	1	1	1	1	1	1	1	1	1	2	2	1	1	2	1	2	1	1	2	2	1	1	1	2	1	1	2	1	2	2	1	2	2	1	2	1	1	2	1	2	1	2	1	2	3	1	1	1	1	2	1	1	1	2	3	2	1	1	1	1	2	2	1	2	2	2	1	1	3	2	2	1	1	2	1	2	1	1	1	2	2	1	2	1	1	2	1	1	2	1	2	1	4	3	4	2	3	1	2	2	2	1	1	2	2
4500	-466.662347269428324	-473.517835220387724	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.673237761656143	0	1	1	1	1	2	3	2	2	2	3	2	2	2	4	3	5	3	3	6	4	3	3	4	4	4	3	3	5	5	4	5	4	5	6	4	5	5	5	5	5	5	4	5	3	4	5	5	6	6	6	6	6	4	7	6	8	6	6	5	6	7	7	5	6	7	7	7	7	9	8	7	8	7	8	5	8	7	8	8	8	5	8	7	7	9	9	9	9	9	9	9	9	9	11	10	11	10	10	11	10	13	9	11	11	14	0	1	1	1	1	5	13	2	3	4	13	2	2	2	8	9	16	9	10	10	11	14	14	14	27	14	14	9	45	15	16	54	4	16	82	14	36	36	14	24	14	43	28	45	9	16	9	31	48	32	14	24	30	19	52	82	72	39	40	43	76	76	29	46	46	17	51	53	54	56	56	82	41	60	84	43	47	15	34	53	56	24	74	61	0	80	77	22	79	79	72	76	0	69	77	78	61	86	87	87	51	105	68	77	90	102	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	2	1	1	2	1	1	1	2	1	2	1	1	2	1	1	1	2	2	1	1	1	1	2	1	2	1	1	2	1	1	1	1	1	1	3	2	1	1	1	1	1	1	1	1	1	1	1	1	2	2	1	1	2	2	2	2	2	2	1	1	3	2	2	1	2	1	1	1	1	1	1	3	1	1	2	2	1	2	2	2	2	1	1	2	3	2	2	1	2	1
