step	p_accept_mu1	p_accept_gamma	p_accept_pi	p_accept_Tinf	sigma_mu1	sigma_gamma	sigma_pi	n_like_zero
1		1.00000	1.00000	1.00000	1.00000	0.000100000000000	1.000000000000000	0.010000000000000	0
500		1.00000	1.00000	1.00000	0.16283	0.000100000000000	1.000000000000000	0.010000000000000	0
1000		-nan	-nan	0.95600	0.17210	0.000150000000000	1.000000000000000	0.015000000000000	0
1500		-nan	-nan	0.91200	0.17242	0.000150000000000	1.000000000000000	0.022500000000000	0
2000		-nan	-nan	0.86800	0.16401	0.000150000000000	1.000000000000000	0.033750000000000	0
2500		-nan	-nan	0.80200	0.15944	0.000150000000000	1.000000000000000	0.050625000000000	0
3000		-nan	-nan	0.69400	0.15477	0.000150000000000	1.000000000000000	0.075937500000000	0
3500		-nan	-nan	0.49800	0.15072	0.000150000000000	1.000000000000000	0.113906250000000	0
4000		-nan	-nan	0.51000	0.14635	0.000150000000000	1.000000000000000	0.113906250000000	0
4500		-nan	-nan	0.50400	0.14456	0.000150000000000	1.000000000000000	0.113906250000000	0
5000		-nan	-nan	0.49850	0.14214	0.000150000000000	1.000000000000000	0.113906250000000	0
5500		-nan	-nan	0.51040	0.14092	0.000150000000000	1.000000000000000	0.113906250000000	0
6000		-nan	-nan	0.50100	0.13925	0.000150000000000	1.000000000000000	0.113906250000000	0
6500		-nan	-nan	0.50743	0.13755	0.000150000000000	1.000000000000000	0.113906250000000	0
7000		-nan	-nan	0.50950	0.13565	0.000150000000000	1.000000000000000	0.113906250000000	0
7500		-nan	-nan	0.50867	0.13473	0.000150000000000	1.000000000000000	0.113906250000000	0
8000		-nan	-nan	0.50920	0.13339	0.000150000000000	1.000000000000000	0.113906250000000	0
8500		-nan	-nan	0.50927	0.13287	0.000150000000000	1.000000000000000	0.113906250000000	0
9000		-nan	-nan	0.51233	0.13202	0.000150000000000	1.000000000000000	0.113906250000000	0
9500		-nan	-nan	0.50831	0.13138	0.000150000000000	1.000000000000000	0.113906250000000	0
10000		-nan	-nan	0.51057	0.13122	0.000150000000000	1.000000000000000	0.113906250000000	0
10500		-nan	-nan	0.50600	0.13068	0.000150000000000	1.000000000000000	0.113906250000000	0
11000		-nan	-nan	0.50438	0.13014	0.000150000000000	1.000000000000000	0.113906250000000	0
11500		-nan	-nan	0.50259	0.12921	0.000150000000000	1.000000000000000	0.113906250000000	0
12000		-nan	-nan	0.50211	0.12840	0.000150000000000	1.000000000000000	0.113906250000000	0
12500		-nan	-nan	0.50168	0.12770	0.000150000000000	1.000000000000000	0.113906250000000	0
13000		-nan	-nan	0.50220	0.12728	0.000150000000000	1.000000000000000	0.113906250000000	0
13500		-nan	-nan	0.50248	0.12691	0.000150000000000	1.000000000000000	0.113906250000000	0
14000		-nan	-nan	0.50318	0.12735	0.000150000000000	1.000000000000000	0.113906250000000	0
14500		-nan	-nan	0.50322	0.12681	0.000150000000000	1.000000000000000	0.113906250000000	0
15000		-nan	-nan	0.50092	0.12656	0.000150000000000	1.000000000000000	0.113906250000000	0
15500		-nan	-nan	0.50024	0.12620	0.000150000000000	1.000000000000000	0.113906250000000	0
16000		-nan	-nan	0.49823	0.12577	0.000150000000000	1.000000000000000	0.113906250000000	0
16500		-nan	-nan	0.49770	0.12550	0.000150000000000	1.000000000000000	0.113906250000000	0
17000		-nan	-nan	0.49957	0.12504	0.000150000000000	1.000000000000000	0.113906250000000	0
17500		-nan	-nan	0.50028	0.12451	0.000150000000000	1.000000000000000	0.113906250000000	0
18000		-nan	-nan	0.49993	0.12451	0.000150000000000	1.000000000000000	0.113906250000000	0
18500		-nan	-nan	0.50026	0.12434	0.000150000000000	1.000000000000000	0.113906250000000	0
19000		-nan	-nan	0.49888	0.12430	0.000150000000000	1.000000000000000	0.113906250000000	0
