step	post	like	prior	mu1	mu2	gamma	pi	Tinf_1	Tinf_2	Tinf_3	Tinf_4	Tinf_5	Tinf_6	Tinf_7	Tinf_8	Tinf_9	Tinf_10	Tinf_11	Tinf_12	Tinf_13	Tinf_14	Tinf_15	Tinf_16	Tinf_17	Tinf_18	Tinf_19	Tinf_20	Tinf_21	Tinf_22	Tinf_23	Tinf_24	Tinf_25	Tinf_26	Tinf_27	Tinf_28	Tinf_29	Tinf_30	Tinf_31	Tinf_32	Tinf_33	Tinf_34	Tinf_35	Tinf_36	Tinf_37	Tinf_38	Tinf_39	Tinf_40	Tinf_41	Tinf_42	Tinf_43	Tinf_44	Tinf_45	Tinf_46	Tinf_47	Tinf_48	Tinf_49	Tinf_50	Tinf_51	Tinf_52	Tinf_53	Tinf_54	Tinf_55	Tinf_56	Tinf_57	Tinf_58	Tinf_59	Tinf_60	Tinf_61	Tinf_62	Tinf_63	Tinf_64	Tinf_65	Tinf_66	Tinf_67	Tinf_68	Tinf_69	Tinf_70	Tinf_71	Tinf_72	Tinf_73	Tinf_74	Tinf_75	Tinf_76	Tinf_77	Tinf_78	Tinf_79	Tinf_80	Tinf_81	Tinf_82	Tinf_83	Tinf_84	Tinf_85	Tinf_86	Tinf_87	Tinf_88	Tinf_89	Tinf_90	Tinf_91	Tinf_92	Tinf_93	Tinf_94	Tinf_95	Tinf_96	Tinf_97	Tinf_98	Tinf_99	Tinf_100	Tinf_101	Tinf_102	Tinf_103	Tinf_104	Tinf_105	Tinf_106	alpha_1	alpha_2	alpha_3	alpha_4	alpha_5	alpha_6	alpha_7	alpha_8	alpha_9	alpha_10	alpha_11	alpha_12	alpha_13	alpha_14	alpha_15	alpha_16	alpha_17	alpha_18	alpha_19	alpha_20	alpha_21	alpha_22	alpha_23	alpha_24	alpha_25	alpha_26	alpha_27	alpha_28	alpha_29	alpha_30	alpha_31	alpha_32	alpha_33	alpha_34	alpha_35	alpha_36	alpha_37	alpha_38	alpha_39	alpha_40	alpha_41	alpha_42	alpha_43	alpha_44	alpha_45	alpha_46	alpha_47	alpha_48	alpha_49	alpha_50	alpha_51	alpha_52	alpha_53	alpha_54	alpha_55	alpha_56	alpha_57	alpha_58	alpha_59	alpha_60	alpha_61	alpha_62	alpha_63	alpha_64	alpha_65	alpha_66	alpha_67	alpha_68	alpha_69	alpha_70	alpha_71	alpha_72	alpha_73	alpha_74	alpha_75	alpha_76	alpha_77	alpha_78	alpha_79	alpha_80	alpha_81	alpha_82	alpha_83	alpha_84	alpha_85	alpha_86	alpha_87	alpha_88	alpha_89	alpha_90	alpha_91	alpha_92	alpha_93	alpha_94	alpha_95	alpha_96	alpha_97	alpha_98	alpha_99	alpha_100	alpha_101	alpha_102	alpha_103	alpha_104	alpha_105	alpha_106	kappa_1	kappa_2	kappa_3	kappa_4	kappa_5	kappa_6	kappa_7	kappa_8	kappa_9	kappa_10	kappa_11	kappa_12	kappa_13	kappa_14	kappa_15	kappa_16	kappa_17	kappa_18	kappa_19	kappa_20	kappa_21	kappa_22	kappa_23	kappa_24	kappa_25	kappa_26	kappa_27	kappa_28	kappa_29	kappa_30	kappa_31	kappa_32	kappa_33	kappa_34	kappa_35	kappa_36	kappa_37	kappa_38	kappa_39	kappa_40	kappa_41	kappa_42	kappa_43	kappa_44	kappa_45	kappa_46	kappa_47	kappa_48	kappa_49	kappa_50	kappa_51	kappa_52	kappa_53	kappa_54	kappa_55	kappa_56	kappa_57	kappa_58	kappa_59	kappa_60	kappa_61	kappa_62	kappa_63	kappa_64	kappa_65	kappa_66	kappa_67	kappa_68	kappa_69	kappa_70	kappa_71	kappa_72	kappa_73	kappa_74	kappa_75	kappa_76	kappa_77	kappa_78	kappa_79	kappa_80	kappa_81	kappa_82	kappa_83	kappa_84	kappa_85	kappa_86	kappa_87	kappa_88	kappa_89	kappa_90	kappa_91	kappa_92	kappa_93	kappa_94	kappa_95	kappa_96	kappa_97	kappa_98	kappa_99	kappa_100	kappa_101	kappa_102	kappa_103	kappa_104	kappa_105	kappa_106
1	-3241.710080666047361	-3248.565568617006647	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.743315005268168	2	0	15	5	5	12	15	18	15	21	23	19	22	22	32	25	33	27	26	28	34	29	33	31	34	35	36	35	40	34	33	35	35	33	38	41	38	43	48	42	49	50	49	51	46	53	48	56	53	58	58	53	53	60	58	61	63	61	58	62	61	60	58	64	68	61	59	62	64	69	62	72	64	64	65	64	63	66	65	65	65	70	66	65	69	71	76	71	69	73	73	74	73	82	81	83	80	83	87	85	90	91	96	99	96	96	2	0	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1	1	3	1	1	2	3	3	3	4	4	3	4	4	6	4	6	5	5	5	6	5	6	5	6	6	6	6	7	6	6	6	6	6	7	7	7	7	8	7	8	9	8	9	8	9	8	10	9	10	10	9	9	10	10	10	11	10	10	11	10	10	10	11	12	10	10	11	11	12	11	12	11	11	11	11	11	11	11	11	11	12	11	11	12	12	13	12	12	12	12	13	12	14	14	14	14	14	15	14	15	15	16	17	16	16
500	-1079.719932331229757	-1086.575420282189043	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.338233584955881	2	-5	17	5	7	10	7	17	15	16	23	17	21	24	33	23	33	28	29	23	29	22	35	30	31	37	32	32	35	32	33	33	37	30	31	40	38	42	44	38	49	49	44	52	44	53	45	54	54	46	55	50	53	57	53	61	59	62	57	59	60	60	54	60	66	61	46	65	62	69	60	69	66	65	66	62	56	66	66	59	67	69	66	66	69	71	77	71	67	64	71	71	72	82	82	81	82	85	86	72	89	90	96	100	96	88	2	0	6	2	4	1	4	7	4	6	6	7	6	7	20	10	11	10	20	10	12	4	27	14	20	14	12	7	20	22	35	24	21	7	20	30	32	28	31	25	24	39	25	37	7	29	37	41	67	23	42	37	45	49	31	48	55	49	51	34	24	52	26	15	37	0	43	59	63	41	49	46	77	40	27	59	43	67	47	46	25	36	49	60	45	36	43	80	21	77	67	45	83	90	46	34	45	67	34	0	81	39	88	100	74	0	2	1	1	2	1	2	1	1	1	1	2	2	2	3	2	1	2	1	2	1	2	2	1	2	2	3	1	3	2	2	1	1	2	3	2	1	1	1	3	1	2	1	3	2	5	3	2	1	2	3	1	1	1	1	6	2	1	2	1	4	5	2	2	4	6	1	1	2	2	3	1	4	2	6	6	1	2	5	5	2	9	5	2	1	5	4	8	2	6	1	5	6	1	2	6	8	6	8	11	1	4	10	2	7	8	1
1000	-1011.616686608099144	-1018.472174559058544	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.415729884800463	-4	-7	14	7	4	13	11	18	9	20	20	13	23	22	33	21	31	24	24	25	35	27	33	31	35	35	34	32	39	36	31	35	35	30	39	35	36	41	41	38	47	49	43	48	44	47	49	44	53	59	56	45	52	61	57	54	64	62	59	62	62	58	56	58	66	60	59	64	59	68	60	72	60	63	59	54	61	57	60	62	66	67	65	66	69	59	73	66	57	68	73	72	74	82	76	84	80	81	88	69	89	93	95	98	95	96	2	0	4	2	2	7	4	6	4	4	12	7	8	11	14	12	11	10	10	14	14	4	8	14	10	7	16	14	20	22	10	31	8	14	20	17	20	28	31	15	48	25	40	33	11	33	37	15	43	32	42	37	21	49	42	48	59	54	42	46	76	44	53	36	47	0	49	51	36	48	67	88	49	43	46	42	43	43	44	23	51	64	78	60	45	33	16	75	23	73	83	86	74	74	84	84	89	93	23	0	100	49	96	100	87	0	1	1	1	2	2	1	1	1	1	2	1	1	1	1	2	2	3	1	1	1	2	3	4	2	2	3	2	2	2	2	2	1	4	1	1	1	2	3	2	2	1	2	1	2	3	3	3	1	2	6	1	2	3	2	2	2	1	1	1	3	1	2	1	4	4	1	2	1	4	3	1	2	2	2	2	2	4	4	2	4	2	3	2	1	8	4	9	1	5	2	2	1	4	3	2	5	3	1	9	1	4	9	2	6	4	1
1500	-905.851382629883119	-912.706870580842519	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.488052948641482	2	-1	13	4	2	10	14	20	17	20	22	13	23	22	28	21	33	24	25	29	37	29	33	31	30	32	35	32	35	34	31	28	35	30	33	34	35	42	44	43	49	49	43	48	46	51	46	52	53	59	51	51	47	55	54	60	62	54	56	53	60	56	59	63	69	60	59	60	58	71	61	67	60	62	68	63	59	59	65	67	64	71	57	67	66	70	77	68	56	67	73	72	72	77	80	84	81	81	86	80	84	88	94	99	96	96	2	0	4	1	2	4	4	4	7	6	4	6	8	8	10	12	22	8	14	16	28	11	11	18	10	16	23	16	35	17	10	7	16	8	15	12	32	28	25	31	35	31	31	37	28	34	32	41	43	46	31	47	7	43	51	41	42	43	51	34	59	52	33	28	62	0	43	42	45	48	83	60	54	58	50	42	49	54	62	50	59	69	43	50	63	33	83	50	28	73	49	85	49	91	84	88	82	87	88	0	100	93	99	100	102	0	1	1	1	1	1	1	2	2	1	2	3	1	1	1	2	2	1	1	1	1	1	2	1	1	2	2	1	2	1	1	4	2	3	1	1	3	1	3	2	2	2	4	2	2	3	5	3	1	2	2	4	2	4	2	1	3	4	2	1	2	1	2	3	6	3	1	3	2	2	3	1	2	1	2	1	2	1	1	1	2	1	3	3	1	1	5	4	3	4	2	4	1	2	1	2	2	2	1	3	1	1	3	2	3	2	1
2000	-872.152315370021938	-879.007803320981338	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.626997239167363	3	-4	16	7	1	12	10	17	14	21	24	19	20	19	23	23	32	26	27	26	31	27	30	29	30	35	37	31	40	36	34	35	33	34	30	42	38	39	46	43	47	49	47	52	38	48	47	55	51	53	53	51	49	61	52	57	60	59	57	56	55	61	59	62	66	60	57	61	61	70	63	70	58	64	64	64	59	67	64	60	65	69	63	57	69	73	73	61	63	74	61	75	73	78	77	79	80	80	80	85	87	86	94	98	93	95	2	0	1	2	2	4	5	6	7	6	14	7	6	6	8	6	22	10	14	12	20	12	18	18	20	21	23	12	20	14	19	15	13	23	15	11	14	33	31	31	15	43	40	37	21	34	32	41	43	46	42	47	21	43	42	41	51	49	51	50	42	52	36	53	44	0	40	59	36	56	58	60	49	58	60	61	67	67	52	50	68	69	43	46	21	64	71	60	26	73	67	82	78	67	88	75	64	93	95	0	100	98	95	100	102	0	1	1	2	1	1	1	1	2	1	1	1	2	2	2	1	2	1	2	2	2	1	1	1	1	1	1	2	2	2	2	1	2	3	1	2	2	3	1	2	1	4	1	1	1	2	3	2	2	1	1	1	1	3	1	1	2	2	1	1	1	1	2	2	2	2	1	1	1	2	4	1	3	1	1	1	1	1	2	2	1	1	2	3	2	6	1	1	1	4	3	1	1	1	2	3	2	3	2	1	1	1	1	2	2	2	1
2500	-865.320461238797179	-872.175949189756579	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.660982802595695	1	-2	14	7	5	11	13	19	16	16	12	19	25	23	31	25	32	23	24	25	30	27	27	29	29	34	36	33	35	26	32	36	33	34	38	36	38	40	43	38	44	47	49	50	43	52	46	54	54	56	52	55	50	59	48	48	58	55	59	60	60	53	58	58	69	57	54	58	63	70	59	73	58	61	61	64	57	65	59	63	66	68	65	66	70	65	78	66	67	66	69	68	70	81	84	85	77	80	86	82	87	87	89	100	94	97	2	0	11	5	1	4	6	6	4	6	4	7	6	10	20	12	30	10	8	14	12	6	14	18	8	12	23	16	15	8	25	20	12	23	15	33	32	21	31	25	22	39	39	37	36	27	37	35	40	46	39	47	45	67	41	41	51	43	51	46	51	47	36	7	52	0	43	51	45	64	67	75	49	58	50	68	67	74	52	46	68	86	43	75	82	69	93	80	45	73	83	69	78	90	46	88	69	93	72	0	100	98	84	100	102	0	1	1	1	1	1	2	1	2	2	1	1	1	2	1	1	2	1	1	1	1	2	2	1	1	2	2	1	2	1	1	1	2	2	1	1	1	1	2	2	2	2	1	1	2	1	3	2	2	2	1	1	2	1	1	2	1	1	1	2	2	2	2	2	7	2	1	2	1	2	2	1	2	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	4	2	1	1	1	2	4	2	1	3	3	1	1	2	4	2	1	1
3000	-846.393351419751980	-853.248839370711380	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.640505410984378	1	-6	13	6	-2	9	13	18	16	21	20	19	24	16	30	26	30	28	25	27	35	29	23	27	33	33	38	35	37	25	35	37	37	34	37	41	39	41	47	40	47	50	44	49	49	55	44	55	52	53	52	48	51	57	56	62	64	57	57	60	59	53	59	62	66	61	55	54	60	60	60	71	59	62	64	62	62	68	56	60	65	69	63	65	68	70	75	70	65	67	73	73	72	79	80	84	76	80	83	84	90	84	85	97	92	95	2	0	4	1	2	4	6	6	6	14	9	7	8	6	20	12	4	24	8	14	16	30	8	8	20	16	23	16	20	11	25	25	26	23	19	16	32	21	31	31	29	31	40	37	21	27	37	29	43	34	42	47	33	49	42	48	61	49	68	50	51	52	21	45	79	0	43	42	45	45	49	60	49	58	60	42	43	71	62	50	61	69	43	60	69	89	93	27	38	73	83	89	71	74	60	46	82	93	88	0	100	93	88	100	102	0	1	1	1	1	1	1	1	2	1	1	1	1	2	1	1	1	3	1	1	1	2	1	1	2	1	2	2	1	2	1	1	1	1	2	2	2	1	2	2	1	2	3	1	2	2	4	1	3	2	3	1	1	2	1	2	2	1	1	1	1	3	1	3	1	2	1	2	1	2	3	1	2	1	1	1	1	4	2	1	1	1	2	2	1	2	1	1	4	3	2	1	2	2	3	2	4	2	2	3	1	1	2	2	2	2	1
3500	-875.459011813482562	-882.314499764441962	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.598063946912450	-1	-7	15	6	5	10	14	15	9	17	11	18	17	24	24	23	31	20	23	29	32	28	33	26	27	26	38	36	38	29	34	33	31	31	31	40	37	41	48	42	46	49	47	48	46	55	49	57	51	60	52	53	54	58	59	61	63	61	60	58	59	59	60	65	66	60	51	58	57	60	59	71	65	64	64	64	63	66	61	65	65	69	63	66	69	69	76	69	63	68	66	70	74	84	78	86	77	82	88	85	88	82	92	97	97	95	2	0	4	1	1	4	6	6	4	6	4	7	8	10	10	12	22	6	18	15	10	16	24	18	18	12	23	12	15	13	25	25	26	18	24	21	35	28	31	19	23	31	40	37	36	14	29	41	43	46	42	44	45	43	42	29	42	49	51	46	39	52	53	33	52	0	43	51	45	20	43	60	58	58	60	68	43	71	52	46	68	45	49	46	69	69	93	60	69	71	58	89	71	73	60	88	92	93	72	0	100	93	96	100	102	0	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	2	1	2	1	1	2	1	1	1	1	2	1	2	2	3	2	2	1	1	1	1	1	1	2	3	1	2	1	2	2	2	3	2	1	1	1	1	1	1	1	3	3	2	2	1	2	2	1	4	2	1	1	2	1	5	2	2	1	1	2	2	3	2	1	2	1	3	2	2	2	2	1	2	1	2	1	2	2	1	4	3	1	2	2	1	1	1	1	2	3	1
4000	-879.610586698454540	-886.466074649413940	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.599916842384089	4	-1	14	3	3	11	11	5	14	14	25	14	22	24	31	23	28	21	26	25	29	31	28	30	29	30	37	30	40	33	34	34	34	33	34	41	31	38	43	41	45	45	47	47	48	47	46	55	53	53	50	52	52	58	55	61	63	57	55	61	61	57	53	66	63	61	56	63	58	65	62	72	57	52	61	61	59	68	62	65	67	66	59	64	70	65	75	67	68	69	73	72	69	82	79	83	78	82	83	83	88	92	94	99	97	97	2	0	1	2	2	2	8	4	7	8	4	7	7	10	20	12	11	10	16	13	12	17	20	18	10	14	23	12	14	17	14	15	11	23	18	26	20	16	31	14	35	39	40	37	26	24	37	41	43	46	42	44	36	49	51	45	61	74	51	46	51	52	53	53	52	0	43	59	45	29	67	75	40	43	50	42	67	71	52	46	59	45	43	50	64	45	58	50	69	73	58	89	71	54	88	95	89	93	84	0	100	98	96	100	102	0	1	1	2	1	1	1	2	1	1	2	2	1	1	2	1	2	1	1	1	1	1	1	1	2	2	1	2	2	5	1	2	1	1	1	3	2	1	2	2	2	1	1	1	2	2	2	3	3	2	2	1	1	2	1	2	1	1	1	1	3	2	2	1	2	2	1	2	2	2	3	1	2	4	1	2	1	1	1	2	3	2	3	2	1	1	3	3	2	1	2	4	1	1	3	2	1	1	2	4	1	1	2	2	3	1	1
4500	-838.365398474506605	-845.220886425466006	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.603412281033323	1	-4	11	8	1	12	17	10	14	16	23	19	19	20	25	25	31	27	19	30	35	28	27	30	33	36	36	30	35	30	32	27	31	24	38	37	37	39	38	43	43	50	48	50	47	52	46	58	54	56	53	51	51	57	59	61	63	59	57	59	60	59	58	55	60	56	53	64	63	69	58	70	65	55	63	64	62	64	65	62	61	67	65	66	64	68	76	70	68	70	70	74	72	81	79	82	81	84	87	83	92	85	92	98	96	98	2	0	2	1	2	8	6	4	8	8	14	7	6	10	14	12	22	10	4	10	16	11	10	14	15	7	23	12	15	3	20	10	16	19	15	28	20	28	31	31	29	40	39	37	33	27	35	41	43	46	42	47	36	49	51	29	59	74	51	50	51	52	45	53	52	0	43	42	64	48	74	84	67	67	60	61	67	71	65	50	51	64	43	60	36	69	78	75	69	73	83	89	58	91	84	84	82	87	88	0	100	93	95	101	102	0	1	1	2	1	1	1	1	1	1	1	1	1	1	1	2	1	1	2	2	2	2	1	1	1	2	3	2	2	2	4	1	2	1	1	2	1	1	1	2	2	1	1	1	2	3	2	2	1	2	1	1	1	2	1	1	4	2	1	2	1	2	2	2	1	2	1	1	3	2	2	1	1	2	1	1	1	1	1	1	2	2	2	2	1	5	1	2	2	1	1	1	1	3	1	2	2	2	2	3	1	2	2	2	2	2	1
