step	post	like	prior	mu1	mu2	gamma	pi	Tinf_1	Tinf_2	Tinf_3	Tinf_4	Tinf_5	Tinf_6	Tinf_7	Tinf_8	Tinf_9	Tinf_10	Tinf_11	Tinf_12	Tinf_13	Tinf_14	Tinf_15	Tinf_16	Tinf_17	Tinf_18	Tinf_19	Tinf_20	Tinf_21	Tinf_22	Tinf_23	Tinf_24	Tinf_25	Tinf_26	Tinf_27	Tinf_28	Tinf_29	Tinf_30	Tinf_31	Tinf_32	Tinf_33	Tinf_34	Tinf_35	Tinf_36	Tinf_37	Tinf_38	Tinf_39	Tinf_40	Tinf_41	Tinf_42	Tinf_43	Tinf_44	Tinf_45	Tinf_46	Tinf_47	Tinf_48	Tinf_49	Tinf_50	Tinf_51	Tinf_52	Tinf_53	Tinf_54	Tinf_55	Tinf_56	Tinf_57	Tinf_58	Tinf_59	Tinf_60	Tinf_61	Tinf_62	Tinf_63	Tinf_64	Tinf_65	Tinf_66	Tinf_67	Tinf_68	Tinf_69	Tinf_70	Tinf_71	Tinf_72	Tinf_73	Tinf_74	Tinf_75	Tinf_76	Tinf_77	Tinf_78	Tinf_79	Tinf_80	Tinf_81	Tinf_82	Tinf_83	Tinf_84	Tinf_85	alpha_1	alpha_2	alpha_3	alpha_4	alpha_5	alpha_6	alpha_7	alpha_8	alpha_9	alpha_10	alpha_11	alpha_12	alpha_13	alpha_14	alpha_15	alpha_16	alpha_17	alpha_18	alpha_19	alpha_20	alpha_21	alpha_22	alpha_23	alpha_24	alpha_25	alpha_26	alpha_27	alpha_28	alpha_29	alpha_30	alpha_31	alpha_32	alpha_33	alpha_34	alpha_35	alpha_36	alpha_37	alpha_38	alpha_39	alpha_40	alpha_41	alpha_42	alpha_43	alpha_44	alpha_45	alpha_46	alpha_47	alpha_48	alpha_49	alpha_50	alpha_51	alpha_52	alpha_53	alpha_54	alpha_55	alpha_56	alpha_57	alpha_58	alpha_59	alpha_60	alpha_61	alpha_62	alpha_63	alpha_64	alpha_65	alpha_66	alpha_67	alpha_68	alpha_69	alpha_70	alpha_71	alpha_72	alpha_73	alpha_74	alpha_75	alpha_76	alpha_77	alpha_78	alpha_79	alpha_80	alpha_81	alpha_82	alpha_83	alpha_84	alpha_85	kappa_1	kappa_2	kappa_3	kappa_4	kappa_5	kappa_6	kappa_7	kappa_8	kappa_9	kappa_10	kappa_11	kappa_12	kappa_13	kappa_14	kappa_15	kappa_16	kappa_17	kappa_18	kappa_19	kappa_20	kappa_21	kappa_22	kappa_23	kappa_24	kappa_25	kappa_26	kappa_27	kappa_28	kappa_29	kappa_30	kappa_31	kappa_32	kappa_33	kappa_34	kappa_35	kappa_36	kappa_37	kappa_38	kappa_39	kappa_40	kappa_41	kappa_42	kappa_43	kappa_44	kappa_45	kappa_46	kappa_47	kappa_48	kappa_49	kappa_50	kappa_51	kappa_52	kappa_53	kappa_54	kappa_55	kappa_56	kappa_57	kappa_58	kappa_59	kappa_60	kappa_61	kappa_62	kappa_63	kappa_64	kappa_65	kappa_66	kappa_67	kappa_68	kappa_69	kappa_70	kappa_71	kappa_72	kappa_73	kappa_74	kappa_75	kappa_76	kappa_77	kappa_78	kappa_79	kappa_80	kappa_81	kappa_82	kappa_83	kappa_84	kappa_85
1	-13441.913784947830209	-13448.769272898789495	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.948640532203907	2	6	5	11	7	16	12	12	14	18	20	19	19	24	23	27	31	32	28	27	27	29	33	32	34	45	46	49	60	64	63	71	70	78	71	78	81	77	77	79	79	81	82	81	81	85	77	82	86	83	80	84	84	91	87	82	82	83	84	87	83	91	95	87	85	88	88	86	97	88	89	92	88	90	98	93	98	93	96	99	95	97	100	102	98	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	3	2	2	2	3	3	3	3	4	4	4	5	5	5	4	4	5	5	5	6	7	8	8	10	11	10	12	12	13	12	13	13	13	13	13	13	13	14	13	13	14	13	14	14	14	13	14	14	15	14	14	14	14	14	14	14	15	16	14	14	15	15	14	16	15	15	15	15	15	16	15	16	15	16	16	16	16	17	17	16
500	-1747.242375979217968	-1754.097863930177255	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.204142851520998	0	5	0	13	8	11	11	13	15	15	21	17	21	24	16	27	28	31	28	24	25	31	23	34	32	40	46	43	57	64	47	71	54	77	55	80	81	77	61	79	80	84	84	79	82	86	61	83	87	84	83	86	86	91	89	84	66	80	85	89	83	92	94	89	87	89	90	87	99	88	92	95	88	88	100	93	99	95	98	100	97	95	102	104	100	0	1	0	3	3	3	3	5	6	7	9	9	4	10	7	12	6	20	13	6	0	19	6	9	9	6	8	4	28	29	0	30	0	31	31	31	33	31	0	31	31	33	33	35	35	33	5	35	31	47	57	33	31	33	39	33	0	35	35	57	57	33	35	47	33	33	39	31	57	47	57	47	33	33	57	31	31	33	35	47	31	57	33	33	31	1	1	1	3	1	2	2	1	1	1	1	1	1	2	1	2	2	2	1	3	1	1	2	4	2	3	5	4	1	2	1	2	1	9	3	13	9	9	1	9	13	11	11	5	8	10	9	10	15	11	10	14	9	14	10	10	1	6	9	14	6	13	16	10	8	14	16	13	11	11	12	13	9	14	15	14	16	15	9	11	14	10	18	16	15
1000	-1307.377018844008944	-1314.232506794968231	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.182271901370880	-3	7	1	8	8	10	13	11	14	15	19	18	18	23	20	27	32	28	29	26	22	31	30	26	35	45	43	44	62	65	47	69	54	68	67	79	81	73	61	78	79	82	84	80	79	87	61	83	86	80	82	86	86	91	89	84	66	82	85	89	83	90	93	88	82	90	89	86	96	89	89	93	87	90	97	94	101	94	97	101	91	99	102	101	99	0	1	0	3	3	3	3	4	4	7	5	6	6	3	7	11	18	10	13	8	0	6	15	4	17	23	24	3	27	29	0	30	0	31	31	31	33	31	0	31	31	33	33	31	38	33	28	34	31	47	57	33	45	33	39	33	0	38	34	57	57	33	31	47	33	33	39	31	47	47	47	47	33	33	47	31	31	33	34	47	31	57	33	33	31	1	2	1	2	2	2	2	1	1	1	2	2	1	3	1	1	1	2	2	3	1	2	2	3	1	2	2	8	4	1	1	1	1	6	3	7	7	6	1	7	9	9	11	5	2	10	6	6	12	5	6	14	2	12	10	8	1	2	4	12	3	11	11	8	6	11	14	11	9	11	8	9	7	12	10	12	14	12	6	11	10	9	14	16	14
1500	-1137.765601945693788	-1144.621089896653075	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.248485631194636	-1	4	-4	12	6	11	11	13	14	19	18	19	15	23	17	26	32	33	28	16	19	28	28	22	23	45	44	50	61	60	47	66	54	68	62	76	82	74	62	80	75	83	83	80	82	83	61	82	85	83	78	86	76	89	88	82	66	74	84	89	75	89	96	86	86	88	90	86	87	90	89	91	87	88	99	93	96	94	96	100	95	98	97	104	95	0	1	0	3	3	3	3	6	7	20	5	9	7	3	3	24	11	20	13	6	0	4	6	6	12	23	9	11	30	28	0	29	0	31	31	31	33	31	0	35	31	33	33	36	36	33	27	58	31	57	57	33	34	33	39	33	0	35	58	47	57	33	58	47	33	33	39	31	51	47	57	47	37	33	69	31	31	33	40	57	31	57	33	33	31	1	1	1	3	2	2	3	1	1	1	3	2	1	4	3	1	2	2	2	1	1	2	2	2	1	3	5	6	1	2	1	2	1	3	3	7	5	5	1	4	5	8	9	1	2	6	6	2	10	3	1	12	2	10	7	7	1	2	2	9	3	10	6	7	7	7	13	11	2	7	6	5	2	8	4	10	13	11	3	6	8	5	11	16	14
2000	-1085.302350139000282	-1092.157838089959569	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.246179058570389	-1	5	2	10	5	15	4	10	14	19	22	18	16	22	23	25	23	32	28	28	29	31	31	33	31	36	42	47	58	56	47	68	54	77	69	74	83	76	61	72	79	81	79	82	79	83	65	84	86	83	82	87	82	90	86	80	68	77	83	88	81	92	97	87	86	87	89	87	92	89	84	91	87	90	94	89	100	91	93	95	95	90	101	101	97	0	1	0	3	3	3	3	5	5	8	9	4	7	5	6	11	12	15	9	8	0	19	15	17	12	14	11	24	30	28	0	29	0	36	31	35	33	31	0	35	35	33	33	35	35	33	19	58	31	47	57	33	36	33	39	33	0	36	58	47	47	33	58	47	33	33	39	31	82	47	57	64	56	33	47	31	31	33	68	57	35	71	42	33	31	1	1	1	1	1	1	1	2	2	1	2	2	2	4	1	1	1	2	2	3	1	1	1	2	2	3	3	2	1	1	1	2	1	1	3	1	7	5	1	1	2	6	4	2	2	7	3	1	7	4	3	10	1	8	5	5	1	1	1	5	3	9	3	5	7	5	12	8	1	5	3	1	2	6	4	9	12	11	1	4	6	1	7	15	14
2500	-965.032778740097910	-971.888266691057311	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.286648929876588	-2	5	-1	9	7	13	12	10	15	16	21	19	17	24	22	24	32	29	27	25	28	30	35	34	32	47	46	50	60	57	47	71	54	76	73	78	83	75	61	78	78	81	77	81	79	86	72	82	84	86	80	85	85	93	81	83	76	80	85	87	83	91	95	87	83	85	86	85	94	87	85	89	87	89	98	93	96	95	95	98	96	98	96	99	100	0	1	0	3	3	5	4	3	8	7	6	9	6	4	6	4	9	7	10	5	0	13	15	18	12	4	25	27	30	27	0	29	0	35	31	35	33	31	0	34	35	33	33	34	35	33	25	58	31	51	57	33	36	33	39	33	0	35	58	51	51	33	59	47	33	42	39	31	57	47	51	47	65	43	61	31	31	33	38	69	31	51	73	33	31	1	1	1	2	2	2	1	2	1	1	2	1	1	3	1	3	2	2	3	3	1	2	1	1	4	7	2	1	1	2	1	2	1	1	5	2	6	2	1	1	2	4	6	1	2	6	6	1	7	2	1	8	2	8	4	4	1	2	1	2	1	9	2	3	5	1	11	8	3	4	1	3	1	2	3	10	9	11	4	1	7	2	2	13	11
3000	-847.768204461334221	-854.623692412293622	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.352435923582224	1	9	2	8	6	16	14	10	13	16	18	16	19	22	22	28	27	30	25	28	26	29	33	22	24	40	41	47	58	55	58	71	54	77	72	76	80	76	64	80	81	78	82	81	83	69	77	84	86	80	80	82	80	90	81	79	74	77	82	89	85	93	92	84	88	86	91	86	93	88	90	92	89	84	96	91	98	95	98	87	96	92	98	103	94	0	1	0	3	3	3	3	3	4	3	9	4	3	6	9	11	12	13	10	5	0	4	4	4	12	5	17	23	30	28	0	29	0	35	31	35	33	31	0	34	36	46	46	38	38	33	57	58	34	47	47	33	36	74	39	46	0	35	58	47	51	33	59	50	46	46	39	31	47	61	57	64	37	52	47	31	31	33	76	51	49	57	66	33	44	1	2	1	2	2	2	3	1	1	1	1	1	4	1	2	2	2	1	1	4	1	2	5	2	1	5	2	3	1	1	1	2	1	1	2	1	6	3	1	1	2	2	3	1	2	3	1	2	2	1	1	5	1	2	4	3	1	2	1	2	1	8	2	1	6	3	11	6	3	1	4	3	2	1	4	8	9	11	1	1	2	4	1	13	3
3500	-774.772478367932536	-781.627966318891936	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.474634044533323	-5	7	5	10	7	17	12	10	16	15	16	14	18	23	22	28	22	27	29	28	21	28	29	25	36	45	36	45	61	57	58	71	55	77	70	71	71	64	66	67	77	81	75	79	77	75	75	83	88	79	79	82	85	84	85	82	70	80	86	90	84	89	90	83	85	87	88	85	91	86	91	92	87	91	97	93	100	93	94	93	91	95	99	100	97	0	1	0	3	3	3	3	5	12	7	12	8	7	10	3	11	6	10	13	10	0	13	4	17	16	6	24	27	30	28	0	30	0	38	31	31	33	31	0	38	36	37	37	34	35	37	57	58	31	47	57	37	36	37	39	46	0	36	58	47	47	33	58	51	37	37	39	38	50	51	47	64	54	54	64	44	38	33	49	47	68	50	73	33	76	1	2	1	1	1	3	1	1	1	1	1	1	1	1	3	2	1	2	2	2	1	2	3	1	1	4	1	2	1	2	1	3	1	2	2	3	3	1	1	1	1	1	1	1	2	1	1	1	5	1	3	3	2	3	3	2	1	1	2	2	2	9	1	1	4	3	8	3	3	1	2	2	1	2	2	2	8	10	1	4	1	3	2	12	1
4000	-752.546874393042572	-759.402362344001972	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.500026675855312	-2	-1	2	9	8	14	13	11	17	19	20	14	18	26	21	26	25	32	27	25	27	26	34	29	31	45	45	48	60	55	60	67	57	71	67	74	65	76	63	77	80	78	74	82	76	73	78	83	86	82	81	81	83	78	78	78	75	77	83	86	84	92	93	89	81	87	90	83	88	83	89	92	84	88	94	94	96	93	97	101	87	97	97	102	94	0	1	0	3	3	3	4	5	12	7	6	5	7	8	4	11	11	20	13	10	0	7	15	12	9	14	17	27	30	27	0	29	0	31	31	31	33	34	0	34	34	46	37	34	34	37	57	58	34	47	47	46	41	37	39	46	0	34	58	47	51	33	48	60	46	56	39	38	50	47	47	64	56	54	61	68	49	37	76	82	40	47	73	42	36	1	1	1	1	1	3	2	1	1	1	1	1	1	3	2	1	1	2	2	1	1	3	1	2	3	2	4	1	1	1	1	1	1	2	2	2	2	1	1	2	1	2	1	1	2	1	1	1	4	1	1	1	1	2	2	1	1	1	1	2	1	9	2	1	2	2	8	2	2	1	2	1	1	3	2	2	2	9	1	1	1	2	2	5	4
4500	-682.320977329682023	-689.176465280641423	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.552075018531227	-3	8	5	12	9	16	12	13	16	17	18	13	20	23	20	27	32	27	22	26	22	17	35	23	35	46	43	50	61	57	63	74	67	77	69	79	75	75	65	80	71	78	82	80	80	78	73	84	82	84	77	83	83	92	84	83	69	78	81	82	81	89	96	87	88	87	90	86	96	87	88	91	81	89	97	89	93	94	93	93	91	95	90	100	99	0	1	0	3	3	7	3	5	12	7	9	5	22	10	6	11	24	14	22	14	0	7	15	9	9	23	25	17	30	28	0	29	0	31	31	41	33	35	0	34	31	37	37	38	35	37	57	58	38	47	57	46	36	37	39	46	0	41	58	47	47	37	58	60	37	56	39	34	47	50	50	51	46	37	61	38	68	46	40	60	76	71	73	83	68	1	2	1	2	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	2	2	3	2	2	2	1	1	1	2	1	2	1	2	2	1	1	1	2	1	1	1	1	1	1	2	1	2	1	1	1	2	2	1	1	1	1	2	1	4	2	1	2	1	5	2	3	1	1	3	1	4	2	3	1	4	1	2	1	2	2	2	1
