step	p_accept_mu1	p_accept_gamma	p_accept_pi	p_accept_Tinf	sigma_mu1	sigma_gamma	sigma_pi	n_like_zero
1		1.00000	1.00000	1.00000	1.00000	0.000100000000000	1.000000000000000	0.010000000000000	0
500		1.00000	1.00000	1.00000	0.76760	0.000100000000000	1.000000000000000	0.010000000000000	0
1000		-nan	-nan	0.93000	0.76774	0.000150000000000	1.000000000000000	0.015000000000000	0
1500		-nan	-nan	0.90600	0.76801	0.000150000000000	1.000000000000000	0.022500000000000	0
2000		-nan	-nan	0.85200	0.76440	0.000150000000000	1.000000000000000	0.033750000000000	0
2500		-nan	-nan	0.72600	0.76147	0.000150000000000	1.000000000000000	0.050625000000000	0
3000		-nan	-nan	0.65400	0.75838	0.000150000000000	1.000000000000000	0.075937500000000	0
3500		-nan	-nan	0.49200	0.75661	0.000150000000000	1.000000000000000	0.113906250000000	0
4000		-nan	-nan	0.51100	0.75611	0.000150000000000	1.000000000000000	0.113906250000000	0
4500		-nan	-nan	0.51067	0.75529	0.000150000000000	1.000000000000000	0.113906250000000	0
5000		-nan	-nan	0.51600	0.75425	0.000150000000000	1.000000000000000	0.113906250000000	0
5500		-nan	-nan	0.52120	0.75369	0.000150000000000	1.000000000000000	0.113906250000000	0
6000		-nan	-nan	0.51967	0.75279	0.000150000000000	1.000000000000000	0.113906250000000	0
6500		-nan	-nan	0.52200	0.75202	0.000150000000000	1.000000000000000	0.113906250000000	0
7000		-nan	-nan	0.51900	0.75077	0.000150000000000	1.000000000000000	0.113906250000000	0
7500		-nan	-nan	0.51667	0.75030	0.000150000000000	1.000000000000000	0.113906250000000	0
8000		-nan	-nan	0.51580	0.74960	0.000150000000000	1.000000000000000	0.113906250000000	0
8500		-nan	-nan	0.51218	0.74929	0.000150000000000	1.000000000000000	0.113906250000000	0
9000		-nan	-nan	0.51067	0.74916	0.000150000000000	1.000000000000000	0.113906250000000	0
9500		-nan	-nan	0.51369	0.74899	0.000150000000000	1.000000000000000	0.113906250000000	0
10000		-nan	-nan	0.51200	0.74866	0.000150000000000	1.000000000000000	0.113906250000000	0
10500		-nan	-nan	0.51160	0.74814	0.000150000000000	1.000000000000000	0.113906250000000	0
11000		-nan	-nan	0.51025	0.74770	0.000150000000000	1.000000000000000	0.113906250000000	0
11500		-nan	-nan	0.50941	0.74739	0.000150000000000	1.000000000000000	0.113906250000000	0
12000		-nan	-nan	0.50933	0.74724	0.000150000000000	1.000000000000000	0.113906250000000	0
12500		-nan	-nan	0.50800	0.74674	0.000150000000000	1.000000000000000	0.113906250000000	0
13000		-nan	-nan	0.50890	0.74652	0.000150000000000	1.000000000000000	0.113906250000000	0
13500		-nan	-nan	0.50762	0.74622	0.000150000000000	1.000000000000000	0.113906250000000	0
14000		-nan	-nan	0.50482	0.74607	0.000150000000000	1.000000000000000	0.113906250000000	0
14500		-nan	-nan	0.50409	0.74576	0.000150000000000	1.000000000000000	0.113906250000000	0
15000		-nan	-nan	0.50117	0.74561	0.000150000000000	1.000000000000000	0.113906250000000	0
15500		-nan	-nan	0.50160	0.74537	0.000150000000000	1.000000000000000	0.113906250000000	0
16000		-nan	-nan	0.50015	0.74517	0.000150000000000	1.000000000000000	0.113906250000000	0
16500		-nan	-nan	0.49904	0.74497	0.000150000000000	1.000000000000000	0.113906250000000	0
17000		-nan	-nan	0.49836	0.74475	0.000150000000000	1.000000000000000	0.113906250000000	0
17500		-nan	-nan	0.49834	0.74481	0.000150000000000	1.000000000000000	0.113906250000000	0
18000		-nan	-nan	0.49887	0.74475	0.000150000000000	1.000000000000000	0.113906250000000	0
18500		-nan	-nan	0.49839	0.74476	0.000150000000000	1.000000000000000	0.113906250000000	0
19000		-nan	-nan	0.49844	0.74466	0.000150000000000	1.000000000000000	0.113906250000000	0
19500		-nan	-nan	0.49727	0.74455	0.000150000000000	1.000000000000000	0.113906250000000	0
20000		-nan	-nan	0.49635	0.74455	0.000150000000000	1.000000000000000	0.113906250000000	0
20500		-nan	-nan	0.49577	0.74443	0.000150000000000	1.000000000000000	0.113906250000000	0
21000		-nan	-nan	0.49683	0.74463	0.000150000000000	1.000000000000000	0.113906250000000	0
